ï»¿Time,CoG Acceleration/X,CoG Acceleration/Y,CoG position/X,CoG position/Y,CoG position/Roll,CoG position/Pitch,CoG position/Yaw,Horizontal tangential speed,Over-steering criteria2,Pitch %ground,Pitch acceleration,Pitch speed,Roll %ground,Roll acceleration,Roll speed,Slope force,Speed/X,Speed/Y,Tangent Acceleration/X,Tangent Acceleration/Y,Tangential speed,Yaw %ground,Yaw acceleration,Yaw speed,Brake pedal force,Gas pedal,Steering wheel angle,Steering wheel speed,Intersection Id,Lane gap,CoG Acceleration/X.1,CoG Acceleration/Y.1,CoG position/X.1,CoG position/Y.1,Pitch acceleration.1,Pitch speed.1,Roll acceleration.1,Roll speed.1,Speed/X.1,Speed/Y.1,Tangential speed.1,Yaw acceleration.1,Yaw speed.1,CoG Acceleration/X.2,CoG Acceleration/Y.2,CoG position/X.2,CoG position/Y.2,Pitch acceleration.2,Pitch speed.2,Roll acceleration.2,Roll speed.2,Speed/X.2,Speed/Y.2,Tangential speed.2,Yaw acceleration.2,Yaw speed.2,CoG Acceleration/X.3,CoG Acceleration/Y.3,CoG position/X.3,CoG position/Y.3,Pitch acceleration.3,Pitch speed.3,Roll acceleration.3,Roll speed.3,Speed/X.3,Speed/Y.3,Tangential speed.3,Yaw acceleration.3,Yaw speed.3,CoG Acceleration/X.4,CoG Acceleration/Y.4,CoG position/X.4,CoG position/Y.4,Pitch acceleration.4,Pitch speed.4,Roll acceleration.4,Roll speed.4,Speed/X.4,Speed/Y.4,Tangential speed.4,Yaw acceleration.4,Yaw speed.4,ExportChannel/1,ExportChannel/4,ExportChannel/3,distance_to_inter_2
292.351,-0.0828959,0.0144791,4417.11,-9.22523,0.00944928,-0.35777,-0.0240387,17296.3,1.6003e-05,-0.357696,0.28824,-0.000249287,0.00944928,-0.220812,-0.000248541,-0.00244831,62.2653,-0.000667994,-0.0829186,0.0144777,62.2665,-0.0240387,-0.0318021,0.0583578,0.0,0.0953657,0.243,0,-1.0,-0.12908,0.813316,0.104368,1310.42,-16.1664,0,0,0,0,60.3283,-0.00939261,60.3283,0,0.356855,0,0,1890.67,-8.57446,0,0,0,0,0,0,0,0,0,0.0,0.0,5303.71,-61.7625,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,6015.21,12.8502,0,0,0,0,0,0,0,0,0,3.89875,999.0,0.0,85.30122108043324
292.367,-0.0683967,0.0171508,4417.39,-9.22534,0.00944716,-0.357768,-0.0231048,17295.2,-9.15903e-06,-0.357694,0.078656,0.000451802,0.00944716,-0.000467719,-0.000178694,-0.00244867,62.2616,-0.000660574,-0.0683891,0.0171503,62.2628,-0.0231048,-0.174636,0.0582818,0.0,0.0953657,0.243,0,-1.0,-0.129223,0.80687,0.0998781,1310.42,-15.903,0,0,0,0,60.3733,-0.00898945,60.3733,0,0.341262,0,0,1890.67,-8.57446,0,0,0,0,0,0,0,0,0,0.0,0.0,5303.71,-61.7625,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,6015.21,12.8502,0,0,0,0,0,0,0,0,0,3.89875,999.0,0.0,85.02123705401807
292.383,-0.0618505,0.0166239,4417.67,-9.22546,0.00946782,-0.357759,-0.0221716,17294.2,-3.13553e-05,-0.357686,-0.141169,0.000589778,0.00946782,-0.439322,0.00200703,-0.00244863,62.2579,-0.000666312,-0.0618561,0.0166232,62.2591,-0.0221716,-0.858198,0.0581335,0.0,0.0986568,0.243,0,-1.0,-0.129362,0.800424,0.0953879,1310.42,-15.6395,0,0,0,0,60.4182,-0.00858629,60.4182,0,0.325669,0,0,1890.67,-8.57446,0,0,0,0,0,0,0,0,0,0.0,0.0,5303.71,-61.7625,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,6015.21,12.8502,0,0,0,0,0,0,0,0,0,3.89875,999.0,0.0,84.74125302195843
292.399,-0.0837021,0.0145291,4417.94,-9.22556,0.00951124,-0.35775,-0.0212379,17293.1,-1.73857e-05,-0.357676,0.259744,0.000353054,0.00951124,-0.612365,0.0015587,-0.00244856,62.2541,-0.000676325,-0.0837124,0.0145279,62.2553,-0.0212379,-0.171001,0.0583376,0.0,0.0953657,0.243,0,-1.0,-0.129495,0.793946,0.0909848,1310.42,-15.3724,0,0,0,0,60.4634,-0.00819018,60.4634,0,0.310395,0,0,1890.67,-8.57446,0,0,0,0,0,0,0,0,0,0.0,0.0,5303.71,-61.7625,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,6015.21,12.8502,0,0,0,0,0,0,0,0,0,3.84955,999.0,0.0,84.4712686955373
292.415,-0.0617087,0.0192684,4418.22,-9.22567,0.00951562,-0.357745,-0.0203035,17292.1,-4.33956e-05,-0.357672,-0.0196216,0.000187588,0.00951562,-0.157034,-0.000677015,-0.00244845,62.2504,-0.000667694,-0.0617226,0.0192674,62.2516,-0.0203035,-0.459557,0.058315,0.0,0.0986568,0.243,0,-1.0,-0.129625,0.7874,0.0867663,1310.42,-15.0974,0,0,0,0,60.5091,-0.00780899,60.5091,0,0.295796,0,0,1890.67,-8.57446,0,0,0,0,0,0,0,0,0,0.0,0.0,5303.71,-61.7625,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,6015.21,12.8502,0,0,0,0,0,0,0,0,0,3.84955,999.0,0.0,84.1912849853763
292.431,-0.0692165,0.0179995,4418.5,-9.22577,0.00950071,-0.357745,-0.0193691,17291.1,-1.10808e-05,-0.357672,0.15136,-0.000121484,0.00950071,0.203645,-0.00122244,-0.00244822,62.2466,-0.000661713,-0.069206,0.0179991,62.2478,-0.0193691,0.174284,0.0583427,0.0,0.0953657,0.243,0,-1.0,-0.12975,0.780854,0.0825477,1310.42,-14.8225,0,0,0,0,60.5547,-0.0074278,60.5547,0,0.281198,0,0,1890.67,-8.57446,0,0,0,0,0,0,0,0,0,0.0,0.0,5303.71,-61.7625,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,6015.21,12.8502,0,0,0,0,0,0,0,0,0,3.84955,999.0,0.0,83.91130149647836
292.447,-0.0668417,0.0177957,4418.77,-9.22586,0.00948033,-0.35775,-0.0184346,17290.0,-1.16322e-05,-0.357677,-0.0863653,-0.000311181,0.00948033,-0.378847,-0.00149209,-0.00244826,62.2429,-0.000655921,-0.0668462,0.017795,62.2441,-0.0184346,-0.0473298,0.0585421,0.0,0.0953657,0.243,0,-1.0,-0.12987,0.774386,0.0784686,1310.42,-14.5488,0,0,0,0,60.5998,-0.00706026,60.5998,0,0.267092,0,0,1890.67,-8.57446,0,0,0,0,0,0,0,0,0,0.0,0.0,5303.71,-61.7625,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,6015.21,12.8502,0,0,0,0,0,0,0,0,0,3.80032,999.0,0.0,83.64131759519047
292.463,-0.0413426,0.0172825,4419.05,-9.22595,0.0094375,-0.357763,-0.0175008,17289.0,4.14798e-06,-0.35769,-0.306295,-0.000927246,0.0094375,0.0846837,-0.0021281,-0.00244829,62.2392,-0.000644406,-0.0413229,0.0172826,62.2404,-0.0175008,-0.293624,0.0582037,0.0,0.0953657,0.243,0,-1.0,-0.129987,0.768141,0.0747854,1310.42,-14.2789,0,0,0,0,60.6434,-0.00673146,60.6434,0,0.254387,0,0,1890.67,-8.57446,0,0,0,0,0,0,0,0,0,0.0,0.0,5303.71,-61.7625,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,6015.21,12.8502,0,0,0,0,0,0,0,0,0,3.80032,999.0,0.0,83.36133443811022
292.479,-0.0800088,0.0202529,4419.33,-9.22603,0.00941094,-0.357779,-0.0165671,17287.9,9.50436e-06,-0.357706,0.315316,-0.00100845,0.00941094,0.275879,-0.000980333,-0.00244819,62.2354,-0.000631936,-0.0800181,0.0202518,62.2366,-0.0165671,-0.0153604,0.0583541,0.0,0.0986568,0.243,0,-1.0,-0.130098,0.761896,0.0711022,1310.42,-14.009,0,0,0,0,60.6869,-0.00640267,60.6869,0,0.241682,0,0,1890.67,-8.57446,0,0,0,0,0,0,0,0,0,0.0,0.0,5303.71,-61.7625,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,6015.21,12.8502,0,0,0,0,0,0,0,0,0,3.80032,999.0,0.0,83.08135150815076
292.495,-0.0462275,0.0178831,4419.6,-9.22611,0.00939861,-0.357785,-0.0156337,17286.9,6.7334e-06,-0.357712,-0.217294,2.15803e-05,0.00939861,0.035836,-0.000845957,-0.00244862,62.2317,-0.000633905,-0.0462084,0.0178831,62.2329,-0.0156337,-0.0264968,0.0583189,0.0,0.0986568,0.243,0,-1.0,-0.130205,0.755672,0.0674751,1310.42,-13.7391,0,0,0,0,60.7304,-0.0060782,60.7304,0,0.229176,0,0,1890.67,-8.57446,0,0,0,0,0,0,0,0,0,0.0,0.0,5303.71,-61.7625,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,6015.21,12.8502,0,0,0,0,0,0,0,0,0,3.80032,999.0,0.0,82.81136804540806
