Type,Timestamp,Data Accelerometer X,Data Accelerometer Y,Data Accelerometer Z,Data Gyroscope X,Data Gyroscope Y,Data Gyroscope Z,Data Magnetometer X,Data Magnetometer Y,Data Magnetometer Z
imu,257.188007,0.1722680064,-9.5590798968,2.2975049048,4.77785296,6.57169388,-2.41970696,,,
imu,257.196455,0.1656883256,-9.572837411200002,2.2987012104,4.74794532,6.489447869999999,-2.35989168,,,
imu,257.204903,0.1632957144,-9.596763523200002,2.3022901272,4.7329915,6.38477113,-2.3000764,,,
imu,257.213352,0.1573141864,-9.631456385600002,2.2801584736,4.29185381,6.160463829999999,-2.53933752,,,
imu,257.2218,0.1591086448,-9.6296619272,2.2765695568,4.03763887,6.04831018,-2.92065993,,,
imu,257.230266,0.158510492,-9.605735815200001,2.286738154400001,3.52920899,5.9137258,-3.07019813,,,
imu,257.238732,0.1417622136,-9.618895176800002,2.281952932,3.23013259,5.7641876,-3.15992105,,,
imu,257.247198,0.1309954632,-9.613511801600001,2.2652046536,3.0880713,5.681941589999999,-3.02533667,,,
imu,257.255664,0.1178361016,-9.5877912312,2.2532415976,2.77404108,5.66698777,-3.01785976,,,
imu,257.26413,0.1387714496,-9.572837411200002,2.2364933192,2.61702597,5.876341249999999,-2.8234601,,,
imu,257.272597,0.1393696024,-9.536948243200001,2.2215394992,2.3403803,5.876341249999999,-2.69635263,,,
imu,257.281063,0.1441548248,-9.520798117600002,2.2023986096,2.29551884,5.77166451,-2.48699915,,,
imu,257.289529,0.1531271168,-9.512423978400001,2.18325772,2.36281103,5.749233779999999,-2.38979932,,,
imu,257.297995,0.1477437416,-9.4801237272,2.1748835808,2.34785721,5.614649399999999,-2.58419898,,,
imu,257.306461,0.1591086448,-9.4908904776,2.1617242192,2.66936434,5.45763429,-2.59167589,,,
imu,257.314927,0.158510492,-9.526779645600001,2.1527519272,2.90862546,5.18846553,-2.6739219,,,
imu,257.323393,0.155519728,-9.5381445488,2.1479667048,2.83385636,4.95668132,-2.748691,,,
imu,257.331859,0.167482784,-9.539939007200001,2.1485648576,2.90114855,4.739850929999999,-2.75616791,,,
imu,257.340325,0.1626975616,-9.540537160000001,2.1485648576,3.05068675,4.73237402,-2.66644499,,,
imu,257.348791,0.1549215752,-9.550705757600001,2.129423968,3.22265568,4.50806672,-2.3748455,,,
imu,257.357257,0.1579123392,-9.554294674400001,2.1138719952,2.98339456,4.410866889999999,-2.08324601,,,
imu,257.365723,0.1477437416,-9.555490980000002,2.102507092,2.91610237,4.29871324,-1.73183124,,,
imu,257.37419,0.1369769912,-9.532163020800002,2.0809735912,2.97591765,4.29871324,-1.43275484,,,
imu,257.382656,0.1387714496,-9.5249851872,2.0737957576,3.04320984,4.32114397,-1.29069355,,,
imu,257.391122,0.1232194768,-9.522592576000001,2.0534585624,3.11797894,4.36600543,-1.18601681,,,
imu,257.399588,0.1423603664,-9.527975951200002,2.0594400904,3.19274804,4.455728349999999,-1.20844754,,,
imu,257.408054,0.1447529776,-9.551303910400001,2.0444862704,3.3871477,4.44077453,-1.26078591,,,
imu,257.41652,0.1686790896,-9.576426328,2.0319250616,3.52920899,4.4183438,-1.29069355,,,
imu,257.424986,0.16449202,-9.559678049600002,2.0283361448,3.42453225,4.388436159999999,-1.29817046,,,
imu,257.433803,0.1997830352,-9.588987536800001,2.045084423200001,3.28994787,4.25385178,-1.38041647,,,
imu,257.44262,0.2207183832,-9.648204664000001,2.0540567152,3.18527113,4.01459066,-1.50004703,,,
imu,257.451437,0.2745521352,-9.696655040800001,2.0570474792,2.64693361,3.70803735,-1.49257012,,,
imu,257.460254,0.3247969704000001,-9.7122070136,2.0743939104,2.17588828,3.23699202,-1.4776163,,,
imu,257.469071,0.4348570856000001,-9.696056888000001,2.0743939104,1.5179202,2.46687029,-1.41780102,,,
imu,257.477888,0.5754229936,-9.735534972800002,2.0660197712,0.83004448,1.40514907,-1.1785399,,,
imu,257.486705,0.6986424704000002,-9.709216249600003,2.036710284,0.08235347999999998,-0.35192478,-0.5878640099999999,,,
imu,257.495521,0.7698226536000001,-9.654186192000001,2.0199620056,-0.38869185,-2.77444362,0.002811879999999878,,,
imu,257.504338,0.7883653904000001,-9.658971414400002,1.9924469768,-1.03170611,-5.510992679999999,0.4215188400000001,,,
imu,257.513155,0.7590559032000002,-9.678710456800001,1.9912506712,-1.41302852,-8.15781882,1.00471782,,,
imu,257.521972,0.7285501104000001,-9.678112304,1.9870636016,-1.78687402,-10.81212187,1.62530135,,,
imu,257.530789,0.6483976352,-9.690075360000002,1.9870636016,-2.23548862,-13.2271638,2.05896213,,,
imu,257.539606,0.5455153536,-9.694860582400002,1.9930451296,-2.40745755,-15.29079096,2.50009982,,,
imu,257.548423,0.4402404608,-9.666149248000002,1.9936432824,-2.69905704,-16.8908497,2.79169931,,,
imu,257.55724,0.3427415544,-9.644017594400001,1.9900543656,-2.81121069,-17.90770946,3.02348352,,,
imu,257.566057,0.2625890792,-9.655382497600002,2.0121860192,-2.80373378,-18.49838535,3.21788318,,,
imu,257.574874,0.1656883256,-9.627269316000001,2.0074007968,-2.91588743,-18.59558518,3.33003683,,,
imu,257.583691,0.09390998960000001,-9.578220786400001,2.0062044912,-2.87102597,-18.3114626,3.30012919,,,
imu,257.592508,0.02871133440000001,-9.5489112992,2.0002229632,-2.80373378,-17.94509401,3.18797554,,,
imu,257.601325,0.002990764,-9.530966715200002,2.0050081856,-2.65419558,-17.35441812,2.79917622,,,
imu,257.610142,-0.0113649032,-9.541733465600002,2.0223546168,-2.56447266,-16.71140386,2.25336179,,,
imu,257.618958,-0.017944584,-9.569248494400002,2.027737992,-2.32521154,-15.88894376,1.67016281,,,
imu,257.627775,-0.0263187232,-9.567454036,2.0432899648,-2.20558098,-14.90946855,1.20659439,,,
imu,257.636292,-0.007177833600000002,-9.5668558832,2.0295324504,-2.03361205,-14.16177755,0.7729336099999999,,,
imu,257.644809,-0.003588916800000001,-9.572837411200002,2.0379065896,-1.95884295,-13.18977925,0.4663803,,,
imu,257.653326,-0.008374139200000002,-9.5632669664,2.0301306032,-1.73453565,-12.09067348,0.44394957,,,
imu,257.661843,-0.0185427368,-9.553098368800002,2.012784172,-1.5476129,-10.96166007,0.7430259700000001,,,
imu,257.67036,-0.0113649032,-9.516611048000001,1.9840728376,-1.50275144,-9.98218486,0.7430259700000001,,,
imu,257.678877,-0.0221316536,-9.484908949600001,1.9762968512,-0.95693701,-8.78587926,0.78788743,,,
imu,257.687394,-0.0215335008,-9.483712644000002,1.9637356424,-0.62047606,-7.57461984,0.8626565300000002,,,
imu,257.695911,-0.0257205704,-9.4496179344,1.946987364,-0.08213854000000001,-6.408221879999999,0.6981645100000002,,,
imu,257.704428,-0.0185427368,-9.443038253600001,1.9511744336,0.32909151,-5.26425465,0.5112417599999999,,,
