Type,Timestamp,Data Accelerometer X,Data Accelerometer Y,Data Accelerometer Z,Data Gyroscope X,Data Gyroscope Y,Data Gyroscope Z,Data Magnetometer X,Data Magnetometer Y,Data Magnetometer Z
imu,69.20205,-0.3313766512,-9.7606573904,1.486409708,-0.71767589,3.69308353,-2.23278421,,,
imu,69.21061,-0.3367600264,-9.7510869456,1.4786337216,-0.5756146,3.52859151,-2.36736859,,,
imu,69.219171,-0.3056560808,-9.738525736800002,1.4750448048,-0.52327623,3.60336061,-2.29259949,,,
imu,69.227731,-0.3116376088,-9.745105417600001,1.4858115552,-0.47841477,3.55849915,-2.41970696,,,
imu,69.236291,-0.3092449976000001,-9.746301723200002,1.4756429576,-0.31392275,3.3715764,-2.42718387,,,
imu,69.244851,-0.3068523864000001,-9.7504887928,1.4798300272,-0.18681528,3.23699202,-2.45709151,,,
imu,69.253411,-0.3247969704000001,-9.752881404000002,1.468465124,-0.19429219,3.09493073,-2.46456842,,,
imu,69.261971,-0.3206099008000001,-9.768433376800001,1.4666706656,-0.18681528,2.9229618,-2.64401426,,,
imu,69.270532,-0.3343674152,-9.766638918400002,1.4888023192,-0.19429219,2.75846978,-2.96552139,,,
imu,69.279092,-0.3283858872000001,-9.763050001600002,1.4876060136,-0.18681528,2.81080815,-3.03281358,,,
imu,69.287652,-0.331974804,-9.745703570400002,1.4882041664,-0.29896893,2.75099287,-3.20478251,,,
imu,69.296212,-0.334965568,-9.746301723200002,1.489400472,-0.32139966,2.60893158,-3.20478251,,,
imu,69.304772,-0.3457323184,-9.7606573904,1.4929893888,-0.24663056,2.58650085,-3.26459779,,,
imu,69.313333,-0.3271895816000001,-9.752283251200002,1.4905967776,-0.40364567,2.55659321,-3.45899745,,,
imu,69.321893,-0.3236006648,-9.749890640000002,1.5097376672,-0.60552224,2.56407012,-3.66087402,,,
imu,69.330453,-0.323002512,-9.755872168000002,1.516317348,-0.44103022,2.3995781,-3.69825857,,,
imu,69.339013,-0.3241988176,-9.8061170032,1.4858115552,-0.51579932,2.16779389,-3.78798149,,,
