Type,Timestamp,Data Accelerometer X,Data Accelerometer Y,Data Accelerometer Z,Data Gyroscope X,Data Gyroscope Y,Data Gyroscope Z,Data Magnetometer X,Data Magnetometer Y,Data Magnetometer Z
imu,356.812387,-0.2231109944,-9.648802816800002,2.3920130472,0.8674290299999999,-2.19872155,-4.08705789,,,
imu,356.820845,-0.227298064,-9.687084596000002,2.4081631728,0.71789083,-2.03422953,-4.28145755,,,
imu,356.829302,-0.2404574256,-9.711010708000002,2.413546548,0.40386061,-2.04918335,-4.56558013,,,
imu,356.837759,-0.2434481896,-9.7325442088,2.431491132,0.19450713,-1.79496841,-4.66277996,,,
imu,356.846216,-0.2320832864,-9.7337405144,2.4362763544,-0.33635348,-1.78001459,-4.74502597,,,
imu,356.854673,-0.2290925224000001,-9.752881404000002,2.454819091200001,-0.62047606,-1.64543021,-4.57305704,,,
imu,356.86313,-0.2344758976,-9.776807516000002,2.460202466400001,-0.83730645,-1.39869218,-4.32631901,,,
imu,356.871588,-0.2159331608,-9.748694334400001,2.4560153968,-1.42798234,-1.24915398,-4.13191935,,,
imu,356.880045,-0.2075590216,-9.713403319200001,2.461398772,-1.79435093,-1.20429252,-4.04219643,,,
imu,356.888502,-0.19439966,-9.6846919848,2.4578098552,-1.87659694,-1.30896926,-4.012288789999999,,,
imu,356.896959,-0.176455076,-9.662560331200002,2.454819091200001,-2.01865823,-1.27906162,-4.012288789999999,,,
imu,356.905416,-0.1776513816,-9.624278552000002,2.4596043136,-2.21305789,-1.42112291,-3.95995042,,,
imu,356.913874,-0.1746606176,-9.594370912,2.487717495200001,-2.21305789,-1.45103055,-3.90013514,,,
imu,356.922331,-0.1908107432,-9.667943706400001,2.473361828,-1.93641222,-1.58561493,-4.04967334,,,
imu,356.930788,-0.2087553272,-9.693664276800002,2.4619969248,-1.92893531,-1.73515313,-4.21416536,,,
imu,356.939245,-0.215335008,-9.635045302400002,2.470371064,-2.21305789,-1.75758386,-4.363703559999999,,,
imu,356.947702,-0.2416537312,-9.593772759200002,2.4871193424,-2.10838115,-1.72019931,-4.58801086,,,
imu,356.956159,-0.2446444952,-9.6039413568,2.476352592,-2.01118132,-1.54075347,-4.6179185,,,
imu,356.964629,-0.2428500368,-9.612913648800001,2.4769507448,-1.98875059,-1.51832274,-4.692687599999999,,,
imu,356.973099,-0.2578038568000001,-9.602745051200001,2.4787452032,-1.97379677,-1.43607673,-4.49828794,,,
