ï»¿Time,CoG Acceleration/X,CoG Acceleration/Y,CoG position/X,CoG position/Y,CoG position/Roll,CoG position/Pitch,CoG position/Yaw,Horizontal tangential speed,Over-steering criteria2,Pitch %ground,Pitch acceleration,Pitch speed,Roll %ground,Roll acceleration,Roll speed,Slope force,Speed/X,Speed/Y,Tangent Acceleration/X,Tangent Acceleration/Y,Tangential speed,Yaw %ground,Yaw acceleration,Yaw speed,Brake pedal force,Gas pedal,Steering wheel angle,Steering wheel speed,Intersection Id,Lane gap,CoG Acceleration/X.1,CoG Acceleration/Y.1,CoG position/X.1,CoG position/Y.1,Pitch acceleration.1,Pitch speed.1,Roll acceleration.1,Roll speed.1,Speed/X.1,Speed/Y.1,Tangential speed.1,Yaw acceleration.1,Yaw speed.1,CoG Acceleration/X.2,CoG Acceleration/Y.2,CoG position/X.2,CoG position/Y.2,CoG position/Yaw.1,Pitch acceleration.2,Pitch speed.2,Roll acceleration.2,Roll speed.2,Speed/X.2,Speed/Y.2,Tangential speed.2,Yaw acceleration.2,Yaw speed.2,CoG Acceleration/X.3,CoG Acceleration/Y.3,CoG position/X.3,CoG position/Y.3,Pitch acceleration.3,Pitch speed.3,Roll acceleration.3,Roll speed.3,Speed/X.3,Speed/Y.3,Tangential speed.3,Yaw acceleration.3,Yaw speed.3,CoG Acceleration/X.4,CoG Acceleration/Y.4,CoG position/X.4,CoG position/Y.4,Pitch acceleration.4,Pitch speed.4,Roll acceleration.4,Roll speed.4,Speed/X.4,Speed/Y.4,Tangential speed.4,Yaw acceleration.4,Yaw speed.4,ExportChannel/1,ExportChannel/3,ExportChannel/4,distance_to_inter_1
277.662,10.9775,0.0261731,4503.38,7.38631,0.000684208,-0.553974,179.979,1308.39,-0.000368244,-0.553867,-173.473,-0.119454,0.000684208,1.70297,0.00114323,-0.00355513,4.70996,0.0113529,10.9771,-0.000285739,4.71021,-180.021,1.87591,0.114059,0.0,0.60548,5.553,0,-1.0,-0.0613325,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0.123736,0,0,0,0,0,0,0,0,0,2.23536e-09,0.377648,5999.48,-607.924,0,7.89597e-10,0,-2.34219e-08,54.0,-0.0339946,54.0,0,1.44251,6.53672e-06,0.0,4893.23,-7.17561,0,0.0,0,0.0,56.4,6.29253e-15,56.4,0,0.0,999.0,2.0,4.0,27.37172842726789
277.678,10.9711,0.0467681,4503.36,7.38627,0.000693875,-0.555263,179.981,1318.06,-0.000215155,-0.555156,-173.415,-0.127882,0.000693875,4.23671,0.00327961,-0.00355816,4.74475,0.0112518,10.9707,0.0207522,4.74501,-180.019,1.82468,0.112503,0.0,0.608771,5.472,0,-1.0,-0.0613402,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0.123736,0,0,0,0,0,0,0,0,0,2.33692e-09,0.377649,5999.68,-608.048,0,7.10952e-10,0,-2.34265e-08,54.0,-0.0339937,54.0,0,1.44251,6.36631e-06,0.0,4893.48,-7.17561,0,0.0,0,0.0,56.4,8.07877e-15,56.4,0,0.0,999.0,2.0,4.0,27.351729251966525
277.694,10.9613,0.0427202,4503.34,7.38622,0.000724496,-0.556684,179.983,1327.86,-9.98671e-05,-0.556577,-172.796,-0.135403,0.000724496,4.29849,0.00306795,-0.00356219,4.78004,0.0111149,10.9609,0.0172333,4.7803,-180.017,1.3716,0.111959,0.0,0.635099,5.391,-6,-1.0,-0.0613471,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0.123736,0,0,0,0,0,0,0,0,0,2.26845e-09,0.377649,5999.88,-608.169,0,7.99837e-10,0,-2.34311e-08,54.0,-0.033992,54.0,0,1.44251,6.21098e-06,0.0,4893.73,-7.17561,0,0.0,0,0.0,56.4,9.67954e-15,56.4,0,0.0,999.0,2.0,4.0,27.33173015102423
277.71,10.9745,0.026789,4503.32,7.38618,0.000763227,-0.558231,179.985,1337.88,0.000302362,-0.558124,-172.731,-0.143571,0.000763227,2.51401,0.00294139,-0.00356635,4.81612,0.0110052,10.9742,0.00171219,4.81638,-180.015,1.20895,0.111574,0.0,0.618644,5.301,-6,-1.0,-0.0613535,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0.123736,0,0,0,0,0,0,0,0,0,2.19997e-09,0.377648,6000.08,-608.291,0,8.88723e-10,0,-2.34357e-08,54.0,-0.0339904,54.0,0,1.44251,6.05566e-06,0.0,4893.97,-7.17561,0,0.0,0,0.0,56.4,1.12803e-14,56.4,0,0.0,999.0,2.0,4.0,27.31173097832474
277.726,10.9497,0.0306699,4503.3,7.38614,0.000808136,-0.559911,179.986,1348.09,-1.86409e-05,-0.559804,-172.457,-0.152213,0.000808136,2.80259,0.00313933,-0.00357097,4.85285,0.0109155,10.9492,0.00604163,4.85311,-180.014,1.585,0.110659,0.0,0.625226,5.211,-6,-1.0,-0.0613593,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0.123736,0,0,0,0,0,0,0,0,0,2.13149e-09,0.377648,6000.29,-608.412,0,9.77609e-10,0,-2.34402e-08,54.0,-0.0339888,54.0,0,1.44251,5.90033e-06,0.0,4894.22,-7.17561,0,0.0,0,0.0,56.4,1.28811e-14,56.4,0,0.0,999.0,2.0,4.0,27.29173180689729
277.742,10.9598,0.0434236,4503.28,7.38609,0.000842305,-0.561729,179.988,1358.46,0.000137704,-0.561621,-172.282,-0.160497,0.000842305,3.7956,0.0028828,-0.00357663,4.89019,0.0108324,10.9594,0.019147,4.89046,-180.012,1.43854,0.109479,0.0,0.628517,5.121,0,-1.0,-0.0613646,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0.123736,0,0,0,0,0,0,0,0,0,1.96484e-09,0.377649,6000.49,-608.538,0,1.2981e-09,0,-2.3445e-08,54.0,-0.0339846,54.0,0,1.44251,5.75162e-06,0.0,4894.48,-7.17561,0,0.0,0,0.0,56.4,2.53454e-15,56.4,0,0.0,999.0,2.0,4.0,27.271732710044027
277.758,10.9527,0.040144,4503.25,7.38605,0.000883859,-0.563708,179.99,1369.02,-0.000120558,-0.563601,-172.388,-0.173111,0.000883859,3.79404,0.00437195,-0.00357952,4.9282,0.0107094,10.9522,0.0163435,4.92847,-180.01,1.2383,0.108483,0.0,0.63839,5.013,-6,-1.0,-0.0613692,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0.123736,0,0,0,0,0,0,0,0,0,1.79302e-09,0.377649,6000.7,-608.664,0,1.63082e-09,0,-2.34497e-08,54.0,-0.0339803,54.0,0,1.44251,5.60326e-06,0.0,4894.73,-7.17561,0,0.0,0,0.0,56.4,-8.44271e-15,56.4,0,0.0,999.0,2.0,4.0,27.241733810506613
277.774,10.914,0.0403326,4503.23,7.38601,0.000930945,-0.565902,179.992,1379.77,0.000654436,-0.565794,-171.168,-0.184713,0.000930945,4.38407,0.00392527,-0.00358388,4.96691,0.010491,10.9135,0.0172808,4.96718,-180.008,2.86596,0.107094,0.0,0.644972,4.905,-6,-1.0,-0.0613733,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0.123736,0,0,0,0,0,0,0,0,0,1.62119e-09,0.377649,6000.91,-608.79,0,1.96354e-09,0,-2.34544e-08,54.0,-0.0339759,54.0,0,1.44251,5.45491e-06,0.0,4894.99,-7.17561,0,0.0,0,0.0,56.4,-1.942e-14,56.4,0,0.0,999.0,2.0,4.0,27.221734643480666
277.79,10.9109,0.0647901,4503.21,7.38596,0.000973378,-0.568254,179.993,1390.72,0.000340222,-0.568146,-170.813,-0.193183,0.000973378,5.91661,0.00264142,-0.00359117,5.00633,0.0104359,10.9105,0.0420463,5.00661,-180.007,0.99802,0.105258,0.0,0.648263,4.788,-6,-1.0,-0.0613767,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0.123736,0,0,0,0,0,0,0,0,0,1.24811e-09,0.37765,6001.11,-608.91,0,1.92507e-09,0,-2.34589e-08,54.0,-0.0339821,54.0,0,1.44252,5.3246e-06,0.0,4895.23,-7.17561,0,0.0,0,0.0,56.4,-1.24018e-14,56.4,0,0.0,999.0,2.0,4.0,27.20173555127689
277.806,10.8777,0.0489425,4503.19,7.38592,0.000972408,-0.570716,179.995,1401.75,0.000658492,-0.570608,-170.107,-0.199137,0.000972408,3.81043,9.90987e-05,-0.00359995,5.04602,0.0103579,10.8773,0.0266142,5.0463,-180.005,0.52848,0.104017,0.0,0.671301,4.662,-6,-1.0,-0.0613797,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0.123736,0,0,0,0,0,0,0,0,0,8.49973e-10,0.37765,6001.31,-609.029,0,1.8404e-09,0,-2.34634e-08,54.0,-0.0339896,54.0,0,1.44252,5.19655e-06,0.0,4895.47,-7.17561,0,0.0,0,0.0,56.4,-3.14343e-15,56.4,0,0.0,999.0,2.0,4.0,27.181736386889956
