ï»¿Time,CoG Acceleration/X,CoG Acceleration/Y,CoG position/X,CoG position/Y,CoG position/Roll,CoG position/Pitch,CoG position/Yaw,Horizontal tangential speed,Over-steering criteria2,Pitch %ground,Pitch acceleration,Pitch speed,Roll %ground,Roll acceleration,Roll speed,Slope force,Speed/X,Speed/Y,Tangent Acceleration/X,Tangent Acceleration/Y,Tangential speed,Yaw %ground,Yaw acceleration,Yaw speed,Brake pedal force,Gas pedal,Steering wheel angle,Steering wheel speed,Intersection Id,Lane gap,CoG Acceleration/X.1,CoG Acceleration/Y.1,CoG position/X.1,CoG position/Y.1,Pitch acceleration.1,Pitch speed.1,Roll acceleration.1,Roll speed.1,Speed/X.1,Speed/Y.1,Tangential speed.1,Yaw acceleration.1,Yaw speed.1,CoG Acceleration/X.2,CoG Acceleration/Y.2,CoG position/X.2,CoG position/Y.2,CoG position/Yaw.1,Pitch acceleration.2,Pitch speed.2,Roll acceleration.2,Roll speed.2,Speed/X.2,Speed/Y.2,Tangential speed.2,Yaw acceleration.2,Yaw speed.2,CoG Acceleration/X.3,CoG Acceleration/Y.3,CoG position/X.3,CoG position/Y.3,Pitch acceleration.3,Pitch speed.3,Roll acceleration.3,Roll speed.3,Speed/X.3,Speed/Y.3,Tangential speed.3,Yaw acceleration.3,Yaw speed.3,CoG Acceleration/X.4,CoG Acceleration/Y.4,CoG position/X.4,CoG position/Y.4,Pitch acceleration.4,Pitch speed.4,Roll acceleration.4,Roll speed.4,Speed/X.4,Speed/Y.4,Tangential speed.4,Yaw acceleration.4,Yaw speed.4,ExportChannel/1,ExportChannel/3,ExportChannel/4,distance_to_inter_2
431.919,9.02273,-0.0143925,1904.37,7.96204,-0.000493746,-0.411208,179.723,1609.98,-0.000179764,-0.411124,-149.377,-0.0202878,-0.000493746,-0.768598,-0.000517494,-0.00280183,5.79579,-0.00213477,9.02248,-0.0110687,5.79594,-180.277,0.385973,-0.0214428,0.0,0.0,-0.873,0,-1.0,0.00715059,0.353237,1.26862,1869.1,1.3451,0,0.0,0,0.0,19.9486,-0.114183,19.9486,0,13.1168,0.0,0.0,1256.09,-0.0966621,0.123736,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,-3.78111e-10,0.377396,6339.96,698.214,0,-4.75863e-12,0,-4.64832e-17,54.0,-0.0339694,54.0,0,1.44155,1.05693e-06,-0.306441,6824.16,-387.811,0,-7.78229e-09,0,-1.48505e-08,48.5,0.0275852,48.5,0,-1.30326,999.0,999.0,1.0,23.34000359814874
431.935,9.03751,-0.00166444,1904.34,7.96218,-0.000488267,-0.410943,179.723,1611.52,0.000784373,-0.410859,-150.322,-0.0221369,-0.000488267,-0.257546,0.00096754,-0.00279994,5.80132,-0.00216188,9.03712,0.00170392,5.80148,-180.277,1.69066,-0.0209236,0.0,0.0,-0.873,0,-1.0,0.00697023,0.350318,1.2858,1869.19,1.36972,0,0.0,0,0.0,19.9689,-0.115728,19.9689,0,13.2809,0.0,0.0,1256.09,-0.0966621,0.123736,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,-3.68084e-10,0.377397,6339.72,698.227,0,-5.52106e-12,0,-5.37658e-17,54.0,-0.0339691,54.0,0,1.44155,1.0482e-06,-0.30644,6824.06,-388.003,0,-8.13069e-09,0,-1.48573e-08,48.5,0.027585,48.5,0,-1.30326,999.0,999.0,1.0,23.310003525362184
431.951,9.02926,-0.0170197,1904.32,7.96231,-0.000496044,-0.410732,179.722,1613.04,-0.000136341,-0.410648,-149.939,-0.026126,-0.000496044,-1.16175,-0.00215984,-0.00279727,5.80678,-0.00210098,9.02891,-0.0137523,5.80693,-180.278,-0.114114,-0.0212982,0.0,0.0,-0.882,0,-1.0,0.00678943,0.347488,1.3029,1869.27,1.39445,0,0.0,0,0.0,19.9887,-0.117265,19.9887,0,13.444,0.0,0.0,1256.09,-0.0966621,0.123736,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,-1.69826e-10,0.377396,6339.48,698.239,0,-8.3755e-12,0,-8.11856e-17,54.0,-0.0339657,54.0,0,1.44155,1.03989e-06,-0.306438,6823.95,-388.191,0,-7.13182e-09,0,-1.48639e-08,48.5,0.027582,48.5,0,-1.30325,999.0,999.0,1.0,23.290003457193784
431.967,8.97757,0.0293322,1904.29,7.96245,-0.000508249,-0.410565,179.722,1614.53,0.000473194,-0.410481,-148.652,-0.0270339,-0.000508249,2.7292,-2.95029e-05,-0.00279587,5.81218,-0.00211299,8.9773,0.0325964,5.81232,-180.278,0.760266,-0.0215426,0.0,0.0,-0.882,0,-1.0,0.00660834,0.344659,1.31999,1869.36,1.41919,0,0.0,0,0.0,20.0084,-0.118802,20.0084,0,13.6071,0.0,0.0,1256.09,-0.0966621,0.123736,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2.84311e-11,0.377395,6339.24,698.252,0,-1.12299e-11,0,-1.08605e-16,54.0,-0.0339622,54.0,0,1.44154,1.03157e-06,-0.306436,6823.84,-388.378,0,-6.13296e-09,0,-1.48705e-08,48.5,0.027579,48.5,0,-1.30324,999.0,999.0,1.0,23.26000338569407
431.983,8.93869,-0.0105283,1904.26,7.96258,-0.000500192,-0.410407,179.722,1616.03,0.000215875,-0.410323,-148.182,-0.0270058,-0.000500192,-0.774736,0.00211018,-0.00279521,5.81755,-0.0022196,8.93841,-0.00711747,5.8177,-180.278,-0.181895,-0.0222579,0.0,0.0,-0.882,0,-1.0,0.00642704,0.341857,1.33788,1869.44,1.4445,0,0.0,0,0.0,20.0279,-0.120411,20.0279,0,13.7781,0.0,0.0,1256.09,-0.0966621,0.123736,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,5.88276e-11,0.377395,6339.0,698.265,0,-1.20116e-11,0,-1.16103e-16,54.0,-0.0339617,54.0,0,1.44154,1.0232e-06,-0.306435,6823.74,-388.566,0,-4.85133e-09,0,-1.48772e-08,48.5,0.027577,48.5,0,-1.30323,999.0,999.0,1.0,23.230003320197802
431.999,8.95423,-0.0334185,1904.24,7.96272,-0.000463945,-0.41024,179.721,1617.54,-0.000259944,-0.410156,-148.406,-0.0264244,-0.000463945,-2.91191,0.0011146,-0.00279462,5.82301,-0.00226924,8.95394,-0.0299286,5.82315,-180.279,0.156139,-0.0215052,0.0,0.0,-0.882,0,-1.0,0.00624551,0.339093,1.35686,1869.53,1.47061,0,0.0,0,0.0,20.0472,-0.122121,20.0472,0,13.9599,0.0,0.0,1256.09,-0.0966621,0.123736,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,-1.41604e-10,0.377399,6338.76,698.277,0,-9.94283e-12,0,-9.62042e-17,54.0,-0.033965,54.0,0,1.44156,1.01476e-06,-0.306436,6823.63,-388.754,0,-3.18088e-09,0,-1.48838e-08,48.5,0.0275766,48.5,0,-1.30323,999.0,999.0,1.0,23.210003248565084
432.015,8.93127,0.0203707,1904.21,7.96285,-0.000430293,-0.410051,179.721,1619.01,0.00013599,-0.409967,-147.789,-0.0240447,-0.000430293,2.0088,0.00188921,-0.0027944,5.8283,-0.00222219,8.93101,0.0237763,5.82845,-180.279,-0.05815,-0.0217004,0.0,0.0,-0.882,0,-1.0,0.00606348,0.336329,1.37584,1869.61,1.49672,0,0.0,0,0.0,20.0665,-0.123831,20.0665,0,14.1417,0.0,0.0,1256.09,-0.0966621,0.123736,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,-3.42035e-10,0.377402,6338.52,698.289,0,-7.8741e-12,0,-7.63057e-17,54.0,-0.0339683,54.0,0,1.44157,1.00631e-06,-0.306436,6823.53,-388.942,0,-1.51042e-09,0,-1.48905e-08,48.5,0.0275761,48.5,0,-1.30324,999.0,999.0,1.0,23.180003184264297
432.031,8.93391,-0.0311064,1904.19,7.96299,-0.000402068,-0.409832,179.721,1620.5,-0.000237814,-0.409748,-147.979,-0.0223762,-0.000402068,-2.43858,0.000788439,-0.00279423,5.83366,-0.00222969,8.93365,-0.0276914,5.83381,-180.279,-0.137999,-0.0217871,0.0,0.0,-0.882,0,-1.0,0.00588109,0.333587,1.39437,1869.7,1.52322,0,0.0,0,0.0,20.0856,-0.1255,20.0856,0,14.3187,0.0,0.0,1256.09,-0.0966621,0.123736,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,-4.23874e-10,0.377404,6338.28,698.302,0,-5.77937e-12,0,-5.61248e-17,54.0,-0.0339706,54.0,0,1.44158,9.97964e-07,-0.306437,6823.42,-389.13,0,3.29383e-11,0,-1.48971e-08,48.5,0.0275758,48.5,0,-1.30324,999.0,999.0,1.0,23.160003113991667
432.047,8.90998,-0.0202821,1904.16,7.96313,-0.000385002,-0.409586,179.72,1621.98,0.00020162,-0.409502,-147.446,-0.0211856,-0.000385002,-1.59765,0.000658908,-0.0027938,5.83897,-0.00220096,8.90975,-0.0169233,5.83912,-180.28,0.615607,-0.0216537,0.0,0.0,-0.882,0,-1.0,0.00569836,0.330896,1.41183,1869.79,1.55064,0,0.0,0,0.0,20.1043,-0.127071,20.1043,0,14.4842,0.0,0.0,1256.09,-0.0966621,0.123736,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,-2.27787e-10,0.377403,6338.04,698.314,0,-3.62371e-12,0,-3.52817e-17,54.0,-0.0339709,54.0,0,1.44157,9.89856e-07,-0.306438,6823.31,-389.318,0,1.27845e-09,0,-1.49037e-08,48.5,0.0275757,48.5,0,-1.30325,999.0,999.0,1.0,23.130003045760827
432.063,8.85366,0.0147777,1904.13,7.96326,-0.000376244,-0.409333,179.72,1623.41,5.41486e-05,-0.409249,-146.981,-0.0212472,-0.000376244,1.98092,0.00178334,-0.00279254,5.84414,-0.00218347,8.85331,0.0180859,5.84429,-180.28,-0.72575,-0.0225278,0.0,0.0,-0.882,0,-1.0,0.00551532,0.328205,1.4293,1869.87,1.57807,0,0.0,0,0.0,20.1231,-0.128642,20.1231,0,14.6498,0.0,0.0,1256.09,-0.0966621,0.123736,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,-3.17006e-11,0.377401,6337.8,698.326,0,-1.46805e-12,0,-1.44387e-17,54.0,-0.0339711,54.0,0,1.44157,9.81748e-07,-0.30644,6823.21,-389.505,0,2.52396e-09,0,-1.49103e-08,48.5,0.0275757,48.5,0,-1.30325,999.0,999.0,1.0,23.10000298328133
