Type,Timestamp,Data Accelerometer X,Data Accelerometer Y,Data Accelerometer Z,Data Gyroscope X,Data Gyroscope Y,Data Gyroscope Z,Data Magnetometer X,Data Magnetometer Y,Data Magnetometer Z
imu,123.740982,-0.05802082160000001,-9.483712644000002,2.7114266424,0.620691,1.62197946,-2.46456842,,,
imu,123.74946,-0.05981528000000001,-9.465169907200002,2.6892949888,0.76275229,1.47991817,-2.2253073,,,
imu,123.757937,-0.0741709472,-9.456197615200002,2.6719485576,1.10669015,1.45748744,-2.14306129,,,
imu,123.766415,-0.1082656568,-9.440047489600001,2.6516113624,1.52539711,1.39767216,-2.24773803,,,
imu,123.774892,-0.1058730456,-9.444832712,2.6504150568,1.99644244,1.38271834,-2.14306129,,,
imu,123.783555,-0.116639796,-9.454403156800002,2.638452000800001,2.28804193,1.3528107,-2.24773803,,,
imu,123.792032,-0.1160416432,-9.4908904776,2.6312741672,2.6394567,1.39767216,-2.43466078,,,
imu,123.80051,-0.1202287128,-9.527377798400002,2.6420409176,2.72170271,1.24813396,-2.57672207,,,
imu,123.808987,-0.1238176296,-9.5776226336,2.634863084,2.54973378,1.21822632,-2.70382954,,,
imu,123.817465,-0.1160416432,-9.608128426400002,2.634863084,2.40019558,1.18831868,-2.62906044,,,
imu,123.825943,-0.1088638096,-9.631456385600002,2.613329583200001,2.12354991,1.15841104,-2.65896808,,,
imu,123.83442,-0.0980970592,-9.633250844,2.6211055696,1.83942733,1.00139593,-2.6739219,,,
imu,123.842898,-0.09749890640000002,-9.6051376624,2.6306760144,1.52539711,0.8518577299999999,-2.47952224,,,
imu,123.851375,-0.1034804344,-9.584800467200001,2.6294797088,1.31604363,0.8219500899999996,-2.20287657,,,
imu,123.859853,-0.08972292000000001,-9.585996772800002,2.6264889448,1.17398234,0.8144731799999998,-2.06081528,,,
imu,123.86833,-0.03648732080000001,-9.568650341600001,2.641442764800001,1.16650543,0.80699627,-2.03838455,,,
imu,123.876808,-0.04486146000000001,-9.566257730400002,2.648022445600001,1.20388998,0.58268897,-2.0757691,,,
imu,123.885285,-0.107667504,-9.559678049600002,2.6773319328,1.39828964,0.3284740299999998,-2.49447606,,,
imu,123.893763,-0.1028822816,-9.551303910400001,2.67673378,1.56278166,0.3957662200000001,-2.80850628,,,
imu,123.90224,-0.080750628,-9.5698466472,2.658789196,1.84690424,0.4555814999999996,-2.75616791,,,
imu,123.910718,-0.08374139200000001,-9.5812115504,2.6534058208,1.68241222,0.3434278499999999,-2.8234601,,,
imu,123.919195,-0.1010878232,-9.568650341600001,2.6599855016,1.63007385,0.3135202100000001,-3.00290594,,,
imu,123.927673,-0.09929336480000002,-9.562070660800002,2.6653688768,1.76465823,0.3808123999999999,-2.88327538,,,
imu,123.93615,-0.0855358504,-9.568052188800001,2.671350404800001,1.62259694,0.3808123999999999,-2.71878336,,,
imu,123.944613,-0.05802082160000001,-9.5656595776,2.668957793600001,1.49548947,0.4705353199999998,-2.58419898,,,
imu,123.953075,-0.0382817792,-9.554892827200002,2.671350404800001,1.26370526,0.5079198699999998,-2.38979932,,,
imu,123.961537,-0.007177833600000002,-9.496872005600002,2.6803226968,1.16650543,0.5453044199999999,-2.39727623,,,
imu,123.969999,0.0131593616,-9.496872005600002,2.6683596408,1.15155161,0.4256738599999998,-2.48699915,,,
imu,123.978462,0.0203371952,-9.503451686400002,2.6629762656,1.12912088,0.2013665599999999,-2.63653735,,,
imu,123.986924,0.0281131816,-9.481320032800001,2.6599855016,1.10669015,-0.0603252900000002,-3.17487487,,,
imu,123.995386,0.0317020984,-9.489096019200002,2.655798432,1.0693056,-0.3070633200000001,-3.50385891,,,
imu,124.003849,0.0185427368,-9.499862769600002,2.659387348800001,1.37585891,-0.5164168,-3.72816621,,,
imu,124.012311,0.0065796808,-9.5429297712,2.643835376000001,1.77213514,-0.5612782599999999,-3.84779677,,,
imu,124.020773,-0.008972292000000002,-9.584800467200001,2.6450316816,1.71231986,-0.71829337,-3.95995042,,,
imu,124.029235,-0.0173464312,-9.596763523200002,2.6312741672,1.76465823,-0.8753084800000002,-3.98985806,,,
imu,124.037698,-0.0352910152,-9.614708107200002,2.6264889448,2.00391935,-0.90521612,-3.85527368,,,
imu,124.04616,-0.05084298800000001,-9.635045302400002,2.6234981808,1.82447351,-1.03232359,-3.7206893,,,
imu,124.054622,-0.0663949608,-9.6290637744,2.625890792,1.51044329,-1.12204651,-3.83284295,,,
imu,124.063084,-0.101685976,-9.616502565600001,2.6264889448,1.24127453,-1.36878454,-4.02724261,,,
imu,124.071547,-0.1603049504,-9.535153784800002,2.634863084,0.9197674,-1.63047639,-4.244073,,,
imu,124.080009,-0.0137575144,-9.638036066400002,2.6055535968,0.8674290299999999,-1.72019931,-4.25154991,,,
imu,124.088471,-0.1483418944,-9.582407856000001,2.6282834032,0.8674290299999999,-1.53327656,-4.00481188,,,
imu,124.096934,-0.1477437416,-9.627269316000001,2.6396483064,0.68798319,-1.52579965,-3.80293531,,,
imu,124.105396,-0.1507345056,-9.633848996800001,2.6324704728,0.67302937,-1.4884151,-3.9449966,,,
imu,124.113858,-0.1716698536,-9.625474857600002,2.6234981808,0.7104139199999999,-1.36878454,-4.057150249999999,,,
imu,124.12232,-0.203371952,-9.602745051200001,2.6270870976,0.71789083,-1.30896926,-4.02724261,,,
