Time,CoG Acceleration/X,CoG Acceleration/Y,CoG position/X,CoG position/Y,CoG position/Roll,CoG position/Pitch,CoG position/Yaw,Horizontal tangential speed,Over-steering criteria2,Pitch %ground,Pitch acceleration,Pitch speed,Roll %ground,Roll acceleration,Roll speed,Slope force,Speed/X,Speed/Y,Tangent Acceleration/X,Tangent Acceleration/Y,Tangential speed,Yaw %ground,Yaw acceleration,Yaw speed,Brake pedal force,Gas pedal,Steering wheel angle,Steering wheel speed,Intersection Id,Lane gap,CoG Acceleration/X.1,CoG Acceleration/Y.1,CoG position/X.1,CoG position/Y.1,Pitch acceleration.1,Pitch speed.1,Roll acceleration.1,Roll speed.1,Speed/X.1,Speed/Y.1,Tangential speed.1,Yaw acceleration.1,Yaw speed.1,CoG Acceleration/X.2,CoG Acceleration/Y.2,CoG position/X.2,CoG position/Y.2,Pitch acceleration.2,Pitch speed.2,Roll acceleration.2,Roll speed.2,Speed/X.2,Speed/Y.2,Tangential speed.2,Yaw acceleration.2,Yaw speed.2,CoG Acceleration/X.3,CoG Acceleration/Y.3,CoG position/X.3,CoG position/Y.3,Pitch acceleration.3,Pitch speed.3,Roll acceleration.3,Roll speed.3,Speed/X.3,Speed/Y.3,Tangential speed.3,Yaw acceleration.3,Yaw speed.3,CoG Acceleration/X.4,CoG Acceleration/Y.4,CoG position/X.4,CoG position/Y.4,Pitch acceleration.4,Pitch speed.4,Roll acceleration.4,Roll speed.4,Speed/X.4,Speed/Y.4,Tangential speed.4,Yaw acceleration.4,Yaw speed.4,ExportChannel/1,ExportChannel/4,ExportChannel/3,distance_to_inter_2
370.014,9.18456,0.0110683,1899.18,7.84873,-0.000469675,-0.417939,179.625,1607.64,-0.000343136,-0.417854,-151.301,-0.0585347,-0.000469675,-0.278319,-0.000504497,-0.00282733,5.78734,-0.00240095,9.18427,0.014879,5.78749,-180.375,-1.20586,-0.0250128,0.0,0.240172,-1.017,0,-1.0,0.111919,0.103618,2.28009,1878.88,10.4473,0,0,0,0,21.689,-0.205222,21.689,0,21.6827,0,0,1256.09,-0.0966621,0,0,0,0,0,0,0,0,0,0.00304636,0.377096,6894.77,208.745,0,-8.12e-12,0,-8.58e-17,53.9788,-0.0339413,53.9788,0,1.44097,3.07e-05,0.0,6650.71,-7.92773,0,-1.62e-16,0,-1.93e-16,58.1998,-1.58e-14,58.1998,0,0.0,999.0,1.0,999.0,18.150439226445826
370.03,9.17199,-0.0227288,1899.16,7.84891,-0.000500936,-0.418283,179.624,1609.96,-3.54e-06,-0.418198,-150.667,-0.0592383,-0.000500936,-1.81033,-0.00231978,-0.00282899,5.7957,-0.00244491,9.17179,-0.0188593,5.79586,-180.376,-1.68246,-0.0258076,0.0,0.246754,-1.017,0,-1.0,0.111695,0.102785,2.26377,1878.91,10.5369,0,0,0,0,21.6948,-0.20378,21.6948,0,21.5217,0,0,1256.09,-0.0966621,0,0,0,0,0,0,0,0,0,0.00302196,0.377097,6894.73,208.976,0,-9.02e-12,0,-9.5e-17,53.9789,-0.0339449,53.9789,0,1.44097,3.05e-05,0.0,6650.96,-7.92741,0,-1.64e-16,0,-1.88e-16,58.1998,-1.73e-14,58.1998,0,0.0,999.0,1.0,999.0,18.130438458242093
370.046,9.12692,-0.0109222,1899.13,7.84909,-0.000514875,-0.418622,179.624,1612.3,0.00018635,-0.418537,-150.074,-0.0585327,-0.000514875,-0.37293,-0.000477931,-0.00283132,5.80414,-0.00250862,9.12668,-0.00697704,5.8043,-180.376,-0.800438,-0.026007,0.0,0.256627,-1.026,0,-1.0,0.11147,0.101955,2.24689,1878.94,10.6283,0,0,0,0,21.7006,-0.202246,21.7006,0,21.3556,0,0,1256.09,-0.0966621,0,0,0,0,0,0,0,0,0,0.00299764,0.3771,6894.69,209.211,0,-8.51e-12,0,-8.97e-17,53.9791,-0.0339433,53.9791,0,1.44097,3.02e-05,0.0,6651.22,-7.92709,0,-1.67e-16,0,-1.83e-16,58.1998,-4.15e-15,58.1998,0,0.0,999.0,1.0,999.0,18.100437931942558
370.062,9.08673,-0.00171175,1899.11,7.84927,-0.000516928,-0.418963,179.624,1614.69,-3.88e-05,-0.418878,-149.401,-0.0587045,-0.000516928,-0.616749,-0.000694302,-0.00283311,5.81271,-0.0025002,9.08648,0.0021971,5.81287,-180.376,0.0950131,-0.0251439,0.0,0.259919,-1.035,0,-1.0,0.111245,0.101126,2.22981,1878.97,10.7204,0,0,0,0,21.7064,-0.200681,21.7064,0,21.1877,0,0,1256.09,-0.0966621,0,0,0,0,0,0,0,0,0,0.00297335,0.377103,6894.64,209.447,0,-7.52e-12,0,-7.94e-17,53.9793,-0.0339399,53.9793,0,1.44098,3e-05,0.0,6651.48,-7.92676,0,-1.69e-16,0,-1.78e-16,58.1998,1.4e-14,58.1998,0,0.0,999.0,1.0,999.0,18.080437163766184
370.078,9.09423,0.00682788,1899.08,7.84945,-0.000538591,-0.419301,179.623,1617.13,-0.000302804,-0.419216,-149.45,-0.0584611,-0.000538591,0.0446932,-0.00150006,-0.00283505,5.82152,-0.002458,9.09397,0.0106681,5.82167,-180.377,-1.23851,-0.0259725,0.0,0.266501,-1.044,0,-1.0,0.111019,0.100297,2.21274,1879.0,10.8125,0,0,0,0,21.7121,-0.199115,21.7121,0,21.0198,0,0,1256.09,-0.0966621,0,0,0,0,0,0,0,0,0,0.00294906,0.377106,6894.6,209.683,0,-6.53e-12,0,-6.91e-17,53.9794,-0.0339365,53.9794,0,1.44099,2.97e-05,0.0,6651.74,-7.92644,0,-1.72e-16,0,-1.73e-16,58.1998,3.21e-14,58.1998,0,0.0,999.0,1.0,999.0,18.05043663744726
370.094,9.02051,0.000675022,1899.06,7.84963,-0.000576428,-0.419638,179.623,1619.58,0.000320071,-0.419553,-148.214,-0.0583341,-0.000576428,-0.349146,-0.00237615,-0.00283673,5.83033,-0.00252668,9.02024,0.0045847,5.83049,-180.377,-1.21358,-0.0264472,0.0,0.273083,-1.062,0,-1.0,0.110792,0.0994807,2.19544,1879.03,10.9049,0,0,0,0,21.7178,-0.197579,21.7178,0,20.8501,0,0,1256.09,-0.0966621,0,0,0,0,0,0,0,0,0,0.00292514,0.377108,6894.56,209.919,0,-6.82e-12,0,-7.2e-17,53.9796,-0.03394,53.9796,0,1.44099,2.95e-05,0.0,6652.0,-7.92612,0,-1.74e-16,0,-1.67e-16,58.1998,3.83e-14,58.1998,0,0.0,999.0,1.0,999.0,18.030435869298863
370.11,9.07566,-0.0112549,1899.03,7.84981,-0.000607883,-0.419986,179.622,1622.13,-0.000327227,-0.419901,-149.375,-0.059848,-0.000607883,-0.135669,-0.0014129,-0.00283823,5.83952,-0.00262143,9.07533,-0.00718016,5.83968,-180.378,-0.441046,-0.0270556,0.0,0.292829,-1.071,0,-1.0,0.110565,0.0986721,2.17801,1879.06,10.9976,0,0,0,0,21.7235,-0.196061,21.7235,0,20.6793,0,0,1256.09,-0.0966621,0,0,0,0,0,0,0,0,0,0.00290145,0.37711,6894.52,210.156,0,-7.9e-12,0,-8.31e-17,53.9798,-0.0339477,53.9798,0,1.44099,2.92e-05,0.0,6652.25,-7.9258,0,-1.77e-16,0,-1.62e-16,58.1998,3.73e-14,58.1998,0,0.0,999.0,1.0,999.0,18.000435342960458
370.126,9.00839,-0.00239721,1899.0,7.85,-0.000609035,-0.420396,179.622,1624.71,0.000577904,-0.42031,-148.23,-0.0652596,-0.000609035,-0.894131,-0.000191888,-0.00283799,5.84881,-0.00265718,9.00807,0.00169597,5.84897,-180.378,0.691587,-0.0264692,0.0,0.292829,-1.089,0,-1.0,0.110338,0.0978634,2.16059,1879.09,11.0903,0,0,0,0,21.7291,-0.194544,21.7291,0,20.5085,0,0,1256.09,-0.0966621,0,0,0,0,0,0,0,0,0,0.00287776,0.377111,6894.47,210.392,0,-8.99e-12,0,-9.41e-17,53.9799,-0.0339554,53.9799,0,1.44099,2.9e-05,0.0,6652.51,-7.92547,0,-1.79e-16,0,-1.56e-16,58.1998,3.62e-14,58.1998,0,0.0,999.0,1.0,999.0,17.970434747106175
370.142,8.94462,0.00916495,1898.98,7.85018,-0.00062118,-0.420883,179.621,1627.36,-0.000405098,-0.420798,-147.011,-0.0693285,-0.00062118,1.24095,-0.000323023,-0.00283907,5.85834,-0.00268378,8.94433,0.0132631,5.85849,-180.379,-0.605799,-0.0276858,0.0,0.292829,-1.116,-6,-1.0,0.11011,0.0970729,2.14344,1879.12,11.1823,0,0,0,0,21.7346,-0.192989,21.7346,0,20.3406,0,0,1256.09,-0.0966621,0,0,0,0,0,0,0,0,0,0.0028546,0.377113,6894.43,210.626,0,-1.01e-11,0,-1.06e-16,53.9801,-0.0339527,53.9801,0,1.441,2.88e-05,0.0,6652.77,-7.92515,0,-1.82e-16,0,-1.51e-16,58.1998,3.25e-14,58.1998,0,0.0,999.0,1.0,999.0,17.950433978943284
370.158,8.94615,-0.0153064,1898.95,7.85036,-0.000632041,-0.421438,179.621,1630.09,0.000339436,-0.421352,-146.814,-0.072669,-0.000632041,-1.68897,-0.000745353,-0.00284087,5.86815,-0.00274362,8.94591,-0.0111232,5.86831,-180.379,-1.43565,-0.028512,0.0,0.302702,-1.134,0,-1.0,0.109881,0.0963005,2.12658,1879.15,11.2735,0,0,0,0,21.74,-0.191397,21.74,0,20.1757,0,0,1256.09,-0.0966621,0,0,0,0,0,0,0,0,0,0.00283197,0.377116,6894.39,210.857,0,-1.14e-11,0,-1.19e-16,53.9803,-0.0339396,53.9803,0,1.441,2.85e-05,0.0,6653.02,-7.92484,0,-1.85e-16,0,-1.45e-16,58.1998,2.61e-14,58.1998,0,0.0,999.0,1.0,999.0,17.920433452614994
