ï»¿Time,CoG Acceleration/X,CoG Acceleration/Y,CoG position/X,CoG position/Y,CoG position/Roll,CoG position/Pitch,CoG position/Yaw,Horizontal tangential speed,Over-steering criteria2,Pitch %ground,Pitch acceleration,Pitch speed,Roll %ground,Roll acceleration,Roll speed,Slope force,Speed/X,Speed/Y,Tangent Acceleration/X,Tangent Acceleration/Y,Tangential speed,Yaw %ground,Yaw acceleration,Yaw speed,Brake pedal force,Gas pedal,Steering wheel angle,Steering wheel speed,Intersection Id,Lane gap,CoG Acceleration/X.1,CoG Acceleration/Y.1,CoG position/X.1,CoG position/Y.1,Pitch acceleration.1,Pitch speed.1,Roll acceleration.1,Roll speed.1,Speed/X.1,Speed/Y.1,Tangential speed.1,Yaw acceleration.1,Yaw speed.1,CoG Acceleration/X.2,CoG Acceleration/Y.2,CoG position/X.2,CoG position/Y.2,Pitch acceleration.2,Pitch speed.2,Roll acceleration.2,Roll speed.2,Speed/X.2,Speed/Y.2,Tangential speed.2,Yaw acceleration.2,Yaw speed.2,CoG Acceleration/X.3,CoG Acceleration/Y.3,CoG position/X.3,CoG position/Y.3,Pitch acceleration.3,Pitch speed.3,Roll acceleration.3,Roll speed.3,Speed/X.3,Speed/Y.3,Tangential speed.3,Yaw acceleration.3,Yaw speed.3,CoG Acceleration/X.4,CoG Acceleration/Y.4,CoG position/X.4,CoG position/Y.4,Pitch acceleration.4,Pitch speed.4,Roll acceleration.4,Roll speed.4,Speed/X.4,Speed/Y.4,Tangential speed.4,Yaw acceleration.4,Yaw speed.4,ExportChannel/1,ExportChannel/4,ExportChannel/3,Unnamed: 86,distance_to_inter_0,distance_to_inter_1,distance_to_inter_2,distance_to_inter_3
525.005,10.9857,0.00154666,1300.1,7.29424,-1.72081e-07,-0.585229,179.799,994.455,-0.000130798,-0.585116,-175.579,0.0533781,-6.19492e-05,0.626803,0.000192139,-0.00374296,3.57983,-0.000413266,10.9851,0.00281486,3.58004,-180.201,-0.351348,-0.0049172,0.0,0.305993,-0.27,0,-1.0,-0.0495334,0.00596475,-1.37295,2385.08,-16.264,0,8.26338e-21,0,-6.353399999999999e-22,17.0326,0.123571,17.0326,0,-16.6258,-0.325972,0.0,1286.53,-45.5453,0,0,0,0,7.54636,2.71612e-12,7.54636,0,0.0,-0.0291138,0.054117,5711.48,-16.6168,0,-2.22409e-12,0,2.53347e-09,40.703,-0.00487001,40.703,0,0.274241,-5.78113e-10,-0.306431,5986.9,-595.964,0,5.44169e-09,0,-2.10882e-08,13472.2,0.0275758,48.5,0,-1.30322,999.0,2.0,1.0,,3976.5300057174595,3175.9090134015014,580.9303988725136,15.551423970093492
525.021,11.0104,-0.015312,1300.08,7.2943,-1.33585e-07,-0.583642,179.799,1002.13,-0.00039608,-0.58353,-176.206,0.0559683,-4.80906e-05,-2.06782,6.92543e-06,-0.00373326,3.60747,-0.000420434,11.0098,-0.0140289,3.60768,-180.201,-0.189555,-0.00385447,0.0,0.319158,-0.27,0,-1.0,-0.0496049,0.00591303,-1.35054,2385.08,-16.341,0,7.89308e-21,0,-6.06869e-22,17.033,0.121561,17.033,0,-16.3541,-0.324251,0.0,1286.53,-45.5115,0,0,0,0,7.52763,3.51008e-12,7.52763,0,0.0,-0.0288753,0.0556,5711.48,-16.8003,0,-2.12443e-12,0,2.41994e-09,40.7014,-0.00500421,40.7014,0,0.281768,-5.30342e-10,-0.306433,5986.71,-595.846,0,5.87728e-09,0,-2.10843e-08,13472.2,0.0275779,48.5,0,-1.30322,999.0,2.0,1.0,,3976.5500057206486,3175.9290133959057,580.9503987884766,15.531447192389992
525.037,10.9888,-0.0100937,1300.07,7.29435,-1.08128e-07,-0.58203,179.799,1009.7,-8.13593e-05,-0.581918,-175.803,0.0577671,-3.8926e-05,-1.35354,0.000239826,-0.00372309,3.63471,-0.000413084,10.9882,-0.0088449,3.63492,-180.201,-0.494074,-0.00397081,0.0,0.315867,-0.27,0,-1.0,-0.049677,0.0058612,-1.32799,2385.08,-16.4186,0,7.529409999999999e-21,0,-5.78907e-22,17.0333,0.119536,17.0333,0,-16.0807,-0.322137,0.0,1286.53,-45.4775,0,0,0,0,7.50883,4.52568e-12,7.50883,0,0.0,-0.0286362,0.0569737,5711.48,-16.985,0,-2.02654e-12,0,2.30844e-09,40.6997,-0.00512881,40.6997,0,0.288741,-4.32205e-10,-0.306435,5986.53,-595.726,0,6.10493e-09,0,-2.10803e-08,13472.2,0.0275802,48.5,0,-1.30323,999.0,2.0,1.0,,3976.560005723317,3175.9390133912716,580.9603987230305,15.521457799527056
525.053,11.053,0.0103182,1300.05,7.29441,-9.06905e-08,-0.580385,179.799,1017.23,-0.000100569,-0.580273,-176.828,0.0597918,-3.26486e-05,0.774848,0.000607835,-0.00371316,3.66183,-0.000438308,11.0524,0.0116411,3.66204,-180.201,-0.69623,-0.00448506,0.0,0.32574,-0.27,0,-1.0,-0.0497498,0.00580937,-1.30544,2385.08,-16.4962,0,7.165729999999999e-21,0,-5.50946e-22,17.0337,0.117512,17.0337,0,-15.8073,-0.320023,0.0,1286.53,-45.4436,0,0,0,0,7.49003,5.54129e-12,7.49003,0,0.0,-0.0283971,0.0583473,5711.48,-17.1698,0,-1.92866e-12,0,2.19694e-09,40.698,-0.00525341,40.698,0,0.295715,-3.34067e-10,-0.306436,5986.34,-595.607,0,6.33257e-09,0,-2.10764e-08,13472.2,0.0275825,48.5,0,-1.30324,999.0,2.0,1.0,,3976.5800057265074,3175.9590133856773,580.9803986390144,15.501481110787442
525.069,11.0269,0.000434439,1300.03,7.29447,-7.85082e-08,-0.578689,179.799,1024.64,0.000153613,-0.578578,-176.674,0.0631236,-2.8263e-05,-0.407352,0.000403433,-0.00370337,3.68851,-0.000443006,11.0263,0.00175873,3.68872,-180.201,-0.294791,-0.00390848,0.0,0.332322,-0.27,0,-1.0,-0.0498233,0.0057595,-1.28339,2385.08,-16.5724,0,6.84555e-21,0,-5.26328e-22,17.034,0.115517,17.034,0,-15.5401,-0.319831,0.0,1286.53,-45.4103,0,0,0,0,7.47149,4.46987e-12,7.47149,0,0.0,-0.0281665,0.0592296,5711.48,-17.3514,0,-1.84248e-12,0,2.09878e-09,40.6964,-0.00533237,40.6964,0,0.300198,-1.57875e-10,-0.306437,5986.16,-595.49,0,6.48299e-09,0,-2.10725e-08,13472.2,0.0275802,48.5,0,-1.30324,999.0,2.0,1.0,,3976.600005729699,3175.9790133800857,581.0003985550104,15.481504482475222
525.085,11.0308,-0.0124606,1300.02,7.29453,-5.29464e-08,-0.576967,179.799,1032.0,-0.000901166,-0.576856,-177.263,0.0622406,-1.90607e-05,-2.06478,0.00144376,-0.003692,3.71498,-0.000358792,11.0301,-0.0113953,3.71519,-180.201,1.22424,-0.00393087,0.0,0.335613,-0.27,0,-1.0,-0.049897,0.00571019,-1.26149,2385.08,-16.6483,0,6.5380199999999995e-21,0,-5.02683e-22,17.0344,0.113531,17.0344,0,-15.2747,-0.320197,0.0,1286.53,-45.3774,0,0,0,0,7.45303,2.7912e-12,7.45303,0,0.0,-0.0279384,0.0599689,5711.48,-17.5322,0,-1.75971e-12,0,2.00449e-09,40.6948,-0.00539804,40.6948,0,0.303957,4.10295e-11,-0.306438,5985.98,-595.373,0,6.61093e-09,0,-2.10687e-08,13472.2,0.0275765,48.5,0,-1.30324,999.0,2.0,1.0,,3976.610005732906,3175.989013374536,581.0103984778766,15.471514646630455
525.101,10.9754,0.0280284,1300.0,7.29459,-7.72398e-09,-0.575296,179.799,1039.21,-7.56764e-05,-0.575185,-176.236,0.0581883,-2.78063e-06,2.93018,0.0019256,-0.00367911,3.74097,-0.000481852,10.9747,0.0294419,3.74116,-180.201,1.71264,-0.0043318,0.0,0.338904,-0.27,0,-1.0,-0.0499712,0.00566088,-1.2396,2385.08,-16.7242,0,6.23049e-21,0,-4.79038e-22,17.0347,0.111545,17.0347,0,-15.0092,-0.320564,0.0,1286.53,-45.3444,0,0,0,0,7.43457,1.11252e-12,7.43457,0,0.0,-0.0277103,0.0607082,5711.48,-17.7129,0,-1.67694e-12,0,1.91021e-09,40.6932,-0.00546371,40.6932,0,0.307716,2.39934e-10,-0.306439,5985.8,-595.256,0,6.73887e-09,0,-2.10648e-08,13472.2,0.0275728,48.5,0,-1.30325,999.0,2.0,1.0,,3976.630005736099,3176.0090133689464,581.0303983938948,15.451538107518656
525.117,11.0332,0.00257556,1299.98,7.29465,-7.65544e-09,-0.573679,179.799,1046.37,-0.00052061,-0.573569,-177.05,0.0567414,-2.75596e-06,-1.29714,-0.000134863,-0.00366802,3.76674,-0.000377918,11.0326,0.00368241,3.76693,-180.201,-2.94987,-0.00393407,0.0,0.342195,-0.27,0,-1.0,-0.0500463,0.00561245,-1.21795,2385.08,-16.8001,0,5.94983e-21,0,-4.5746e-22,17.0351,0.109609,17.0351,0,-14.7468,-0.319449,0.0,1286.53,-45.3115,0,0,0,0,7.41632,1.1831e-12,7.41632,0,0.0,-0.0274858,0.0611292,5711.48,-17.8937,0,-1.6014e-12,0,1.82416e-09,40.6917,-0.00550234,40.6917,0,0.309862,1.48106e-10,-0.306439,5985.62,-595.139,0,6.27018e-09,0,-2.10609e-08,13472.2,0.0275766,48.5,0,-1.30325,999.0,2.0,1.0,,3976.6500057392936,3176.0290133633575,581.050398309925,15.431561629417217
525.133,11.0372,0.015808,1299.97,7.29471,-3.29893e-08,-0.572056,179.799,1053.46,-2.96677e-05,-0.571946,-176.762,0.058478,-1.18762e-05,1.14258,-0.000800612,-0.00365852,3.79226,-0.000378029,11.0367,0.0169081,3.79245,-180.201,0.896133,-0.00356537,0.0,0.345486,-0.27,0,-1.0,-0.0501218,0.00556449,-1.19643,2385.08,-16.8761,0,5.68377e-21,0,-4.37003e-22,17.0354,0.1077,17.0354,0,-14.486,-0.31753,0.0,1286.53,-45.2787,0,0,0,0,7.39819,2.2034e-12,7.39819,0,0.0,-0.0272634,0.0613773,5711.48,-18.0747,0,-1.52979e-12,0,1.74259e-09,40.6901,-0.00552628,40.6901,0,0.311132,-1.01568e-10,-0.30644,5985.44,-595.021,0,5.47757e-09,0,-2.1057e-08,13472.2,0.0275843,48.5,0,-1.30325,999.0,2.0,1.0,,3976.6600057425026,3176.0390133578117,581.0603982328206,15.421571864245943
525.149,11.0546,-0.00881048,1299.95,7.29477,-1.32475e-07,-0.570392,179.799,1060.47,0.000161169,-0.570283,-177.859,0.0605736,-4.76911e-05,-0.730569,-0.00297419,-0.0036492,3.81749,-0.000377977,11.0539,-0.00771596,3.81768,-180.201,-1.18175,-0.00517315,0.0,0.348777,-0.27,0,-1.0,-0.0501978,0.00551654,-1.17491,2385.08,-16.952,0,5.4176999999999995e-21,0,-4.16546e-22,17.0357,0.10579,17.0357,0,-14.2252,-0.31561,0.0,1286.53,-45.246,0,0,0,0,7.38005,3.22369e-12,7.38005,0,0.0,-0.0270409,0.0616255,5711.48,-18.2556,0,-1.45818e-12,0,1.66101e-09,40.6886,-0.00555023,40.6886,0,0.312402,-3.51242e-10,-0.30644,5985.26,-594.904,0,4.68496e-09,0,-2.10531e-08,13472.2,0.027592,48.5,0,-1.30325,999.0,2.0,1.0,,3976.6800057456994,3176.059013352226,581.0803981488731,15.40159547621293
