ï»¿Time,CoG Acceleration/X,CoG Acceleration/Y,CoG position/X,CoG position/Y,CoG position/Roll,CoG position/Pitch,CoG position/Yaw,Horizontal tangential speed,Over-steering criteria2,Pitch %ground,Pitch acceleration,Pitch speed,Roll %ground,Roll acceleration,Roll speed,Slope force,Speed/X,Speed/Y,Tangent Acceleration/X,Tangent Acceleration/Y,Tangential speed,Yaw %ground,Yaw acceleration,Yaw speed,Brake pedal force,Gas pedal,Steering wheel angle,Steering wheel speed,Intersection Id,Lane gap,CoG Acceleration/X.1,CoG Acceleration/Y.1,CoG position/X.1,CoG position/Y.1,Pitch acceleration.1,Pitch speed.1,Roll acceleration.1,Roll speed.1,Speed/X.1,Speed/Y.1,Tangential speed.1,Yaw acceleration.1,Yaw speed.1,CoG Acceleration/X.2,CoG Acceleration/Y.2,CoG position/X.2,CoG position/Y.2,Pitch acceleration.2,Pitch speed.2,Roll acceleration.2,Roll speed.2,Speed/X.2,Speed/Y.2,Tangential speed.2,Yaw acceleration.2,Yaw speed.2,CoG Acceleration/X.3,CoG Acceleration/Y.3,CoG position/X.3,CoG position/Y.3,Pitch acceleration.3,Pitch speed.3,Roll acceleration.3,Roll speed.3,Speed/X.3,Speed/Y.3,Tangential speed.3,Yaw acceleration.3,Yaw speed.3,CoG Acceleration/X.4,CoG Acceleration/Y.4,CoG position/X.4,CoG position/Y.4,Pitch acceleration.4,Pitch speed.4,Roll acceleration.4,Roll speed.4,Speed/X.4,Speed/Y.4,Tangential speed.4,Yaw acceleration.4,Yaw speed.4,ExportChannel/1,ExportChannel/4,ExportChannel/3,Unnamed: 86,distance_to_inter_0
208.51,-1.79848,0.00115689,5299.87,7.32734,-4.34052e-06,-0.545383,179.749,1875.23,0.000264376,-0.54528,40.7772,-0.103922,-0.00156259,0.537819,-0.000438033,-0.00341927,6.75052,-0.0124074,-1.79828,-0.002149,6.75083,-180.251,2.47287,-0.12453,0.0,0.477128,-4.284,6,-1.0,0.0942712,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0,0,0,0,0,0,0,0,0,0.98,-0.298196,5323.32,-4.63525,0,-1.0756e-16,0,1.12012e-17,42.4029,0.0268483,42.4029,0,-1.45061,0.0,0.0,4476.3,27.6368,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,999.0,3.0,999.0,,23.241305544129613
208.526,-1.63983,-0.0152322,5299.84,7.32752,-4.41722e-06,-0.54721,179.747,1884.67,0.000234099,-0.547107,38.0496,-0.104194,-0.0015902,-1.29695,-0.00195834,-0.0034277,6.7845,-0.0122674,-1.63964,-0.0181975,6.78482,-180.253,-1.03934,-0.124218,0.0,0.480419,-4.23,0,-1.0,0.0941619,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0,0,0,0,0,0,0,0,0,0.98,-0.290358,5323.52,-4.65164,0,-1.06765e-16,0,1.11828e-17,42.4602,0.026141,42.4602,0,-1.41059,0.0,0.0,4476.3,27.6368,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,999.0,3.0,999.0,,23.211309142536567
208.542,-1.49877,0.017902,5299.81,7.32771,-4.47988e-06,-0.54901,179.745,1894.18,-2.65871e-05,-0.548907,35.645,-0.102682,-0.00161276,1.83251,-0.000248041,-0.0034368,6.81871,-0.0122011,-1.49868,0.0152199,6.81904,-180.255,-0.116247,-0.123114,0.0,0.477128,-4.167,0,-1.0,0.0940548,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0,0,0,0,0,0,0,0,0,0.98,-0.282562,5323.7,-4.66785,0,-1.05957e-16,0,1.1158e-17,42.5167,0.0254326,42.5167,0,-1.37095,0.0,0.0,4476.3,27.6368,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,999.0,3.0,999.0,,23.181312858078453
208.558,-1.34107,0.00899754,5299.78,7.3279,-4.51883e-06,-0.550786,179.743,1903.75,-0.000113617,-0.550682,33.0662,-0.102072,-0.00162678,1.07972,-0.00100667,-0.00344476,6.85315,-0.0120395,-1.34097,0.00664135,6.85349,-180.257,0.506979,-0.121392,0.0,0.480419,-4.095,6,-1.0,0.0939389,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0,0,0,0,0,0,0,0,0,0.98,-0.274765,5323.89,-4.68407,0,-1.05149e-16,0,1.11333e-17,42.5731,0.0247242,42.5731,0,-1.3313,0.0,0.0,4476.3,27.6368,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,999.0,3.0,999.0,,23.15131658480751
208.574,-1.10079,0.00510535,5299.75,7.32809,-4.57568e-06,-0.552528,179.741,1913.4,-0.000255322,-0.552424,29.2317,-0.100092,-0.00164725,1.31972,-2.21092e-05,-0.00345325,6.88791,-0.0119361,-1.10066,0.00319754,6.88825,-180.259,4.18699,-0.119962,0.0,0.477128,-4.023,6,-1.0,0.0938286,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0,0,0,0,0,0,0,0,0,0.98,-0.267064,5324.08,-4.7004,0,-1.04313e-16,0,1.11011e-17,42.6295,0.0240295,42.6295,0,-1.29226,0.0,0.0,4476.3,27.6368,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,999.0,3.0,999.0,,23.12132032276909
208.59,-0.966902,-0.00956423,5299.72,7.32829,-4.57101e-06,-0.554222,179.739,1923.09,8.8949e-05,-0.554118,26.7579,-0.0981863,-0.00164556,-0.030911,0.000572772,-0.00346115,6.92279,-0.0119039,-0.9668,-0.011227,6.92313,-180.261,2.16049,-0.118827,0.0,0.480419,-3.951,0,-1.0,0.0937096,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0,0,0,0,0,0,0,0,0,0.98,-0.259466,5324.27,-4.71686,0,-1.03445e-16,0,1.10606e-17,42.686,0.0233499,42.686,0,-1.2539,0.0,0.0,4476.3,27.6368,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,999.0,3.0,999.0,,23.09132417909607
208.607,1.91182,-0.0425552,5299.69,7.32849,-4.4472e-06,-0.555971,179.737,1933.81,0.000383125,-0.555867,-22.4249,-0.11195,-0.00160099,-4.0207,0.00217987,-0.00346599,6.96138,-0.0117594,1.91179,-0.0393254,6.96172,-180.263,-0.655578,-0.117357,0.0,0.477128,-3.87,6,-1.0,0.0935927,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0,0,0,0,0,0,0,0,0,0.98,-0.251869,5324.46,-4.73331,0,-1.02577e-16,0,1.10202e-17,42.7424,0.0226703,42.7424,0,-1.21554,0.0,0.0,4476.3,27.6368,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,999.0,3.0,999.0,,23.061328047189228
208.623,1.28048,0.00749259,5299.66,7.32868,-4.29821e-06,-0.55768,179.735,1943.43,-4.98725e-05,-0.557575,-11.0964,-0.109488,-0.00154736,0.396358,0.00386921,-0.003472,6.996,-0.0115878,1.28051,0.00961351,6.99634,-180.265,-3.78397,-0.116657,0.0,0.480419,-3.798,0,-1.0,0.0934779,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0,0,0,0,0,0,0,0,0,0.98,-0.244246,5324.65,-4.74984,0,-1.01691e-16,0,1.09743e-17,42.7989,0.0219872,42.7989,0,-1.17717,0.0,0.0,4476.3,27.6368,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,999.0,3.0,999.0,,23.03133181955373
208.639,1.11464,0.00521919,5299.62,7.32888,-4.11103e-06,-0.559363,179.733,1953.2,-0.000248171,-0.559258,-8.20723,-0.105812,-0.00147997,0.409928,0.00418724,-0.00347997,7.03118,-0.0113897,1.11468,0.00702477,7.03153,-180.267,-1.89858,-0.114194,0.0,0.477128,-3.717,6,-1.0,0.093354,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0,0,0,0,0,0,0,0,0,0.98,-0.236575,5324.84,-4.7665,0,-1.00771e-16,0,1.09185e-17,42.8553,0.0212974,42.8553,0,-1.13877,0.0,0.0,4476.3,27.6368,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,999.0,3.0,999.0,,22.991336292055536
208.655,0.926296,-0.000445364,5299.59,7.32907,-3.95054e-06,-0.560992,179.731,1963.03,-5.17329e-05,-0.560887,-4.9928,-0.10207,-0.00142219,0.253758,0.00299995,-0.00348793,7.06656,-0.0112192,0.926354,0.00102525,7.06691,-180.269,5.15184,-0.110453,0.0,0.480419,-3.654,0,-1.0,0.093232,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0,0,0,0,0,0,0,0,0,0.98,-0.228905,5325.03,-4.78315,0,-9.98514e-17,0,1.08626e-17,42.9118,0.0206076,42.9118,0,-1.10037,0.0,0.0,4476.3,27.6368,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,999.0,3.0,999.0,,22.96134008991857
