Type,Timestamp,Data Accelerometer X,Data Accelerometer Y,Data Accelerometer Z,Data Gyroscope X,Data Gyroscope Y,Data Gyroscope Z,Data Magnetometer X,Data Magnetometer Y,Data Magnetometer Z
imu,528.037667,0.07775986400000001,-9.157121215200002,3.4016949736,-3.4168404,1.82385603,-1.97109236,,,
imu,528.046141,0.1812402984,-9.239068148800001,3.400498668,-3.028041079999999,2.35471664,-1.7766927,,,
imu,528.054615,0.3182172896000001,-9.6499991224,3.4848382128,-2.69905704,2.84071579,-2.03838455,,,
imu,528.063089,0.3421434016,-9.802528086400002,3.4824456016,-3.18505619,3.17717674,-2.57672207,,,
imu,528.071562,0.2853188856,-9.6709344704,3.5458497984,-4.26920814,3.01268472,-3.53376655,,,
imu,528.080036,0.2613927736,-9.503451686400002,3.575159285600001,-4.59819218,2.94539253,-4.78241052,,,
imu,528.08851,0.2470371064,-9.439449336800001,3.528503367200001,-4.418746339999999,2.73603905,-6.00114685,,,
imu,528.096983,0.257205704,-9.396980488,3.481249296000001,-4.02247011,2.44443956,-7.010529699999999,,,
imu,528.105457,0.2823281216,-9.3317818328,3.448350892000001,-3.37945585,2.41453192,-7.26474464,,,
imu,528.113931,0.2745521352,-9.276751775200001,3.398106056800001,-2.60933412,2.27994754,-7.563821040000001,,,
imu,528.122405,0.3481249296000001,-9.127811728000001,3.301803456,-1.65228964,2.05564024,-7.76569761,,,
imu,528.130878,0.3295821928000001,-9.072183517600001,3.2790736496,-0.63542988,1.69674856,-7.66102087,,,
imu,528.139352,0.2296906752000001,-9.129606186400002,3.328720332000001,0.68050628,0.98644211,-7.61615941,,,
imu,528.147826,0.2865151912,-8.948964040800002,3.310775748,1.63007385,0.2537049300000001,-8.304035129999999,,,
imu,528.156299,0.092713684,-9.0476592528,3.472875156800001,2.72170271,-0.4865091600000002,-8.97695703,,,
imu,528.164773,0.1040785872,-9.021938682400002,3.376572556000001,3.55163972,-1.413646,-9.2536027,,,
imu,528.173247,0.07118018320000001,-9.0805576568,3.431004460800001,4.08250033,-1.98189116,-10.10597044,,,
imu,528.181721,0.0681894192,-9.156523062400002,3.446556433600001,4.63579167,-2.49779795,-10.41252375,,,
imu,528.190194,0.08374139200000001,-9.217534648,3.490221588,4.89000661,-3.11090457,-10.02372443,,,
imu,528.198668,0.0562263632,-9.294098206400001,3.5177366168,4.97972953,-3.39502715,-9.43304854,,,
imu,528.207142,0.007177833600000002,-9.401167557600001,3.5614017712,4.78532987,-3.63428827,-9.14144905,,,
imu,528.215666,-0.0245242648,-9.3975786408,3.5883186472,4.26942308,-3.67167282,-8.64049608,,,
imu,528.224191,-0.05203929360000001,-9.399971252000002,3.609852148000001,3.85819303,-3.51465771,-7.75074379,,,
imu,528.232716,-0.09510629520000001,-9.420906600000002,3.591907564,3.49930135,-3.25296586,-6.80865313,,,
imu,528.24124,-0.143556672,-9.438851184,3.558411007200001,3.39462461,-2.81930508,-5.93385466,,,
imu,528.249765,-0.152528964,-9.403560168800002,3.514147700000001,3.41705534,-2.03422953,-5.238502029999999,,,
imu,528.258289,-0.185427368,-9.3927934184,3.4680899344,3.6862241,-1.413646,-4.63287232,,,
imu,528.266814,-0.245242648,-9.434065961600002,3.409470960000001,4.25446926,-0.76315483,-4.102011709999999,,,
imu,528.275338,-0.2733558296,-9.506442450400002,3.435789683200001,4.85262206,-0.1051867500000001,-3.92256587,,,
imu,528.283863,-0.07775986400000001,-9.384419279200001,3.3394870824,5.32366739,0.6948426199999997,-3.83284295,,,
imu,528.292388,-0.2015774936,-9.3557079448,3.3424778464,6.25828114,1.1285034,-3.54872037,,,
imu,528.300912,-0.1357806856,-9.3168280128,3.265914288000001,7.07326433,1.45001053,-3.20478251,,,
imu,528.309437,-0.08852661440000001,-9.517807353600002,3.30479422,7.9480628,1.6518871,-3.48890509,,,
imu,528.317961,-0.068787572,-9.593174606400002,3.314364664800001,8.097601,1.86871749,-3.78798149,,,
imu,528.326486,-0.0532355992,-9.562070660800002,3.347263068800001,7.61160185,1.89114822,-3.95995042,,,
imu,528.334959,-0.08314323920000001,-9.571641105600001,3.3837503896,6.95363377,1.89862513,-4.19921154,,,
imu,528.343484,-0.080750628,-9.596165370400001,3.3687965696,6.34800406,1.98834805,-4.02724261,,,
imu,528.352008,-0.0747691,-9.593772759200002,3.337692624000001,5.4059134,2.22760917,-3.54872037,,,
imu,528.360533,-0.06220789120000001,-9.592576453600001,3.340683388,4.61336094,2.50425484,-2.95056757,,,
imu,528.369058,-0.03349655680000001,-9.591380148,3.3161591232,3.37219388,2.94539253,-2.53186061,,,
imu,528.377582,0.0430670016,-9.548313146400002,3.2306232728,2.3403803,3.31923803,-1.76921579,,,
imu,528.386107,0.06220789120000001,-9.513022131200001,3.2485678568,1.6674584,3.47625314,-1.03647861,,,
imu,528.394631,-0.002990764,-9.526779645600001,3.2252398976,1.01696723,3.39400713,-0.57291019,,,
imu,528.403156,-0.008972292000000002,-9.423897364000002,3.296420080800001,0.44124516,3.5211146,-0.9841402399999999,,,
imu,528.41168,-0.107667504,-9.342548583200001,3.250960468,0.07487657,3.65569898,-1.70940051,,,
imu,528.420427,-0.05802082160000001,-9.302472345600002,3.2222491336,-0.02232326000000001,3.81271409,-2.35241477,,,
imu,528.429174,0.009570444800000001,-9.3658765424,3.206099008,0.03001510999999998,4.37348234,-2.58419898,,,
imu,528.43792,0.0681894192,-9.322809540800002,3.2294269672,0.09730729999999999,4.837050759999999,-2.33746095,,,
imu,528.446667,0.1022841288,-9.360493167200001,3.2551475376,0.47862971,5.07631188,-2.38979932,,,
