ï»¿Time,CoG Acceleration/X,CoG Acceleration/Y,CoG position/X,CoG position/Y,CoG position/Roll,CoG position/Pitch,CoG position/Yaw,Horizontal tangential speed,Over-steering criteria2,Pitch %ground,Pitch acceleration,Pitch speed,Roll %ground,Roll acceleration,Roll speed,Slope force,Speed/X,Speed/Y,Tangent Acceleration/X,Tangent Acceleration/Y,Tangential speed,Yaw %ground,Yaw acceleration,Yaw speed,Brake pedal force,Gas pedal,Steering wheel angle,Steering wheel speed,Intersection Id,Lane gap,CoG Acceleration/X.1,CoG Acceleration/Y.1,CoG position/X.1,CoG position/Y.1,Pitch acceleration.1,Pitch speed.1,Roll acceleration.1,Roll speed.1,Speed/X.1,Speed/Y.1,Tangential speed.1,Yaw acceleration.1,Yaw speed.1,CoG Acceleration/X.2,CoG Acceleration/Y.2,CoG position/X.2,CoG position/Y.2,Pitch acceleration.2,Pitch speed.2,Roll acceleration.2,Roll speed.2,Speed/X.2,Speed/Y.2,Tangential speed.2,Yaw acceleration.2,Yaw speed.2,CoG Acceleration/X.3,CoG Acceleration/Y.3,CoG position/X.3,CoG position/Y.3,Pitch acceleration.3,Pitch speed.3,Roll acceleration.3,Roll speed.3,Speed/X.3,Speed/Y.3,Tangential speed.3,Yaw acceleration.3,Yaw speed.3,CoG Acceleration/X.4,CoG Acceleration/Y.4,CoG position/X.4,CoG position/Y.4,Pitch acceleration.4,Pitch speed.4,Roll acceleration.4,Roll speed.4,Speed/X.4,Speed/Y.4,Tangential speed.4,Yaw acceleration.4,Yaw speed.4,ExportChannel/1,ExportChannel/4,ExportChannel/3,Unnamed: 86,distance_to_inter_0
52.0015,11.0562,-0.0186162,365.342,-25.4396,0.00629809,-0.656929,0.254466,682.417,1.49364e-05,-0.639516,-174.207,0.00817783,0.00515344,-1.62744,-0.00196355,-0.57939,2.45652,-0.00235544,11.0554,-0.00803184,2.4567,0.254466,-0.596952,-0.0227733,0,0.368523,-2.16,0,-1.0,-0.276897,1.64872,2.62707,383.588,-36.5436,0,1.69501e-021,0,-1.67507e-020,39.3332,-0.236452,39.3332,0,13.7783,0,0,2810.82,-14.6177,0,0,0,0,0,0,0,0,0,0,0,3785.53,-83.4882,0,0,0,0,0,0,0,0,0,0,0,7388.63,-42.0105,0,0,0,0,0,0,0,0,0,999.0,1.0,0.0,,20.763402003525368
52.0175,11.0547,-0.0186376,365.353,-25.4396,0.00627145,-0.656078,0.254101,692.579,2.38387e-05,-0.638764,-174.238,0.0108814,0.00514607,-1.62989,-0.00216733,-0.576076,2.49311,-0.00239237,11.0539,-0.00804622,2.49328,0.254101,-0.605905,-0.023221,0,0.381688,-2.169,0,-1.0,-0.276976,1.64871,2.54671,383.582,-36.719,0,1.61497e-021,0,-1.59598e-020,39.4283,-0.229191,39.4283,0,13.323,0,0,2810.82,-14.6177,0,0,0,0,0,0,0,0,0,0,0,3785.53,-83.4882,0,0,0,0,0,0,0,0,0,0,0,7388.63,-42.0105,0,0,0,0,0,0,0,0,0,999.0,1.0,0.0,,20.75241228773176
52.0335,11.053,-0.0191262,365.364,-25.4395,0.00624133,-0.655186,0.253729,702.713,1.1838e-05,-0.637973,-174.246,0.0131944,0.00513549,-1.66597,-0.00249716,-0.572712,2.52959,-0.00243535,11.0522,-0.00850132,2.52977,0.253729,-0.613692,-0.0237234,0,0.424471,-2.196,0,-1.0,-0.277057,1.64871,2.46714,383.578,-36.8956,0,1.5443e-021,0,-1.52614e-020,39.5233,-0.222058,39.5233,0,12.8777,0,0,2810.82,-14.6177,0,0,0,0,0,0,0,0,0,0,0,3785.53,-83.4882,0,0,0,0,0,0,0,0,0,0,0,7388.63,-42.0105,0,0,0,0,0,0,0,0,0,999.0,1.0,0.0,,20.741426909689736
52.0495,11.0572,-0.0189609,365.375,-25.4395,0.00616622,-0.654297,0.253354,712.833,-3.02354e-05,-0.637261,-175.003,0.00881553,0.00508021,-1.63564,-0.00699444,-0.566837,2.56603,-0.00239114,11.0562,-0.00867489,2.5662,0.253354,-0.669068,-0.0239276,0,0.404725,-2.223,0,-1.0,-0.277138,1.6487,2.38757,383.573,-37.0722,0,1.47363e-021,0,-1.4563e-020,39.6184,-0.214925,39.6184,0,12.4324,0,0,2810.82,-14.6177,0,0,0,0,0,0,0,0,0,0,0,3785.53,-83.4882,0,0,0,0,0,0,0,0,0,0,0,7388.63,-42.0105,0,0,0,0,0,0,0,0,0,999.0,1.0,0.0,,20.73043721801353
52.0655,11.0521,-0.0203192,365.387,-25.4395,0.00606602,-0.653518,0.252963,722.911,-1.33292e-05,-0.636689,-174.704,0.00250511,0.00500009,-1.64861,-0.00638322,-0.55992,2.60231,-0.00246144,11.0512,-0.0098814,2.60248,0.252963,-0.667656,-0.0250725,0,0.414598,-2.268,0,-1.0,-0.27722,1.64869,2.30807,383.568,-37.2488,0,1.40327e-021,0,-1.38676e-020,39.7135,-0.207795,39.7135,0,11.9876,0,0,2810.82,-14.6177,0,0,0,0,0,0,0,0,0,0,0,3785.53,-83.4882,0,0,0,0,0,0,0,0,0,0,0,7388.63,-42.0105,0,0,0,0,0,0,0,0,0,999.0,1.0,0.0,,20.718448475935656
52.0815,11.048,-0.0212884,365.398,-25.4394,0.00597606,-0.652804,0.252558,732.954,-7.30099e-06,-0.636187,-174.449,0.000245592,0.00493047,-1.73428,-0.00582105,-0.552904,2.63847,-0.00254507,11.0473,-0.0106462,2.63863,0.252558,-0.644182,-0.0260912,0,0.414598,-2.322,0,-1.0,-0.277304,1.64869,2.23064,383.565,-37.4265,0,1.34226e-021,0,-1.32647e-020,39.8084,-0.200778,39.8084,0,11.5599,0,0,2810.82,-14.6177,0,0,0,0,0,0,0,0,0,0,0,3785.53,-83.4882,0,0,0,0,0,0,0,0,0,0,0,7388.63,-42.0105,0,0,0,0,0,0,0,0,0,999.0,1.0,0.0,,20.707463141582544
52.0975,11.0434,-0.0209537,365.41,-25.4394,0.00588882,-0.652099,0.252137,742.961,-2.10709e-05,-0.635686,-174.251,0.00103682,0.00488017,-1.72287,-0.00592455,-0.546108,2.6745,-0.00265692,11.0427,-0.00999682,2.67466,0.252137,-0.7089,-0.0267541,0,0.42118,-2.403,-6,-1.0,-0.277389,1.64868,2.15321,383.562,-37.6042,0,1.28125e-021,0,-1.26618e-020,39.9034,-0.193761,39.9034,0,11.1323,0,0,2810.82,-14.6177,0,0,0,0,0,0,0,0,0,0,0,3785.53,-83.4882,0,0,0,0,0,0,0,0,0,0,0,7388.63,-42.0105,0,0,0,0,0,0,0,0,0,999.0,1.0,0.0,,20.695474427033545
52.1135,11.0411,-0.0224221,365.422,-25.4393,0.00579959,-0.651364,0.251699,752.927,-1.69863e-05,-0.635177,-174.152,0.00376338,0.00479549,-1.81925,-0.00620919,-0.538579,2.71037,-0.00276743,11.0404,-0.0111621,2.71054,0.251699,-0.742872,-0.0280107,0,0.431054,-2.484,-6,-1.0,-0.277474,1.64867,2.07578,383.558,-37.7819,0,1.22025e-021,0,-1.20589e-020,39.9983,-0.186745,39.9983,0,10.7046,0,0,2810.82,-14.6177,0,0,0,0,0,0,0,0,0,0,0,3785.53,-83.4882,0,0,0,0,0,0,0,0,0,0,0,7388.63,-42.0105,0,0,0,0,0,0,0,0,0,999.0,1.0,0.0,,20.683490065508757
52.1295,11.0387,-0.0242232,365.434,-25.4393,0.0057026,-0.650575,0.25124,762.853,-3.06539e-05,-0.634608,-174.115,0.00747064,0.00471961,-1.95759,-0.00685508,-0.531273,2.7461,-0.00290135,11.0381,-0.0125736,2.74627,0.25124,-0.751128,-0.0297465,0,0.437636,-2.583,0,-1.0,-0.277561,1.64867,2.0025,383.556,-37.9577,0,1.16769e-021,0,-1.15395e-020,40.0916,-0.18018,40.0916,0,10.3043,0,0,2810.82,-14.6177,0,0,0,0,0,0,0,0,0,0,0,3785.53,-83.4882,0,0,0,0,0,0,0,0,0,0,0,7388.63,-42.0105,0,0,0,0,0,0,0,0,0,999.0,1.0,0.0,,20.671501379677274
52.1455,11.0365,-0.0247553,365.446,-25.4393,0.00559513,-0.649726,0.250757,772.742,-2.85857e-05,-0.633971,-174.13,0.0113008,0.00463352,-1.99869,-0.00743198,-0.524202,2.78169,-0.0030378,11.0359,-0.0127158,2.78187,0.250757,-0.82272,-0.0310538,0,0.447509,-2.7,-6,-1.0,-0.277649,1.64866,1.92964,383.553,-38.1332,0,1.116e-021,0,-1.10287e-020,40.1846,-0.173662,40.1846,0,9.90685,0,0,2810.82,-14.6177,0,0,0,0,0,0,0,0,0,0,0,3785.53,-83.4882,0,0,0,0,0,0,0,0,0,0,0,7388.63,-42.0105,0,0,0,0,0,0,0,0,0,999.0,1.0,0.0,,20.65951270698318
52.1615,11.0347,-0.0259687,365.459,-25.4392,0.00547874,-0.648816,0.250248,782.591,-3.06931e-05,-0.633184,-174.179,0.0148764,0.00453877,-2.08108,-0.00808139,-0.52011,2.81714,-0.00319073,11.0341,-0.0134838,2.81733,0.250248,-0.870267,-0.0328126,0,0.460673,-2.817,-6,-1.0,-0.277738,1.64866,1.85679,383.551,-38.3087,0,1.06432e-021,0,-1.0518e-020,40.2777,-0.167144,40.2777,0,9.50939,0,0,2810.82,-14.6177,0,0,0,0,0,0,0,0,0,0,0,3785.53,-83.4882,0,0,0,0,0,0,0,0,0,0,0,7388.63,-42.0105,0,0,0,0,0,0,0,0,0,999.0,1.0,0.0,,20.646529341271872
52.1775,11.0326,-0.0274959,365.471,-25.4392,0.00535287,-0.647855,0.24971,792.398,-3.26185e-05,-0.632338,-174.234,0.0178727,0.00443479,-2.20066,-0.00865111,-0.516277,2.85244,-0.00335867,11.032,-0.0145185,2.85263,0.24971,-0.900387,-0.0346903,0,0.467255,-2.943,-6,-1.0,-0.277828,1.64865,1.78421,383.549,-38.4902,0,1.01635e-021,0,-1.0044e-020,40.3735,-0.160624,40.3735,0,9.11687,0,0,2810.82,-14.6177,0,0,0,0,0,0,0,0,0,0,0,3785.53,-83.4882,0,0,0,0,0,0,0,0,0,0,0,7388.63,-42.0105,0,0,0,0,0,0,0,0,0,999.0,1.0,0.0,,20.63454069854719
52.1935,11.0308,-0.0285735,365.484,-25.4391,0.00521912,-0.64685,0.249141,802.162,-3.27192e-05,-0.631449,-174.289,0.0202899,0.0043232,-2.28261,-0.00918593,-0.512396,2.88759,-0.00354511,11.0301,-0.0150441,2.88778,0.249141,-0.970101,-0.0366196,0,0.480419,-3.069,-6,-1.0,-0.277919,1.64864,1.71174,383.548,-38.6742,0,9.69872e-022,0,-9.58463e-021,40.4703,-0.154104,40.4703,0,8.72632,0,0,2810.82,-14.6177,0,0,0,0,0,0,0,0,0,0,0,3785.53,-83.4882,0,0,0,0,0,0,0,0,0,0,0,7388.63,-42.0105,0,0,0,0,0,0,0,0,0,999.0,1.0,0.0,,20.621557371110487
52.2095,11.0292,-0.0299052,365.497,-25.4391,0.00507911,-0.645811,0.24854,811.882,-3.3743e-05,-0.630529,-174.351,0.0220459,0.00419678,-2.36843,-0.00938034,-0.508468,2.92257,-0.00373534,11.0285,-0.0158219,2.92277,0.24854,-0.989687,-0.0387128,0,0.48371,-3.195,-6,-1.0,-0.278011,1.64864,1.63928,383.546,-38.8582,0,9.2339e-022,0,-9.12528e-021,40.5672,-0.147583,40.5672,0,8.33576,0,0,2810.82,-14.6177,0,0,0,0,0,0,0,0,0,0,0,3785.53,-83.4882,0,0,0,0,0,0,0,0,0,0,0,7388.63,-42.0105,0,0,0,0,0,0,0,0,0,999.0,1.0,0.0,,20.608569708012247
52.2255,11.0273,-0.030877,365.51,-25.4391,0.0049376,-0.64475,0.247905,821.553,-2.42188e-05,-0.629587,-174.398,0.0232658,0.00407417,-2.43086,-0.00939526,-0.504494,2.95738,-0.00393747,11.0266,-0.0162083,2.95759,0.247905,-1.01998,-0.040763,0,0.493584,-3.312,-6,-1.0,-0.278104,1.64863,1.57028,383.545,-39.041,0,8.81454e-022,0,-8.71085e-021,40.6629,-0.141358,40.6629,0,7.9666,0,0,2810.82,-14.6177,0,0,0,0,0,0,0,0,0,0,0,3785.53,-83.4882,0,0,0,0,0,0,0,0,0,0,0,7388.63,-42.0105,0,0,0,0,0,0,0,0,0,999.0,1.0,0.0,,20.595582060480858
52.2415,11.0247,-0.0321816,365.523,-25.439,0.0047967,-0.64367,0.24724,831.177,-2.01165e-05,-0.628628,-174.305,0.0247276,0.00395237,-2.53138,-0.00945346,-0.500473,2.99203,-0.00413071,11.024,-0.0169744,2.99224,0.24724,-1.07051,-0.0427959,0,0.503457,-3.429,-6,-1.0,-0.278197,1.64862,1.50316,383.544,-39.2231,0,8.41977e-022,0,-8.32073e-021,40.7581,-0.135293,40.7581,0,7.609,0,0,2810.82,-14.6177,0,0,0,0,0,0,0,0,0,0,0,3785.53,-83.4882,0,0,0,0,0,0,0,0,0,0,0,7388.63,-42.0105,0,0,0,0,0,0,0,0,0,999.0,1.0,0.0,,20.582598791211947
52.2575,11.0225,-0.0330873,365.536,-25.439,0.00466007,-0.642558,0.246541,840.743,-1.55661e-05,-0.627638,-174.382,0.0267401,0.00383507,-2.57112,-0.00886055,-0.496406,3.02647,-0.00433865,11.0218,-0.0172985,3.02668,0.246541,-1.07836,-0.0447444,0,0.510039,-3.537,-6,-1.0,-0.278292,1.64862,1.43603,383.544,-39.4052,0,8.025e-022,0,-7.9306e-021,40.8532,-0.129229,40.8532,0,7.25141,0,0,2810.82,-14.6177,0,0,0,0,0,0,0,0,0,0,0,3785.53,-83.4882,0,0,0,0,0,0,0,0,0,0,0,7388.63,-42.0105,0,0,0,0,0,0,0,0,0,999.0,1.0,0.0,,20.56961117765721
52.2735,11.0205,-0.0340764,365.55,-25.4389,0.00453478,-0.641421,0.245811,850.254,-6.99806e-06,-0.626625,-174.468,0.0278225,0.00372932,-2.65278,-0.00807927,-0.492293,3.0607,-0.00454783,11.0199,-0.0177137,3.06091,0.245811,-1.11602,-0.0466153,0,0.51333,-3.636,-6,-1.0,-0.278388,1.64861,1.37144,383.543,-39.5879,0,7.65892e-022,0,-7.56883e-021,40.9483,-0.123411,40.9483,0,6.90924,0,0,2810.82,-14.6177,0,0,0,0,0,0,0,0,0,0,0,3785.53,-83.4882,0,0,0,0,0,0,0,0,0,0,0,7388.63,-42.0105,0,0,0,0,0,0,0,0,0,999.0,1.0,0.0,,20.555628903295567
