ï»¿Time,CoG Acceleration/X,CoG Acceleration/Y,CoG position/X,CoG position/Y,CoG position/Roll,CoG position/Pitch,CoG position/Yaw,Horizontal tangential speed,Over-steering criteria2,Pitch %ground,Pitch acceleration,Pitch speed,Roll %ground,Roll acceleration,Roll speed,Slope force,Speed/X,Speed/Y,Tangent Acceleration/X,Tangent Acceleration/Y,Tangential speed,Yaw %ground,Yaw acceleration,Yaw speed,Brake pedal force,Gas pedal,Steering wheel angle,Steering wheel speed,Intersection Id,Lane gap,CoG Acceleration/X.1,CoG Acceleration/Y.1,CoG position/X.1,CoG position/Y.1,Pitch acceleration.1,Pitch speed.1,Roll acceleration.1,Roll speed.1,Speed/X.1,Speed/Y.1,Tangential speed.1,Yaw acceleration.1,Yaw speed.1,CoG Acceleration/X.2,CoG Acceleration/Y.2,CoG position/X.2,CoG position/Y.2,Pitch acceleration.2,Pitch speed.2,Roll acceleration.2,Roll speed.2,Speed/X.2,Speed/Y.2,Tangential speed.2,Yaw acceleration.2,Yaw speed.2,CoG Acceleration/X.3,CoG Acceleration/Y.3,CoG position/X.3,CoG position/Y.3,Pitch acceleration.3,Pitch speed.3,Roll acceleration.3,Roll speed.3,Speed/X.3,Speed/Y.3,Tangential speed.3,Yaw acceleration.3,Yaw speed.3,CoG Acceleration/X.4,CoG Acceleration/Y.4,CoG position/X.4,CoG position/Y.4,Pitch acceleration.4,Pitch speed.4,Roll acceleration.4,Roll speed.4,Speed/X.4,Speed/Y.4,Tangential speed.4,Yaw acceleration.4,Yaw speed.4,ExportChannel/1,ExportChannel/4,ExportChannel/3,Unnamed: 86,distance_to_inter_0,distance_to_inter_1,distance_to_inter_2,distance_to_inter_3
461.721,-0.0112551,0.0261531,7295.31,-24.2286,0.0140535,-0.372539,0.319707,18647.2,-1.48818e-05,-0.372465,0.0295792,-0.00458187,0.0140535,0.000493379,6.91539e-05,-0.00247822,67.1285,-0.00234157,-0.0112577,0.0261526,67.1299,0.319707,0.00123323,0.0803361,0.0,0.167769,0.315,0,-1.0,-0.0481281,-7.1675,0,383.543,-107.979,0,4.1798999999999995e-28,0,-4.13058e-27,52.5119,6.31145e-13,52.5119,0,0,-3.81858e-08,0.0086202,2777.9,-11.3477,0,0,0,0,64.8,-0.000778591,64.8,0,0.027439,2.0,0.00273737,2777.86,13.2741,0,0,0,0,69.5749,-0.00024627,69.5749,0,0.0080767,0.0,0.0,7388.63,-42.0105,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,4.26117,999.0,0.0,,6909.224321696796,4514.0018144408805,3508.5310512009673,92.69448068768672
461.737,-0.0111079,0.0261535,7295.61,-24.227,0.0140545,-0.37261,0.320992,18647.0,-1.48381e-05,-0.372535,0.0111574,-0.00427887,0.0140545,-0.00134088,6.09934e-05,-0.00247898,67.1279,-0.00234134,-0.0111102,0.0261531,67.1293,0.320992,0.00105837,0.0803551,0.0,0.161187,0.315,0,-1.0,-0.0468787,-7.1675,0,383.543,-107.979,0,4.1798999999999995e-28,0,-4.13058e-27,52.5119,6.31145e-13,52.5119,0,0,-3.80235e-08,0.0081193,2777.9,-11.6359,0,0,0,0,64.8,-0.000731987,64.8,0,0.0258445,2.0,0.0142676,2777.86,12.9632,0,0,0,0,69.6902,-0.00128359,69.6902,0,0.0420968,0.0,0.0,7388.63,-42.0105,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,4.26117,999.0,0.0,,6909.524322171244,4514.301813425969,3508.8310514702753,92.39451103285336
461.753,-0.0110527,0.0261531,7295.91,-24.2253,0.0140555,-0.372676,0.322278,18646.9,-1.47894e-05,-0.372601,0.0107101,-0.00402247,0.0140555,0.000253335,5.98548e-05,-0.00247976,67.1272,-0.00234134,-0.0110547,0.0261526,67.1287,0.322278,0.000859164,0.0803699,0.0,0.161187,0.315,0,-1.0,-0.0456227,-7.1675,0,383.543,-107.979,0,4.1798999999999995e-28,0,-4.13058e-27,52.5119,6.31145e-13,52.5119,0,0,-3.78612e-08,0.0076184,2777.9,-11.9241,0,0,0,0,64.8,-0.000685383,64.8,0,0.0242501,2.0,0.0257977,2777.86,12.6523,0,0,0,0,69.8055,-0.00232091,69.8055,0,0.076117,0.0,0.0,7388.63,-42.0105,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,4.26117,999.0,0.0,,6909.824322676583,4514.601812351771,3509.131051757442,92.09454259667089
461.769,-0.0110099,0.0261548,7296.21,-24.2236,0.0140563,-0.372738,0.323564,18646.7,-1.47467e-05,-0.372664,0.0182283,-0.0037645,0.0140563,-0.000479273,4.67239e-05,-0.00248049,67.1266,-0.00234159,-0.0110117,0.0261544,67.128,0.323564,0.000780742,0.0803832,0.0,0.164478,0.315,0,-1.0,-0.04436,-7.1675,0,383.543,-107.979,0,4.1798999999999995e-28,0,-4.13058e-27,52.5119,6.31145e-13,52.5119,0,0,-3.76947e-08,0.00712668,2777.91,-12.2123,0,0,0,0,64.8,-0.000639934,64.8,0,0.0226849,2.0,0.038587,2777.86,12.3412,0,0,0,0,69.9207,-0.00347153,69.9207,0,0.113794,0.0,0.0,7388.63,-42.0105,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,4.26117,999.0,0.0,,6910.124323182294,4514.901811278353,3509.431052045383,91.79457439827254
461.785,-0.0108959,0.026157,7296.5,-24.222,0.014057,-0.372796,0.32485,18646.5,-1.47232e-05,-0.372721,0.0168707,-0.00348063,0.014057,-0.000494098,3.54863e-05,-0.0024813,67.126,-0.00234191,-0.0108975,0.0261566,67.1274,0.32485,0.000650606,0.080394,0.0,0.164478,0.315,0,-1.0,-0.0430906,-7.1675,0,383.543,-107.979,0,4.1798999999999995e-28,0,-4.13058e-27,52.5119,6.31145e-13,52.5119,0,0,-3.74946e-08,0.00670745,2777.91,-12.5005,0,0,0,0,64.8,-0.000603603,64.8,0,0.0213505,2.0,0.0613131,2777.86,12.0287,0,0,0,0,70.036,-0.00551629,70.036,0,0.18033,0.0,0.0,7388.63,-42.0105,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,4.21134,999.0,0.0,,6910.414323658242,4515.191810267422,3509.721052316979,91.50460493330377
461.801,-0.0108136,0.0261573,7296.8,-24.2203,0.0140575,-0.37285,0.326137,18646.3,-1.46836e-05,-0.372775,-0.000755339,-0.00326637,0.0140575,0.00120364,3.74443e-05,-0.00248206,67.1254,-0.00234232,-0.0108151,0.0261569,67.1268,0.326137,0.000521388,0.0804031,0.0,0.157896,0.315,0,-1.0,-0.0418145,-7.1675,0,383.543,-107.979,0,4.1798999999999995e-28,0,-4.13058e-27,52.5119,6.31145e-13,52.5119,0,0,-3.72945e-08,0.00628821,2777.91,-12.7887,0,0,0,0,64.8,-0.000567272,64.8,0,0.020016,2.0,0.0840392,2777.86,11.7162,0,0,0,0,70.1513,-0.00756105,70.1513,0,0.246866,0.0,0.0,7388.63,-42.0105,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,4.21134,999.0,0.0,,6910.71432416468,4515.491809195526,3510.0210526064216,91.20463720716161
461.817,-0.0109199,0.0261475,7297.1,-24.2186,0.0140583,-0.372901,0.327423,18646.2,-1.46696e-05,-0.372826,0.0183348,-0.0031025,0.0140583,-0.000854862,4.72629e-05,-0.00248281,67.1247,-0.00234291,-0.0109212,0.0261471,67.1261,0.327423,0.0013808,0.0804115,0.0,0.164478,0.315,0,-1.0,-0.0405318,-7.1675,0,383.543,-107.979,0,4.1798999999999995e-28,0,-4.13058e-27,52.5119,6.31145e-13,52.5119,0,0,-3.70944e-08,0.00586898,2777.91,-13.0769,0,0,0,0,64.8,-0.000530942,64.8,0,0.0186815,2.0,0.106765,2777.85,11.4036,0,0,0,0,70.2666,-0.00960581,70.2666,0,0.313402,0.0,0.0,7388.63,-42.0105,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,4.21134,999.0,0.0,,6911.014324671492,4515.791808124414,3510.3210528966383,90.90466972581736
461.833,-0.0108237,0.0261587,7297.4,-24.2169,0.014059,-0.372948,0.32871,18646.0,-1.46457e-05,-0.372874,0.0161964,-0.00283548,0.014059,-0.000828204,3.92803e-05,-0.00248365,67.1241,-0.00234347,-0.010825,0.0261583,67.1255,0.32871,-0.000401537,0.0804178,0.0,0.164478,0.315,0,-1.0,-0.0392424,-7.1675,0,383.543,-107.979,0,4.1798999999999995e-28,0,-4.13058e-27,52.5119,6.31145e-13,52.5119,0,0,-3.68744e-08,0.00552786,2777.91,-13.354,0,0,0,0,64.8,-0.00049964,64.8,0,0.0175957,-0.00967379,0.118443,2777.85,11.1066,0,0,0,0,70.0156,-0.0106595,70.0156,0,0.349219,0.0,0.0,7388.63,-42.0105,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,4.16145,999.0,0.0,,6911.314325178678,4516.091807054082,3510.6210531876277,90.6047024917033
461.849,-0.0106878,0.0261624,7297.7,-24.2152,0.0140596,-0.372992,0.329997,18645.8,-1.46317e-05,-0.372917,0.0150611,-0.00258832,0.0140596,-0.000598897,3.49532e-05,-0.0024844,67.1235,-0.00234404,-0.0106888,0.026162,67.1249,0.329997,0.000315238,0.0804236,0.0,0.164478,0.315,0,-1.0,-0.0379463,-7.1675,0,383.543,-107.979,0,4.1798999999999995e-28,0,-4.13058e-27,52.5119,6.31145e-13,52.5119,0,0,-3.66542e-08,0.00518746,2777.91,-13.631,0,0,0,0,64.8,-0.000468385,64.8,0,0.0165122,-2.03809,0.130017,2777.85,10.8098,0,0,0,0,69.7612,-0.011704,69.7612,0,0.384749,0.0,0.0,7388.63,-42.0105,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,4.16145,999.0,0.0,,6911.614325686238,4516.391805984534,3510.921053479391,90.30473550728131
461.865,-0.0106484,0.0261629,7298.0,-24.2135,0.0140601,-0.373031,0.331284,18645.6,-1.46853e-05,-0.372956,0.00570804,-0.00241639,0.0140601,0.000952956,3.42552e-05,-0.00248519,67.1229,-0.00234455,-0.0106494,0.0261626,67.1243,0.331284,0.000548055,0.0804274,0.0,0.161187,0.315,0,-1.0,-0.0366435,-7.1675,0,383.543,-107.979,0,4.1798999999999995e-28,0,-4.13058e-27,52.5119,6.31145e-13,52.5119,0,0,-3.64339e-08,0.00484707,2777.91,-13.9081,0,0,0,0,64.8,-0.00043713,64.8,0,0.0154287,-4.06651,0.141591,2777.85,10.5129,0,0,0,0,69.5068,-0.0127484,69.5068,0,0.420279,0.0,0.0,7388.63,-42.0105,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,4.16145,999.0,0.0,,6911.914326194173,4516.691804915767,3511.221053771928,90.0047687750488
