Type,Timestamp,Data Accelerometer X,Data Accelerometer Y,Data Accelerometer Z,Data Gyroscope X,Data Gyroscope Y,Data Gyroscope Z,Data Magnetometer X,Data Magnetometer Y,Data Magnetometer Z
imu,94.363853,-0.1459492832,-9.531564868,2.5236066632,-0.65786061,6.511878599999999,-4.124442439999999,,,
imu,94.372263,-0.1393696024,-9.523190728800001,2.521214052,-0.53823005,6.511878599999999,-3.91508896,,,
imu,94.380673,-0.1327899216,-9.522592576000001,2.5469346224,-0.0522309,6.489447869999999,-3.62348947,,,
imu,94.389083,-0.10467674,-9.576426328,2.551121692,0.16459949,6.25766366,-3.61601256,,,
imu,94.397493,-0.07895616960000001,-9.600352440000002,2.5475327752,0.2468455,6.02587945,-3.56367419,,,
imu,94.405902,-0.0903210728,-9.61530626,2.5612902896,0.12721494,5.55483412,-3.59358183,,,
imu,94.414312,-0.110658268,-9.632054538400002,2.5798330264,-0.17186146,5.14360407,-3.84031986,,,
imu,94.422722,-0.09690075360000001,-9.630260080000001,2.5774404152,-0.48589168,4.65012801,-4.0197657,,,
imu,94.431132,-0.101685976,-9.635045302400002,2.5888053184,-0.8821679099999999,4.46320526,-4.102011709999999,,,
imu,94.439542,-0.1417622136,-9.648802816800002,2.5923942352,-1.0989983,4.171605769999999,-4.07210407,,,
imu,94.447952,-0.1842310624,-9.6523917336,2.5864127072,-1.23358268,3.9697292,-3.98985806,,,
imu,94.456362,-0.203371952,-9.630260080000001,2.5816274848,-1.55508981,3.78280645,-3.96742733,,,
imu,94.464772,-0.2284943696,-9.596763523200002,2.5923942352,-1.61490509,3.76037572,-3.84779677,,,
imu,94.473107,-0.2416537312,-9.574631869600001,2.6025628328,-1.82425857,3.73794499,-3.9449966,,,
imu,94.481517,-0.2356722032,-9.577024480800002,2.5965813048,-1.74948947,3.81271409,-3.84779677,,,
imu,94.489927,-0.2045682576000001,-9.5656595776,2.587609012800001,-1.78687402,3.93234465,-3.81041222,,,
imu,94.498337,-0.1848292152,-9.520798117600002,2.6252926392,-1.83173548,4.05945212,-3.75807385,,,
imu,94.506747,-0.1878199792,-9.5172092008,2.661779960000001,-1.80182784,3.81271409,-3.75059694,,,
imu,94.515189,-0.1932033544,-9.52558334,2.664770724000001,-1.65976655,3.58092988,-3.80293531,,,
imu,94.523631,-0.197390424,-9.5668558832,2.6629762656,-1.40555161,3.65569898,-3.82536604,,,
imu,94.532073,-0.1926052016,-9.576426328,2.6803226968,-1.34573633,3.5958837,-3.98985806,,,
imu,94.540515,-0.1758569232,-9.571042952800001,2.6833134608,-1.21115195,3.56597606,-3.82536604,,,
imu,94.548957,-0.1842310624,-9.557285438400001,2.697669128,-1.28592105,3.46129932,-3.73564312,,,
imu,94.557399,-0.1938015072,-9.519601812000001,2.7000617392,-1.42798234,3.47625314,-3.6459202,,,
imu,94.56584,-0.17944584,-9.5082369088,2.6958746696,-1.36816706,3.38653022,-3.39170526,,,
imu,94.574282,-0.16449202,-9.516611048000001,2.6970709752,-0.98684465,3.43139168,-3.10010577,,,
imu,94.582724,-0.1656883256,-9.519601812000001,2.6863042248,-1.09152139,3.34166876,-3.33936689,,,
imu,94.591166,-0.1782495344,-9.502255380800001,2.697669128,-1.12142903,3.13231528,-3.51133582,,,
imu,94.599608,-0.1710717008,-9.512423978400001,2.686902377600001,-0.92702937,3.01268472,-3.66835093,,,
imu,94.60805,-0.1638938672,-9.502853533600002,2.682715308000001,-0.68029134,2.78090051,-3.54124346,,,
imu,94.616492,-0.1597067976,-9.4765348104,2.667761488,-0.52327623,2.65379304,-3.69825857,,,
imu,94.624934,-0.197390424,-9.451412392800002,2.6791263912,-0.14195382,2.61640849,-3.69078166,,,
imu,94.633376,-0.2045682576000001,-9.450216087200001,2.6743411688,-0.05970781,2.6238854,-3.71321239,,,
imu,94.641818,-0.1866236736,-9.48072188,2.6659670296,0.15712258,2.60893158,-3.60853565,,,
imu,94.65026,-0.1896144376,-9.537546396000002,2.6635744184,0.41133752,2.64631613,-3.51881273,,,
imu,94.658702,-0.1818384512,-9.526181492800001,2.659387348800001,0.59078336,2.85566961,-3.496382,,,
imu,94.667144,-0.188418132,-9.519601812000001,2.6641725712,0.56835263,2.88557725,-3.56367419,,,
imu,94.675586,-0.200381188,-9.5423316184,2.6623781128,0.83004448,2.83323888,-3.60105874,,,
imu,94.684027,-0.191408896,-9.571641105600001,2.627685250400001,1.02444414,2.86314652,-3.71321239,,,
imu,94.692469,-0.1788476872,-9.602745051200001,2.613927736,1.18893616,2.8481927,-3.75059694,,,
imu,94.700911,-0.1932033544,-9.603343204000002,2.6121332776,1.15155161,2.80333124,-3.82536604,,,
imu,94.709353,-0.1896144376,-9.588389384000001,2.6031609856,0.97210577,2.72856214,-3.81041222,,,
imu,94.718174,-0.1650901728,-9.585398620000001,2.607946208,0.85995212,2.68370068,-3.82536604,,,
imu,94.726995,-0.1626975616,-9.585398620000001,2.6115351248,0.9272443100000001,2.58650085,-3.6459202,,,
imu,94.735816,-0.1477437416,-9.575230022400001,2.6115351248,0.80013684,2.5491163,-3.63844329,,,
imu,94.744637,-0.1423603664,-9.593772759200002,2.620507416800001,0.67302937,2.38462428,-3.61601256,,,
imu,94.753458,-0.1716698536,-9.596763523200002,2.6091425136,0.52349117,2.22013226,-3.73564312,,,
imu,94.762279,-0.1567160336,-9.528574104,2.6474242928,0.47862971,1.98834805,-3.66835093,,,
imu,94.7711,-0.1573141864,-9.5184055064,2.6623781128,0.40386061,1.92105586,-3.51881273,,,
imu,94.77992,-0.1902125904,-9.6434194416,2.5953849992,0.65807555,1.88367131,-3.56367419,,,
imu,94.788741,-0.2195220776,-9.618297024,2.5965813048,0.65059864,1.7266562,-3.52628964,,,
imu,94.797562,-0.1028822816,-9.6428212888,2.613329583200001,0.43376825,1.71170238,-3.36927453,,,
imu,94.806383,-0.1513326584,-9.613511801600001,2.610936972000001,0.12721494,1.53225654,-3.39918217,,,
imu,94.815204,-0.191408896,-9.609922884800001,2.6306760144,0.0001074699999999984,1.11354958,-3.75807385,,,
imu,94.824025,-0.1812402984,-9.595567217600001,2.655200279200001,-0.05970781,1.02382666,-3.75059694,,,
imu,94.832846,-0.1740624648,-9.606333968000001,2.6360593896,-0.26906129,0.86681155,-3.61601256,,,
imu,94.841667,-0.1866236736,-9.613511801600001,2.643835376000001,-0.41859949,0.7322271699999998,-3.35432071,,,
imu,94.850488,-0.2266999112,-9.588389384000001,2.6402464592,-0.65786061,0.6275504299999999,-3.35432071,,,
imu,94.859309,-0.2380648144,-9.555490980000002,2.646227987200001,-0.68029134,0.6275504299999999,-3.36179762,,,
imu,94.86813,-0.245242648,-9.548313146400002,2.6426390704,-0.7999219,0.6798887999999996,-3.26459779,,,
imu,94.87695,-0.2554112456,-9.5184055064,2.6324704728,-0.7550604399999999,0.7696117199999999,-3.17487487,,,
imu,94.885771,-0.2542149400000001,-9.514218436800002,2.6360593896,-0.73262971,0.8294269999999999,-3.03281358,,,
imu,94.894592,-0.2356722032,-9.519601812000001,2.655200279200001,-0.54570696,0.9191499199999997,-2.80850628,,,
imu,94.903413,-0.2237091472,-9.516012895200001,2.6492187512,-0.29149202,1.15093413,-2.59167589,,,
imu,94.912234,-0.2021756464,-9.5148165896,2.6635744184,-0.03727708,1.29299542,-2.5243837,,,
imu,94.920754,-0.188418132,-9.536350090400001,2.67673378,0.17955331,1.22570323,-2.68887572,,,
imu,94.929273,-0.1746606176,-9.5423316184,2.659387348800001,0.34404533,1.18831868,-2.86084465,,,
imu,94.937793,-0.1902125904,-9.551902063200002,2.658789196,0.57582954,1.28551851,-2.93561375,,,
imu,94.946312,-0.1991848824,-9.5381445488,2.6719485576,0.55339881,1.21822632,-3.10010577,,,
imu,94.954832,-0.1979885768,-9.536948243200001,2.6659670296,0.67302937,1.15093413,-3.28702852,,,
imu,94.963351,-0.2039701048,-9.573435564,2.671350404800001,0.50853735,1.24813396,-3.36179762,,,
imu,94.97187,-0.20935348,-9.5740337168,2.6910894472,0.27675314,1.11354958,-3.41413599,,,
imu,94.98039,-0.2320832864,-9.574631869600001,2.7138192536,0.21693786,0.9789651999999998,-3.88518132,,,
imu,94.988909,-0.2763465936,-9.593174606400002,2.712622948,0.02253820000000001,0.9415806499999997,-4.35622665,,,
imu,94.997429,-0.2775428992,-9.605735815200001,2.6934820584,-0.17933837,1.00887284,-4.35622665,,,
imu,95.005948,-0.2715613712,-9.576426328,2.6958746696,-0.31392275,1.24813396,-4.034719519999999,,,
imu,95.014468,-0.2667761488000001,-9.519601812000001,2.706043267200001,-0.40364567,1.42010289,-3.69825857,,,
imu,95.022987,-0.2637853848,-9.498666464000001,2.7198007816,-0.26906129,1.71917929,-3.15244414,,,
imu,95.031507,-0.2518223288000001,-9.520798117600002,2.699463586400001,0.01506129,1.94348659,-2.65896808,,,
imu,95.040026,-0.2225128416,-9.5291722568,2.680920849600001,0.26179932,1.90610204,-2.62906044,,,
imu,95.048546,-0.1746606176,-9.507638756,2.6725467104,0.36647606,1.90610204,-2.75616791,,,
imu,95.057065,-0.1698753952,-9.4735440464,2.703650656000001,0.5459219,1.74908693,-2.81598319,,,
imu,95.065585,-0.1728661592,-9.471151435200001,2.697669128,0.8823828499999999,1.64441019,-3.00290594,,,
imu,95.074104,-0.1890162848,-9.477132963200003,2.6892949888,1.05435178,1.47991817,-3.32441307,,,
imu,95.082624,-0.2039701048,-9.504647992000002,2.6641725712,1.00949032,1.3528107,-3.46647436,,,
imu,95.091143,-0.2284943696,-9.482516338400002,2.6749393216,1.19641307,1.36028761,-3.45152054,,,
imu,95.099663,-0.2398592728,-9.478927421600002,2.680920849600001,1.39081273,1.41262598,-3.37675144,,,
imu,95.108182,-0.2338777448,-9.510031367200002,2.6695559464,1.39828964,1.61450255,-3.27955161,,,
imu,95.116702,-0.2374666616,-9.522592576000001,2.6563965848,1.77213514,1.83133294,-2.94309066,,,
imu,95.125118,-0.2410555784,-9.541135312800002,2.6360593896,1.85438115,1.92853277,-2.77859864,,,
imu,95.133535,-0.2308869808,-9.549509452,2.638452000800001,1.98896553,2.04816333,-2.71130645,,,
imu,95.141951,-0.230288828,-9.5656595776,2.6169185,2.0413039,2.06311715,-2.8982292,,,
imu,95.150368,-0.2225128416,-9.573435564,2.6157221944,2.19831901,2.08554788,-3.27955161,,,
imu,95.158784,-0.2147368552,-9.597361676,2.6145258888,2.31047266,2.10797861,-3.43656672,,,
imu,95.167201,-0.2219146888,-9.6051376624,2.5977776104,2.06373463,2.1005017,-3.6459202,,,
imu,95.175617,-0.2314851336,-9.6117173432,2.6103388192,2.16841137,2.06311715,-3.69825857,,,
imu,95.184034,-0.2380648144,-9.619493329600001,2.6157221944,1.93662716,2.03320951,-3.65339711,,,
imu,95.19245,-0.2171294664,-9.618895176800002,2.6115351248,1.57773548,2.14536316,-3.72816621,,,
imu,95.200867,-0.2171294664,-9.613511801600001,2.6300778616,1.33847436,2.41453192,-3.63096638,,,
imu,95.209283,-0.2141387024,-9.632054538400002,2.6504150568,1.00201341,2.29490136,-3.54872037,,,
imu,95.2177,-0.2045682576000001,-9.620091482400001,2.6306760144,0.68050628,2.33228591,-3.38422835,,,
imu,95.226116,-0.1830347568,-9.5985579816,2.6306760144,0.56087572,2.3995781,-3.17487487,,,
imu,95.234533,-0.176455076,-9.5812115504,2.6217037224,0.42629134,2.48930102,-3.08515195,,,
imu,95.242949,-0.1668846312,-9.5812115504,2.615124041600001,0.41881443,2.44443956,-3.08515195,,,
imu,95.251366,-0.173464312,-9.5740337168,2.6145258888,0.620691,2.41453192,-2.96552139,,,
imu,95.259782,-0.1806421456,-9.557883591200001,2.6360593896,0.73284465,2.27247063,-3.20478251,,,
imu,95.268199,-0.1979885768,-9.593772759200002,2.6396483064,0.63564482,2.05564024,-3.66087402,,,
imu,95.276615,-0.2015774936,-9.616502565600001,2.6360593896,0.5982602699999999,1.99582496,-3.88518132,,,
imu,95.285032,-0.1896144376,-9.616502565600001,2.655798432,0.43376825,2.04816333,-3.78050458,,,
imu,95.293448,-0.2201202304,-9.596165370400001,2.6635744184,0.27675314,2.16031698,-3.63844329,,,
imu,95.301865,-0.233279592,-9.5877912312,2.680920849600001,-0.02232326000000001,2.26499372,-3.6459202,,,
imu,95.310281,-0.2356722032,-9.575828175200002,2.678528238400001,-0.19429219,2.33228591,-3.40665908,,,
imu,95.318698,-0.2243073,-9.5776226336,2.6695559464,-0.32139966,2.43696265,-3.16739796,,,
imu,95.327163,-0.212344244,-9.567454036,2.6665651824,-0.29896893,2.51920866,-3.21973633,,,
imu,95.335627,-0.1938015072,-9.541135312800002,2.6605836544,-0.26906129,2.49677793,-3.38422835,,,
imu,95.344092,-0.1812402984,-9.501657228000001,2.6581910432,-0.08213854000000001,2.51173175,-3.5711511,,,
imu,95.352557,-0.1716698536,-9.513620284000002,2.648022445600001,0.23936859,2.50425484,-3.75807385,,,
imu,95.361022,-0.188418132,-9.523190728800001,2.6641725712,0.5010604399999999,2.48182411,-3.9449966,,,
imu,95.369487,-0.2051664104,-9.5447242296,2.6540039736,0.8674290299999999,2.50425484,-4.079580979999999,,,
imu,95.377951,-0.2069608688,-9.549509452,2.6516113624,0.8823828499999999,2.60893158,-4.04967334,,,
imu,95.386416,-0.1979885768,-9.533359326400001,2.648022445600001,0.80761375,2.55659321,-3.98238115,,,
imu,95.394881,-0.1872218264,-9.5172092008,2.6516113624,0.80761375,2.59397776,-4.02724261,,,
imu,95.403346,-0.1920070488,-9.531564868,2.6366575424,0.83004448,2.49677793,-4.13191935,,,
imu,95.411811,-0.212344244,-9.540537160000001,2.6360593896,0.85995212,2.57154703,-4.079580979999999,,,
imu,95.420275,-0.206362716,-9.5213962704,2.6282834032,0.8749059399999999,2.55659321,-4.13191935,,,
imu,95.42874,-0.2261017584,-9.507638756,2.634863084,0.79265993,2.57154703,-4.15435008,,,
imu,95.437205,-0.2290925224000001,-9.522592576000001,2.6306760144,0.8973366700000001,2.56407012,-3.97490424,,,
imu,95.44567,-0.2165313136,-9.530368562400001,2.6181148056,1.09173633,2.65379304,-3.75059694,,,
imu,95.454135,-0.1908107432,-9.5393408544,2.6193111112,1.18145925,2.70613141,-3.63096638,,,
imu,95.4626,-0.1967922712,-9.527377798400002,2.631872320000001,0.97958268,2.42200883,-3.81788913,,,
imu,95.471064,-0.206362716,-9.537546396000002,2.622900028000001,0.9870595899999999,2.30237827,-3.77302767,,,
imu,95.479529,-0.2141387024,-9.551303910400001,2.625890792,1.03192105,2.28742445,-3.84779677,,,
imu,95.487994,-0.2255036056,-9.579417092000002,2.6264889448,1.09173633,2.25751681,-3.82536604,,,
imu,95.496459,-0.2619909264,-9.602745051200001,2.620507416800001,1.1440747,2.34723973,-3.83284295,,,
imu,95.504924,-0.3068523864000001,-9.603343204000002,2.6169185,0.9646288599999999,2.57902394,-3.8702275,,,
imu,95.513388,-0.3720510416,-9.6248767048,2.6181148056,0.9197674,2.97530017,-3.9449966,,,
imu,95.521853,-0.4462219888000001,-9.6326526912,2.6270870976,0.78518302,3.5211146,-4.11696553,,,
imu,95.530324,-0.5012520464000001,-9.6224840936,2.637853848,0.4711528,4.20899032,-4.42351884,,,
imu,95.538796,-0.5126169496,-9.6117173432,2.631872320000001,0.35899915,5.263234629999999,-4.78241052,,,
imu,95.547267,-0.4737370176,-9.591978300800001,2.6336667784,0.17955331,6.16794074,-5.08148692,,,
imu,95.555738,-0.4575868920000001,-9.5698466472,2.613329583200001,0.14964567,7.09507758,-5.34317877,,,
imu,95.564464,-0.4282774048000001,-9.5429297712,2.6163203472,0.11226112,7.865199309999999,-5.65720899,,,
imu,95.572935,-0.4139217376000001,-9.526779645600001,2.6312741672,0.18703022,8.38858301,-5.97123921,,,
imu,95.581406,-0.3762381112000001,-9.514218436800002,2.622900028000001,0.42629134,9.00168963,-6.113300499999999,,,
imu,95.589877,-0.3756399584,-9.474142199200001,2.6211055696,0.64312173,9.45778114,-6.08339286,,,
imu,95.598348,-0.3092449976000001,-9.569248494400002,2.6187129584,0.97210577,9.63722698,-5.9637623,,,
imu,95.606819,-0.2769447464000001,-9.593772759200002,2.5852164016,1.23379762,9.846580459999998,-5.69459354,,,
imu,95.615291,-0.2823281216,-9.606333968000001,2.6007683744,1.15155161,9.794242090000001,-5.73197809,,,
imu,95.623762,-0.3026653168,-9.613511801600001,2.6181148056,0.9646288599999999,9.794242090000001,-5.46280933,,,
imu,95.632233,-0.3068523864000001,-9.6051376624,2.625890792,0.82256757,9.913872649999998,-5.328224949999999,,,
imu,95.640704,-0.3074505392,-9.599754287200001,2.6223018752,0.65059864,9.846580459999998,-5.08148692,,,
imu,95.649175,-0.2930948720000001,-9.594370912,2.6115351248,0.52349117,9.98116484,-4.81979507,,,
imu,95.657647,-0.2799355104,-9.609922884800001,2.6073480552,0.32909151,9.98116484,-4.430995749999999,,,
imu,95.666118,-0.2595983152,-9.566257730400002,2.6031609856,-0.007369440000000005,9.93630338,-4.04219643,,,
imu,95.674589,-0.2051664104,-9.524387034400002,2.6211055696,-0.06718472,10.10827231,-3.82536604,,,
