Type,Timestamp,Data Accelerometer X,Data Accelerometer Y,Data Accelerometer Z,Data Gyroscope X,Data Gyroscope Y,Data Gyroscope Z,Data Magnetometer X,Data Magnetometer Y,Data Magnetometer Z
imu,326.269365,-0.3983697648000001,-9.635045302400002,2.736549060000001,4.10493106,0.27613566,-4.89456417,,,
imu,326.277958,-0.3965753064,-9.636241608,2.7317638376,3.90305449,0.5153967799999997,-4.363703559999999,,,
imu,326.286551,-0.4049494456000001,-9.661364025600001,2.7353527544,3.66379337,0.4555814999999996,-4.169303899999999,,,
imu,326.295145,-0.4031549872,-9.636241608,2.7048469616,3.40210152,0.3733354899999997,-4.11696553,,,
imu,326.303738,-0.4228940296000001,-9.631456385600002,2.7239878512,2.97591765,0.3733354899999997,-4.102011709999999,,,
imu,326.312331,-0.4390441552000001,-9.6218859408,2.713221100800001,2.69927198,0.2611818399999999,-4.28145755,,,
imu,326.320924,-0.4617739616000001,-9.627867468800002,2.6863042248,2.43758013,0.3135202100000001,-4.34874974,,,
imu,326.329517,-0.4528016696000001,-9.627867468800002,2.6892949888,2.28804193,0.3882893099999998,-3.86275059,,,
imu,326.338111,-0.4462219888000001,-9.6218859408,2.706043267200001,1.98896553,0.33595094,-3.54124346,,,
imu,326.346704,-0.4444275304,-9.620689635200002,2.7078377256,1.65998149,0.2836125699999998,-3.5711511,,,
imu,326.355297,-0.4480164472000001,-9.5985579816,2.6916876,1.38333582,-0.01546383000000029,-3.75059694,,,
imu,326.36389,-0.4647647256,-9.5842023144,2.692285752800001,1.35342818,-0.01546383000000029,-3.45152054,,,
imu,326.372484,-0.4743351704000001,-9.536948243200001,2.6940802112,1.19641307,0.1415512799999998,-2.91318302,,,
imu,326.381077,-0.4958686712000001,-9.523190728800001,2.6928839056,1.10669015,0.1415512799999998,-2.59167589,,,
imu,326.38967,-0.4982612824000001,-9.534555632000002,2.682715308000001,1.27118217,0.27613566,-2.21035348,,,
imu,326.398263,-0.5006538936,-9.558481744000002,2.673743016,1.54035093,0.8219500899999996,-1.81407725,,,
imu,326.406857,-0.4946723656000001,-9.558481744000002,2.6540039736,1.55530475,1.13598031,-1.47013939,,,
imu,326.41545,-0.4611758088,-9.539939007200001,2.634264931200001,1.68241222,1.47991817,-1.31312428,,,
imu,326.424043,-0.4145198904,-9.549509452,2.6270870976,1.7422275,1.74161002,-1.24583209,,,
imu,326.432636,-0.3953790008,-9.558481744000002,2.6073480552,1.98896553,2.01825569,-1.14863226,,,
imu,326.441313,-0.3666676664,-9.571042952800001,2.58701086,2.02635008,2.13040934,-1.28321664,,,
imu,326.449989,-0.3313766512,-9.5698466472,2.5732533456,2.13102682,2.24256299,-1.41032411,,,
imu,326.458665,-0.2936930248,-9.561472508000001,2.5864127072,1.91419643,2.30985518,-1.61220068,,,
imu,326.467342,-0.2524204816,-9.557883591200001,2.5816274848,1.87681188,2.38462428,-1.52995467,,,
imu,326.476018,-0.2368685088,-9.5566872856,2.6025628328,1.80204278,2.23508608,-1.55986231,,,
imu,326.484694,-0.227298064,-9.573435564,2.607946208,1.90671952,2.13788625,-1.54490849,,,
imu,326.49337,-0.2326814392,-9.578818939200001,2.6103388192,1.92167334,2.0257326,-1.57481613,,,
imu,326.502047,-0.2530186344000001,-9.590183842400002,2.6115351248,1.73475059,1.85376367,-1.72435433,,,
imu,326.510723,-0.2649816904,-9.606932120800002,2.6193111112,1.60764312,1.70422547,-2.03090764,,,
imu,326.519399,-0.2907022608000001,-9.6248767048,2.6157221944,1.75718132,1.62197946,-2.30755331,,,
imu,326.528075,-0.3092449976000001,-9.630260080000001,2.6121332776,1.5926893,1.61450255,-2.3000764,,,
imu,326.536752,-0.3056560808,-9.619493329600001,2.597179457600001,1.51044329,1.63693328,-2.36736859,,,
imu,326.545428,-0.3134320672,-9.609922884800001,2.619909264,1.45810492,1.75656384,-2.44213769,,,
imu,326.554104,-0.3164228312,-9.597361676,2.615124041600001,1.27865908,1.73413311,-2.71878336,,,
imu,326.562781,-0.3194135952000001,-9.6015487456,2.6217037224,1.21136689,1.6518871,-2.89075229,,,
imu,326.571457,-0.2907022608000001,-9.597361676,2.631872320000001,1.12912088,1.88367131,-2.81598319,,,
imu,326.580133,-0.2793373576,-9.602745051200001,2.6534058208,0.9571519499999999,1.8014253,-3.01038285,,,
imu,326.588809,-0.2739539824000001,-9.599754287200001,2.668957793600001,0.7552753799999999,1.59207182,-3.09262886,,,
imu,326.597486,-0.2607946208,-9.6218859408,2.670752252,0.53844499,1.4275798,-3.1973056,,,
imu,326.606162,-0.2536167872,-9.623680399200001,2.6653688768,0.41133752,1.34533379,-3.16739796,,,
imu,326.614838,-0.2619909264,-9.621287788000002,2.673743016,0.23189168,1.15093413,-3.09262886,,,
imu,326.623515,-0.3146283728000001,-9.623082246400001,2.6880986832,-0.08961545,0.9565344699999998,-3.18982869,,,
imu,326.632191,-0.3236006648,-9.608128426400002,2.6910894472,-0.33635348,0.8892422799999999,-3.14496723,,,
imu,326.640845,-0.3337692624,-9.5704448,2.7000617392,-0.40364567,1.03878048,-3.06272122,,,
imu,326.649499,-0.3391526376000001,-9.530966715200002,2.6839116136,-0.60552224,1.03130357,-3.00290594,,,
imu,326.658154,-0.3541064576,-9.492684936000002,2.686902377600001,-0.38121494,1.27056469,-2.69635263,,,
imu,326.666808,-0.3499193880000001,-9.4765348104,2.689893141600001,-0.21672292,1.34533379,-2.56924516,,,
imu,326.675462,-0.3499193880000001,-9.499862769600002,2.685706072000001,-0.07466163,1.58459491,-2.36736859,,,
imu,326.684116,-0.3182172896000001,-9.514218436800002,2.6629762656,0.14216876,1.85376367,-2.20287657,,,
imu,326.692771,-0.3128339144,-9.527377798400002,2.6629762656,0.29918387,1.97339423,-2.21035348,,,
imu,326.701425,-0.311039456,-9.530966715200002,2.655798432,0.49358353,2.12293243,-2.20287657,,,
imu,326.710079,-0.2936930248,-9.5632669664,2.637853848,0.55339881,2.19770153,-2.1505382,,,
imu,326.718734,-0.296085636,-9.579417092000002,2.6282834032,0.56087572,2.36219355,-2.32250713,,,
imu,326.727388,-0.2978800944000001,-9.596165370400001,2.6252926392,0.40386061,2.56407012,-2.5243837,,,
imu,326.736042,-0.2924967192,-9.618895176800002,2.6252926392,0.17955331,2.66874686,-2.748691,,,
imu,326.744696,-0.2924967192,-9.654186192000001,2.6217037224,-0.02232326000000001,2.74351596,-2.98795212,,,
imu,326.753351,-0.2895059552,-9.669140012000002,2.6175166528,-0.32139966,2.78837742,-3.16739796,,,
