Time,CoG Acceleration/X,CoG Acceleration/Y,CoG position/X,CoG position/Y,CoG position/Roll,CoG position/Pitch,CoG position/Yaw,Horizontal tangential speed,Over-steering criteria2,Pitch %ground,Pitch acceleration,Pitch speed,Roll %ground,Roll acceleration,Roll speed,Slope force,Speed/X,Speed/Y,Tangent Acceleration/X,Tangent Acceleration/Y,Tangential speed,Yaw %ground,Yaw acceleration,Yaw speed,Brake pedal force,Gas pedal,Steering wheel angle,Steering wheel speed,Intersection Id,Lane gap,CoG Acceleration/X.1,CoG Acceleration/Y.1,CoG position/X.1,CoG position/Y.1,Pitch acceleration.1,Pitch speed.1,Roll acceleration.1,Roll speed.1,Speed/X.1,Speed/Y.1,Tangential speed.1,Yaw acceleration.1,Yaw speed.1,CoG Acceleration/X.2,CoG Acceleration/Y.2,CoG position/X.2,CoG position/Y.2,Pitch acceleration.2,Pitch speed.2,Roll acceleration.2,Roll speed.2,Speed/X.2,Speed/Y.2,Tangential speed.2,Yaw acceleration.2,Yaw speed.2,CoG Acceleration/X.3,CoG Acceleration/Y.3,CoG position/X.3,CoG position/Y.3,Pitch acceleration.3,Pitch speed.3,Roll acceleration.3,Roll speed.3,Speed/X.3,Speed/Y.3,Tangential speed.3,Yaw acceleration.3,Yaw speed.3,CoG Acceleration/X.4,CoG Acceleration/Y.4,CoG position/X.4,CoG position/Y.4,Pitch acceleration.4,Pitch speed.4,Roll acceleration.4,Roll speed.4,Speed/X.4,Speed/Y.4,Tangential speed.4,Yaw acceleration.4,Yaw speed.4,ExportChannel/1,ExportChannel/4,ExportChannel/3,distance_to_inter_0,distance_to_inter_1,distance_to_inter_2
401.373,10.9631,0.0103537,1898.46,7.67122,0.000116192,-0.513029,-179.763,1240.55,-0.000128596,-0.512929,-178.186,0.0494025,0.000116192,0.918755,0.000400175,-0.00333748,4.4658,0.000937481,10.9627,0.00805228,4.46599,-179.763,-1.27436,0.00929826,0.0,0.355359,0.504,0,-1.0,0.270743,1.6498,7.67e-05,1850.53,-6.73328,0,0.0,0,0.0,15.93,-6.9e-06,15.93,0,0.000992563,0.98,0.0487843,1261.04,-0.0682113,0,-2.73e-19,0,2.7e-17,11.1284,-0.00439127,11.1284,0,0.903962,-1.21e-10,0.377388,6111.24,665.644,0,2.58e-12,0,2.48e-17,54.0,-0.0339695,54.0,0,1.44152,2.71e-10,-0.306432,6624.49,-598.404,0,1.34e-09,0,-2.17e-08,48.5,0.0275818,48.5,0,-1.30322,999.0,2.0,1.0,3378.170051560408,2577.5490014087895,17.432647024717795
401.389,10.9741,0.0188479,1898.44,7.67114,0.000111619,-0.511563,-179.763,1245.61,-0.000714821,-0.511463,-178.715,0.0438094,0.000111619,2.57112,-0.00149806,-0.00332823,4.48401,0.000961392,10.9735,0.016495,4.4842,-179.763,-0.369886,0.00914313,0.0,0.361941,0.504,0,-1.0,0.270782,1.64979,7.7e-05,1850.61,-6.7332,0,0.0,0,0.0,16.0378,-6.93e-06,16.0378,0,0.000989761,0.98,0.0504855,1261.1,-0.067252,0,-2.84e-19,0,2.62e-17,11.1924,-0.00454517,11.1924,0,0.930154,-2.55e-10,0.37739,6110.98,665.554,0,3.99e-12,0,3.87e-17,54.0,-0.0339775,54.0,0,1.44152,1.7e-10,-0.306432,6624.28,-598.534,0,2.28e-09,0,-2.17e-08,48.5,0.0275855,48.5,0,-1.30322,999.0,2.0,1.0,3378.1900515461266,2577.5690014061347,17.412651460923545
401.405,10.9565,0.0162526,1898.42,7.67105,9.42e-05,-0.510234,-179.762,1250.69,0.000540134,-0.510135,-178.395,0.0344848,9.42e-05,2.16009,-0.00113822,-0.0033181,4.50229,0.00100722,10.956,0.0138015,4.50248,-179.762,1.16014,0.0100353,0.0,0.368523,0.504,0,-1.0,0.270821,1.64979,7.72e-05,1850.7,-6.73312,0,0.0,0,0.0,16.1456,-6.95e-06,16.1456,0,0.000986751,0.98,0.0522225,1261.15,-0.0662779,0,-2.94e-19,0,2.55e-17,11.2564,-0.004702,11.2564,0,0.956864,-2.65e-10,0.377392,6110.73,665.464,0,5.43e-12,0,5.27e-17,54.0,-0.0339832,54.0,0,1.44153,1.34e-10,-0.306432,6624.08,-598.665,0,2.72e-09,0,-2.17e-08,48.5,0.0275882,48.5,0,-1.30322,999.0,2.0,1.0,3378.2100515301,2577.589001403153,17.392656082453406
401.421,10.953,-0.00552749,1898.4,7.67096,9.31e-05,-0.509022,-179.762,1255.76,-0.000287425,-0.508923,-178.201,0.0289598,9.31e-05,-0.965264,0.000402057,-0.00331005,4.52057,0.000953143,10.9525,-0.00783685,4.52075,-179.762,-0.614888,0.00935759,0.0,0.365232,0.504,0,-1.0,0.27086,1.64979,7.74e-05,1850.78,-6.73304,0,0.0,0,0.0,16.2533,-6.97e-06,16.2533,0,0.000982659,0.98,0.0541459,1261.21,-0.0652264,0,-3.05e-19,0,2.47e-17,11.3204,-0.00487409,11.3204,0,0.986264,3.73e-10,0.37739,6110.47,665.374,0,6.93e-12,0,6.76e-17,54.0,-0.0339765,54.0,0,1.44152,4.38e-10,-0.306433,6623.87,-598.795,0,5.16e-10,0,-2.17e-08,48.5,0.0275855,48.5,0,-1.30322,999.0,2.0,1.0,3378.230051514077,2577.609001400174,17.372660715089214
401.437,10.943,0.0476507,1898.38,7.67087,0.00010483,-0.507881,-179.762,1260.84,0.000295261,-0.507782,-177.85,0.025368,0.00010483,4.78726,0.00105744,-0.00330268,4.53884,0.000992137,10.9425,0.0452587,4.53902,-179.762,0.543992,0.00951581,0.0,0.365232,0.495,0,-1.0,0.2709,1.64978,7.76e-05,1850.86,-6.73296,0,0.0,0,0.0,16.361,-6.98e-06,16.361,0,0.000978567,0.98,0.0560693,1261.27,-0.0641749,0,-3.15e-19,0,2.39e-17,11.3844,-0.00504619,11.3844,0,1.01566,1.01e-09,0.377388,6110.21,665.284,0,8.44e-12,0,8.24e-17,54.0,-0.0339699,54.0,0,1.44152,7.41e-10,-0.306435,6623.66,-598.926,0,-1.69e-09,0,-2.17e-08,48.5,0.0275829,48.5,0,-1.30323,999.0,2.0,1.0,3378.250051498056,2577.629001397198,17.352665358869363
401.453,10.9191,-0.0209669,1898.36,7.67079,0.000108941,-0.506778,-179.762,1265.93,-6.75e-05,-0.506679,-177.309,0.0241557,0.000108941,-2.09082,0.000226936,-0.00329681,4.55718,0.000930076,10.9187,-0.0231954,4.55736,-179.762,0.823385,0.00997537,0.0,0.371814,0.495,0,-1.0,0.27094,1.64978,7.78e-05,1850.94,-6.73288,0,0.0,0,0.0,16.4686,-7e-06,16.4686,0,0.000973976,0.98,0.0580201,1261.33,-0.0630835,0,-3.25e-19,0,2.31e-17,11.4483,-0.0052212,11.4483,0,1.04519,1.2e-09,0.377386,6109.96,665.194,0,8.88e-12,0,8.68e-17,54.0,-0.0339656,54.0,0,1.44151,8.3e-10,-0.306434,6623.46,-599.056,0,-3.25e-09,0,-2.17e-08,48.5,0.0275811,48.5,0,-1.30323,999.0,2.0,1.0,3378.270051483784,2577.6490013945545,17.332669838316814
401.469,10.9266,0.0035461,1898.34,7.6707,0.000122048,-0.5057,-179.762,1271.05,1.04e-05,-0.505601,-177.617,0.0219628,0.000122048,1.33018,0.00089585,-0.0032909,4.57559,0.000922407,10.9261,0.00134334,4.57577,-179.762,1.33885,0.00993245,0.0,0.368523,0.495,0,-1.0,0.27098,1.64978,7.78e-05,1851.03,-6.73279,0,0.0,0,0.0,16.5763,-7e-06,16.5763,0,0.000968648,0.98,0.0600113,1261.39,-0.0619334,0,-3.35e-19,0,2.23e-17,11.5123,-0.00540053,11.5123,0,1.0749,7.19e-10,0.377384,6109.7,665.103,0,7.74e-12,0,7.56e-17,54.0,-0.0339649,54.0,0,1.4415,6.01e-10,-0.306432,6623.25,-599.186,0,-3.86e-09,0,-2.17e-08,48.5,0.0275805,48.5,0,-1.30322,999.0,2.0,1.0,3378.290051467767,2577.6690013915845,17.31267450424683
401.485,10.9348,0.0144347,1898.32,7.67061,0.000131257,-0.504664,-179.762,1276.2,-0.000232121,-0.504565,-177.434,0.0194094,0.000131257,1.03931,0.00037231,-0.00328539,4.59412,0.000965471,10.9344,0.0121366,4.59431,-179.762,-0.676097,0.00968243,0.0,0.371814,0.495,0,-1.0,0.27102,1.64978,7.79e-05,1851.11,-6.73271,0,0.0,0,0.0,16.6839,-7.01e-06,16.6839,0,0.00096332,0.98,0.0620024,1261.44,-0.0607832,0,-3.45e-19,0,2.14e-17,11.5762,-0.00557987,11.5762,0,1.10462,2.39e-10,0.377382,6109.44,665.013,0,6.61e-12,0,6.45e-17,54.0,-0.0339642,54.0,0,1.44149,3.72e-10,-0.30643,6623.05,-599.316,0,-4.47e-09,0,-2.17e-08,48.5,0.02758,48.5,0,-1.30321,999.0,2.0,1.0,3378.310051451754,2577.6890013886186,17.292679181436828
401.501,10.9394,0.00414457,1898.3,7.67052,0.000130472,-0.503668,-179.761,1281.34,-0.000201281,-0.50357,-177.582,0.0166929,0.000130472,0.22591,-8.57e-05,-0.00328003,4.61263,0.00098449,10.939,0.0018097,4.61282,-179.761,0.0454198,0.00997148,0.0,0.371814,0.495,0,-1.0,0.27106,1.64977,7.79e-05,1851.2,-6.73262,0,0.0,0,0.0,16.7916,-7.01e-06,16.7916,0,0.000957213,0.98,0.0640742,1261.5,-0.0595638,0,-3.55e-19,0,2.05e-17,11.6402,-0.00576629,11.6402,0,1.13516,-1.71e-11,0.377381,6109.19,664.922,0,6.68e-12,0,6.52e-17,54.0,-0.0339643,54.0,0,1.44149,2.4e-10,-0.306429,6622.84,-599.446,0,-5.61e-09,0,-2.17e-08,48.5,0.0275802,48.5,0,-1.30321,999.0,2.0,1.0,3378.330051435743,2577.7090013856546,17.27268386992593
401.517,10.898,0.00295969,1898.28,7.67043,0.000138814,-0.502711,-179.761,1286.49,-0.000154917,-0.502613,-177.072,0.0144716,0.000138814,0.767324,0.000929859,-0.00327494,4.63119,0.00091376,10.8976,0.000809372,4.63138,-179.761,0.841492,0.0100049,0.0,0.375106,0.495,0,-1.0,0.271101,1.64977,7.79e-05,1851.28,-6.73254,0,0.0,0,0.0,16.8993,-7.01e-06,16.8993,0,0.000950678,0.98,0.0661901,1261.56,-0.0583064,0,-3.64e-19,0,1.96e-17,11.7042,-0.00595661,11.7042,0,1.16617,-1.51e-10,0.377382,6108.93,664.831,0,7.41e-12,0,7.24e-17,54.0,-0.0339649,54.0,0,1.44149,1.61e-10,-0.306428,6622.63,-599.576,0,-7.05e-09,0,-2.17e-08,48.5,0.0275807,48.5,0,-1.3032,999.0,2.0,1.0,3378.3500514197353,2577.729001382695,17.252688569753413
