ï»¿Time,CoG Acceleration/X,CoG Acceleration/Y,CoG position/X,CoG position/Y,CoG position/Roll,CoG position/Pitch,CoG position/Yaw,Horizontal tangential speed,Over-steering criteria2,Pitch %ground,Pitch acceleration,Pitch speed,Roll %ground,Roll acceleration,Roll speed,Slope force,Speed/X,Speed/Y,Tangent Acceleration/X,Tangent Acceleration/Y,Tangential speed,Yaw %ground,Yaw acceleration,Yaw speed,Brake pedal force,Gas pedal,Steering wheel angle,Steering wheel speed,Intersection Id,Lane gap,CoG Acceleration/X.1,CoG Acceleration/Y.1,CoG position/X.1,CoG position/Y.1,Pitch acceleration.1,Pitch speed.1,Roll acceleration.1,Roll speed.1,Speed/X.1,Speed/Y.1,Tangential speed.1,Yaw acceleration.1,Yaw speed.1,CoG Acceleration/X.2,CoG Acceleration/Y.2,CoG position/X.2,CoG position/Y.2,Pitch acceleration.2,Pitch speed.2,Roll acceleration.2,Roll speed.2,Speed/X.2,Speed/Y.2,Tangential speed.2,Yaw acceleration.2,Yaw speed.2,CoG Acceleration/X.3,CoG Acceleration/Y.3,CoG position/X.3,CoG position/Y.3,Pitch acceleration.3,Pitch speed.3,Roll acceleration.3,Roll speed.3,Speed/X.3,Speed/Y.3,Tangential speed.3,Yaw acceleration.3,Yaw speed.3,CoG Acceleration/X.4,CoG Acceleration/Y.4,CoG position/X.4,CoG position/Y.4,Pitch acceleration.4,Pitch speed.4,Roll acceleration.4,Roll speed.4,Speed/X.4,Speed/Y.4,Tangential speed.4,Yaw acceleration.4,Yaw speed.4,ExportChannel/1,ExportChannel/4,ExportChannel/3,Unnamed: 86,distance_to_inter_0,distance_to_inter_1,distance_to_inter_2
340.239,-0.00764758,-0.0562634,2984.88,11.4032,-0.0304154,-0.371694,179.607,20514.1,-3.85784e-05,-0.371619,-0.300807,-0.000735261,-0.0304154,-0.416563,-0.000582514,-0.00248085,73.8493,0.00885095,-0.00766579,-0.0562616,73.8509,-180.393,-0.569822,-0.158654,0.0,0.151314,-0.585,0,-1.0,-0.188185,0,0,387.381,-2.65536,0,0,0,0,0,0,0,0,0,0.98,0.000401289,2853.04,4.72856,0,-1.45439e-08,0,5.92603e-12,5.24227,-3.61038e-05,5.24227,0,0.0157854,0,0,3891.15,5.22,0,0,0,0,0,0,0,0,0,0,0,7394.6,17.7269,0,0,0,0,6.00001,0,6.00001,0,0,999.0,2.0,0.0,,4491.726318004253,891.2340905074489,103.0146648746675
340.255,-0.0250575,-0.0575019,2984.55,11.4054,-0.0304342,-0.371702,179.605,20513.7,-2.63528e-05,-0.371628,0.0182335,-0.000569118,-0.0304342,-0.228089,-0.00245182,-0.00248085,73.8478,0.00884107,-0.0250481,-0.0575003,73.8494,-180.395,-0.347072,-0.159044,0.0,0.151314,-0.585,0,-1.0,-0.186787,0,0,387.381,-2.65536,0,0,0,0,0,0,0,0,0,0.98,0.000438416,2853.07,4.72862,0,-1.48153e-08,0,6.46342e-12,5.30059,-3.94524e-05,5.30059,0,0.017034,0,0,3891.15,5.22,0,0,0,0,0,0,0,0,0,0,0,7394.57,17.7269,0,0,0,0,6.00001,0,6.00001,0,0,999.0,2.0,0.0,,4492.05631880921,891.5640935468181,102.68466121169251
340.271,-0.032447,-0.0595125,2984.22,11.4077,-0.0304516,-0.371715,179.602,20513.3,-6.72352e-05,-0.37164,0.103672,-0.000696024,-0.0304516,-0.471599,-0.000319933,-0.00248081,73.8463,0.00883038,-0.032452,-0.0595088,73.8479,-180.398,-0.168525,-0.159119,0.0,0.151314,-0.585,0,-1.0,-0.185283,0,0,387.381,-2.65536,0,0,0,0,0,0,0,0,0,0.98,0.000476215,2853.09,4.72869,0,-1.5101e-08,0,7.01247e-12,5.35939,-4.28634e-05,5.35939,0,0.0182988,0,0,3891.15,5.22,0,0,0,0,0,0,0,0,0,0,0,7394.54,17.7268,0,0,0,0,6.00001,0,6.00001,0,0,999.0,2.0,0.0,,4492.386319652852,891.8940967461832,102.35465643188878
340.287,-0.0220932,-0.057577,2983.89,11.4099,-0.030462,-0.371722,179.599,20512.9,-3.45793e-05,-0.371647,0.0709841,-0.000196496,-0.030462,-0.1107,-0.00135065,-0.0024811,73.8449,0.00882132,-0.0220871,-0.0575754,73.8465,-180.401,-0.0430567,-0.15956,0.0,0.151314,-0.594,0,-1.0,-0.183811,0,0,387.381,-2.65536,0,0,0,0,0,0,0,0,0,0.98,0.000514013,2853.12,4.72875,0,-1.53867e-08,0,7.56152e-12,5.4182,-4.62743e-05,5.4182,0,0.0195636,0,0,3891.15,5.22,0,0,0,0,0,0,0,0,0,0,0,7394.52,17.7268,0,0,0,0,6.00001,0,6.00001,0,0,999.0,2.0,0.0,,4492.716320459775,892.2240997920925,102.02465281494472
340.303,-0.0259379,-0.0559697,2983.56,11.4122,-0.0305025,-0.371729,179.597,20512.5,-4.99739e-05,-0.371655,-0.0217534,-0.000533831,-0.0305025,0.449398,-0.00285334,-0.002481,73.8435,0.0088045,-0.0259597,-0.0559654,73.8451,-180.403,-0.116091,-0.160264,0.0,0.148023,-0.594,0,-1.0,-0.182324,0,0,387.381,-2.65536,0,0,0,0,0,0,0,0,0,0.98,0.000561354,2853.14,4.72882,0,-1.56151e-08,0,8.18403e-12,5.47489,-5.05231e-05,5.47489,0,0.0211163,0,0,3891.15,5.22,0,0,0,0,0,0,0,0,0,0,0,7394.49,17.7268,0,0,0,0,6.00001,0,6.00001,0,0,999.0,2.0,0.0,,4493.046321305473,892.5541029983783,101.69464807864777
340.319,-0.024858,-0.0584196,2983.24,11.4145,-0.0305414,-0.371738,179.594,20512.1,-5.32329e-05,-0.371664,0.0597085,-0.000273085,-0.0305414,0.0400931,-0.00235812,-0.00248125,73.8421,0.00879525,-0.0248434,-0.0584184,73.8436,-180.406,0.396589,-0.160411,0.0,0.151314,-0.603,-6,-1.0,-0.180822,0,0,387.381,-2.65536,0,0,0,0,0,0,0,0,0,0.98,0.000609859,2853.17,4.72888,0,-1.58366e-08,0,8.81551e-12,5.53132,-5.4874e-05,5.53132,0,0.0227041,0,0,3891.15,5.22,0,0,0,0,0,0,0,0,0,0,0,7394.46,17.7267,0,0,0,0,6.00001,0,6.00001,0,0,999.0,2.0,0.0,,4493.366322152941,892.8741062206083,101.37464270837154
340.335,-0.0486791,-0.0550228,2982.91,11.4168,-0.0305909,-0.371741,179.592,20511.7,-3.35461e-05,-0.371666,0.339602,1.02037e-06,-0.0305909,0.127436,-0.00336791,-0.00248129,73.8406,0.00877743,-0.0487172,-0.0550145,73.8422,-180.408,0.0944485,-0.16129,0.0,0.157896,-0.603,0,-1.0,-0.179306,0,0,387.381,-2.65536,0,0,0,0,0,0,0,0,0,0.98,0.000658364,2853.19,4.72895,0,-1.6058e-08,0,9.44699e-12,5.58774,-5.92249e-05,5.58774,0,0.0242919,0,0,3891.15,5.22,0,0,0,0,0,0,0,0,0,0,0,7394.44,17.7267,0,0,0,0,6.00001,0,6.00001,0,0,999.0,2.0,0.0,,4493.696323000748,893.2041094340308,101.0446380133058
340.351,-0.0323668,-0.0584014,2982.58,11.4191,-0.0306753,-0.371739,179.589,20511.3,-7.43154e-05,-0.371665,0.146057,5.72082e-05,-0.0306753,-0.0640031,-0.00595921,-0.00248154,73.8392,0.00874268,-0.0323655,-0.0583982,73.8408,-180.411,0.0826893,-0.16218,0.0,0.154605,-0.621,-6,-1.0,-0.177775,0,0,387.381,-2.65536,0,0,0,0,0,0,0,0,0,0.98,0.00071246,2853.22,4.72902,0,-1.62799e-08,0,1.01519e-11,5.64421,-6.41078e-05,5.64421,0,0.0260048,0,0,3891.15,5.22,0,0,0,0,0,0,0,0,0,0,0,7394.41,17.7267,0,0,0,0,6.00001,0,6.00001,0,0,999.0,2.0,0.0,,4494.026323849606,893.534112651,100.71463333999691
340.367,-0.0345812,-0.0579168,2982.25,11.4214,-0.0307828,-0.371734,179.587,20510.9,-2.58894e-05,-0.37166,0.0356304,0.00032711,-0.0307828,0.268717,-0.00616315,-0.00248177,73.8378,0.00870849,-0.0346197,-0.0579101,73.8394,-180.413,-0.476043,-0.163776,0.0,0.154605,-0.621,0,-1.0,-0.176229,0,0,387.381,-2.65536,0,0,0,0,0,0,0,0,0,0.98,0.000768256,2853.24,4.72909,0,-1.65019e-08,0,1.08792e-11,5.70068,-6.91525e-05,5.70068,0,0.0277557,0,0,3891.15,5.22,0,0,0,0,0,0,0,0,0,0,0,7394.38,17.7266,0,0,0,0,6.00001,0,6.00001,0,0,999.0,2.0,0.0,,4494.356324699517,893.864115871512,100.38462868865946
340.383,-0.0290207,-0.0597469,2981.92,11.4237,-0.0308619,-0.371733,179.584,20510.5,-7.77102e-05,-0.371658,0.151383,8.50074e-05,-0.0308619,-0.272053,-0.00426142,-0.00248181,73.8364,0.00866642,-0.0290131,-0.0597448,73.838,-180.416,-0.269783,-0.164958,0.0,0.154605,-0.63,0,-1.0,-0.174669,0,0,387.381,-2.65536,0,0,0,0,0,0,0,0,0,0.98,0.000824052,2853.27,4.72916,0,-1.67239e-08,0,1.16066e-11,5.75716,-7.41972e-05,5.75716,0,0.0295067,0,0,3891.15,5.22,0,0,0,0,0,0,0,0,0,0,0,7394.36,17.7266,0,0,0,0,6.00001,0,6.00001,0,0,999.0,2.0,0.0,,4494.686325550481,894.1941190955629,100.05462405951084
