ï»¿Time,CoG Acceleration/X,CoG Acceleration/Y,CoG position/X,CoG position/Y,CoG position/Roll,CoG position/Pitch,CoG position/Yaw,Horizontal tangential speed,Over-steering criteria2,Pitch %ground,Pitch acceleration,Pitch speed,Roll %ground,Roll acceleration,Roll speed,Slope force,Speed/X,Speed/Y,Tangent Acceleration/X,Tangent Acceleration/Y,Tangential speed,Yaw %ground,Yaw acceleration,Yaw speed,Brake pedal force,Gas pedal,Steering wheel angle,Steering wheel speed,Intersection Id,Lane gap,CoG Acceleration/X.1,CoG Acceleration/Y.1,CoG position/X.1,CoG position/Y.1,Pitch acceleration.1,Pitch speed.1,Roll acceleration.1,Roll speed.1,Speed/X.1,Speed/Y.1,Tangential speed.1,Yaw acceleration.1,Yaw speed.1,CoG Acceleration/X.2,CoG Acceleration/Y.2,CoG position/X.2,CoG position/Y.2,CoG position/Yaw.1,Pitch acceleration.2,Pitch speed.2,Roll acceleration.2,Roll speed.2,Speed/X.2,Speed/Y.2,Tangential speed.2,Yaw acceleration.2,Yaw speed.2,CoG Acceleration/X.3,CoG Acceleration/Y.3,CoG position/X.3,CoG position/Y.3,Pitch acceleration.3,Pitch speed.3,Roll acceleration.3,Roll speed.3,Speed/X.3,Speed/Y.3,Tangential speed.3,Yaw acceleration.3,Yaw speed.3,CoG Acceleration/X.4,CoG Acceleration/Y.4,CoG position/X.4,CoG position/Y.4,Pitch acceleration.4,Pitch speed.4,Roll acceleration.4,Roll speed.4,Speed/X.4,Speed/Y.4,Tangential speed.4,Yaw acceleration.4,Yaw speed.4,ExportChannel/1,ExportChannel/3,ExportChannel/4,distance_to_inter_3
506.027,-9.83598,0.0125736,1302.24,7.31797,-0.000705428,-0.623073,179.964,617.543,0.00123161,-0.62295,175.098,0.0558422,-0.000705428,1.45526,0.000770249,-0.00408277,2.22299,-0.0036837,-9.8354,-0.00372487,2.22316,-180.036,0.226222,-0.0370673,0.0,0.273083,-3.708,0,-1.0,-0.0757517,-1.46761e-06,0.0,2480.78,-5.28626,0,3.81657e-23,0,-5.365820000000001e-18,66.0034,3.05973e-14,66.0034,0,0.0,-0.952502,0.0,1286.46,-53.0815,89.4612,0,0.0,0,0.0,17.4324,-3.2332e-12,17.4324,0,0.0,-0.517132,-3.42442e-06,5711.61,48.8492,0,-8.21361e-11,0,-3.71897e-15,44.1063,3.04967e-07,44.1063,0,-1.60456e-05,9.35352e-10,-0.306443,6021.22,-616.465,0,5.12564e-09,0,-2.17627e-08,48.5,0.027558,48.5,0,-1.30327,999.0,1.0,2.0,17.68790028185657
506.043,-9.7489,0.0129145,1302.23,7.318,-0.000688308,-0.622873,179.964,627.923,0.000690769,-0.622751,174.39,0.0566925,-0.000688308,1.40924,0.00235307,-0.00407698,2.26036,-0.00377105,-9.74809,-0.00334918,2.26053,-180.036,-0.369238,-0.0377294,0.0,0.286247,-3.708,0,-1.0,-0.0757677,-1.45528e-06,0.0,2481.08,-5.2856,0,3.64594e-23,0,-5.12592e-18,66.0034,1.38169e-14,66.0034,0,0.0,-0.949472,0.0,1286.46,-53.0031,89.4612,0,0.0,0,0.0,17.3769,-1.13556e-12,17.3769,0,0.0,-0.512878,-2.25736e-05,5711.61,48.6494,0,-8.46866e-11,0,-3.5584e-15,44.0766,2.01023e-06,44.0766,0,-0.000105772,1.63718e-10,-0.306443,6021.03,-616.359,0,3.66244e-09,0,-2.17591e-08,48.5,0.0275714,48.5,0,-1.30326,999.0,1.0,2.0,17.677908530140154
506.059,-9.76909,0.00738522,1302.22,7.31802,-0.00063926,-0.622641,179.963,638.253,0.00148449,-0.622519,174.331,0.059689,-0.00063926,1.26763,0.00228172,-0.00407201,2.29755,-0.00384461,-9.76839,-0.00896103,2.29771,-180.037,-0.0700168,-0.0379556,0.0,0.292829,-3.708,0,-1.0,-0.0757839,-1.44295e-06,0.0,2481.38,-5.28495,0,3.4753e-23,0,-4.88602e-18,66.0034,-2.96356e-15,66.0034,0,0.0,-0.946443,0.0,1286.46,-52.9248,89.4612,0,0.0,0,0.0,17.3214,9.62075e-13,17.3214,0,0.0,-0.508624,-4.17229e-05,5711.61,48.4496,0,-8.72371e-11,0,-3.39782e-15,44.0469,3.7155e-06,44.0469,0,-0.000195498,-6.07915e-10,-0.306442,6020.84,-616.252,0,2.19923e-09,0,-2.17556e-08,48.5,0.0275848,48.5,0,-1.30326,999.0,1.0,2.0,17.667917225309903
506.076,11.0455,-0.0250826,1302.21,7.31804,-0.000623051,-0.622375,179.963,654.089,-0.00147351,-0.622253,-173.888,-0.0222548,-0.000623051,-2.3962,-0.0003382,-0.00406805,2.35456,-0.0038669,11.0448,-0.00694337,2.35472,-180.037,-0.0463837,-0.0378662,0.0,0.29612,-3.708,0,-1.0,-0.0758009,-1.43071e-06,0.0,2481.68,-5.2843,0,3.3080400000000004e-23,0,-4.650860000000001e-18,66.0034,-1.79148e-14,66.0034,0,0.0,-0.943431,0.0,1286.46,-52.8468,89.4612,0,0.0,0,0.0,17.2662,2.4609e-12,17.2662,0,0.0,-0.504401,-5.64893e-05,5711.61,48.2508,0,-8.90448e-11,0,-3.23979e-15,44.0174,5.03048e-06,44.0174,0,-0.000264688,-1.18565e-09,-0.306442,6020.65,-616.146,0,9.05222e-10,0,-2.17521e-08,48.5,0.0275961,48.5,0,-1.30326,999.0,1.0,2.0,17.657925930346483
506.091,-9.74104,0.04752,1302.2,7.31807,-0.000621792,-0.62196,179.962,658.854,-0.000248477,-0.621838,174.008,0.0694455,-0.000621792,5.20957,0.00191927,-0.0040635,2.37171,-0.0038834,-9.74035,0.031571,2.37188,-180.038,2.25985,-0.0387714,0.0,0.299411,-3.708,0,-1.0,-0.0758188,-1.41916e-06,0.0,2481.96,-5.28368,0,3.1663400000000003e-23,0,-4.451640000000001e-18,66.0034,-1.90205e-14,66.0034,0,0.0,-0.940543,0.0,1286.46,-52.7722,89.4612,0,0.0,0,0.0,17.2134,-5.72831e-13,17.2134,0,0.0,-0.500412,-3.80821e-05,5711.61,48.0592,0,-8.52305e-11,0,-3.10102e-15,43.9896,3.39129e-06,43.9896,0,-0.000178439,-2.95699e-10,-0.306441,6020.46,-616.043,0,8.91894e-10,0,-2.17488e-08,48.5,0.0275921,48.5,0,-1.30326,999.0,1.0,2.0,17.647934207291886
506.107,-9.78725,-0.00932888,1302.19,7.31809,-0.000610091,-0.62148,179.961,669.078,0.00102208,-0.621358,174.87,0.0766131,-0.000610091,-0.750708,0.000817937,-0.00406013,2.40851,-0.00397712,-9.78642,-0.0254893,2.40868,-180.039,-0.924918,-0.0402301,0.0,0.309284,-3.708,0,-1.0,-0.0758358,-1.40761e-06,0.0,2482.25,-5.28305,0,3.02463e-23,0,-4.25241e-18,66.0034,-2.01261e-14,66.0034,0,0.0,-0.937654,0.0,1286.46,-52.6977,89.4612,0,0.0,0,0.0,17.1606,-3.60656e-12,17.1606,0,0.0,-0.496423,-1.96749e-05,5711.61,47.8677,0,-8.14161e-11,0,-2.96225e-15,43.9618,1.7521e-06,43.9618,0,-9.21896e-05,5.94248e-10,-0.30644,6020.28,-615.941,0,8.78565e-10,0,-2.17454e-08,48.5,0.027588,48.5,0,-1.30325,999.0,1.0,2.0,17.63794293187568
506.123,-9.72403,0.0319545,1302.18,7.31812,-0.000601377,-0.620906,179.961,679.32,-0.000482841,-0.620784,173.734,0.0818738,-0.000601377,2.91325,0.00032499,-0.00405578,2.44538,-0.0039623,-9.72327,0.0161994,2.44555,-180.039,0.831848,-0.0395331,0.0,0.315867,-3.708,0,-1.0,-0.0758537,-1.39605e-06,0.0,2482.54,-5.28242,0,2.88293e-23,0,-4.0531900000000004e-18,66.0034,-2.12318e-14,66.0034,0,0.0,-0.934766,0.0,1286.46,-52.6231,89.4612,0,0.0,0,0.0,17.1077,-6.64028e-12,17.1077,0,0.0,-0.492434,-1.26773e-06,5711.6,47.6761,0,-7.76018e-11,0,-2.82347e-15,43.934,1.12915e-07,43.934,0,-5.94013e-06,1.48419e-09,-0.306439,6020.09,-615.838,0,8.65237e-10,0,-2.1742e-08,48.5,0.027584,48.5,0,-1.30325,999.0,1.0,2.0,17.62795122793354
506.139,-9.80105,0.0373865,1302.16,7.31814,-0.000611638,-0.620241,179.96,689.483,-0.000427496,-0.62012,175.056,0.0877931,-0.000611638,3.21955,0.000302082,-0.00405137,2.48196,-0.004026,-9.80028,0.0214891,2.48214,-180.04,0.453695,-0.0408236,0.0,0.319158,-3.708,0,-1.0,-0.0758722,-1.38458e-06,0.0,2482.83,-5.28178,0,2.75701e-23,0,-3.8761600000000005e-18,66.0034,-1.52525e-14,66.0034,0,0.0,-0.931859,0.0,1286.47,-52.5479,89.4612,0,0.0,0,0.0,17.0545,-5.29102e-12,17.0545,0,0.0,-0.488471,0.0,5711.6,47.4815,0,-7.42125e-11,0,-2.70013e-15,43.9063,1.08647e-11,43.9063,0,0.0,1.41836e-09,-0.306439,6019.9,-615.734,0,9.11987e-10,0,-2.17386e-08,48.5,0.0275819,48.5,0,-1.30325,999.0,1.0,2.0,17.607969604119727
506.155,-9.70817,0.0298338,1302.15,7.31817,-0.000620495,-0.619511,179.959,699.651,-0.000630319,-0.61939,173.49,0.0898469,-0.000620495,2.94386,0.00103849,-0.00404507,2.51857,-0.00408072,-9.7074,0.0141049,2.51874,-180.041,1.53745,-0.0410401,0.0,0.329031,-3.699,0,-1.0,-0.0758909,-1.37311e-06,0.0,2483.13,-5.28114,0,2.63227e-23,0,-3.70077e-18,66.0034,-8.74905e-15,66.0034,0,0.0,-0.928951,0.0,1286.47,-52.4726,89.4612,0,0.0,0,0.0,17.0012,-3.61756e-12,17.0012,0,0.0,-0.484509,0.0,5711.6,47.2868,0,-7.08545e-11,0,-2.57792e-15,43.8787,-6.555e-13,43.8787,0,0.0,1.28182e-09,-0.306439,6019.71,-615.629,0,9.6318e-10,0,-2.17352e-08,48.5,0.02758,48.5,0,-1.30325,999.0,1.0,2.0,17.59797792954931
506.171,-9.75112,0.0281663,1302.14,7.31819,-0.000614635,-0.618743,179.959,709.744,0.000249348,-0.618622,174.196,0.0929112,-0.000614635,2.76751,0.00149773,-0.00403868,2.5549,-0.00412592,-9.75034,0.0124201,2.55508,-180.041,0.418269,-0.0414904,0.0,0.335613,-3.699,0,-1.0,-0.0759101,-1.36164e-06,0.0,2483.42,-5.28051,0,2.5075200000000002e-23,0,-3.52538e-18,66.0034,-2.24565e-15,66.0034,0,0.0,-0.926043,0.0,1286.47,-52.3974,89.4612,0,0.0,0,0.0,16.9479,-1.9441e-12,16.9479,0,0.0,-0.480548,0.0,5711.6,47.092,0,-6.74965e-11,0,-2.45571e-15,43.8511,-1.21757e-11,43.8511,0,0.0,1.14529e-09,-0.306439,6019.53,-615.524,0,1.01437e-09,0,-2.17317e-08,48.5,0.0275781,48.5,0,-1.30325,999.0,1.0,2.0,17.587986703886973
