ï»¿Time,CoG Acceleration/X,CoG Acceleration/Y,CoG position/X,CoG position/Y,CoG position/Roll,CoG position/Pitch,CoG position/Yaw,Horizontal tangential speed,Over-steering criteria2,Pitch %ground,Pitch acceleration,Pitch speed,Roll %ground,Roll acceleration,Roll speed,Slope force,Speed/X,Speed/Y,Tangent Acceleration/X,Tangent Acceleration/Y,Tangential speed,Yaw %ground,Yaw acceleration,Yaw speed,Brake pedal force,Gas pedal,Steering wheel angle,Steering wheel speed,Intersection Id,Lane gap,CoG Acceleration/X.1,CoG Acceleration/Y.1,CoG position/X.1,CoG position/Y.1,Pitch acceleration.1,Pitch speed.1,Roll acceleration.1,Roll speed.1,Speed/X.1,Speed/Y.1,Tangential speed.1,Yaw acceleration.1,Yaw speed.1,CoG Acceleration/X.2,CoG Acceleration/Y.2,CoG position/X.2,CoG position/Y.2,Pitch acceleration.2,Pitch speed.2,Roll acceleration.2,Roll speed.2,Speed/X.2,Speed/Y.2,Tangential speed.2,Yaw acceleration.2,Yaw speed.2,CoG Acceleration/X.3,CoG Acceleration/Y.3,CoG position/X.3,CoG position/Y.3,Pitch acceleration.3,Pitch speed.3,Roll acceleration.3,Roll speed.3,Speed/X.3,Speed/Y.3,Tangential speed.3,Yaw acceleration.3,Yaw speed.3,CoG Acceleration/X.4,CoG Acceleration/Y.4,CoG position/X.4,CoG position/Y.4,Pitch acceleration.4,Pitch speed.4,Roll acceleration.4,Roll speed.4,Speed/X.4,Speed/Y.4,Tangential speed.4,Yaw acceleration.4,Yaw speed.4,ExportChannel/1,ExportChannel/4,ExportChannel/3,Unnamed: 86,distance_to_inter_0,distance_to_inter_1
226.545,-0.0666528,-0.00647666,4564.8,7.24011,-0.00455927,-0.355314,179.668,17800.8,1.77013e-05,-0.355241,-0.0217907,-0.00432825,-0.00455927,-0.332164,0.0256158,-0.00242971,64.0815,0.00131397,-0.0666555,-0.00647527,64.0828,-180.332,-0.243426,-0.00843521,0.0,0.141441,0.0,0,-1.0,0.0936952,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0,0,0,0,0,0,0,0,0,0.0873445,0.369047,5715.52,-164.427,0,1.81616e-07,0,-4.55675e-09,53.3909,-0.0332002,53.3909,0,1.42574,1.45392,1.15306e-05,4476.31,27.5922,0,9.213959999999999e-21,0,-4.2988600000000006e-18,1.15728,-1.01482e-06,1.15728,0,0.00202799,999.0,4.0,0.0,,711.8300177823298,88.79167371376738
226.561,-0.0300729,-0.00353276,4564.52,7.24175,-0.00416317,-0.355389,179.668,17799.8,3.34519e-05,-0.355316,-0.549119,-0.00500289,-0.00416317,0.0960624,0.0241826,-0.00243034,64.0779,0.0012269,-0.0300591,-0.00353235,64.0792,-180.332,0.24177,-0.00639925,0.0,0.144732,0.009,0,-1.0,0.0920591,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0,0,0,0,0,0,0,0,0,0.0866428,0.369115,5715.55,-164.657,0,1.80239e-07,0,-4.56876e-09,53.3958,-0.0331777,53.3958,0,1.42587,1.4545,1.32184e-05,4476.31,27.5868,0,1.03385e-20,0,-4.841590000000001e-18,1.2393,-1.1672e-06,1.2393,0,0.002198,999.0,4.0,0.0,,712.1100181436587,88.51166945133605
226.577,-0.0355539,-0.00114892,4564.23,7.2434,-0.00379031,-0.355473,179.668,17798.8,4.67811e-05,-0.355399,-0.402591,-0.00556423,-0.00379031,0.10408,0.0230883,-0.00243085,64.0743,0.0011469,-0.0355421,-0.00114842,64.0756,-180.332,-0.020353,-0.00456897,0.0,0.148023,0.018,0,-1.0,0.0904211,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0,0,0,0,0,0,0,0,0,0.0859472,0.369183,5715.58,-164.893,0,1.78971e-07,0,-4.58095e-09,53.4006,-0.0331961,53.4006,0,1.426,1.45465,1.54633e-05,4476.31,27.5802,0,1.1761699999999999e-20,0,-5.4392e-18,1.32282,-1.40246e-06,1.32282,0,0.00238644,999.0,4.0,0.0,,712.4000185105,88.22166522889896
226.593,-0.058698,-0.00262256,4563.95,7.24504,-0.00341018,-0.355564,179.668,17797.8,3.38483e-06,-0.355491,-0.0975775,-0.00628139,-0.00341018,0.272779,0.0249734,-0.00243145,64.0708,0.0010818,-0.0586923,-0.00262163,64.072,-180.332,0.698146,-0.00247991,0.0,0.144732,0.036,6,-1.0,0.0887818,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0,0,0,0,0,0,0,0,0,0.0852519,0.369251,5715.6,-165.128,0,1.7771e-07,0,-4.59316e-09,53.4055,-0.033217,53.4055,0,1.42614,1.45477,1.77423e-05,4476.31,27.5735,0,1.3203299999999999e-20,0,-6.04018e-18,1.40644,-1.6428e-06,1.40644,0,0.002576,999.0,4.0,0.0,,712.6800188788247,87.94166097317905
226.609,-0.048395,-0.00269848,4563.66,7.24669,-0.00299547,-0.35568,179.668,17796.8,1.53957e-05,-0.355607,-0.203982,-0.00788731,-0.00299547,-0.0550827,0.0260456,-0.00243177,64.0673,0.00102573,-0.0483787,-0.00269785,64.0686,-180.332,0.480033,-0.000305605,0.0,0.151314,0.045,0,-1.0,0.0871414,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0,0,0,0,0,0,0,0,0,0.0845567,0.369319,5715.63,-165.363,0,1.76448e-07,0,-4.60536e-09,53.4103,-0.033238,53.4103,0,1.42627,1.45488,2.00214e-05,4476.31,27.5669,0,1.46448e-20,0,-6.6411700000000005e-18,1.49006,-1.88313e-06,1.49006,0,0.00276556,999.0,4.0,0.0,,712.9700192526867,87.65165675716617
226.625,-0.0565397,-0.00311775,4563.38,7.24833,-0.00257527,-0.355817,179.668,17795.9,4.43846e-05,-0.355744,-0.162072,-0.0091473,-0.00257527,-0.590369,0.0260296,-0.00243235,64.064,0.000993341,-0.0565426,-0.00311686,64.0652,-180.332,-0.376582,0.00187057,0.0,0.151314,0.063,0,-1.0,0.0855,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0,0,0,0,0,0,0,0,0,0.0838622,0.369387,5715.66,-165.603,0,1.75234e-07,0,-4.61777e-09,53.4152,-0.0332461,53.4152,0,1.4264,1.45493,2.29138e-05,4476.31,27.5591,0,1.6255e-20,0,-7.301910000000001e-18,1.57528,-2.10426e-06,1.57528,0,0.00297866,999.0,4.0,0.0,,713.2500196279906,87.37165250828735
226.641,-0.0461839,0.00345393,4563.1,7.24998,-0.00214987,-0.355971,179.668,17795.0,-3.81527e-05,-0.355898,-0.240552,-0.0102553,-0.00214987,0.421189,0.0274264,-0.00243314,64.0607,0.000987179,-0.0461828,0.00345463,64.0619,-180.332,0.364808,0.0046646,0.0,0.151314,0.081,0,-1.0,0.0838576,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0,0,0,0,0,0,0,0,0,0.083168,0.369455,5715.69,-165.844,0,1.7403e-07,0,-4.63023e-09,53.42,-0.0332513,53.42,0,1.42653,1.45495,2.59502e-05,4476.31,27.5511,0,1.7904699999999998e-20,0,-7.976670000000001e-18,1.66087,-2.32087e-06,1.66087,0,0.00319729,999.0,4.0,0.0,,713.5300200091374,87.09164822438751
226.657,-0.0494142,0.0060263,4562.81,7.25162,-0.00168856,-0.356142,179.668,17794.1,-8.07653e-05,-0.356069,-0.176734,-0.0113152,-0.00168856,0.454243,0.0297809,-0.00243419,64.0575,0.000989103,-0.0493987,0.00602698,64.0587,-180.332,0.316291,0.00760787,0.0,0.128276,0.099,0,-1.0,0.0822147,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0,0,0,0,0,0,0,0,0,0.0824737,0.369523,5715.71,-166.085,0,1.72827e-07,0,-4.6427e-09,53.4249,-0.0332565,53.4249,0,1.42667,1.45498,2.89866e-05,4476.31,27.5431,0,1.9554399999999998e-20,0,-8.65144e-18,1.74647,-2.53748e-06,1.74647,0,0.00341591,999.0,4.0,0.0,,713.8200203911235,86.80164405692133
226.673,-0.0571482,0.00769391,4562.53,7.25326,-0.00122207,-0.356339,179.668,17793.2,-8.28272e-05,-0.356266,-0.203912,-0.013172,-0.00122207,0.16333,0.0290934,-0.00243472,64.0544,0.000992767,-0.057186,0.00769493,64.0556,-180.332,-0.171501,0.0106109,0.0,0.154605,0.117,6,-1.0,0.0805712,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0,0,0,0,0,0,0,0,0,0.081803,0.369589,5715.74,-166.322,0,1.71434e-07,0,-4.65495e-09,53.4295,-0.0332631,53.4295,0,1.4268,1.45498,3.26167e-05,4476.31,27.5343,0,2.1426799999999997e-20,0,-9.355720000000001e-18,1.83075,-2.86921e-06,1.83075,0,0.00365478,999.0,4.0,0.0,,714.1000207768574,86.52163981864626
226.689,-0.0297553,0.00583374,4562.24,7.25491,-0.000754483,-0.356559,179.669,17792.4,-5.9908e-05,-0.356486,-0.348981,-0.0142459,-0.000754483,0.164778,0.0289145,-0.0024356,64.0513,0.000999477,-0.0297478,0.00583419,64.0525,-180.331,0.105377,0.0139651,0.0,0.154605,0.126,0,-1.0,0.0789273,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0,0,0,0,0,0,0,0,0,0.08114,0.369654,5715.77,-166.558,0,1.69978e-07,0,-4.66714e-09,53.4342,-0.0332702,53.4342,0,1.42693,1.45499,3.64445e-05,4476.31,27.5253,0,2.3373299999999998e-20,0,-1.00698e-17,1.9146,-3.23924e-06,1.9146,0,0.00390039,999.0,4.0,0.0,,714.3900211681911,86.23163561934831
