ï»¿Time,CoG Acceleration/X,CoG Acceleration/Y,CoG position/X,CoG position/Y,CoG position/Roll,CoG position/Pitch,CoG position/Yaw,Horizontal tangential speed,Over-steering criteria2,Pitch %ground,Pitch acceleration,Pitch speed,Roll %ground,Roll acceleration,Roll speed,Slope force,Speed/X,Speed/Y,Tangent Acceleration/X,Tangent Acceleration/Y,Tangential speed,Yaw %ground,Yaw acceleration,Yaw speed,Brake pedal force,Gas pedal,Steering wheel angle,Steering wheel speed,Intersection Id,Lane gap,CoG Acceleration/X.1,CoG Acceleration/Y.1,CoG position/X.1,CoG position/Y.1,Pitch acceleration.1,Pitch speed.1,Roll acceleration.1,Roll speed.1,Speed/X.1,Speed/Y.1,Tangential speed.1,Yaw acceleration.1,Yaw speed.1,CoG Acceleration/X.2,CoG Acceleration/Y.2,CoG position/X.2,CoG position/Y.2,CoG position/Yaw.1,Pitch acceleration.2,Pitch speed.2,Roll acceleration.2,Roll speed.2,Speed/X.2,Speed/Y.2,Tangential speed.2,Yaw acceleration.2,Yaw speed.2,CoG Acceleration/X.3,CoG Acceleration/Y.3,CoG position/X.3,CoG position/Y.3,Pitch acceleration.3,Pitch speed.3,Roll acceleration.3,Roll speed.3,Speed/X.3,Speed/Y.3,Tangential speed.3,Yaw acceleration.3,Yaw speed.3,CoG Acceleration/X.4,CoG Acceleration/Y.4,CoG position/X.4,CoG position/Y.4,Pitch acceleration.4,Pitch speed.4,Roll acceleration.4,Roll speed.4,Speed/X.4,Speed/Y.4,Tangential speed.4,Yaw acceleration.4,Yaw speed.4,ExportChannel/1,ExportChannel/3,ExportChannel/4,distance_to_inter_1
274.592,0.738751,-0.00595985,4505.55,7.29688,0.00115058,-0.605842,-179.691,3256.22,0.000172629,-0.605729,0.341188,-0.0176994,0.00115058,-0.960003,-0.000267809,-0.00376681,11.7218,0.00446558,0.738785,-0.00624129,11.7224,-179.691,-1.08806,0.0456949,0.0,0.4508,0.918,0,-1.0,0.0188682,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0.123736,0,0,0,0,0,0,0,0,0,-2.17631e-10,0.377649,6033.27,-626.87,0,8.21942e-10,0,-2.41339e-08,54.0,-0.0339982,54.0,0,1.44251,-0.00194236,0.0,4925.18,-7.17561,0,0.0,0,0.0,58.2135,1.18853e-14,58.2135,0,0.0,999.0,2.0,4.0,29.54241478576878
274.608,0.79414,0.00220145,4505.5,7.29658,0.00114761,-0.606112,-179.69,3268.34,-5.57399e-05,-0.605998,-0.461531,-0.0161779,0.00114761,0.0296651,-0.000230982,-0.00377024,11.7654,0.00448365,0.794241,0.00189889,11.766,-179.69,0.387062,0.0461826,0.0,0.4508,0.918,0,-1.0,0.0191494,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0.123736,0,0,0,0,0,0,0,0,0,3.74442e-10,0.377649,6033.48,-626.979,0,1.00006e-09,0,-2.41379e-08,54.0,-0.0339939,54.0,0,1.44251,-0.00192691,0.0,4925.43,-7.17561,0,0.0,0,0.0,58.2134,1.35008e-14,58.2134,0,0.0,999.0,2.0,4.0,29.49242012681223
274.624,0.717852,0.00420468,4505.45,7.29628,0.00114345,-0.606358,-179.689,3280.47,6.4954e-05,-0.606245,0.403003,-0.0159857,0.00114345,0.910389,-0.000151636,-0.00377242,11.809,0.00448764,0.717815,0.00393177,11.8097,-179.689,0.423356,0.046033,0.0,0.4508,0.918,0,-1.0,0.0194323,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0.123736,0,0,0,0,0,0,0,0,0,9.66515e-10,0.377649,6033.68,-627.087,0,1.17818e-09,0,-2.4142e-08,54.0,-0.0339896,54.0,0,1.44251,-0.00191147,0.0,4925.68,-7.17561,0,0.0,0,0.0,58.2133,1.51164e-14,58.2133,0,0.0,999.0,2.0,4.0,29.442425489052162
274.64,0.773125,0.00200627,4505.39,7.29597,0.00117781,-0.606651,-179.689,3292.63,4.16434e-05,-0.606537,-0.214097,-0.0195907,0.00117781,-0.547592,0.00350142,-0.00377206,11.8528,0.00446207,0.77316,0.0017152,11.8535,-179.689,-1.89311,0.0457227,0.0,0.454091,0.918,0,-1.0,0.0197171,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0.123736,0,0,0,0,0,0,0,0,0,9.03812e-10,0.377649,6033.9,-627.197,0,9.62795e-10,0,-2.41461e-08,54.0,-0.0339893,54.0,0,1.44251,-0.00189608,0.0,4925.94,-7.17561,0,0.0,0,0.0,58.2132,1.21717e-14,58.2132,0,0.0,999.0,2.0,4.0,29.382431458286742
274.656,0.782833,0.0188259,4505.34,7.29566,0.00123221,-0.606967,-179.688,3304.84,0.000186298,-0.606853,-0.27673,-0.0196941,0.00123221,1.58121,0.00328922,-0.00377415,11.8968,0.00444273,0.782894,0.0185336,11.8974,-179.688,1.22374,0.046887,0.0,0.447509,0.918,0,-1.0,0.0200037,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0.123736,0,0,0,0,0,0,0,0,0,6.40531e-10,0.37765,6034.11,-627.307,0,6.2687e-10,0,-2.41503e-08,54.0,-0.0339903,54.0,0,1.44252,-0.00188072,0.0,4926.2,-7.17561,0,0.0,0,0.0,58.2131,7.83012e-15,58.2131,0,0.0,999.0,2.0,4.0,29.332436965168913
274.672,0.807587,0.00423518,4505.29,7.29536,0.00128391,-0.607267,-179.687,3317.05,0.000132156,-0.607154,-0.517908,-0.0179996,0.00128391,0.0187261,0.00313515,-0.00377794,11.9407,0.00445838,0.807711,0.00393378,11.9414,-179.687,0.656194,0.0473638,0.0,0.4508,0.918,0,-1.0,0.0202918,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0.123736,0,0,0,0,0,0,0,0,0,3.77249e-10,0.37765,6034.32,-627.417,0,2.90946e-10,0,-2.41544e-08,54.0,-0.0339913,54.0,0,1.44252,-0.00186536,0.0,4926.46,-7.17561,0,0.0,0,0.0,58.213,3.48849e-15,58.213,0,0.0,999.0,2.0,4.0,29.282442394882242
274.688,0.802572,-0.0112588,4505.23,7.29504,0.00131932,-0.60754,-179.686,3329.31,0.000351866,-0.607427,-0.596833,-0.0171196,0.00131932,-1.13883,0.000310487,-0.00378117,11.9848,0.00448709,0.80263,-0.0115592,11.9855,-179.686,-0.186261,0.0469016,0.0,0.447509,0.918,0,-1.0,0.0205816,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0.123736,0,0,0,0,0,0,0,0,0,2.9487e-10,0.37765,6034.54,-627.528,0,2.26328e-10,0,-2.41586e-08,54.0,-0.0339886,54.0,0,1.44252,-0.00185005,0.0,4926.72,-7.17561,0,0.0,0,0.0,58.2129,-5.53246e-16,58.2129,0,0.0,999.0,2.0,4.0,29.22244854083199
274.704,0.798464,0.0188618,4505.18,7.29473,0.00132256,-0.60783,-179.686,3341.57,-0.000400826,-0.607717,-0.530803,-0.0186887,0.00132256,1.70189,-0.000149717,-0.00378228,12.029,0.00455178,0.798502,0.0185596,12.0297,-179.686,-0.0620707,0.0470713,0.0,0.4508,0.918,0,-1.0,0.020873,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0.123736,0,0,0,0,0,0,0,0,0,3.14169e-10,0.37765,6034.76,-627.641,0,3.14201e-10,0,-2.41628e-08,54.0,-0.0339837,54.0,0,1.44251,-0.00183476,0.0,4926.99,-7.17561,0,0.0,0,0.0,58.2128,-4.42643e-15,58.2128,0,0.0,999.0,2.0,4.0,29.1724541170762
274.72,0.716717,0.0189952,4505.13,7.29442,0.00132996,-0.608136,-179.685,3353.85,0.000112389,-0.608022,0.780328,-0.019052,0.00132996,1.16174,0.00142904,-0.0037839,12.0732,0.00456403,0.71674,0.0187242,12.0739,-179.685,-0.285934,0.0475333,0.0,0.444218,0.918,0,-1.0,0.0211663,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0.123736,0,0,0,0,0,0,0,0,0,3.33468e-10,0.377649,6034.97,-627.753,0,4.02073e-10,0,-2.4167e-08,54.0,-0.0339788,54.0,0,1.44251,-0.00181948,0.0,4927.25,-7.17561,0,0.0,0,0.0,58.2127,-8.29961e-15,58.2127,0,0.0,999.0,2.0,4.0,29.122459715765864
274.736,0.797456,0.00305828,4505.07,7.2941,0.00134233,-0.608437,-179.684,3366.2,-0.000125266,-0.608323,-0.345841,-0.018406,0.00134233,-0.0496343,0.000612877,-0.00378719,12.1176,0.00457639,0.797549,0.00275719,12.1183,-179.684,0.00040905,0.0475538,0.0,0.447509,0.918,0,-1.0,0.0214615,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0.123736,0,0,0,0,0,0,0,0,0,1.11585e-10,0.377649,6035.18,-627.861,0,2.7908e-10,0,-2.41711e-08,54.0,-0.0339815,54.0,0,1.44251,-0.00180492,0.0,4927.5,-7.17561,0,0.0,0,0.0,58.2126,-1.04445e-14,58.2126,0,0.0,999.0,2.0,4.0,29.062465941657155
