Type,Timestamp,Data Accelerometer X,Data Accelerometer Y,Data Accelerometer Z,Data Gyroscope X,Data Gyroscope Y,Data Gyroscope Z,Data Magnetometer X,Data Magnetometer Y,Data Magnetometer Z
imu,54.291065,-0.8715086296000001,-9.694860582400002,0.9977188704000002,1.86185806,5.75671069,-3.78798149,,,
imu,54.299529,-0.8416009896000001,-9.7361331256,0.9905410368000002,2.12354991,6.60907843,-3.81788913,,,
imu,54.307992,-0.7853746264000001,-9.769629682400002,0.9833632032,2.12354991,7.28200033,-3.81041222,,,
imu,54.316456,-0.7770004872000001,-9.777405668800002,0.9965225648000002,2.21327283,7.767999479999999,-3.7954584,,,
imu,54.324919,-0.7530743752000001,-9.803126239200001,0.9791761336000001,2.25813429,8.18670644,-3.56367419,,,
imu,54.333383,-0.6884738728,-9.837819101600003,0.9881484256000002,2.22074974,8.553075029999999,-3.17487487,,,
imu,54.341846,-0.6531828576,-9.8228652816,0.9779798280000002,2.16841137,8.74747469,-2.88327538,,,
imu,54.35031,-0.5993491056000001,-9.800733628000001,0.9839613560000001,2.23570356,8.73999778,-2.73373718,,,
imu,54.358773,-0.5269726168000001,-9.820472670400001,1.0180560656,2.45253395,8.81476688,-2.55429134,,,
imu,54.367237,-0.4886908376000001,-9.831837573600001,0.9965225648000002,2.50487232,8.53812121,-2.50195297,,,
imu,54.3757,-0.4504090584,-9.8043225448,1.0042985512,2.57216451,7.96987605,-2.50942988,,,
imu,54.384164,-0.4366515440000001,-9.8270523512,1.004896704,2.57964142,7.56612291,-2.48699915,,,
imu,54.392628,-0.4372496968000001,-9.828846809600002,0.9953262592000002,2.72170271,6.93806247,-2.32250713,,,
imu,54.401091,-0.4587831976000001,-9.7809945856,0.9815687448000001,2.65441052,6.40720186,-2.35241477,,,
imu,54.409555,-0.4701481008,-9.769031529600001,0.9773816752000002,2.59459524,5.704372319999999,-2.62158353,,,
imu,54.418018,-0.472540712,-9.800135475200001,0.9725964528000002,2.89367164,5.18846553,-2.96552139,,,
imu,54.426482,-0.4952705184000001,-9.800135475200001,0.9576426328000002,3.0133022,4.72489711,-3.06272122,,,
imu,54.434945,-0.4874945320000001,-9.8043225448,0.9522592576000002,2.99087147,4.33609779,-2.92065993,,,
imu,54.443409,-0.5042428104000001,-9.803724392000001,0.9163700896000002,2.82637945,3.82766791,-3.01785976,,,
imu,54.451872,-0.5048409632,-9.817481906400001,0.8942384360000002,2.89367164,3.58092988,-2.91318302,,,
imu,54.460336,-0.517402172,-9.8617452136,0.9205571592,2.9385331,3.34914567,-2.84589083,,,
imu,54.468799,-0.5317578392000001,-9.8820824088,0.9139774784000001,2.78151799,3.13979219,-2.6739219,,,
imu,54.477263,-0.5485061176,-9.9048122152,0.9050051864,2.6394567,3.10240764,-2.59167589,,,
imu,54.485726,-0.5491042704000001,-9.904214062400001,0.9044070336000001,2.34785721,3.05006927,-2.77859864,,,
imu,54.49419,-0.5568802568000001,-9.876699033600001,0.9044070336000001,1.97401171,3.19213056,-2.83841392,,,
imu,54.502654,-0.5431227424,-9.863539672000002,0.9097904088000002,1.75718132,3.34914567,-2.65896808,,,
imu,54.511139,-0.5347486032000001,-9.855763685600001,0.8882569080000001,1.45062801,3.63326825,-2.59167589,,,
imu,54.519624,-0.5048409632,-9.821668976000002,0.8643307960000001,1.40576655,3.76785263,-2.5243837,,,
imu,54.528109,-0.4946723656000001,-9.7989391696,0.8733030880000001,1.36090509,3.95477538,-2.56924516,,,
imu,54.536594,-0.4779240872000001,-9.8144911424,0.8511714344000001,1.37585891,4.05945212,-2.64401426,,,
imu,54.545079,-0.430670016,-9.832435726400002,0.8416009896000001,1.27865908,4.05945212,-2.77859864,,,
imu,54.553565,-0.4318663216,-9.8300431152,0.8362176144000002,1.39081273,3.8949601,-2.94309066,,,
imu,54.56205,-0.4193051128000001,-9.822267128800002,0.8326286976000001,1.24875144,3.71551426,-3.07767504,,,
imu,54.570535,-0.4193051128000001,-9.8264541984,0.8344231560000002,1.34595127,3.53606842,-3.15244414,,,
imu,54.57902,-0.4234921824,-9.8264541984,0.8475825176000001,1.51044329,3.4463455,-3.15992105,,,
imu,54.587505,-0.4258847936,-9.837220948800002,0.8613400320000001,1.45062801,3.10240764,-3.36179762,,,
imu,54.59599,-0.424688488,-9.836622796,0.8685178656000001,1.5926893,2.87810034,-3.25712088,,,
imu,54.604475,-0.4187069600000001,-9.83961356,0.8774901576000002,1.5926893,2.5491163,-3.17487487,,,
imu,54.612961,-0.4444275304,-9.828248656800001,0.8649289488,1.52539711,2.39210119,-3.07767504,,,
imu,54.621446,-0.4671573368000001,-9.838417254400001,0.8930421304000001,1.62259694,2.44443956,-2.85336774,,,
imu,54.629931,-0.4653628784000001,-9.873708269600002,0.8996218112000001,1.53287402,2.54163939,-2.64401426,,,
imu,54.638416,-0.4851019208000001,-9.908999284800002,0.8894532136000001,1.42072037,2.4743472,-2.72626027,,,
