Type,Timestamp,Data Accelerometer X,Data Accelerometer Y,Data Accelerometer Z,Data Gyroscope X,Data Gyroscope Y,Data Gyroscope Z,Data Magnetometer X,Data Magnetometer Y,Data Magnetometer Z
imu,127.81377,-1.1951092944,-9.3862137376,3.078094308800001,2.07868845,-11.6570127,-9.29846416,,,
imu,127.822232,-1.1681924184,-9.422102905600001,3.0768980032,2.57964142,-10.73735277,-9.2536027,,,
imu,127.830694,-1.175370252,-9.443636406400001,3.0900573648,2.81142563,-9.84760048,-9.1040645,,,
imu,127.839156,-1.1580238208,-9.447225323200001,3.109796407200001,2.83385636,-8.86812527,-8.44609642,,,
imu,127.847619,-1.1831462384,-9.4729458936,3.0930481288,2.93105619,-7.94846534,-7.563821040000001,,,
imu,127.856081,-1.18135178,-9.450814240000001,3.1271428384,3.00582529,-7.01385159,-6.532007459999999,,,
imu,127.864543,-1.1969037528,-9.467562518400001,3.1349188248,2.87871782,-6.07176093,-5.65720899,,,
imu,127.873006,-1.133499556,-9.4735440464,3.1181705464,2.7142258,-5.451177400000001,-5.01419473,,,
imu,127.881468,-1.1628090432,-9.4633754488,3.1205631576,2.39271867,-4.75582477,-4.670256869999999,,,
imu,127.88993,-1.175370252,-9.550705757600001,3.1534615616,2.34785721,-4.35954854,-4.37865738,,,
imu,127.898392,-1.1616127376,-9.594370912,3.138507741600001,1.95905789,-4.12028742,-4.19173463,,,
imu,127.907212,-1.1705850296,-9.575230022400001,3.140900352800001,1.27865908,-4.02308759,-4.715118329999999,,,
imu,127.916031,-1.1771647104,-9.5459205352,3.1259465328,1.07678251,-4.01561068,-5.23102512,,,
imu,127.924851,-1.1640053488,-9.499862769600002,3.083477684,0.80013684,-3.91093394,-5.477763149999999,,,
imu,127.933671,-1.1370884728,-9.411934308000001,3.0481866688,0.41133752,-3.62681136,-5.60487062,,,
imu,127.94249,-1.1340977088,-9.318024318400001,3.0350273072,0.38142988,-3.31278114,-5.53010152,,,
imu,127.95131,-1.100601152,-9.238469996000001,2.9973436808,0.6281679099999999,-3.11090457,-5.05905619,,,
imu,127.960129,-1.0790676512,-9.209758661600002,2.9889695416,0.9571519499999999,-2.84921272,-4.35622665,,,
imu,127.968949,-1.0551415392,-9.198393758400002,2.943509928800001,1.28613599,-2.62490542,-3.97490424,,,
imu,127.977769,-1.0575341504,-9.201384522400001,2.914798594400001,1.62259694,-2.49779795,-3.66087402,,,
imu,127.986588,-1.037795108,-9.204375286400001,2.9094152192,1.94410407,-2.43798267,-3.21225942,,,
imu,127.995408,-1.0114763848,-9.254021968800002,2.914798594400001,2.16093446,-2.55761323,-2.95056757,,,
imu,128.004227,-1.0013077872,-9.300079734400002,2.9465006928,2.4899185,-2.55761323,-2.80102937,,,
imu,128.013047,-1.007887468,-9.355109792000002,2.9626508184,2.76656417,-2.73705907,-2.50195297,,,
imu,128.021866,-0.9917373424000001,-9.426289975200001,2.951884068,3.0133022,-2.74453598,-2.04586146,,,
imu,128.030686,-1.0007096344,-9.484908949600001,2.9542766792,3.11797894,-2.43798267,-1.4028472,,,
imu,128.039506,-1.0054948568,-9.5423316184,2.954874832000001,3.20022495,-2.3108752,-0.8719865899999999,,,
imu,128.048325,-1.0180560656,-9.5393408544,2.9566692904,3.21517877,-2.3108752,-0.43832581,,,
imu,128.057145,-1.0126726904,-9.517807353600002,2.9626508184,3.24508641,-2.13890627,0.04767334000000023,,,
imu,128.065964,-1.0300191216,-9.489096019200002,2.969828652,3.42453225,-1.9370297,0.4065650199999999,,,
imu,128.074784,-1.0330098856,-9.491488630400001,2.963248971200001,3.69370101,-1.76506077,0.5561032200000002,,,
imu,128.083604,-1.0545433864,-9.489694172,2.9447062344,3.97034668,-1.60804566,0.5561032200000002,,,
imu,128.092423,-1.0551415392,-9.4633754488,2.9273598032,4.14979252,-1.50336892,0.3168421000000001,,,
imu,128.101243,-1.0330098856,-9.429878892000001,2.924967192,4.46382274,-1.21924634,0.2495499100000003,,,
imu,128.109729,-1.0545433864,-9.4173176832,2.9297524144,4.77785296,-0.94260067,0.18225772,,,
imu,128.118216,-1.0473655528,-9.423299211200002,2.9231727336,4.89000661,-0.80053938,-0.1093417699999999,,,
imu,128.126702,-1.037795108,-9.418513988800001,2.9058263024,5.07692936,-0.6734319100000001,-0.5355256399999999,,,
imu,128.135188,-1.0180560656,-9.416719530400002,2.9058263024,5.11431391,-0.6285704500000002,-0.8719865899999999,,,
imu,128.143675,-1.0072893152,-9.437056725600002,2.8842928016,5.05449863,-0.5687551700000002,-1.27573973,,,
imu,128.152161,-0.9845595088000001,-9.434065961600002,2.8717315928,5.09188318,-0.4117400600000001,-1.46266248,,,
imu,128.160648,-0.9684093832000001,-9.4244955168,2.852590703200001,5.26385211,-0.2921095,-1.78416961,,,
imu,128.169134,-0.9516611048000001,-9.3993730992,2.823281216,5.42086722,-0.4416477000000003,-1.95613854,,,
imu,128.177621,-0.9426888128,-9.367072848000001,2.808327396000001,5.3311443,-0.5612782599999999,-2.03838455,,,
imu,128.186107,-0.9450814240000001,-9.3347725968,2.8005514096,5.49563632,-0.7257702800000003,-2.10567674,,,
imu,128.194593,-0.9050051864,-9.3377633608,2.7652603944,5.839574180000001,-0.7930624700000002,-1.82155416,,,
imu,128.20308,-0.9020144224000001,-9.332379985600001,2.7586807136,6.12369676,-0.8080162900000003,-1.78416961,,,
imu,128.211566,-0.885266144,-9.360493167200001,2.739539824,6.56483445,-0.82297011,-1.55986231,,,
imu,128.220053,-0.8457880592000001,-9.392195265600002,2.7299693792,7.1256027,-0.8902623000000003,-1.21592445,,,
imu,128.228539,-0.8158804192000001,-9.418513988800001,2.718604476,7.62655567,-1.05475432,-0.99909406,,,
imu,128.237026,-0.7961413768000002,-9.436458572800001,2.696472822400001,8.03030881,-1.24915398,-1.04395552,,,
imu,128.245512,-0.7889635432000001,-9.4412437952,2.678528238400001,8.53126178,-1.64543021,-1.01404788,,,
imu,128.253998,-0.7817857096,-9.4699551296,2.6880986832,8.890153459999999,-2.00432189,-0.93927878,,,
imu,128.262485,-0.804515516,-9.510031367200002,2.6821171552,9.376152609999998,-2.19124464,-0.7897405799999999,,,
imu,128.270971,-0.8081044328000001,-9.564463272000001,2.680920849600001,9.48830626,-2.4604134,-0.54300255,,,
imu,128.279458,-0.8362176144000002,-9.636241608,2.6892949888,9.398583339999998,-2.43798267,-0.29626452,,,
imu,128.287944,-0.8559566568000001,-9.696056888000001,2.694678364,9.15932222,-2.31835211,-0.1616801399999999,,,
imu,128.296431,-0.8643307960000001,-9.7337405144,2.6839116136,8.61350779,-2.42302885,-0.01961884999999985,,,
imu,128.304917,-0.8846679912000001,-9.7492924872,2.6875005304,7.88077061,-2.32582902,-0.08691103999999994,,,
imu,128.313382,-0.8918458248000001,-9.7821908912,2.686902377600001,7.11064888,-2.22115228,0.002811879999999878,,,
imu,128.321847,-0.9145756312000002,-9.798341016800002,2.659387348800001,6.28071187,-2.17629082,-0.3411259799999999,,,
imu,128.330311,-0.9277349928000002,-9.803126239200001,2.643835376000001,5.106837000000001,-2.22862919,-1.05143243,,,
imu,128.338776,-0.9660167720000001,-9.803724392000001,2.6629762656,3.93296213,-2.28096756,-1.79912343,,,
imu,128.347241,-0.9953262592000002,-9.803126239200001,2.6522095152,2.81890254,-2.24358301,-2.26269185,,,
imu,128.355706,-0.9815687448000001,-9.803724392000001,2.625890792,1.88428879,-2.09404481,-2.92065993,,,
imu,128.364171,-1.0060930096,-9.785181655200002,2.583421943200001,1.07678251,-1.87721442,-3.53376655,,,
imu,128.372635,-1.0324117328,-9.7295534448,2.5738514984,0.33656842,-1.72019931,-3.90761205,,,
imu,128.3811,-1.0551415392,-9.671532623200001,2.5702625816,-0.47841477,-1.22672325,-3.96742733,,,
imu,128.389565,-1.0551415392,-9.6015487456,2.545738316800001,-0.9943215599999999,-0.76315483,-3.89265823,,,
imu,128.39803,-1.052748928,-9.572239258400002,2.5505235392,-1.23358268,-0.4416477000000003,-3.92256587,,,
imu,128.406495,-1.0730861232,-9.5632669664,2.5409530944,-1.3980747,0.13407437,-4.012288789999999,,,
imu,128.414873,-1.0533470808,-9.562668813600002,2.5517198448,-1.36816706,0.5976427899999996,-3.93004278,,,
imu,128.423338,-1.0533470808,-9.5740337168,2.592992388,-1.35321324,0.9415806499999997,-4.10948862,,,
imu,128.431803,-1.0635156784,-9.5668558832,2.6121332776,-1.64481273,1.27056469,-4.28893446,,,
imu,128.440268,-1.0395895664,-9.5740337168,2.601366527200001,-1.68967419,1.74908693,-4.15435008,,,
imu,128.448732,-1.0025040928,-9.555490980000002,2.6211055696,-1.72705874,2.04816333,-4.169303899999999,,,
imu,128.457197,-0.9947281064000002,-9.538742701600002,2.6294797088,-1.94388913,2.36219355,-4.34874974,,,
imu,128.465662,-0.9510629520000001,-9.509433214400001,2.649816904,-2.03361205,2.68370068,-4.0197657,,,
imu,128.474127,-0.9133793256000001,-9.493283088800002,2.668957793600001,-2.25791935,2.93791562,-3.51133582,,,
imu,128.482592,-0.8733030880000001,-9.492086783200001,2.682715308000001,-2.42988828,2.9977309,-3.29450543,,,
imu,128.491056,-0.8451899064,-9.527975951200002,2.6875005304,-2.23548862,3.09493073,-3.31693616,,,
imu,128.499521,-0.8176748776000001,-9.5429297712,2.7233896984,-2.42241137,3.05754618,-3.10758268,,,
imu,128.507986,-0.7847764736,-9.5172092008,2.748512116,-2.48970356,3.01268472,-2.74121409,,,
imu,128.51646,-0.7961413768000002,-9.5357519376,2.7233896984,-2.370073,2.74351596,-2.80102937,,,
imu,128.524934,-0.8104970440000001,-9.557883591200001,2.740736129600001,-2.20558098,2.7734236,-2.64401426,,,
imu,128.533407,-0.7512799168000001,-9.543527924000001,2.747913963200001,-1.9962275,2.64631613,-1.98604618,,,
imu,128.541881,-0.7189796656000002,-9.520798117600002,2.759877019200001,-1.93641222,2.3995781,-2.06829219,,,
imu,128.550355,-0.6753145112000001,-9.452010545600002,2.7281749208,-1.68967419,2.23508608,-2.10567674,,,
imu,128.558828,-0.6681366776000001,-9.4071490856,2.7867938952,-1.67472037,1.98834805,-2.20287657,,,
imu,128.567302,-0.6328456624000001,-9.423299211200002,2.7820086728,-1.36816706,1.53225654,-2.26269185,,,
imu,128.575776,-0.6137047728000001,-9.516012895200001,2.7748308392,-1.01675229,1.22570323,-2.53933752,,,
imu,128.58425,-0.6113121616,-9.554892827200002,2.7951680344,-0.79244499,0.8742884599999998,-2.61410662,,,
imu,128.592723,-0.5975546472000001,-9.551303910400001,2.814308924,-0.73262971,0.5976427899999996,-2.59167589,,,
imu,128.601197,-0.6065269392000001,-9.5489112992,2.8167015352,-0.7999219,0.2836125699999998,-2.4496146,,,
imu,128.609671,-0.6238733704,-9.535153784800002,2.7975606456,-0.6503837,0.1191205499999999,-2.15801511,,,
imu,128.618144,-0.631051204,-9.543527924000001,2.798756951200001,-0.5756146,0.1789358299999999,-1.55986231,,,
imu,128.626618,-0.6358364264000002,-9.519003659200001,2.793373576,-0.71019898,0.2088434699999997,-1.08134007,,,
imu,128.635092,-0.6370327320000001,-9.501657228000001,2.775428992000001,-0.84478336,0.1864127399999997,-0.7523560299999998,,,
imu,128.643566,-0.6400234960000001,-9.5154147424,2.762269630400001,-0.7401066199999999,0.2237972899999998,-0.57291019,,,
imu,128.652039,-0.6244715232,-9.4908904776,2.7586807136,-0.93450628,0.2686587499999997,-0.5355256399999999,,,
imu,128.660513,-0.6442105656,-9.446627170400001,2.760475172,-0.83730645,0.4331507699999997,-0.3859874399999998,,,
imu,128.668987,-0.6585662328000002,-9.467562518400001,2.763465936,-0.85973718,0.5378275100000001,-0.7074945699999999,,,
imu,128.67746,-0.6597625384000001,-9.496872005600002,2.7443250464,-0.8821679099999999,0.6574580699999997,-0.8346020399999998,,,
imu,128.685934,-0.6597625384000001,-9.548313146400002,2.7449231992,-0.874691,0.8967191899999998,-1.00657097,,,
imu,128.694408,-0.663949608,-9.558481744000002,2.7449231992,-0.8672140899999999,1.06868812,-1.35798574,,,
imu,128.702882,-0.6675385248000001,-9.5590798968,2.7383435184,-1.06161375,1.2032725,-1.67949287,,,
imu,128.711355,-0.6609588440000002,-9.578818939200001,2.730567532,-1.13638285,1.30047233,-2.11315365,,,
imu,128.719835,-0.6771089696000001,-9.573435564,2.742530588,-1.11395212,1.33785688,-2.40475314,,,
imu,128.728315,-0.6711274416,-9.591380148,2.7443250464,-1.21862886,1.58459491,-2.50195297,,,
imu,128.736795,-0.6830904976000001,-9.624278552000002,2.763465936,-1.18872122,1.83880985,-2.66644499,,,
imu,128.745276,-0.7070166096,-9.621287788000002,2.757484408000001,-1.40555161,2.05564024,-2.96552139,,,
imu,128.753756,-0.7100073736000001,-9.6434194416,2.783204978400001,-1.62985891,2.30237827,-2.86832156,,,
imu,128.762236,-0.6986424704000002,-9.6846919848,2.7861957424,-1.78687402,2.64631613,-2.76364482,,,
imu,128.770716,-0.7285501104000001,-9.682897526400001,2.7855975896,-2.28782699,2.90800798,-3.03281358,,,
imu,128.779196,-0.7285501104000001,-9.686486443200002,2.784999436800001,-2.71401086,3.22951511,-3.05524431,,,
imu,128.787676,-0.7195778184000001,-9.6745233872,2.7826068256,-3.14767164,3.49120696,-2.76364482,,,
imu,128.796156,-0.7255593464000001,-9.641624983200002,2.790382812,-3.63367079,3.69308353,-2.71878336,,,
imu,128.804636,-0.7369242496000001,-9.606932120800002,2.784401284,-3.97013174,3.90243701,-2.92065993,,,
imu,128.813116,-0.7285501104000001,-9.572837411200002,2.7778216032,-4.34397724,3.98468302,-2.92065993,,,
imu,128.821596,-0.7189796656000002,-9.5381445488,2.7664567,-4.50099235,4.104313579999999,-2.73373718,,,
imu,128.830076,-0.7195778184000001,-9.510031367200002,2.7586807136,-4.9122224,4.149175039999999,-2.83841392,,,
imu,128.838556,-0.6866794144,-9.479525574400002,2.7509047272,-5.14400661,4.08935976,-2.90570611,,,
imu,128.847036,-0.6711274416,-9.464571754400001,2.7628677832,-5.129052789999999,4.104313579999999,-3.1225365,,,
imu,128.855516,-0.6567717744000001,-9.455001309600002,2.7550917968,-5.129052789999999,3.80523718,-3.37675144,,,
imu,128.863997,-0.6525847048000001,-9.426289975200001,2.769447464,-5.1365297,3.58840679,-3.53376655,,,
imu,128.872477,-0.6346401208000001,-9.417915836,2.7927754232,-4.97203768,3.34914567,-3.71321239,,,
imu,128.880957,-0.6424161072,-9.437056725600002,2.771241922400001,-4.725299649999999,3.00520781,-3.8702275,,,
imu,128.889437,-0.6448087184,-9.4765348104,2.775428992000001,-4.53089999,2.66126995,-4.02724261,,,
