ï»¿Time,CoG Acceleration/X,CoG Acceleration/Y,CoG position/X,CoG position/Y,CoG position/Roll,CoG position/Pitch,CoG position/Yaw,Horizontal tangential speed,Over-steering criteria2,Pitch %ground,Pitch acceleration,Pitch speed,Roll %ground,Roll acceleration,Roll speed,Slope force,Speed/X,Speed/Y,Tangent Acceleration/X,Tangent Acceleration/Y,Tangential speed,Yaw %ground,Yaw acceleration,Yaw speed,Brake pedal force,Gas pedal,Steering wheel angle,Steering wheel speed,Intersection Id,Lane gap,CoG Acceleration/X.1,CoG Acceleration/Y.1,CoG position/X.1,CoG position/Y.1,Pitch acceleration.1,Pitch speed.1,Roll acceleration.1,Roll speed.1,Speed/X.1,Speed/Y.1,Tangential speed.1,Yaw acceleration.1,Yaw speed.1,CoG Acceleration/X.2,CoG Acceleration/Y.2,CoG position/X.2,CoG position/Y.2,Pitch acceleration.2,Pitch speed.2,Roll acceleration.2,Roll speed.2,Speed/X.2,Speed/Y.2,Tangential speed.2,Yaw acceleration.2,Yaw speed.2,CoG Acceleration/X.3,CoG Acceleration/Y.3,CoG position/X.3,CoG position/Y.3,Pitch acceleration.3,Pitch speed.3,Roll acceleration.3,Roll speed.3,Speed/X.3,Speed/Y.3,Tangential speed.3,Yaw acceleration.3,Yaw speed.3,CoG Acceleration/X.4,CoG Acceleration/Y.4,CoG position/X.4,CoG position/Y.4,Pitch acceleration.4,Pitch speed.4,Roll acceleration.4,Roll speed.4,Speed/X.4,Speed/Y.4,Tangential speed.4,Yaw acceleration.4,Yaw speed.4,ExportChannel/1,ExportChannel/3,ExportChannel/4,Unnamed: 86,distance_to_inter_0
99.217,-10.1305,0.171175,7502.42,10.056,-0.0251906,-0.525439,-179.705,1253.22,-0.000398165,-0.52532,175.946,0.0974895,-0.0251906,20.6583,-0.0410245,-0.00397537,4.51097,-0.0590256,-10.1314,0.0385815,4.51159,-179.705,6.41218,-0.611147,0,0.477128,-31.869,-42,-1.0,0.340262,0,0,387.381,-2.65536,0,0,0,0,0,0,0,0,0,0,0,2851.92,4.72605,0,0,0,0,0,0,0,0,0,0,0,3891.15,5.22,0,0,0,0,0,0,0,0,0,0,0,7427.97,17.7686,0,0,0,0,6.00001,0,6.00001,0,0,999.0,2.0,4.0,,25.816278682258133
99.233,-10.0922,0.255067,7502.4,10.0561,-0.0258195,-0.524643,-179.715,1260.15,-2.63552e-07,-0.524523,175.851,0.091431,-0.0258195,28.1335,-0.0262701,-0.00398831,4.53589,-0.0611357,-10.0942,0.118992,4.53653,-179.715,8.9738,-0.62948,0,0.48371,-32.589,-42,-1.0,0.340199,0,0,387.381,-2.65536,0,0,0,0,0,0,0,0,0,0,0,2851.92,4.72605,0,0,0,0,0,0,0,0,0,0,0,3891.15,5.22,0,0,0,0,0,0,0,0,0,0,0,7427.94,17.7685,0,0,0,0,6.00001,0,6.00001,0,0,999.0,2.0,4.0,,25.79628177877566
99.249,-10.0333,0.267314,7502.38,10.0563,-0.0262265,-0.523909,-179.725,1267.15,-0.000603808,-0.523789,174.982,0.0880792,-0.0262265,28.8568,-0.0117689,-0.00399564,4.56109,-0.0631239,-10.0354,0.128406,4.56175,-179.725,10.2865,-0.646652,0,0.48371,-33.075,-24,-1.0,0.340139,0,0,387.381,-2.65536,0,0,0,0,0,0,0,0,0,0,0,2851.92,4.72605,0,0,0,0,0,0,0,0,0,0,0,3891.15,5.22,0,0,0,0,0,0,0,0,0,0,0,7427.92,17.7685,0,0,0,0,6.00001,0,6.00001,0,0,999.0,2.0,4.0,,25.776286212137265
99.265,-10.087,0.212304,7502.36,10.0565,-0.0264151,-0.523234,-179.735,1274.18,-0.000665693,-0.523113,175.541,0.0843493,-0.0264151,23.9813,0.00184142,-0.00400118,4.58637,-0.0650145,-10.0885,0.0692719,4.58706,-179.735,7.74215,-0.661566,0,0.490293,-33.471,-18,-1.0,0.340082,0,0,387.381,-2.65536,0,0,0,0,0,0,0,0,0,0,0,2851.92,4.72605,0,0,0,0,0,0,0,0,0,0,0,3891.15,5.22,0,0,0,0,0,0,0,0,0,0,0,7427.89,17.7685,0,0,0,0,6.00001,0,6.00001,0,0,999.0,2.0,4.0,,25.756290653935306
99.281,-10.036,0.234512,7502.34,10.0567,-0.0263473,-0.522619,-179.746,1281.35,-0.000559963,-0.522499,174.888,0.0806861,-0.0263473,25.2164,0.0164693,-0.00400118,4.61215,-0.066533,-10.0377,0.0896903,4.61286,-179.746,8.3344,-0.671383,0,0.493584,-33.66,-6,-1.0,0.340028,0,0,387.381,-2.65536,0,0,0,0,0,0,0,0,0,0,0,2851.92,4.72605,0,0,0,0,0,0,0,0,0,0,0,3891.15,5.22,0,0,0,0,0,0,0,0,0,0,0,7427.86,17.7684,0,0,0,0,6.00001,0,6.00001,0,0,999.0,2.0,4.0,,25.73629510419127
99.297,-9.99732,0.254498,7502.32,10.0569,-0.026049,-0.522065,-179.757,1288.61,-0.000609382,-0.521945,174.548,0.0764896,-0.026049,27.0069,0.0330841,-0.00399745,4.63828,-0.0676845,-9.99936,0.10856,4.63901,-179.757,9.23066,-0.679595,0,0.503457,-33.696,0,-1.0,0.339978,0,0,387.381,-2.65536,0,0,0,0,0,0,0,0,0,0,0,2851.92,4.72605,0,0,0,0,0,0,0,0,0,0,0,3891.15,5.22,0,0,0,0,0,0,0,0,0,0,0,7427.84,17.7684,0,0,0,0,6.00001,0,6.00001,0,0,999.0,2.0,4.0,,25.716299562923066
99.313,-10.0177,0.225288,7502.3,10.0571,-0.0254689,-0.521576,-179.768,1295.95,-0.000812594,-0.521456,174.705,0.0722081,-0.0254689,24.0699,0.050656,-0.00399013,4.66468,-0.0686177,-10.0194,0.0778818,4.66542,-179.768,7.92965,-0.684198,0,0.510039,-33.588,6,-1.0,0.33993,0,0,387.381,-2.65536,0,0,0,0,0,0,0,0,0,0,0,2851.92,4.72605,0,0,0,0,0,0,0,0,0,0,0,3891.15,5.22,0,0,0,0,0,0,0,0,0,0,0,7427.81,17.7684,0,0,0,0,6.00001,0,6.00001,0,0,999.0,2.0,4.0,,25.696304030152298
99.329,-9.96856,0.280217,7502.27,10.0574,-0.0245991,-0.52117,-179.779,1303.43,-0.000768473,-0.52105,174.033,0.066262,-0.0245991,28.7133,0.0689283,-0.0039807,4.6916,-0.0692414,-9.97103,0.133046,4.69235,-179.779,10.1251,-0.684859,0,0.510039,-33.381,18,-1.0,0.339886,0,0,387.381,-2.65536,0,0,0,0,0,0,0,0,0,0,0,2851.92,4.72605,0,0,0,0,0,0,0,0,0,0,0,3891.15,5.22,0,0,0,0,0,0,0,0,0,0,0,7427.78,17.7683,0,0,0,0,6.00001,0,6.00001,0,0,999.0,2.0,4.0,,25.66631074697013
99.345,-9.95147,0.245102,7502.25,10.0576,-0.0234887,-0.520858,-179.79,1311.01,-0.000609468,-0.520739,173.651,0.0599815,-0.0234887,24.5528,0.082605,-0.00396964,4.71886,-0.0696659,-9.95348,0.0981437,4.71962,-179.79,9.77028,-0.684531,0,0.523203,-33.093,18,-1.0,0.339846,0,0,387.381,-2.65536,0,0,0,0,0,0,0,0,0,0,0,2851.92,4.72605,0,0,0,0,0,0,0,0,0,0,0,3891.15,5.22,0,0,0,0,0,0,0,0,0,0,0,7427.76,17.7683,0,0,0,0,6.00001,0,6.00001,0,0,999.0,2.0,4.0,,25.646315235526757
99.361,-9.93473,0.262655,7502.23,10.0578,-0.0221773,-0.520661,-179.801,1318.71,-0.000948771,-0.520542,173.608,0.052201,-0.0221773,25.9962,0.0934115,-0.00395427,4.74661,-0.0698445,-9.93696,0.116427,4.74737,-179.801,8.98959,-0.682839,0,0.533076,-32.652,36,-1.0,0.339809,0,0,387.381,-2.65536,0,0,0,0,0,0,0,0,0,0,0,2851.92,4.72605,0,0,0,0,0,0,0,0,0,0,0,3891.15,5.22,0,0,0,0,0,0,0,0,0,0,0,7427.73,17.7683,0,0,0,0,6.00001,0,6.00001,0,0,999.0,2.0,4.0,,25.626319732649666
99.377,-9.91689,0.301481,7502.21,10.0581,-0.0207008,-0.520623,-179.812,1326.55,-0.00042688,-0.520505,173.098,0.0390994,-0.0207008,28.684,0.102297,-0.00393239,4.77483,-0.0693835,-9.91974,0.157336,4.77557,-179.812,10.9784,-0.674544,0,0.536367,-32.067,42,-1.0,0.339777,0,0,387.381,-2.65536,0,0,0,0,0,0,0,0,0,0,0,2851.92,4.72605,0,0,0,0,0,0,0,0,0,0,0,3891.15,5.22,0,0,0,0,0,0,0,0,0,0,0,7427.7,17.7682,0,0,0,0,6.00001,0,6.00001,0,0,999.0,2.0,4.0,,25.60632558587846
99.393,-9.90006,0.212308,7502.19,10.0583,-0.0190997,-0.520792,-179.822,1334.52,-0.00115033,-0.520675,172.817,0.0279865,-0.0190997,19.8951,0.110365,-0.00390732,4.80354,-0.068821,-9.90164,0.0704396,4.80427,-179.822,7.39719,-0.665807,0,0.546241,-31.293,54,-1.0,0.339749,0,0,387.381,-2.65536,0,0,0,0,0,0,0,0,0,0,0,2851.92,4.72605,0,0,0,0,0,0,0,0,0,0,0,3891.15,5.22,0,0,0,0,0,0,0,0,0,0,0,7427.67,17.7682,0,0,0,0,6.00001,0,6.00001,0,0,999.0,2.0,4.0,,25.58633010202892
99.409,-9.90412,0.229158,7502.17,10.0586,-0.0172741,-0.521113,-179.833,1342.65,-0.000630398,-0.520996,173.199,0.0195939,-0.0172741,21.196,0.126005,-0.0038814,4.83281,-0.0680286,-9.90589,0.0897155,4.83352,-179.833,7.70288,-0.653816,0,0.549532,-30.393,54,-1.0,0.339724,0,0,387.381,-2.65536,0,0,0,0,0,0,0,0,0,0,0,2851.92,4.72605,0,0,0,0,0,0,0,0,0,0,0,3891.15,5.22,0,0,0,0,0,0,0,0,0,0,0,7427.65,17.7682,0,0,0,0,6.00001,0,6.00001,0,0,999.0,2.0,4.0,,25.56633597839189
99.425,-9.81138,0.254016,7502.15,10.0588,-0.015224,-0.521576,-179.843,1350.96,-0.000562618,-0.52146,171.8,0.00928477,-0.015224,23.6364,0.140129,-0.00385362,4.86276,-0.0667915,-9.81344,0.119227,4.86346,-179.843,11.5274,-0.637504,0,0.549532,-29.385,72,-1.0,0.339703,0,0,387.381,-2.65536,0,0,0,0,0,0,0,0,0,0,0,2851.92,4.72605,0,0,0,0,0,0,0,0,0,0,0,3891.15,5.22,0,0,0,0,0,0,0,0,0,0,0,7427.62,17.7681,0,0,0,0,6.00001,0,6.00001,0,0,999.0,2.0,4.0,,25.546340513662486
99.441,-9.82788,0.244839,7502.13,10.059,-0.0130177,-0.522213,-179.854,1359.39,-0.00171422,-0.522098,172.439,-0.00147282,-0.0130177,22.4118,0.148653,-0.0038227,4.89314,-0.0652426,-9.82971,0.113777,4.89381,-179.854,9.00701,-0.619619,0,0.559405,-28.206,72,-1.0,0.339686,0,0,387.381,-2.65536,0,0,0,0,0,0,0,0,0,0,0,2851.92,4.72605,0,0,0,0,0,0,0,0,0,0,0,3891.15,5.22,0,0,0,0,0,0,0,0,0,0,0,7427.59,17.7681,0,0,0,0,6.00001,0,6.00001,0,0,999.0,2.0,4.0,,25.526345057607003
99.457,-9.77533,0.233491,7502.1,10.0593,-0.0106387,-0.523011,-179.863,1368.01,-0.00164041,-0.522897,171.565,-0.0116469,-0.0106387,20.4936,0.158128,-0.00379447,4.92418,-0.0635171,-9.777,0.107383,4.92483,-179.863,8.7384,-0.598729,0,0.569278,-27.009,72,-1.0,0.339672,0,0,387.381,-2.65536,0,0,0,0,0,0,0,0,0,0,0,2851.92,4.72605,0,0,0,0,0,0,0,0,0,0,0,3891.15,5.22,0,0,0,0,0,0,0,0,0,0,0,7427.57,17.7681,0,0,0,0,6.00001,0,6.00001,0,0,999.0,2.0,4.0,,25.496351889829853
