ï»¿Time,CoG Acceleration/X,CoG Acceleration/Y,CoG position/X,CoG position/Y,CoG position/Roll,CoG position/Pitch,CoG position/Yaw,Horizontal tangential speed,Over-steering criteria2,Pitch %ground,Pitch acceleration,Pitch speed,Roll %ground,Roll acceleration,Roll speed,Slope force,Speed/X,Speed/Y,Tangent Acceleration/X,Tangent Acceleration/Y,Tangential speed,Yaw %ground,Yaw acceleration,Yaw speed,Brake pedal force,Gas pedal,Steering wheel angle,Steering wheel speed,Intersection Id,Lane gap,CoG Acceleration/X.1,CoG Acceleration/Y.1,CoG position/X.1,CoG position/Y.1,Pitch acceleration.1,Pitch speed.1,Roll acceleration.1,Roll speed.1,Speed/X.1,Speed/Y.1,Tangential speed.1,Yaw acceleration.1,Yaw speed.1,CoG Acceleration/X.2,CoG Acceleration/Y.2,CoG position/X.2,CoG position/Y.2,CoG position/Yaw.1,Pitch acceleration.2,Pitch speed.2,Roll acceleration.2,Roll speed.2,Speed/X.2,Speed/Y.2,Tangential speed.2,Yaw acceleration.2,Yaw speed.2,CoG Acceleration/X.3,CoG Acceleration/Y.3,CoG position/X.3,CoG position/Y.3,Pitch acceleration.3,Pitch speed.3,Roll acceleration.3,Roll speed.3,Speed/X.3,Speed/Y.3,Tangential speed.3,Yaw acceleration.3,Yaw speed.3,CoG Acceleration/X.4,CoG Acceleration/Y.4,CoG position/X.4,CoG position/Y.4,Pitch acceleration.4,Pitch speed.4,Roll acceleration.4,Roll speed.4,Speed/X.4,Speed/Y.4,Tangential speed.4,Yaw acceleration.4,Yaw speed.4,ExportChannel/1,ExportChannel/3,ExportChannel/4,Unnamed: 87,distance_to_inter_0,distance_to_inter_1
251.231,-8.90237,-0.0191104,4502.37,7.10321,0.00143726,-0.51192,-179.912,1591.35,3.45148e-05,-0.511821,156.012,-0.0303461,0.00143726,-2.17793,-0.00191184,-0.00327302,5.72861,0.00670218,-8.90195,-0.00869374,5.72885,-179.912,-0.802156,0.0672423,0.0,0.460673,2.718,-6,-1.0,0.218745,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0.123736,0,0,0,0,0,0,0,0,0,4.01736e-09,0.377648,5955.75,-578.798,0,-1.69186e-09,0,-2.23241e-08,54.0,-0.0339928,54.0,0,1.44251,0.257474,0.0,4927.79,-7.17561,0,0.0,0,0.0,56.4045,-7.70314e-15,56.4045,0,0.0,999.0,2.0,4.0,,774.2600003185521,26.365420671479782
251.247,-8.82931,-0.0215337,4502.35,7.10314,0.00140525,-0.513042,-179.911,1598.81,0.00022628,-0.512943,154.986,-0.0321713,0.00140525,-2.10076,-0.00290668,-0.00327824,5.75546,0.00666249,-8.82887,-0.0113116,5.7557,-179.911,-0.984253,0.0666591,0.0,0.460673,2.691,0,-1.0,0.218785,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0.123736,0,0,0,0,0,0,0,0,0,4.33327e-09,0.377647,5955.95,-578.943,0,-1.67316e-09,0,-2.23296e-08,54.0,-0.0339911,54.0,0,1.4425,0.255343,0.0,4928.05,-7.17561,0,0.0,0,0.0,56.4194,9.80304e-15,56.4194,0,0.0,999.0,2.0,4.0,,774.2800003165387,26.34542531028145
251.263,9.73221,0.0193885,4502.32,7.10307,0.00136212,-0.514206,-179.91,1610.74,3.29781e-05,-0.514107,-154.763,-0.113806,0.00136212,1.33333,-0.00298712,-0.00328138,5.79842,0.0066594,9.73179,0.00820994,5.79866,-179.91,-0.361112,0.0661624,0.0,0.467255,2.628,0,-1.0,0.218824,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0.123736,0,0,0,0,0,0,0,0,0,4.64918e-09,0.377646,5956.15,-579.087,0,-1.65447e-09,0,-2.2335e-08,54.0,-0.0339894,54.0,0,1.4425,0.253211,0.0,4928.31,-7.17561,0,0.0,0,0.0,56.4342,2.73092e-14,56.4342,0,0.0,999.0,2.0,4.0,,774.3100003145288,26.315431639722043
251.279,-8.73541,-0.0439036,4502.3,7.103,0.00130967,-0.515466,-179.909,1613.97,-0.000296014,-0.515367,153.235,-0.0427074,0.00130967,-4.31625,-0.00413836,-0.00328362,5.81006,0.00647842,-8.73508,-0.0341622,5.8103,-179.909,-1.55838,0.0649356,0.0,0.467255,2.565,-6,-1.0,0.218864,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0.123736,0,0,0,0,0,0,0,0,0,4.57807e-09,0.377646,5956.34,-579.229,0,-1.61631e-09,0,-2.23404e-08,54.0,-0.0339855,54.0,0,1.4425,0.251167,0.0,4928.56,-7.17561,0,0.0,0,0.0,56.4485,1.76685e-14,56.4485,0,0.0,999.0,2.0,4.0,,774.3300003125281,26.29543629605732
251.295,-8.64361,-0.0578512,4502.27,7.10293,0.00124817,-0.516795,-179.908,1621.72,-4.70944e-05,-0.516696,152.177,-0.0461739,0.00124817,-4.65843,-0.00621193,-0.00328813,5.83794,0.00639098,-8.64321,-0.0483877,5.83819,-179.908,-0.794137,0.0637568,0.0,0.470546,2.493,-6,-1.0,0.218905,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0.123736,0,0,0,0,0,0,0,0,0,4.47092e-09,0.377646,5956.54,-579.37,0,-1.57635e-09,0,-2.23457e-08,54.0,-0.0339814,54.0,0,1.4425,0.24913,0.0,4928.81,-7.17561,0,0.0,0,0.0,56.4627,5.49996e-15,56.4627,0,0.0,999.0,2.0,4.0,,774.3600003105303,26.26544265046607
251.311,-8.54936,-0.0203965,4502.24,7.10286,0.00114488,-0.518172,-179.907,1629.56,0.000309405,-0.518073,150.586,-0.0501306,0.00114488,-1.89226,-0.0082853,-0.0032924,5.86618,0.00636695,-8.54894,-0.0111164,5.86642,-179.907,0.45762,0.0622147,0.0,0.473837,2.376,-6,-1.0,0.218946,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0.123736,0,0,0,0,0,0,0,0,0,4.36376e-09,0.377646,5956.73,-579.512,0,-1.53639e-09,0,-2.23511e-08,54.0,-0.0339773,54.0,0,1.4425,0.247094,0.0,4929.06,-7.17561,0,0.0,0,0.0,56.4769,-6.66858e-15,56.4769,0,0.0,999.0,2.0,4.0,,774.3900003085397,26.235449019591563
251.327,-8.47985,-0.00956206,4502.22,7.10279,0.000979899,-0.519604,-179.906,1637.5,0.000238048,-0.519505,149.686,-0.0533656,0.000979899,-0.964329,-0.0121499,-0.00329787,5.89476,0.00618569,-8.47936,-0.000662985,5.89501,-179.906,-0.608602,0.0594299,0.0,0.480419,2.259,0,-1.0,0.218988,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0.123736,0,0,0,0,0,0,0,0,0,4.02018e-09,0.377645,5956.92,-579.651,0,-1.26701e-09,0,-2.23563e-08,54.0,-0.0339822,54.0,0,1.4425,0.245128,0.0,4929.31,-7.17561,0,0.0,0,0.0,56.4906,-9.56587e-15,56.4906,0,0.0,999.0,2.0,4.0,,774.4100003065585,26.215453703953184
251.343,-8.37711,-0.00763771,4502.19,7.10272,0.000768982,-0.521078,-179.905,1645.57,-3.97438e-05,-0.520978,147.772,-0.0565186,0.000768982,-0.802434,-0.0142732,-0.00330344,5.92378,0.00591695,-8.37672,0.00073009,5.92404,-179.905,-1.71302,0.0560999,0.0,0.48371,2.124,-6,-1.0,0.21903,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0.123736,0,0,0,0,0,0,0,0,0,3.61315e-09,0.377645,5957.11,-579.789,0,-9.36074e-10,0,-2.23616e-08,54.0,-0.0339896,54.0,0,1.4425,0.24318,0.0,4929.55,-7.17561,0,0.0,0,0.0,56.5042,-9.975e-15,56.5042,0,0.0,999.0,2.0,4.0,,774.4400003045808,26.1854600982755
251.359,-8.3092,-0.0245141,4502.16,7.10265,0.000533555,-0.522597,-179.904,1653.72,-0.000355801,-0.522498,146.912,-0.059248,0.000533555,-2.23842,-0.0164315,-0.00330964,5.95314,0.00567864,-8.30878,-0.016588,5.95339,-179.904,-1.1923,0.0533954,0.0,0.487002,1.989,-6,-1.0,0.219073,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0.123736,0,0,0,0,0,0,0,0,0,3.20612e-09,0.377645,5957.3,-579.928,0,-6.05133e-10,0,-2.23668e-08,54.0,-0.0339969,54.0,0,1.4425,0.241233,0.0,4929.8,-7.17561,0,0.0,0,0.0,56.5178,-1.03841e-14,56.5178,0,0.0,999.0,2.0,4.0,,774.4700003026088,26.155466507452925
251.375,-8.19904,-0.0231884,4502.14,7.10258,0.00026559,-0.524159,-179.904,1662.0,-0.00011858,-0.524059,145.166,-0.0625623,0.00026559,-2.03969,-0.017781,-0.00331601,5.98294,0.00542816,-8.19862,-0.0157499,5.9832,-179.904,-0.713377,0.0501161,0.0,0.487002,1.854,-6,-1.0,0.219116,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0.123736,0,0,0,0,0,0,0,0,0,3.39085e-09,0.377645,5957.5,-580.07,0,-3.20716e-10,0,-2.23721e-08,54.0,-0.0339986,54.0,0,1.4425,0.239268,0.0,4930.05,-7.17561,0,0.0,0,0.0,56.5315,-8.32873e-15,56.5315,0,0.0,999.0,2.0,4.0,,774.4900003006469,26.135471220095045
