,Unnamed: 0,Timestamp,CoG Acceleration/X,CoG Acceleration/Y,CoG position/X,CoG position/Y,CoG position/Roll,CoG position/Pitch,CoG position/Yaw,Horizontal tangential speed,Over-steering criteria2,Pitch %ground,Pitch acceleration,Pitch speed,Roll %ground,Roll acceleration,Roll speed,Slope force,Speed/X,Speed/Y,Tangent Acceleration/X,Tangent Acceleration/Y,Tangential speed,Yaw %ground,Yaw acceleration,Yaw speed,Brake pedal force,Gas pedal,Steering wheel angle,Steering wheel speed,Intersection Id,Lane gap,CoG Acceleration/X.1,CoG Acceleration/Y.1,CoG position/X.1,CoG position/Y.1,Pitch acceleration.1,Pitch speed.1,Roll acceleration.1,Roll speed.1,Speed/X.1,Speed/Y.1,Tangential speed.1,Yaw acceleration.1,Yaw speed.1,CoG Acceleration/X.2,CoG Acceleration/Y.2,CoG position/X.2,CoG position/Y.2,Pitch acceleration.2,Pitch speed.2,Roll acceleration.2,Roll speed.2,Speed/X.2,Speed/Y.2,Tangential speed.2,Yaw acceleration.2,Yaw speed.2,CoG Acceleration/X.3,CoG Acceleration/Y.3,CoG position/X.3,CoG position/Y.3,Pitch acceleration.3,Pitch speed.3,Roll acceleration.3,Roll speed.3,Speed/X.3,Speed/Y.3,Tangential speed.3,Yaw acceleration.3,Yaw speed.3,CoG Acceleration/X.4,CoG Acceleration/Y.4,CoG position/X.4,CoG position/Y.4,Pitch acceleration.4,Pitch speed.4,Roll acceleration.4,Roll speed.4,Speed/X.4,Speed/Y.4,Tangential speed.4,Yaw acceleration.4,Yaw speed.4,ExportChannel/1,ExportChannel/4,ExportChannel/3,distance_to_inter_0,Type_gaze,Data Gaze2D X,Data Gaze2D Y,Data Gaze3D X,Data Gaze3D Y,Data Gaze3D Z,Data Eyeleft Gazeorigin X,Data Eyeleft Gazeorigin Y,Data Eyeleft Gazeorigin Z,Data Eyeleft Gazedirection X,Data Eyeleft Gazedirection Y,Data Eyeleft Gazedirection Z,Data Eyeleft Pupildiameter,Data Eyeright Gazeorigin X,Data Eyeright Gazeorigin Y,Data Eyeright Gazeorigin Z,Data Eyeright Gazedirection X,Data Eyeright Gazedirection Y,Data Eyeright Gazedirection Z,Data Eyeright Pupildiameter,Avg_Gazeorigin_X,Avg_Gazeorigin_Y,Avg_Gazeorigin_Z,Avg_Gazedirection_X,Avg_Gazedirection_Y,Avg_Gazedirection_Z,Avg_Pupildiameter,Velocity,Is_Fixation,Fixation_ID,Type_imu,Data Accelerometer X,Data Accelerometer Y,Data Accelerometer Z,Data Gyroscope X,Data Gyroscope Y,Data Gyroscope Z,Data Magnetometer X,Data Magnetometer Y,Data Magnetometer Z,hazard_1_x,hazard_1_y,gaze_intersects_hazard,combined_gaze_car_x,combined_gaze_car_y,driver_position_x,driver_position_y,yaw_continuous,local_collision_flag,global_collision_flag,time_to_collision_flag
0,0,63.560265,8.65674,0.00356858,364.777,-26.0708,0.00685798,-0.564776,0.165975,1702.04,-5.16136e-05,-0.538797,-136.316,-0.0947806,0.00446177,0.265681,-0.00562129,-0.864366,6.12708,-0.00107756,8.65635,0.00508165,6.12734,0.165975,-1.58061,-0.0108733,0.0,0.454091,-0.414,0.0,-1.0,0.353403,1.12865,-0.129724,383.621,-54.0389,0.0,2.4993200000000002e-23,0.0,-2.47447e-22,47.116,0.0116782,47.116,0.0,-0.567943,0.0,0.0,2810.82,-14.6177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3785.53,-83.4882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7388.63,-42.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,1.0,0.0,21.31066267012833,gaze,0.5128473410483586,0.5802422360995262,-65.34809295449239,-183.0025987038576,2494.714690157943,30.35419440647204,-11.28692034561975,-31.26980333233706,-0.0377458647793166,-0.0673175421267075,0.99701735100954,3.860792875289917,-31.54371075816307,-10.11436684132207,-29.08257396348594,-0.0133888313745792,-0.0687948544623132,0.997540980207797,4.068599700927734,-0.5947581758455147,-10.700643593470913,-30.176188647911506,-0.0255673480769479,-0.0680561982945103,0.9972791656086686,3.9646962881088257,0.9517566556675991,True,0.0,imu,0.0496466824,-9.300079734400002,3.5733648272,1.17398234,1.49487199,-2.92813684,32.4833484,-27.4601268,35.4680344,383.621,-54.0389,False,0.999741578347844,0.022732719207381,363.27845469671496,-26.57514311138594,0.165975,False,False,inf
1,1,63.568717,8.65674,0.00356858,364.777,-26.0708,0.00685798,-0.564776,0.165975,1702.04,-5.16136e-05,-0.538797,-136.316,-0.0947806,0.00446177,0.265681,-0.00562129,-0.864366,6.12708,-0.00107756,8.65635,0.00508165,6.12734,0.165975,-1.58061,-0.0108733,0.0,0.454091,-0.414,0.0,-1.0,0.353403,1.12865,-0.129724,383.621,-54.0389,0.0,2.4993200000000002e-23,0.0,-2.47447e-22,47.116,0.0116782,47.116,0.0,-0.567943,0.0,0.0,2810.82,-14.6177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3785.53,-83.4882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7388.63,-42.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,1.0,0.0,21.31066267012833,gaze,0.5128473410483586,0.5802422360995262,-65.34809295449239,-183.0025987038576,2494.714690157943,30.35419440647204,-11.28692034561975,-31.26980333233706,-0.0377458647793166,-0.0673175421267075,0.99701735100954,3.860792875289917,-31.54371075816307,-10.11436684132207,-29.08257396348594,-0.0133888313745792,-0.0687948544623132,0.997540980207797,4.068599700927734,-0.5947581758455147,-10.700643593470913,-30.176188647911506,-0.0255673480769479,-0.0680561982945103,0.9972791656086686,3.9646962881088257,0.9517566556675991,True,0.0,imu,0.0586189744,-9.2839296088,3.569775910400001,1.03939796,1.39019525,-2.9729983,32.4833484,-27.4601268,35.4680344,383.621,-54.0389,False,0.999741578347844,0.022732719207381,363.27845469671496,-26.57514311138594,0.165975,False,False,inf
2,2,63.573644,8.65674,0.00356858,364.777,-26.0708,0.00685798,-0.564776,0.165975,1702.04,-5.16136e-05,-0.538797,-136.316,-0.0947806,0.00446177,0.265681,-0.00562129,-0.864366,6.12708,-0.00107756,8.65635,0.00508165,6.12734,0.165975,-1.58061,-0.0108733,0.0,0.454091,-0.414,0.0,-1.0,0.353403,1.12865,-0.129724,383.621,-54.0389,0.0,2.4993200000000002e-23,0.0,-2.47447e-22,47.116,0.0116782,47.116,0.0,-0.567943,0.0,0.0,2810.82,-14.6177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3785.53,-83.4882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7388.63,-42.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,1.0,0.0,21.31066267012833,gaze,0.5128473410483586,0.5802422360995262,-65.34809295449239,-183.0025987038576,2494.714690157943,30.35419440647204,-11.28692034561975,-31.26980333233706,-0.0377458647793166,-0.0673175421267075,0.99701735100954,3.860792875289917,-31.54371075816307,-10.11436684132207,-29.08257396348594,-0.0133888313745792,-0.0687948544623132,0.997540980207797,4.068599700927734,-0.5947581758455147,-10.700643593470913,-30.176188647911506,-0.0255673480769479,-0.0680561982945103,0.9972791656086686,3.9646962881088257,0.9517566556675991,True,0.0,imu,0.0611193255410504,-9.273719002419936,3.5340188685169336,2.3800089359479,1.5159782255394645,-2.442911458769428,32.4833484,-27.4601268,35.4680344,383.621,-54.0389,False,0.999741578347844,0.022732719207381,363.27845469671496,-26.57514311138594,0.165975,False,False,inf
3,3,63.577169,8.65674,0.00356858,364.777,-26.0708,0.00685798,-0.564776,0.165975,1702.04,-5.16136e-05,-0.538797,-136.316,-0.0947806,0.00446177,0.265681,-0.00562129,-0.864366,6.12708,-0.00107756,8.65635,0.00508165,6.12734,0.165975,-1.58061,-0.0108733,0.0,0.454091,-0.414,0.0,-1.0,0.353403,1.12865,-0.129724,383.621,-54.0389,0.0,2.4993200000000002e-23,0.0,-2.47447e-22,47.116,0.0116782,47.116,0.0,-0.567943,0.0,0.0,2810.82,-14.6177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3785.53,-83.4882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7388.63,-42.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,1.0,0.0,21.31066267012833,gaze,0.5066078122440222,0.5280919491871428,-67.22461492099549,-170.60448466485482,2378.9985803373715,30.45444826633515,-10.935355425701044,-31.15554461093372,-0.0255548572443815,-0.0154267592975821,1.0021840792473748,3.7832392254847984,-31.43042708591642,-10.198306449080947,-29.278139665340632,0.0357990334033983,-0.1059295901872152,1.016611999166702,4.157482811983237,-0.5672834337902654,-10.184222534942384,-30.38794176571216,-0.0095607184555718,-0.0517654989757378,1.003940098453468,3.975874797288005,1.0509996988792591,True,-0.2093372488980192,imu,0.0484503768,-9.285724067200002,3.562598076800001,1.27118217,1.47991817,-2.69635263,32.4833484,-27.4601268,35.4680344,383.621,-54.0389,False,0.9999682304296688,-0.0079710809402906,363.27845469671496,-26.57514311138594,0.165975,False,False,inf
4,4,63.585621,8.65674,0.00356858,364.777,-26.0708,0.00685798,-0.564776,0.165975,1702.04,-5.16136e-05,-0.538797,-136.316,-0.0947806,0.00446177,0.265681,-0.00562129,-0.864366,6.12708,-0.00107756,8.65635,0.00508165,6.12734,0.165975,-1.58061,-0.0108733,0.0,0.454091,-0.414,0.0,-1.0,0.353403,1.12865,-0.129724,383.621,-54.0389,0.0,2.4993200000000002e-23,0.0,-2.47447e-22,47.116,0.0116782,47.116,0.0,-0.567943,0.0,0.0,2810.82,-14.6177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3785.53,-83.4882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7388.63,-42.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,1.0,0.0,21.31066267012833,gaze,0.5063100412473842,0.530972967667188,-68.21318512801831,-173.8702240926429,2434.719492807386,30.46176080116568,-10.952078825487153,-31.1644449833629,-0.0252035969167333,-0.0184099870081669,1.0021054667853029,3.7850260048526505,-31.425828181257103,-10.190346697659198,-29.19707338928008,0.0343423289795434,-0.1024319243102474,1.0155078104816275,4.151115090793024,-0.60797926414628,-10.208731929381685,-30.378335132045,-0.0090457000509847,-0.052348683407112,1.0037521704069194,3.9733312607588815,0.8489262193016306,True,-0.1049936664349614,imu,0.0502448352,-9.253423816000002,3.5614017712,1.12164397,1.2780416,-2.75616791,32.4833484,-27.4601268,35.4680344,383.621,-54.0389,False,0.9999724254889848,-0.0074261875600481,363.27845469671496,-26.57514311138594,0.165975,False,False,inf
5,5,63.593625,8.65674,0.00356858,364.777,-26.0708,0.00685798,-0.564776,0.165975,1702.04,-5.16136e-05,-0.538797,-136.316,-0.0947806,0.00446177,0.265681,-0.00562129,-0.864366,6.12708,-0.00107756,8.65635,0.00508165,6.12734,0.165975,-1.58061,-0.0108733,0.0,0.454091,-0.414,0.0,-1.0,0.353403,1.12865,-0.129724,383.621,-54.0389,0.0,2.4993200000000002e-23,0.0,-2.47447e-22,47.116,0.0116782,47.116,0.0,-0.567943,0.0,0.0,2810.82,-14.6177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3785.53,-83.4882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7388.63,-42.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,1.0,0.0,21.31066267012833,gaze,0.5126387446621127,0.5796387896247597,-66.24513610684383,-186.8961070400016,2572.605855930327,30.36147714683067,-11.28532386808223,-31.2695470277465,-0.0369895901924291,-0.0671693153966556,0.9970556921689686,3.854495286941528,-31.54123786820058,-10.08171699994111,-29.11860933850115,-0.013309007952657,-0.0678720158097098,0.997605262504786,4.080741882324219,-0.5923192682652347,-10.69208201374129,-30.185133415517665,-0.0253583235747454,-0.0677884319488465,0.9973048214727728,3.9661574363708496,0.9517566556675991,True,0.0,imu,0.0634149252073983,-9.274475954021629,3.532950057485105,2.2522903427161376,0.8137251736793811,-2.6294083374881847,32.4833484,-27.4601268,35.4680344,383.621,-54.0389,False,0.9997510427163984,0.0223126105033549,363.27845469671496,-26.57514311138594,0.165975,False,False,inf
6,6,63.594073,8.65674,0.00356858,364.777,-26.0708,0.00685798,-0.564776,0.165975,1702.04,-5.16136e-05,-0.538797,-136.316,-0.0947806,0.00446177,0.265681,-0.00562129,-0.864366,6.12708,-0.00107756,8.65635,0.00508165,6.12734,0.165975,-1.58061,-0.0108733,0.0,0.454091,-0.414,0.0,-1.0,0.353403,1.12865,-0.129724,383.621,-54.0389,0.0,2.4993200000000002e-23,0.0,-2.47447e-22,47.116,0.0116782,47.116,0.0,-0.567943,0.0,0.0,2810.82,-14.6177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3785.53,-83.4882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7388.63,-42.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,1.0,0.0,21.31066267012833,gaze,0.5060456475461009,0.5337842772016201,-66.46124535245657,-187.47225955446564,2578.035254032214,30.468447556466188,-10.968393009679165,-31.17304739140017,-0.0249122877223526,-0.0213170272306011,1.0020218331086856,3.7867754213533775,-31.42181006861205,-10.182584187148697,-29.12889087496424,0.0328580483935409,-0.0989955933389187,1.0144193169511528,4.144854914324299,-0.6323069377224914,-10.232751283991718,-30.368898949186093,-0.0086029820467527,-0.0529054047780913,1.003559060247366,3.9708147654892287,0.7913042799911862,True,-0.0203118291098332,imu,0.0592171272,-9.2492367464,3.560205465600001,1.08425942,1.37524143,-2.77859864,32.4833484,-27.4601268,35.4680344,383.621,-54.0389,False,0.9999766259120192,-0.0068372238235556,363.27845469671496,-26.57514311138594,0.165975,False,False,inf
7,7,63.602525,8.65674,0.00356858,364.777,-26.0708,0.00685798,-0.564776,0.165975,1702.04,-5.16136e-05,-0.538797,-136.316,-0.0947806,0.00446177,0.265681,-0.00562129,-0.864366,6.12708,-0.00107756,8.65635,0.00508165,6.12734,0.165975,-1.58061,-0.0108733,0.0,0.454091,-0.414,0.0,-1.0,0.353403,1.12865,-0.129724,383.621,-54.0389,0.0,2.4993200000000002e-23,0.0,-2.47447e-22,47.116,0.0116782,47.116,0.0,-0.567943,0.0,0.0,2810.82,-14.6177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3785.53,-83.4882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7388.63,-42.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,1.0,0.0,21.31066267012833,gaze,0.505814021825352,0.536526719191922,-64.02622797551085,-191.4487047586053,2608.9965704072733,30.47451971290185,-10.984302928328177,-31.18135615967821,-0.0246798071382841,-0.0241488459168927,1.0019332983899103,3.7884878526957073,-31.418361878149955,-10.17501646919292,-29.07254109150736,0.0313470963299567,-0.0956200574085974,1.0133464391644769,4.138701469473917,-0.6436848787064035,-10.256284731265255,-30.35963248656864,-0.0082311351120151,-0.0534360921129725,1.003360935430931,3.9683253371535305,0.8380609666790153,True,0.0467238332015957,imu,0.0406743904,-9.251629357600002,3.55900916,1.09921324,1.46496435,-2.98795212,32.4833484,-27.4601268,35.4680344,383.621,-54.0389,False,0.9999807480114992,-0.0062051274251734,363.27845469671496,-26.57514311138594,0.165975,False,False,inf
8,8,63.610977,8.65674,0.00356858,364.777,-26.0708,0.00685798,-0.564776,0.165975,1702.04,-5.16136e-05,-0.538797,-136.316,-0.0947806,0.00446177,0.265681,-0.00562129,-0.864366,6.12708,-0.00107756,8.65635,0.00508165,6.12734,0.165975,-1.58061,-0.0108733,0.0,0.454091,-0.414,0.0,-1.0,0.353403,1.12865,-0.129724,383.621,-54.0389,0.0,2.4993200000000002e-23,0.0,-2.47447e-22,47.116,0.0116782,47.116,0.0,-0.567943,0.0,0.0,2810.82,-14.6177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3785.53,-83.4882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7388.63,-42.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,1.0,0.0,21.31066267012833,gaze,0.5056145598288131,0.5392011299254276,-62.05548062104805,-185.2134263444388,2536.702522618137,30.479988358426453,-10.999813502386568,-31.18937558088485,-0.0245050420435371,-0.0269064027981252,1.0018399815785055,3.7901636749352186,-31.415472832139187,-10.16764109244404,-29.0270173953644,0.0298103677494745,-0.0923047785669557,1.012289097287223,4.132653944512928,-0.6451383804406893,-10.279336396118604,-30.3505350047092,-0.0079287428407628,-0.0539411709665,1.0031579614526778,3.965862998692504,0.954780061961291,True,0.0980153931372279,imu,0.0364873208,-9.243853371200002,3.556018396000001,1.18893616,1.36776452,-3.10010577,32.4833484,-27.4601268,35.4680344,383.621,-54.0389,False,0.999984704840534,-0.005530830406924,363.27845469671496,-26.57514311138594,0.165975,False,False,inf
9,9,63.613717,8.65674,0.00356858,364.777,-26.0708,0.00685798,-0.564776,0.165975,1702.04,-5.16136e-05,-0.538797,-136.316,-0.0947806,0.00446177,0.265681,-0.00562129,-0.864366,6.12708,-0.00107756,8.65635,0.00508165,6.12734,0.165975,-1.58061,-0.0108733,0.0,0.454091,-0.414,0.0,-1.0,0.353403,1.12865,-0.129724,383.621,-54.0389,0.0,2.4993200000000002e-23,0.0,-2.47447e-22,47.116,0.0116782,47.116,0.0,-0.567943,0.0,0.0,2810.82,-14.6177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3785.53,-83.4882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7388.63,-42.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,1.0,0.0,21.31066267012833,gaze,0.5122427814558984,0.5797355092202752,-62.45310512419317,-182.3814988835462,2506.284008398136,30.36668695259688,-11.28156346835146,-31.26832908553812,-0.0364043378873595,-0.066449370022121,0.9971254712455432,3.849334955215454,-31.54948188964412,-10.14191166891866,-29.0273410502653,-0.0122274492979598,-0.068556459812027,0.9975723037964256,4.035020351409912,-0.5920120016846967,-10.698633865372548,-30.17270063297901,-0.0250108469140502,-0.0676932596049223,0.99731951015551,3.958164175351461,1.47317319122102,True,0.0,imu,0.0657072629550292,-9.275201564022558,3.5318915840400624,2.1300541180188013,0.6954811412703615,-2.7899247320875658,32.4833484,-27.4601268,35.4680344,383.621,-54.0389,False,0.9997693375116484,0.0214772384519024,363.27845469671496,-26.57514311138594,0.165975,False,False,inf
