,Unnamed: 0,Timestamp,CoG Acceleration/X,CoG Acceleration/Y,CoG position/X,CoG position/Y,CoG position/Roll,CoG position/Pitch,CoG position/Yaw,Horizontal tangential speed,Over-steering criteria2,Pitch %ground,Pitch acceleration,Pitch speed,Roll %ground,Roll acceleration,Roll speed,Slope force,Speed/X,Speed/Y,Tangent Acceleration/X,Tangent Acceleration/Y,Tangential speed,Yaw %ground,Yaw acceleration,Yaw speed,Brake pedal force,Gas pedal,Steering wheel angle,Steering wheel speed,Intersection Id,Lane gap,CoG Acceleration/X.1,CoG Acceleration/Y.1,CoG position/X.1,CoG position/Y.1,Pitch acceleration.1,Pitch speed.1,Roll acceleration.1,Roll speed.1,Speed/X.1,Speed/Y.1,Tangential speed.1,Yaw acceleration.1,Yaw speed.1,CoG Acceleration/X.2,CoG Acceleration/Y.2,CoG position/X.2,CoG position/Y.2,Pitch acceleration.2,Pitch speed.2,Roll acceleration.2,Roll speed.2,Speed/X.2,Speed/Y.2,Tangential speed.2,Yaw acceleration.2,Yaw speed.2,CoG Acceleration/X.3,CoG Acceleration/Y.3,CoG position/X.3,CoG position/Y.3,Pitch acceleration.3,Pitch speed.3,Roll acceleration.3,Roll speed.3,Speed/X.3,Speed/Y.3,Tangential speed.3,Yaw acceleration.3,Yaw speed.3,CoG Acceleration/X.4,CoG Acceleration/Y.4,CoG position/X.4,CoG position/Y.4,Pitch acceleration.4,Pitch speed.4,Roll acceleration.4,Roll speed.4,Speed/X.4,Speed/Y.4,Tangential speed.4,Yaw acceleration.4,Yaw speed.4,ExportChannel/1,ExportChannel/4,ExportChannel/3,distance_to_inter_0,Type_gaze,Data Gaze2D X,Data Gaze2D Y,Data Gaze3D X,Data Gaze3D Y,Data Gaze3D Z,Data Eyeleft Gazeorigin X,Data Eyeleft Gazeorigin Y,Data Eyeleft Gazeorigin Z,Data Eyeleft Gazedirection X,Data Eyeleft Gazedirection Y,Data Eyeleft Gazedirection Z,Data Eyeleft Pupildiameter,Data Eyeright Gazeorigin X,Data Eyeright Gazeorigin Y,Data Eyeright Gazeorigin Z,Data Eyeright Gazedirection X,Data Eyeright Gazedirection Y,Data Eyeright Gazedirection Z,Data Eyeright Pupildiameter,Avg_Gazeorigin_X,Avg_Gazeorigin_Y,Avg_Gazeorigin_Z,Avg_Gazedirection_X,Avg_Gazedirection_Y,Avg_Gazedirection_Z,Avg_Pupildiameter,Velocity,Is_Fixation,Fixation_ID,Type_imu,Data Accelerometer X,Data Accelerometer Y,Data Accelerometer Z,Data Gyroscope X,Data Gyroscope Y,Data Gyroscope Z,Data Magnetometer X,Data Magnetometer Y,Data Magnetometer Z,hazard_1_x,hazard_1_y,gaze_intersects_hazard,combined_gaze_car_x,combined_gaze_car_y,driver_position_x,driver_position_y,yaw_continuous,global_collision_flag,time_to_collision_flag
0,0,51.981868,-9.89556,0.0193597,365.256,-25.9132,0.00668591,-0.641513,-0.277001,874.778,-4.60164e-05,-0.622289,175.152,0.120333,0.00523223,1.92236,-0.00628213,-0.639631,3.14899,-0.00332297,-9.89474,0.0089347,3.1492,-0.277001,0.625739,-0.0344068,0.0,0.345486,-2.547,0.0,-1.0,0.182156,1.64882,3.94361,383.765,-33.5774,0.0,3.7899099999999996e-21,0.0,-3.7530299999999997e-20,37.6914,-0.355167,37.6914,0.0,21.5817,0.0,0.0,2810.82,-14.6177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3785.53,-83.4882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7388.63,-42.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,1.0,0.0,20.8343107982962,gaze,0.4014959760179576,0.4865102222456953,298.0226655116638,50.19531808056752,1416.750421807963,33.99841385189452,-7.045890729625293,-26.31764401768208,0.1871941372947423,0.0489396085666727,0.9811030882001228,5.173629283905029,-29.7409126688398,-6.380081522738383,-27.38172109495414,0.2139132858176385,0.0283245711999702,0.9764419208621878,5.650012016296387,2.128750591527359,-6.712986126181837,-26.84968255631811,0.2005537115561904,0.0386320898833214,0.9787725045311552,5.411820650100708,1.7321170376515305,True,0.0,imu,-0.0221316536,-9.673925234400002,2.1551445384,1.2188438,1.21074941,-2.95056757,72.4619284,0.3356675999999892,-0.9826648000000104,383.765,-33.5774,False,0.9806050549104092,-0.1959941996186457,366.7510486809655,-26.320432662667567,-0.277001,False,inf
1,1,51.984561,-9.89556,0.0193597,365.256,-25.9132,0.00668591,-0.641513,-0.277001,874.778,-4.60164e-05,-0.622289,175.152,0.120333,0.00523223,1.92236,-0.00628213,-0.639631,3.14899,-0.00332297,-9.89474,0.0089347,3.1492,-0.277001,0.625739,-0.0344068,0.0,0.345486,-2.547,0.0,-1.0,0.182156,1.64882,3.94361,383.765,-33.5774,0.0,3.7899099999999996e-21,0.0,-3.7530299999999997e-20,37.6914,-0.355167,37.6914,0.0,21.5817,0.0,0.0,2810.82,-14.6177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3785.53,-83.4882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7388.63,-42.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,1.0,0.0,20.8343107982962,gaze,0.4014959760179576,0.4865102222456953,298.0226655116638,50.19531808056752,1416.750421807963,33.99841385189452,-7.045890729625293,-26.31764401768208,0.1871941372947423,0.0489396085666727,0.9811030882001228,5.173629283905029,-29.7409126688398,-6.380081522738383,-27.38172109495414,0.2139132858176385,0.0283245711999702,0.9764419208621878,5.650012016296387,2.128750591527359,-6.712986126181837,-26.84968255631811,0.2005537115561904,0.0386320898833214,0.9787725045311552,5.411820650100708,1.7321170376515305,True,0.0,imu,-0.1443481953751993,-9.751522984364891,2.018225628428822,1.3061970184467284,0.9355290985565846,-3.084939448973618,72.4619284,0.3356675999999892,-0.9826648000000104,383.765,-33.5774,False,0.9806050549104092,-0.1959941996186457,366.7510486809655,-26.320432662667567,-0.277001,False,inf
2,2,51.990684,-9.89556,0.0193597,365.256,-25.9132,0.00668591,-0.641513,-0.277001,874.778,-4.60164e-05,-0.622289,175.152,0.120333,0.00523223,1.92236,-0.00628213,-0.639631,3.14899,-0.00332297,-9.89474,0.0089347,3.1492,-0.277001,0.625739,-0.0344068,0.0,0.345486,-2.547,0.0,-1.0,0.182156,1.64882,3.94361,383.765,-33.5774,0.0,3.7899099999999996e-21,0.0,-3.7530299999999997e-20,37.6914,-0.355167,37.6914,0.0,21.5817,0.0,0.0,2810.82,-14.6177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3785.53,-83.4882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7388.63,-42.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,1.0,0.0,20.8343107982962,gaze,0.4435087642964097,0.4801275185531523,326.5685858760416,51.16970149185574,1545.0927322044738,34.029033381543464,-6.8895050113166025,-26.211323730395524,0.1112623396775505,0.0645563083612027,0.980388089862719,5.199821345091313,-30.016769692684733,-6.080358341987868,-27.68870542736972,0.1258116208939073,0.0332627178884118,0.9791231797474388,5.775777911508629,2.0609395887298465,-6.517288058507844,-26.969729758174367,0.1368871199845392,0.0445890058827035,0.978518932243446,5.484148973703607,1.7798838195482165,True,0.1782526744931468,imu,-0.002990764,-9.6703363176,2.15335008,1.24875144,1.13598031,-2.86084465,72.4619284,0.3356675999999892,-0.9826648000000104,383.765,-33.5774,False,0.9933296206117792,-0.1153094307299229,366.7510486809655,-26.320432662667567,-0.277001,False,inf
3,3,51.999501,-9.89556,0.0193597,365.256,-25.9132,0.00668591,-0.641513,-0.277001,874.778,-4.60164e-05,-0.622289,175.152,0.120333,0.00523223,1.92236,-0.00628213,-0.639631,3.14899,-0.00332297,-9.89474,0.0089347,3.1492,-0.277001,0.625739,-0.0344068,0.0,0.345486,-2.547,0.0,-1.0,0.182156,1.64882,3.94361,383.765,-33.5774,0.0,3.7899099999999996e-21,0.0,-3.7530299999999997e-20,37.6914,-0.355167,37.6914,0.0,21.5817,0.0,0.0,2810.82,-14.6177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3785.53,-83.4882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7388.63,-42.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,1.0,0.0,20.8343107982962,gaze,0.4413970892380576,0.4799106700303744,310.92688979064246,50.93474006704804,1468.566260600359,34.01418512931699,-6.893979395652237,-26.21728341403404,0.1150395522410696,0.0641568114902252,0.9804277092458314,5.202975886272266,-29.975846650573946,-6.099621877570943,-27.665976497367108,0.1304067552148029,0.0337410960392246,0.978984172130364,5.770246207499498,2.080079473966225,-6.526092734762876,-26.96045680825398,0.1397978108235649,0.044959901875149,0.9785510985807796,5.4823910594384895,1.5199015029986764,True,0.1466604725502456,imu,0.0035889168,-9.6703363176,2.1389944128,1.23379762,1.00139593,-2.91318302,72.4619284,0.3356675999999892,-0.9826648000000104,383.765,-33.5774,False,0.9928347549172534,-0.1194953950091687,366.7510486809655,-26.320432662667567,-0.277001,False,inf
4,4,52.004541,-9.89556,0.0193597,365.256,-25.9132,0.00668591,-0.641513,-0.277001,874.778,-4.60164e-05,-0.622289,175.152,0.120333,0.00523223,1.92236,-0.00628213,-0.639631,3.14899,-0.00332297,-9.89474,0.0089347,3.1492,-0.277001,0.625739,-0.0344068,0.0,0.345486,-2.547,0.0,-1.0,0.182156,1.64882,3.94361,383.765,-33.5774,0.0,3.7899099999999996e-21,0.0,-3.7530299999999997e-20,37.6914,-0.355167,37.6914,0.0,21.5817,0.0,0.0,2810.82,-14.6177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3785.53,-83.4882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7388.63,-42.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,1.0,0.0,20.8343107982962,gaze,0.4007926569488663,0.4863225613695405,297.2609332930053,50.00688463160284,1403.126150730564,34.01247037576582,-7.03730327760263,-26.32646197733342,0.1893292864191351,0.0494951128445939,0.980665414455166,5.200246810913086,-29.73658790158483,-6.381894103965806,-27.38135078475368,0.2144370056164895,0.0282242753860675,0.9763299446914272,5.657712459564209,2.1333459143089275,-6.711292408483027,-26.85179446868083,0.2012184287870013,0.038745891999326,0.978635092052226,5.420400142669678,1.7321170376515305,True,0.0,imu,-0.1295680224383436,-9.7490934634305,2.0255375042831565,1.537696941992038,0.7603794152594096,-3.2814794989664127,72.4619284,0.3356675999999892,-0.9826648000000104,383.765,-33.5774,False,0.980337841580465,-0.1973264208497062,366.7510486809655,-26.320432662667567,-0.277001,False,inf
5,5,52.008318,-9.89556,0.0193597,365.256,-25.9132,0.00668591,-0.641513,-0.277001,874.778,-4.60164e-05,-0.622289,175.152,0.120333,0.00523223,1.92236,-0.00628213,-0.639631,3.14899,-0.00332297,-9.89474,0.0089347,3.1492,-0.277001,0.625739,-0.0344068,0.0,0.345486,-2.547,0.0,-1.0,0.182156,1.64882,3.94361,383.765,-33.5774,0.0,3.7899099999999996e-21,0.0,-3.7530299999999997e-20,37.6914,-0.355167,37.6914,0.0,21.5817,0.0,0.0,2810.82,-14.6177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3785.53,-83.4882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7388.63,-42.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,1.0,0.0,20.8343107982962,gaze,0.4393205835752554,0.4797300401427581,289.88220567723204,49.758315747665804,1367.3393487949184,34.00119773053531,-6.89862564319631,-26.223123900151844,0.1187609089940911,0.0637333707011379,0.980465412120333,5.206166745966562,-29.93735669273953,-6.11864598500871,-27.643800991939464,0.1349143671025631,0.0341710574328321,0.9788484733167484,5.764916944382401,2.097828112679719,-6.5349375346177725,-26.95142287847356,0.1426728048547497,0.0452877175885579,0.9785816493598248,5.480768386973891,1.3411261653867106,True,0.1173896251861987,imu,-0.005981528,-9.672728928800002,2.135405496,1.33099745,1.00139593,-3.09262886,72.4619284,0.3356675999999892,-0.9826648000000104,383.765,-33.5774,False,0.9923316560781515,-0.1236037392039291,366.7510486809655,-26.320432662667567,-0.277001,False,inf
6,6,52.017135,-9.89556,0.0193597,365.256,-25.9132,0.00668591,-0.641513,-0.277001,874.778,-4.60164e-05,-0.622289,175.152,0.120333,0.00523223,1.92236,-0.00628213,-0.639631,3.14899,-0.00332297,-9.89474,0.0089347,3.1492,-0.277001,0.625739,-0.0344068,0.0,0.345486,-2.547,0.0,-1.0,0.182156,1.64882,3.94361,383.765,-33.5774,0.0,3.7899099999999996e-21,0.0,-3.7530299999999997e-20,37.6914,-0.355167,37.6914,0.0,21.5817,0.0,0.0,2810.82,-14.6177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3785.53,-83.4882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7388.63,-42.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,1.0,0.0,20.8343107982962,gaze,0.437279076842146,0.479584937245976,284.9782667458582,48.40530839623007,1340.9034566774058,33.98997169966539,-6.903439431617876,-26.22884590859301,0.1224265281419234,0.0632865293422252,0.9805012351150164,5.209392592680631,-29.901223691880794,-6.1374323601448415,-27.62217177604804,0.1393351206001589,0.0345535109598316,0.978716039179839,5.7597868785963175,2.11423392845704,-6.543820171192071,-26.942624439668386,0.1455119497543555,0.0455732564611602,0.9786106178196043,5.479278453590252,1.2320017895110562,True,0.0903474308683519,imu,-0.008972292,-9.672728928800002,2.1312184264,1.38333582,0.7696117199999999,-3.07019813,72.4619284,0.3356675999999892,-0.9826648000000104,383.765,-33.5774,False,0.9918212110680948,-0.1276349688581384,366.7510486809655,-26.320432662667567,-0.277001,False,inf
7,7,52.024633,-9.89556,0.0193597,365.256,-25.9132,0.00668591,-0.641513,-0.277001,874.778,-4.60164e-05,-0.622289,175.152,0.120333,0.00523223,1.92236,-0.00628213,-0.639631,3.14899,-0.00332297,-9.89474,0.0089347,3.1492,-0.277001,0.625739,-0.0344068,0.0,0.345486,-2.547,0.0,-1.0,0.182156,1.64882,3.94361,383.765,-33.5774,0.0,3.7899099999999996e-21,0.0,-3.7530299999999997e-20,37.6914,-0.355167,37.6914,0.0,21.5817,0.0,0.0,2810.82,-14.6177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3785.53,-83.4882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7388.63,-42.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,1.0,0.0,20.8343107982962,gaze,0.4002465891808892,0.4864811288295995,288.3679657670157,47.97682721739008,1353.754544979363,34.02469651672979,-7.028649269738436,-26.33519900883879,0.1910969311992943,0.0500017182083484,0.9802967872345728,5.229663848876953,-29.73521861526458,-6.386281038155253,-27.38043765006249,0.2144282370743663,0.0276082875411949,0.9763494833327984,5.665452003479004,2.13714359311682,-6.710016656970967,-26.853802422270764,0.2017331472369443,0.0387655956244746,0.9785311064627126,5.429452737172444,1.3242551319521851,True,0.0,imu,-0.1151740912541533,-9.74637408021735,2.033808197352153,1.4993102892073489,0.6265632195285336,-3.420165925587071,72.4619284,0.3356675999999892,-0.9826648000000104,383.765,-33.5774,False,0.9801603737319802,-0.1982060588518545,366.7510486809655,-26.320432662667567,-0.277001,False,inf
8,8,52.025952,-9.89556,0.0193597,365.256,-25.9132,0.00668591,-0.641513,-0.277001,874.778,-4.60164e-05,-0.622289,175.152,0.120333,0.00523223,1.92236,-0.00628213,-0.639631,3.14899,-0.00332297,-9.89474,0.0089347,3.1492,-0.277001,0.625739,-0.0344068,0.0,0.345486,-2.547,0.0,-1.0,0.182156,1.64882,3.94361,383.765,-33.5774,0.0,3.7899099999999996e-21,0.0,-3.7530299999999997e-20,37.6914,-0.355167,37.6914,0.0,21.5817,0.0,0.0,2810.82,-14.6177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3785.53,-83.4882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7388.63,-42.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,1.0,0.0,20.8343107982962,gaze,0.4352723975150034,0.4794746757788659,288.96283751929286,47.25133456017039,1356.056315462956,33.98041024120499,-6.9084164814312565,-26.23445016170345,0.1260365318543579,0.0628168257113486,0.980535214401982,5.212652109215724,-29.86737277752521,-6.155982693364494,-27.601081765844867,0.1436696787768871,0.0348893574898795,0.978586825852526,5.7548527931435,2.1293445023338684,-6.552738383517884,-26.93405799219084,0.1483150991738772,0.0458173149151887,0.9786380367750523,5.477918778614425,1.1818957951422715,True,0.0654432267649252,imu,-0.005981528,-9.6894772072,2.1156664536,1.42072037,0.7322271699999998,-3.24964397,72.4619284,0.3356675999999892,-0.9826648000000104,383.765,-33.5774,False,0.9913042801675368,-0.1315896049143764,366.7510486809655,-26.320432662667567,-0.277001,False,inf
9,9,52.034769,-9.89556,0.0193597,365.256,-25.9132,0.00668591,-0.641513,-0.277001,874.778,-4.60164e-05,-0.622289,175.152,0.120333,0.00523223,1.92236,-0.00628213,-0.639631,3.14899,-0.00332297,-9.89474,0.0089347,3.1492,-0.277001,0.625739,-0.0344068,0.0,0.345486,-2.547,0.0,-1.0,0.182156,1.64882,3.94361,383.765,-33.5774,0.0,3.7899099999999996e-21,0.0,-3.7530299999999997e-20,37.6914,-0.355167,37.6914,0.0,21.5817,0.0,0.0,2810.82,-14.6177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3785.53,-83.4882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7388.63,-42.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,1.0,0.0,20.8343107982962,gaze,0.4333003730232437,0.4793985762411887,288.84535672162747,46.3828819747174,1352.924917848234,33.9724192192296,-6.913552555825092,-26.239937384295388,0.1295910462368629,0.0623247930749685,0.9805673856990452,5.21594399260874,-29.835730327342027,-6.17429866959463,-27.580523928508125,0.1479187037188375,0.0351794899012456,0.9784607897269006,5.750111497495917,2.1432065787282872,-6.561689936430615,-26.925720065800405,0.1510821127046881,0.0460206823824817,0.9786639386192436,5.476686903337858,1.181064908746559,True,0.0425883689528652,imu,-0.0155519728,-9.6757196928,2.1001144808,1.40576655,0.5901658799999998,-3.33188998,72.4619284,0.3356675999999892,-0.9826648000000104,383.765,-33.5774,False,0.99078169720887,-0.1354681825223599,366.7510486809655,-26.320432662667567,-0.277001,False,inf
