,Unnamed: 0,Timestamp,CoG Acceleration/X,CoG Acceleration/Y,CoG position/X,CoG position/Y,CoG position/Roll,CoG position/Pitch,CoG position/Yaw,Horizontal tangential speed,Over-steering criteria2,Pitch %ground,Pitch acceleration,Pitch speed,Roll %ground,Roll acceleration,Roll speed,Slope force,Speed/X,Speed/Y,Tangent Acceleration/X,Tangent Acceleration/Y,Tangential speed,Yaw %ground,Yaw acceleration,Yaw speed,Brake pedal force,Gas pedal,Steering wheel angle,Steering wheel speed,Intersection Id,Lane gap,CoG Acceleration/X.1,CoG Acceleration/Y.1,CoG position/X.1,CoG position/Y.1,Pitch acceleration.1,Pitch speed.1,Roll acceleration.1,Roll speed.1,Speed/X.1,Speed/Y.1,Tangential speed.1,Yaw acceleration.1,Yaw speed.1,CoG Acceleration/X.2,CoG Acceleration/Y.2,CoG position/X.2,CoG position/Y.2,Pitch acceleration.2,Pitch speed.2,Roll acceleration.2,Roll speed.2,Speed/X.2,Speed/Y.2,Tangential speed.2,Yaw acceleration.2,Yaw speed.2,CoG Acceleration/X.3,CoG Acceleration/Y.3,CoG position/X.3,CoG position/Y.3,Pitch acceleration.3,Pitch speed.3,Roll acceleration.3,Roll speed.3,Speed/X.3,Speed/Y.3,Tangential speed.3,Yaw acceleration.3,Yaw speed.3,CoG Acceleration/X.4,CoG Acceleration/Y.4,CoG position/X.4,CoG position/Y.4,Pitch acceleration.4,Pitch speed.4,Roll acceleration.4,Roll speed.4,Speed/X.4,Speed/Y.4,Tangential speed.4,Yaw acceleration.4,Yaw speed.4,ExportChannel/1,ExportChannel/4,ExportChannel/3,distance_to_inter_2,Type_gaze,Data Gaze2D X,Data Gaze2D Y,Data Gaze3D X,Data Gaze3D Y,Data Gaze3D Z,Data Eyeright Gazeorigin X,Data Eyeright Gazeorigin Y,Data Eyeright Gazeorigin Z,Data Eyeright Gazedirection X,Data Eyeright Gazedirection Y,Data Eyeright Gazedirection Z,Data Eyeright Pupildiameter,Data Eyeleft Gazeorigin X,Data Eyeleft Gazeorigin Y,Data Eyeleft Gazeorigin Z,Data Eyeleft Gazedirection X,Data Eyeleft Gazedirection Y,Data Eyeleft Gazedirection Z,Data Eyeleft Pupildiameter,Avg_Gazeorigin_X,Avg_Gazeorigin_Y,Avg_Gazeorigin_Z,Avg_Gazedirection_X,Avg_Gazedirection_Y,Avg_Gazedirection_Z,Avg_Pupildiameter,Velocity,Is_Fixation,Fixation_ID,Type_imu,Data Accelerometer X,Data Accelerometer Y,Data Accelerometer Z,Data Gyroscope X,Data Gyroscope Y,Data Gyroscope Z,Data Magnetometer X,Data Magnetometer Y,Data Magnetometer Z,hazard_3_x,hazard_3_y,gaze_intersects_hazard,combined_gaze_car_x,combined_gaze_car_y,driver_position_x,driver_position_y,yaw_continuous,local_collision_flag,global_collision_flag,time_to_collision_flag
0,0,255.810096,9.651,0.0171905,3765.66,-24.1591,0.000458335,-0.523782,-0.336939,1625.66,0.000136499,-0.523683,-152.998,-0.1206,0.000458335,1.32889,0.000276442,-0.00330826,5.85212,0.00309837,9.65054,0.0120806,5.85237,-0.336939,1.01638,0.0316449,0.0,0.440927,1.215,0.0,-1.0,-0.0336185,-7.16785,0.0,383.543,-107.965,0.0,4.178610000000001e-28,0.0,-4.13712e-27,52.5109,7.61141e-13,52.5109,0.0,0.0,-7.73904e-09,0.0,2777.96,65.6425,0.0,0.0,0.0,0.0,64.8,-7.33873e-12,64.8,0.0,0.0,0.582388,2.52866,3784.23,-21.9847,0.0,0.0,0.0,0.0,26.1058,-0.227737,26.1058,0.0,19.9772,0.0,0.0,7388.63,-42.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,3.0,0.0,21.129590346478704,gaze,0.5329832168451126,0.4417478035906475,-120.2134580178727,162.5092941780425,1778.705140131653,-31.75132445186597,-3.971741682535861,-32.71891846000707,-0.0485733278299497,0.0914124225399973,0.9946277699867891,4.346123218536377,27.98177270702491,-3.444154645602436,-31.71343169820541,-0.0750490849061579,0.1570935419786974,0.984728010124286,3.832154512405396,-31.75132445186597,-3.971741682535861,-32.71891846000707,-0.0485733278299497,0.0914124225399973,0.9946277699867891,4.346123218536377,51.1293663524018,False,-1.0,imu,0.1692772424,-9.825257892800002,1.3554142448,0.9197674,38.59529941,-0.4458027199999999,272.4036572,-186.5565644,-338.3164296,3784.23,-21.9847,True,0.9976714935293296,0.0682025732575902,3764.157085606338,-24.65027036283144,-0.336939,False,False,inf
1,1,255.818932,9.651,0.0171905,3765.66,-24.1591,0.000458335,-0.523782,-0.336939,1625.66,0.000136499,-0.523683,-152.998,-0.1206,0.000458335,1.32889,0.000276442,-0.00330826,5.85212,0.00309837,9.65054,0.0120806,5.85237,-0.336939,1.01638,0.0316449,0.0,0.440927,1.215,0.0,-1.0,-0.0336185,-7.16785,0.0,383.543,-107.965,0.0,4.178610000000001e-28,0.0,-4.13712e-27,52.5109,7.61141e-13,52.5109,0.0,0.0,-7.73904e-09,0.0,2777.96,65.6425,0.0,0.0,0.0,0.0,64.8,-7.33873e-12,64.8,0.0,0.0,0.582388,2.52866,3784.23,-21.9847,0.0,0.0,0.0,0.0,26.1058,-0.227737,26.1058,0.0,19.9772,0.0,0.0,7388.63,-42.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,3.0,0.0,21.129590346478704,gaze,0.5329832168451126,0.4417478035906475,-120.2134580178727,162.5092941780425,1778.705140131653,-31.75132445186597,-3.971741682535861,-32.71891846000707,-0.0485733278299497,0.0914124225399973,0.9946277699867891,4.346123218536377,27.98177270702491,-3.444154645602436,-31.71343169820541,-0.0750490849061579,0.1570935419786974,0.984728010124286,3.832154512405396,-31.75132445186597,-3.971741682535861,-32.71891846000707,-0.0485733278299497,0.0914124225399973,0.9946277699867891,4.346123218536377,51.1293663524018,False,-1.0,imu,0.0789561696,-9.8073133088,1.3596013144,0.64312173,36.08305765,0.0252426100000002,272.4036572,-186.5565644,-338.3164296,3784.23,-21.9847,True,0.9976714935293296,0.0682025732575902,3764.157085606338,-24.65027036283144,-0.336939,False,False,inf
2,2,255.824002,9.651,0.0171905,3765.66,-24.1591,0.000458335,-0.523782,-0.336939,1625.66,0.000136499,-0.523683,-152.998,-0.1206,0.000458335,1.32889,0.000276442,-0.00330826,5.85212,0.00309837,9.65054,0.0120806,5.85237,-0.336939,1.01638,0.0316449,0.0,0.440927,1.215,0.0,-1.0,-0.0336185,-7.16785,0.0,383.543,-107.965,0.0,4.178610000000001e-28,0.0,-4.13712e-27,52.5109,7.61141e-13,52.5109,0.0,0.0,-7.73904e-09,0.0,2777.96,65.6425,0.0,0.0,0.0,0.0,64.8,-7.33873e-12,64.8,0.0,0.0,0.582388,2.52866,3784.23,-21.9847,0.0,0.0,0.0,0.0,26.1058,-0.227737,26.1058,0.0,19.9772,0.0,0.0,7388.63,-42.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,3.0,0.0,21.129590346478704,gaze,0.5329832168451126,0.4417478035906475,-120.2134580178727,162.5092941780425,1778.705140131653,-31.75132445186597,-3.971741682535861,-32.71891846000707,-0.0485733278299497,0.0914124225399973,0.9946277699867891,4.346123218536377,27.98177270702491,-3.444154645602436,-31.71343169820541,-0.0750490849061579,0.1570935419786974,0.984728010124286,3.832154512405396,-31.75132445186597,-3.971741682535861,-32.71891846000707,-0.0485733278299497,0.0914124225399973,0.9946277699867891,4.346123218536377,51.1293663524018,False,-1.0,imu,-0.3622738269256838,-9.750432172781723,1.5900442820044267,0.7697157357562233,34.666938396888646,-0.4066568086122986,272.4036572,-186.5565644,-338.3164296,3784.23,-21.9847,True,0.9976714935293296,0.0682025732575902,3764.157085606338,-24.65027036283144,-0.336939,False,False,inf
3,3,255.827769,9.651,0.0171905,3765.66,-24.1591,0.000458335,-0.523782,-0.336939,1625.66,0.000136499,-0.523683,-152.998,-0.1206,0.000458335,1.32889,0.000276442,-0.00330826,5.85212,0.00309837,9.65054,0.0120806,5.85237,-0.336939,1.01638,0.0316449,0.0,0.440927,1.215,0.0,-1.0,-0.0336185,-7.16785,0.0,383.543,-107.965,0.0,4.178610000000001e-28,0.0,-4.13712e-27,52.5109,7.61141e-13,52.5109,0.0,0.0,-7.73904e-09,0.0,2777.96,65.6425,0.0,0.0,0.0,0.0,64.8,-7.33873e-12,64.8,0.0,0.0,0.582388,2.52866,3784.23,-21.9847,0.0,0.0,0.0,0.0,26.1058,-0.227737,26.1058,0.0,19.9772,0.0,0.0,7388.63,-42.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,3.0,0.0,21.129590346478704,gaze,0.6134160303612156,0.443535201799859,-280.9682429698354,437.2179689930713,3006.757917402661,-32.2896002757929,-3.925011080568917,-32.88156335086584,-0.0759244703232519,0.0635238227409726,1.0047252076482065,4.171840994738533,27.98177270702491,-3.444154645602436,-31.71343169820541,-0.0750490849061579,0.1570935419786974,0.984728010124286,3.832154512405396,-43.69384208841719,-3.3248644523572053,-32.67644269518932,-0.1770377131525084,0.1222855540074492,1.000359605867709,4.127780735719491,28.702126694933792,False,-1.0064443987500422,imu,-0.0143556672,-9.788172419200002,1.3613957728,0.63564482,33.89979993,-0.2738337899999999,272.4036572,-186.5565644,-338.3164296,3784.23,-21.9847,True,0.9966707341879272,0.0815318809625902,3764.157085606338,-24.65027036283144,-0.336939,False,False,inf
4,4,255.836606,9.651,0.0171905,3765.66,-24.1591,0.000458335,-0.523782,-0.336939,1625.66,0.000136499,-0.523683,-152.998,-0.1206,0.000458335,1.32889,0.000276442,-0.00330826,5.85212,0.00309837,9.65054,0.0120806,5.85237,-0.336939,1.01638,0.0316449,0.0,0.440927,1.215,0.0,-1.0,-0.0336185,-7.16785,0.0,383.543,-107.965,0.0,4.178610000000001e-28,0.0,-4.13712e-27,52.5109,7.61141e-13,52.5109,0.0,0.0,-7.73904e-09,0.0,2777.96,65.6425,0.0,0.0,0.0,0.0,64.8,-7.33873e-12,64.8,0.0,0.0,0.582388,2.52866,3784.23,-21.9847,0.0,0.0,0.0,0.0,26.1058,-0.227737,26.1058,0.0,19.9772,0.0,0.0,7388.63,-42.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,3.0,0.0,21.129590346478704,gaze,0.6079998804590081,0.4402711282110604,-403.74775183097046,696.3805411399168,4043.3157588209415,-32.23974215789923,-3.926783383105104,-32.86813231058904,-0.0728597739768574,0.0662197918212337,1.003935018799034,4.189715799414633,27.98177270702491,-3.444154645602436,-31.71343169820541,-0.0750490849061579,0.1570935419786974,0.984728010124286,3.832154512405396,-44.76452400249389,-3.3317958253328066,-32.66773239085344,-0.1691788872776419,0.12306223656886,0.9997322788978252,4.135749948894754,33.04736553512145,False,-0.884037282482364,imu,-0.1232194768,-9.7815927384,1.3769477456,0.5982602699999999,32.34460265,-0.7598329399999999,272.4036572,-186.5565644,-338.3164296,3784.23,-21.9847,True,0.9967921067265868,0.0800343424260658,3764.157085606338,-24.65027036283144,-0.336939,False,False,inf
5,5,255.844094,9.651,0.0171905,3765.66,-24.1591,0.000458335,-0.523782,-0.336939,1625.66,0.000136499,-0.523683,-152.998,-0.1206,0.000458335,1.32889,0.000276442,-0.00330826,5.85212,0.00309837,9.65054,0.0120806,5.85237,-0.336939,1.01638,0.0316449,0.0,0.440927,1.215,0.0,-1.0,-0.0336185,-7.16785,0.0,383.543,-107.965,0.0,4.178610000000001e-28,0.0,-4.13712e-27,52.5109,7.61141e-13,52.5109,0.0,0.0,-7.73904e-09,0.0,2777.96,65.6425,0.0,0.0,0.0,0.0,64.8,-7.33873e-12,64.8,0.0,0.0,0.582388,2.52866,3784.23,-21.9847,0.0,0.0,0.0,0.0,26.1058,-0.227737,26.1058,0.0,19.9772,0.0,0.0,7388.63,-42.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,3.0,0.0,21.129590346478704,gaze,0.603465216277689,0.4375458363195942,-353.2566696589392,662.1577192020764,3737.8793016499953,-32.197903170946915,-3.9282067323679,-32.85697363121022,-0.0702667212792074,0.0684771994828993,1.0032701395560133,4.204558718710337,27.98177270702491,-3.444154645602436,-31.71343169820541,-0.0750490849061579,0.1570935419786974,0.984728010124286,3.832154512405396,-31.75132445186597,-3.971741682535861,-32.71891846000707,-0.0485733278299497,0.0914124225399973,0.9946277699867891,4.346123218536377,51.1293663524018,False,-1.0,imu,-0.3234274960601255,-9.748607751199714,1.5897588892732477,1.6271376433192526,30.897078019439714,-1.340968775342393,272.4036572,-186.5565644,-338.3164296,3784.23,-21.9847,True,0.9968931480743616,0.0787658004618039,3764.157085606338,-24.65027036283144,-0.336939,False,False,inf
6,6,255.845443,9.651,0.0171905,3765.66,-24.1591,0.000458335,-0.523782,-0.336939,1625.66,0.000136499,-0.523683,-152.998,-0.1206,0.000458335,1.32889,0.000276442,-0.00330826,5.85212,0.00309837,9.65054,0.0120806,5.85237,-0.336939,1.01638,0.0316449,0.0,0.440927,1.215,0.0,-1.0,-0.0336185,-7.16785,0.0,383.543,-107.965,0.0,4.178610000000001e-28,0.0,-4.13712e-27,52.5109,7.61141e-13,52.5109,0.0,0.0,-7.73904e-09,0.0,2777.96,65.6425,0.0,0.0,0.0,0.0,64.8,-7.33873e-12,64.8,0.0,0.0,0.582388,2.52866,3784.23,-21.9847,0.0,0.0,0.0,0.0,26.1058,-0.227737,26.1058,0.0,19.9772,0.0,0.0,7388.63,-42.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,3.0,0.0,21.129590346478704,gaze,0.6026535848167729,0.4370587846711839,-337.1293023486284,642.5403803820038,3623.09534773454,-32.19040540292468,-3.928455594982153,-32.854984802180404,-0.0697999672945281,0.0688812623652485,1.0031508157127662,4.207203426535517,27.98177270702491,-3.444154645602436,-31.71343169820541,-0.0750490849061579,0.1570935419786974,0.984728010124286,3.832154512405396,-29.020961383075026,-3.338477388956026,-32.6593757280888,-0.1614198600707372,0.1238357064085265,0.9991019658898512,4.1435717325490495,53.4684478982588,False,-0.7802645338607447,imu,-0.1752587704,-9.782789044,1.4044627744,0.5982602699999999,31.19315851,-1.4028472,272.4036572,-186.5565644,-338.3164296,3784.23,-21.9847,True,0.9969111743517848,0.0785373188525393,3764.157085606338,-24.65027036283144,-0.336939,False,False,inf
7,7,255.850486,9.651,0.0171905,3765.66,-24.1591,0.000458335,-0.523782,-0.336939,1625.66,0.000136499,-0.523683,-152.998,-0.1206,0.000458335,1.32889,0.000276442,-0.00330826,5.85212,0.00309837,9.65054,0.0120806,5.85237,-0.336939,1.01638,0.0316449,0.0,0.440927,1.215,0.0,-1.0,-0.0336185,-7.16785,0.0,383.543,-107.965,0.0,4.178610000000001e-28,0.0,-4.13712e-27,52.5109,7.61141e-13,52.5109,0.0,0.0,-7.73904e-09,0.0,2777.96,65.6425,0.0,0.0,0.0,0.0,64.8,-7.33873e-12,64.8,0.0,0.0,0.582388,2.52866,3784.23,-21.9847,0.0,0.0,0.0,0.0,26.1058,-0.227737,26.1058,0.0,19.9772,0.0,0.0,7388.63,-42.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,3.0,0.0,21.129590346478704,gaze,0.5996337541463524,0.435248577596691,-269.6862072372885,550.4561165639385,3118.006818240547,-32.1624835991099,-3.929365660370856,-32.847607536730905,-0.0680562180667489,0.0703847252475355,1.0027059825352582,4.217011467078194,27.98177270702491,-3.444154645602436,-31.71343169820541,-0.0750490849061579,0.1570935419786974,0.984728010124286,3.832154512405396,-19.09312613222716,-3.342179745129568,-32.65476295206662,-0.157036522328058,0.1242756615648106,0.9987409920829484,4.1479699334994615,57.95783809174431,False,-0.728170843031718,imu,-0.3114701318253698,-9.748093614604697,1.5893320512702471,1.668497372199595,30.2500507028722,-1.6672996229426884,272.4036572,-186.5565644,-338.3164296,3784.23,-21.9847,True,0.9969780823929316,0.0776833523228282,3764.157085606338,-24.65027036283144,-0.336939,False,False,inf
8,8,255.85428,9.651,0.0171905,3765.66,-24.1591,0.000458335,-0.523782,-0.336939,1625.66,0.000136499,-0.523683,-152.998,-0.1206,0.000458335,1.32889,0.000276442,-0.00330826,5.85212,0.00309837,9.65054,0.0120806,5.85237,-0.336939,1.01638,0.0316449,0.0,0.440927,1.215,0.0,-1.0,-0.0336185,-7.16785,0.0,383.543,-107.965,0.0,4.178610000000001e-28,0.0,-4.13712e-27,52.5109,7.61141e-13,52.5109,0.0,0.0,-7.73904e-09,0.0,2777.96,65.6425,0.0,0.0,0.0,0.0,64.8,-7.33873e-12,64.8,0.0,0.0,0.582388,2.52866,3784.23,-21.9847,0.0,0.0,0.0,0.0,26.1058,-0.227737,26.1058,0.0,19.9772,0.0,0.0,7388.63,-42.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,3.0,0.0,21.129590346478704,gaze,0.5973766931616836,0.4338976337245119,-217.90972024212425,471.8365170638336,2707.464868379879,-32.14158866727206,-3.930029390644028,-32.84211702108643,-0.0667455587041953,0.0715085097214828,1.0023726098626475,4.224308865124898,27.98177270702491,-3.444154645602436,-31.71343169820541,-0.0750490849061579,0.1570935419786974,0.984728010124286,3.832154512405396,-12.574973840035703,-3.3449126623041074,-32.65136651641477,-0.1537600339522211,0.1246059632455123,0.998468834314256,4.151247715910725,56.88917649625879,False,-0.6919697542275643,imu,-0.1920070488,-9.7690315296,1.4200147472,0.8973366700000001,30.55014425,-1.85893871,272.6796764776749,-186.6316326193696,-338.31642960000056,3784.23,-21.9847,True,0.997027918641844,0.077041089353102,3764.157085606338,-24.65027036283144,-0.336939,False,False,inf
9,9,255.863117,9.651,0.0171905,3765.66,-24.1591,0.000458335,-0.523782,-0.336939,1625.66,0.000136499,-0.523683,-152.998,-0.1206,0.000458335,1.32889,0.000276442,-0.00330826,5.85212,0.00309837,9.65054,0.0120806,5.85237,-0.336939,1.01638,0.0316449,0.0,0.440927,1.215,0.0,-1.0,-0.0336185,-7.16785,0.0,383.543,-107.965,0.0,4.178610000000001e-28,0.0,-4.13712e-27,52.5109,7.61141e-13,52.5109,0.0,0.0,-7.73904e-09,0.0,2777.96,65.6425,0.0,0.0,0.0,0.0,64.8,-7.33873e-12,64.8,0.0,0.0,0.582388,2.52866,3784.23,-21.9847,0.0,0.0,0.0,0.0,26.1058,-0.227737,26.1058,0.0,19.9772,0.0,0.0,7388.63,-42.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,3.0,0.0,21.129590346478704,gaze,0.5921687561426218,0.4307871415543745,-117.16635257816012,298.84579171906927,1840.6531393518856,-32.093290586830335,-3.931506433472858,-32.82952518973374,-0.0636970497423812,0.0741018077937607,1.0016004122412705,4.241037066795421,27.98177270702491,-3.444154645602436,-31.71343169820541,-0.0750490849061579,0.1570935419786974,0.984728010124286,3.832154512405396,-2.503317748576636,-3.351105140091616,-32.643698619342004,-0.1461988119325262,0.1253730066236148,0.9978330498363768,4.158779517923794,44.45605401597293,False,-0.616307327062466,imu,-0.2404574256,-9.7720222936,1.4481279288,0.8524752099999999,29.90712999,-2.4496146,273.13706193989145,-186.5834257437987,-338.3164296000006,3784.23,-21.9847,True,0.9971423230433608,0.0755459303714625,3764.157085606338,-24.65027036283144,-0.336939,False,False,inf
