,Unnamed: 0,Timestamp,CoG Acceleration/X,CoG Acceleration/Y,CoG position/X,CoG position/Y,CoG position/Roll,CoG position/Pitch,CoG position/Yaw,Horizontal tangential speed,Over-steering criteria2,Pitch %ground,Pitch acceleration,Pitch speed,Roll %ground,Roll acceleration,Roll speed,Slope force,Speed/X,Speed/Y,Tangent Acceleration/X,Tangent Acceleration/Y,Tangential speed,Yaw %ground,Yaw acceleration,Yaw speed,Brake pedal force,Gas pedal,Steering wheel angle,Steering wheel speed,Intersection Id,Lane gap,CoG Acceleration/X.1,CoG Acceleration/Y.1,CoG position/X.1,CoG position/Y.1,Pitch acceleration.1,Pitch speed.1,Roll acceleration.1,Roll speed.1,Speed/X.1,Speed/Y.1,Tangential speed.1,Yaw acceleration.1,Yaw speed.1,CoG Acceleration/X.2,CoG Acceleration/Y.2,CoG position/X.2,CoG position/Y.2,Pitch acceleration.2,Pitch speed.2,Roll acceleration.2,Roll speed.2,Speed/X.2,Speed/Y.2,Tangential speed.2,Yaw acceleration.2,Yaw speed.2,CoG Acceleration/X.3,CoG Acceleration/Y.3,CoG position/X.3,CoG position/Y.3,Pitch acceleration.3,Pitch speed.3,Roll acceleration.3,Roll speed.3,Speed/X.3,Speed/Y.3,Tangential speed.3,Yaw acceleration.3,Yaw speed.3,CoG Acceleration/X.4,CoG Acceleration/Y.4,CoG position/X.4,CoG position/Y.4,Pitch acceleration.4,Pitch speed.4,Roll acceleration.4,Roll speed.4,Speed/X.4,Speed/Y.4,Tangential speed.4,Yaw acceleration.4,Yaw speed.4,ExportChannel/1,ExportChannel/3,ExportChannel/4,distance_to_inter_3,Type_gaze,Data Gaze2D X,Data Gaze2D Y,Data Gaze3D X,Data Gaze3D Y,Data Gaze3D Z,Data Eyeright Gazeorigin X,Data Eyeright Gazeorigin Y,Data Eyeright Gazeorigin Z,Data Eyeright Gazedirection X,Data Eyeright Gazedirection Y,Data Eyeright Gazedirection Z,Data Eyeright Pupildiameter,Data Eyeleft Gazeorigin X,Data Eyeleft Gazeorigin Y,Data Eyeleft Gazeorigin Z,Data Eyeleft Gazedirection X,Data Eyeleft Gazedirection Y,Data Eyeleft Gazedirection Z,Data Eyeleft Pupildiameter,Avg_Gazeorigin_X,Avg_Gazeorigin_Y,Avg_Gazeorigin_Z,Avg_Gazedirection_X,Avg_Gazedirection_Y,Avg_Gazedirection_Z,Avg_Pupildiameter,Velocity,Is_Fixation,Fixation_ID,Type_imu,Data Accelerometer X,Data Accelerometer Y,Data Accelerometer Z,Data Gyroscope X,Data Gyroscope Y,Data Gyroscope Z,Data Magnetometer X,Data Magnetometer Y,Data Magnetometer Z,hazard_4_x,hazard_4_y,gaze_intersects_hazard,combined_gaze_car_x,combined_gaze_car_y,driver_position_x,driver_position_y,yaw_continuous,local_collision_flag,global_collision_flag,time_to_collision_flag
0,0,408.957,-9.85084,0.0464431,7367.01,-23.7604,-0.00119783,-0.609256,1.21605,825.141,-7.65384e-05,-0.609137,174.741,0.103254,-0.00119783,4.25585,0.0054874,-0.00397523,2.97031,-0.00592577,-9.85021,0.0267907,2.97051,1.21605,1.81784,-0.0580048,0.0,0.414598,-4.545,0.0,-1.0,0.30562,-7.1283,0.0,383.542,-108.227,0.0,2.07144e-41,0.0,-2.04334e-40,51.1595,1.31762e-12,51.1595,0.0,0.0,-3.43049e-09,0.0,2792.51,-96.5505,0.0,0.0,0.0,0.0,64.8,6.38418e-12,64.8,0.0,0.0,2.0,0.0,2777.98,-101.526,0.0,0.0,0.0,0.0,68.9179,1.91429e-12,68.9179,0.0,0.0,0.000147545,0.000140994,7288.47,-9.67858,0.0,-1.24892e-07,0.0,2.81522e-10,21.999,-1.17223e-05,21.999,0.0,0.00132197,999.0,2.0,4.0,21.0352893053552,gaze,0.1337848210671087,0.7046155340645801,2235.477225822877,-663.5206146567823,2883.967344248383,-36.75814010555968,-14.22944357596631,-34.32650578693104,-0.2816621276095572,0.0425719696621868,0.9585687629322894,4.796021938323975,31.23787687152047,-18.36860445436408,-20.90963369786891,0.5952361604678689,-0.1742178342173717,0.7844374159307281,3.684026479721069,31.23787687152047,-18.36860445436408,-20.90963369786891,0.5952361604678689,-0.1742178342173717,0.7844374159307281,3.684026479721069,99.96982933152243,False,-1.0,imu,-0.451605364,-9.3706617648,3.471678851200001,1.00201341,1.11354958,-4.20668845,97.5111028,-37.83624680000002,130.3179784,7288.47,-9.67858,True,0.9802204176138845,-0.1979089004892455,7365.520949074865,-24.29212111332318,1.21605,False,False,inf
1,1,408.973,-9.88586,0.0143693,7367.02,-23.7602,-0.00116737,-0.608319,1.21511,834.642,-2.01384e-05,-0.6082,174.965,0.101702,-0.00116737,0.861799,-4.97747e-05,-0.00396641,3.00451,-0.00592864,-9.88526,-0.00513793,3.00471,1.21511,0.620394,-0.0584346,0.0,0.417889,-4.536,0.0,-1.0,0.305886,-7.1283,0.0,383.542,-108.227,0.0,2.07144e-41,0.0,-2.04334e-40,51.1595,1.31762e-12,51.1595,0.0,0.0,-3.40413e-09,0.0,2792.51,-96.2789,0.0,0.0,0.0,0.0,64.8,6.23693e-12,64.8,0.0,0.0,2.0,0.0,2777.98,-101.816,0.0,0.0,0.0,0.0,69.0266,8.47192e-12,69.0266,0.0,0.0,0.00014641,0.00023245,7288.37,-9.67864,0.0,-1.21629e-07,0.0,2.69219e-10,21.999,-1.9326e-05,21.999,0.0,0.00217948,999.0,2.0,4.0,21.02532396991737,gaze,0.1337848210671087,0.7046155340645801,2235.477225822877,-663.5206146567823,2883.967344248383,-36.75814010555968,-14.22944357596631,-34.32650578693104,-0.2816621276095572,0.0425719696621868,0.9585687629322894,4.796021938323975,31.23787687152047,-18.36860445436408,-20.90963369786891,0.5952361604678689,-0.1742178342173717,0.7844374159307281,3.684026479721069,31.23787687152047,-18.36860445436408,-20.90963369786891,0.5952361604678689,-0.1742178342173717,0.7844374159307281,3.684026479721069,99.96982933152243,False,-1.0,imu,-0.451605364,-9.3706617648,3.471678851200001,1.00201341,1.11354958,-4.20668845,97.5111028,-37.83624680000002,130.3179784,7288.37,-9.67864,True,0.9802236643941828,-0.1978928188733499,7365.5309403515985,-24.29189668374073,1.21511,False,False,inf
2,2,408.989,-9.92684,0.0447273,7367.04,-23.7599,-0.00119982,-0.607404,1.21417,844.089,0.00111973,-0.607285,175.872,0.100886,-0.00119982,2.91388,-0.00272492,-0.00395792,3.03852,-0.00583172,-9.92624,0.0256749,3.03872,1.21417,-0.404643,-0.058653,0.0,0.427762,-4.536,0.0,-1.0,0.306154,-7.1283,0.0,383.542,-108.227,0.0,2.07144e-41,0.0,-2.04334e-40,51.1595,1.31762e-12,51.1595,0.0,0.0,-3.37743e-09,0.0,2792.51,-96.0022,0.0,0.0,0.0,0.0,64.8,4.92095e-12,64.8,0.0,0.0,2.0,0.0,2777.98,-102.111,0.0,0.0,0.0,0.0,69.1373,1.28853e-11,69.1373,0.0,0.0,0.000145262,0.000323925,7288.28,-9.6787,0.0,-1.18305e-07,0.0,2.56712e-10,21.999,-2.72202e-05,21.999,0.0,0.00303716,999.0,2.0,4.0,21.00538683314357,gaze,0.1337848210671087,0.7046155340645801,2235.477225822877,-663.5206146567823,2883.967344248383,-36.75814010555968,-14.22944357596631,-34.32650578693104,-0.2816621276095572,0.0425719696621868,0.9585687629322894,4.796021938323975,31.23787687152047,-18.36860445436408,-20.90963369786891,0.5952361604678689,-0.1742178342173717,0.7844374159307281,3.684026479721069,31.23787687152047,-18.36860445436408,-20.90963369786891,0.5952361604678689,-0.1742178342173717,0.7844374159307281,3.684026479721069,99.96982933152243,False,-1.0,imu,-0.451605364,-9.3706617648,3.471678851200001,1.00201341,1.11354958,-4.20668845,97.5111028,-37.83624680000002,130.3179784,7288.28,-9.6787,True,0.9802269109106444,-0.1978767372041896,7365.550931628732,-24.29157225401517,1.2141700000000002,False,False,inf
3,3,409.005,-9.92988,0.0363867,7367.05,-23.7596,-0.00127753,-0.606497,1.21322,853.465,0.000104993,-0.606378,175.406,0.100122,-0.00127753,4.05801,-0.00194064,-0.00394928,3.07227,-0.00590839,-9.92937,0.01729,3.07248,1.21322,-0.279187,-0.0609544,0.0,0.427762,-4.536,0.0,-1.0,0.306424,-7.1283,0.0,383.542,-108.227,0.0,2.07144e-41,0.0,-2.04334e-40,51.1595,1.31762e-12,51.1595,0.0,0.0,-3.34963e-09,0.0,2792.51,-95.7085,0.0,0.0,0.0,0.0,64.8,-3.26808e-13,64.8,0.0,0.0,2.0,0.0,2777.98,-102.426,0.0,0.0,0.0,0.0,69.2547,1.0085e-11,69.2547,0.0,0.0,0.000144067,0.000415465,7288.18,-9.67877,0.0,-1.14778e-07,0.0,2.43521e-10,21.999,-3.60915e-05,21.999,0.0,0.00389544,999.0,2.0,4.0,20.995428172818777,gaze,0.1337848210671087,0.7046155340645801,2235.477225822877,-663.5206146567823,2883.967344248383,-36.75814010555968,-14.22944357596631,-34.32650578693104,-0.2816621276095572,0.0425719696621868,0.9585687629322894,4.796021938323975,31.23787687152047,-18.36860445436408,-20.90963369786891,0.5952361604678689,-0.1742178342173717,0.7844374159307281,3.684026479721069,31.23787687152047,-18.36860445436408,-20.90963369786891,0.5952361604678689,-0.1742178342173717,0.7844374159307281,3.684026479721069,99.96982933152243,False,-1.0,imu,-0.451605364,-9.3706617648,3.471678851200001,1.00201341,1.11354958,-4.20668845,97.5111028,-37.83624680000002,130.3179784,7288.18,-9.67877,True,0.980230191696452,-0.197860484399329,7365.560922813477,-24.29124756425352,1.21322,False,False,inf
4,4,409.021,-9.78563,0.0379947,7367.07,-23.7594,-0.00129551,-0.60561,1.21224,862.8,-0.000999189,-0.605492,173.742,0.0988723,-0.00129551,3.97201,0.00099861,-0.00394081,3.10588,-0.00600657,-9.78489,0.0190696,3.10608,1.21224,2.51881,-0.0606139,0.0,0.427762,-4.527,0.0,-1.0,0.306699,-7.1283,0.0,383.542,-108.227,0.0,2.07144e-41,0.0,-2.04334e-40,51.1595,1.31762e-12,51.1595,0.0,0.0,-3.32182e-09,0.0,2792.51,-95.4148,0.0,0.0,0.0,0.0,64.8,-5.57456e-12,64.8,0.0,0.0,2.0,0.0,2777.98,-102.741,0.0,0.0,0.0,0.0,69.3722,7.28472e-12,69.3722,0.0,0.0,0.000142872,0.000507004,7288.08,-9.67883,0.0,-1.1125e-07,0.0,2.30329e-10,21.999,-4.49627e-05,21.999,0.0,0.00475372,999.0,2.0,4.0,20.975484651373662,gaze,0.1337848210671087,0.7046155340645801,2235.477225822877,-663.5206146567823,2883.967344248383,-36.75814010555968,-14.22944357596631,-34.32650578693104,-0.2816621276095572,0.0425719696621868,0.9585687629322894,4.796021938323975,31.23787687152047,-18.36860445436408,-20.90963369786891,0.5952361604678689,-0.1742178342173717,0.7844374159307281,3.684026479721069,31.23787687152047,-18.36860445436408,-20.90963369786891,0.5952361604678689,-0.1742178342173717,0.7844374159307281,3.684026479721069,99.96982933152243,False,-1.0,imu,-0.451605364,-9.3706617648,3.471678851200001,1.00201341,1.11354958,-4.20668845,97.5111028,-37.83624680000002,130.3179784,7288.08,-9.67883,True,0.9802335758036403,-0.1978437182910002,7365.580913720274,-24.291022094662026,1.21224,False,False,inf
5,5,409.037,-9.88395,0.0297558,7367.08,-23.7591,-0.00128184,-0.604715,1.21126,872.019,-0.000798739,-0.604597,175.118,0.100252,-0.00128184,2.36894,0.00167601,-0.00393287,3.13907,-0.00618432,-9.88327,0.0102831,3.13927,1.21126,-0.0235467,-0.0615382,0.0,0.434345,-4.527,0.0,-1.0,0.306975,-7.1283,0.0,383.542,-108.227,0.0,2.07144e-41,0.0,-2.04334e-40,51.1595,1.31762e-12,51.1595,0.0,0.0,-3.29431e-09,0.0,2792.51,-95.123,0.0,0.0,0.0,0.0,64.8,-9.74702e-12,64.8,0.0,0.0,2.0,7.52154e-06,2777.98,-103.054,0.0,0.0,0.0,0.0,69.4889,-6.09409e-07,69.4889,0.0,2.22171e-05,0.00014169,0.00059662,7287.98,-9.6789,0.0,-1.07746e-07,0.0,2.17258e-10,21.999,-5.36278e-05,21.999,0.0,0.00559397,999.0,2.0,4.0,20.96552610382108,gaze,0.1337848210671087,0.7046155340645801,2235.477225822877,-663.5206146567823,2883.967344248383,-36.75814010555968,-14.22944357596631,-34.32650578693104,-0.2816621276095572,0.0425719696621868,0.9585687629322894,4.796021938323975,31.23787687152047,-18.36860445436408,-20.90963369786891,0.5952361604678689,-0.1742178342173717,0.7844374159307281,3.684026479721069,31.23787687152047,-18.36860445436408,-20.90963369786891,0.5952361604678689,-0.1742178342173717,0.7844374159307281,3.684026479721069,99.96982933152243,False,-1.0,imu,-0.451605364,-9.3706617648,3.471678851200001,1.00201341,1.11354958,-4.20668845,97.5111028,-37.83624680000002,130.3179784,7287.98,-9.6789,True,0.9802369596240572,-0.1978269521247914,7365.590904627507,-24.290696624915,1.21126,False,False,inf
6,6,409.053,-9.92111,0.0155816,7367.09,-23.7588,-0.00125814,-0.603778,1.21027,881.15,-9.297e-05,-0.60366,175.644,0.104369,-0.00125814,1.25388,0.00278746,-0.00392641,3.17193,-0.0062703,-9.92038,-0.00403065,3.17214,1.21027,-0.679341,-0.0623426,0.0,0.440927,-4.527,0.0,-1.0,0.307254,-7.1283,0.0,383.542,-108.227,0.0,2.07144e-41,0.0,-2.04334e-40,51.1595,1.31762e-12,51.1595,0.0,0.0,-3.26829e-09,0.0,2792.51,-94.8408,0.0,0.0,0.0,0.0,64.8,-8.44819e-12,64.8,0.0,0.0,2.0,5.33139e-05,2777.98,-103.358,0.0,0.0,0.0,0.0,69.6018,-4.31962e-06,69.6018,0.0,0.000157478,0.00014057,0.000676453,7287.88,-9.67896,0.0,-1.04356e-07,0.0,2.048e-10,21.999,-6.12435e-05,21.999,0.0,0.00634248,999.0,2.0,4.0,20.955567600043523,gaze,0.1337848210671087,0.7046155340645801,2235.477225822877,-663.5206146567823,2883.967344248383,-36.75814010555968,-14.22944357596631,-34.32650578693104,-0.2816621276095572,0.0425719696621868,0.9585687629322894,4.796021938323975,31.23787687152047,-18.36860445436408,-20.90963369786891,0.5952361604678689,-0.1742178342173717,0.7844374159307281,3.684026479721069,31.23787687152047,-18.36860445436408,-20.90963369786891,0.5952361604678689,-0.1742178342173717,0.7844374159307281,3.684026479721069,99.96982933152243,False,-1.0,imu,-0.451605364,-9.3706617648,3.471678851200001,1.00201341,1.11354958,-4.20668845,97.5111028,-37.83624680000002,130.3179784,7287.88,-9.67896,True,0.9802403776820764,-0.1978100148164898,7365.6008954424,-24.29037089511469,1.21027,False,False,inf
7,7,409.069,-9.88223,0.0551113,7367.11,-23.7586,-0.00119947,-0.602797,1.20928,890.256,0.000990693,-0.602679,174.767,0.10572,-0.00119947,4.97092,0.00489297,-0.00391849,3.20471,-0.00630877,-9.88165,0.0356572,3.20492,1.20928,2.34512,-0.0610787,0.0,0.444218,-4.518,0.0,-1.0,0.307537,-7.1283,0.0,383.542,-108.227,0.0,2.07144e-41,0.0,-2.04334e-40,51.1595,1.31762e-12,51.1595,0.0,0.0,-3.24227e-09,0.0,2792.51,-94.5586,0.0,0.0,0.0,0.0,64.8,-7.14936e-12,64.8,0.0,0.0,2.0,9.91063e-05,2777.98,-103.662,0.0,0.0,0.0,0.0,69.7147,-8.02983e-06,69.7147,0.0,0.00029274,0.00013945,0.000756286,7287.79,-9.67902,0.0,-1.00966e-07,0.0,1.92342e-10,21.999,-6.88591e-05,21.999,0.0,0.007091,999.0,2.0,4.0,20.935624326969894,gaze,0.1337848210671087,0.7046155340645801,2235.477225822877,-663.5206146567823,2883.967344248383,-36.75814010555968,-14.22944357596631,-34.32650578693104,-0.2816621276095572,0.0425719696621868,0.9585687629322894,4.796021938323975,31.23787687152047,-18.36860445436408,-20.90963369786891,0.5952361604678689,-0.1742178342173717,0.7844374159307281,3.684026479721069,31.23787687152047,-18.36860445436408,-20.90963369786891,0.5952361604678689,-0.1742178342173717,0.7844374159307281,3.684026479721069,99.96982933152243,False,-1.0,imu,-0.451605364,-9.3706617648,3.471678851200001,1.00201341,1.11354958,-4.20668845,97.5111028,-37.83624680000002,130.3179784,7287.79,-9.67902,True,0.9802437954474396,-0.197793077449131,7365.620886257736,-24.29014516515568,1.20928,False,False,inf
8,8,409.085,-9.92209,0.00814478,7367.12,-23.7583,-0.00113784,-0.601787,1.20827,899.242,-9.31258e-05,-0.601669,175.32,0.108161,-0.00113784,1.16918,0.00342707,-0.0039108,3.23706,-0.00644809,-9.92141,-0.0116195,3.23727,1.20827,0.970543,-0.0632125,0.0,0.447509,-4.509,6.0,-1.0,0.307821,-7.1283,0.0,383.542,-108.227,0.0,2.07144e-41,0.0,-2.04334e-40,51.1595,1.31762e-12,51.1595,0.0,0.0,-3.21625e-09,0.0,2792.51,-94.2764,0.0,0.0,0.0,0.0,64.8,-5.85053e-12,64.8,0.0,0.0,2.0,0.000144899,2777.98,-103.966,0.0,0.0,0.0,0.0,69.8276,-1.174e-05,69.8276,0.0,0.000428001,0.000138331,0.000836119,7287.69,-9.67909,0.0,-9.75765e-08,0.0,1.79885e-10,21.999,-7.64748e-05,21.999,0.0,0.00783952,999.0,2.0,4.0,20.92566593659577,gaze,0.1337848210671087,0.7046155340645801,2235.477225822877,-663.5206146567823,2883.967344248383,-36.75814010555968,-14.22944357596631,-34.32650578693104,-0.2816621276095572,0.0425719696621868,0.9585687629322894,4.796021938323975,31.23787687152047,-18.36860445436408,-20.90963369786891,0.5952361604678689,-0.1742178342173717,0.7844374159307281,3.684026479721069,31.23787687152047,-18.36860445436408,-20.90963369786891,0.5952361604678689,-0.1742178342173717,0.7844374159307281,3.684026479721069,99.96982933152243,False,-1.0,imu,-0.451605364,-9.3706617648,3.471678851200001,1.00201341,1.11354958,-4.20668845,97.5111028,-37.83624680000002,130.3179784,7287.69,-9.67909,True,0.9802472819569824,-0.1977757978518809,7365.630876887982,-24.289818915235976,1.20827,False,False,inf
9,9,409.101,-9.84598,0.0228977,7367.14,-23.758,-0.00107595,-0.600737,1.20725,908.2,-0.000758818,-0.600619,174.459,0.110814,-0.00107595,2.25122,0.00406069,-0.00390319,3.2693,-0.00650478,-9.84521,0.00330786,3.26952,1.20725,0.941257,-0.064223,0.0,0.454091,-4.5,0.0,-1.0,0.308109,-7.1283,0.0,383.542,-108.227,0.0,2.07144e-41,0.0,-2.04334e-40,51.1595,1.31762e-12,51.1595,0.0,0.0,-3.19075e-09,0.0,2792.51,-93.993,0.0,0.0,0.0,0.0,64.8,-3.12494e-12,64.8,0.0,0.0,2.0,0.000101224,2777.98,-104.273,0.0,0.0,0.0,0.0,69.9409,-8.20142e-06,69.9409,0.0,0.000298995,0.000137234,0.000908689,7287.6,-9.67916,0.0,-9.4173e-08,0.0,1.67694e-10,21.999,-8.31913e-05,21.999,0.0,0.00851995,999.0,2.0,4.0,20.90572945390776,gaze,0.1337848210671087,0.7046155340645801,2235.477225822877,-663.5206146567823,2883.967344248383,-36.75814010555968,-14.22944357596631,-34.32650578693104,-0.2816621276095572,0.0425719696621868,0.9585687629322894,4.796021938323975,31.23787687152047,-18.36860445436408,-20.90963369786891,0.5952361604678689,-0.1742178342173717,0.7844374159307281,3.684026479721069,31.23787687152047,-18.36860445436408,-20.90963369786891,0.5952361604678689,-0.1742178342173717,0.7844374159307281,3.684026479721069,99.96982933152243,False,-1.0,imu,-0.451605364,-9.3706617648,3.471678851200001,1.00201341,1.11354958,-4.20668845,97.5111028,-37.83624680000002,130.3179784,7287.6,-9.67916,True,0.9802508026772808,-0.197758347107137,7365.650867425928,-24.289492405248456,1.20725,False,False,inf
