,Unnamed: 0,Timestamp,CoG Acceleration/X,CoG Acceleration/Y,CoG position/X,CoG position/Y,CoG position/Roll,CoG position/Pitch,CoG position/Yaw,Horizontal tangential speed,Over-steering criteria2,Pitch %ground,Pitch acceleration,Pitch speed,Roll %ground,Roll acceleration,Roll speed,Slope force,Speed/X,Speed/Y,Tangent Acceleration/X,Tangent Acceleration/Y,Tangential speed,Yaw %ground,Yaw acceleration,Yaw speed,Brake pedal force,Gas pedal,Steering wheel angle,Steering wheel speed,Intersection Id,Lane gap,CoG Acceleration/X.1,CoG Acceleration/Y.1,CoG position/X.1,CoG position/Y.1,Pitch acceleration.1,Pitch speed.1,Roll acceleration.1,Roll speed.1,Speed/X.1,Speed/Y.1,Tangential speed.1,Yaw acceleration.1,Yaw speed.1,CoG Acceleration/X.2,CoG Acceleration/Y.2,CoG position/X.2,CoG position/Y.2,Pitch acceleration.2,Pitch speed.2,Roll acceleration.2,Roll speed.2,Speed/X.2,Speed/Y.2,Tangential speed.2,Yaw acceleration.2,Yaw speed.2,CoG Acceleration/X.3,CoG Acceleration/Y.3,CoG position/X.3,CoG position/Y.3,Pitch acceleration.3,Pitch speed.3,Roll acceleration.3,Roll speed.3,Speed/X.3,Speed/Y.3,Tangential speed.3,Yaw acceleration.3,Yaw speed.3,CoG Acceleration/X.4,CoG Acceleration/Y.4,CoG position/X.4,CoG position/Y.4,Pitch acceleration.4,Pitch speed.4,Roll acceleration.4,Roll speed.4,Speed/X.4,Speed/Y.4,Tangential speed.4,Yaw acceleration.4,Yaw speed.4,ExportChannel/1,ExportChannel/3,ExportChannel/4,distance_to_inter_0,Type_gaze,Data Gaze2D X,Data Gaze2D Y,Data Gaze3D X,Data Gaze3D Y,Data Gaze3D Z,Data Eyeright Gazeorigin X,Data Eyeright Gazeorigin Y,Data Eyeright Gazeorigin Z,Data Eyeright Gazedirection X,Data Eyeright Gazedirection Y,Data Eyeright Gazedirection Z,Data Eyeright Pupildiameter,Data Eyeleft Gazeorigin X,Data Eyeleft Gazeorigin Y,Data Eyeleft Gazeorigin Z,Data Eyeleft Gazedirection X,Data Eyeleft Gazedirection Y,Data Eyeleft Gazedirection Z,Data Eyeleft Pupildiameter,Avg_Gazeorigin_X,Avg_Gazeorigin_Y,Avg_Gazeorigin_Z,Avg_Gazedirection_X,Avg_Gazedirection_Y,Avg_Gazedirection_Z,Avg_Pupildiameter,Velocity,Is_Fixation,Fixation_ID,Type_imu,Data Accelerometer X,Data Accelerometer Y,Data Accelerometer Z,Data Gyroscope X,Data Gyroscope Y,Data Gyroscope Z,Data Magnetometer X,Data Magnetometer Y,Data Magnetometer Z,hazard_1_x,hazard_1_y,gaze_intersects_hazard,combined_gaze_car_x,combined_gaze_car_y,driver_position_x,driver_position_y,yaw_continuous,global_collision_flag,time_to_collision_flag
0,0,52.2735,-10.4751,0.205914,380.222,-24.9196,0.00344659,-0.62,-0.0541401,959.919,0.000367299,-0.619864,181.478,0.355305,0.00344659,17.6133,-0.0137638,-0.00452078,3.45528,-0.0266369,-10.4753,0.125185,3.45573,-0.0541401,6.93063,-0.269026,1.00256,0.0,-17.901,24.0,3.0,-0.857983,-0.948421,0.151636,388.465,-22.2249,0.0,4.02295e-21,0.0,-3.9750399999999994e-20,5.16023,-0.013649,5.16023,0.0,6.06042,0.0,0.0,2810.82,-14.6177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3785.53,-83.4882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7388.63,-42.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,999.0,1.0,6.032869861019744,gaze,0.5553264772682719,0.5810558718467254,-27.25375739871807,-17.35400127986496,235.7631583761535,-36.27823901941211,-17.14820337784534,-31.82816261425895,0.0337056942821712,-0.0007686381845445,0.999431506091487,4.973133087158203,24.12555212906129,-16.68547744920204,-22.17298501023805,0.5804087507615249,0.5970362591872088,0.5537809921396637,4.186609268188477,-36.27823901941211,-17.14820337784534,-31.82816261425895,0.0337056942821712,-0.0007686381845445,0.999431506091487,4.973133087158203,1.3025166903200087,True,0.0,imu,-0.490485296,-9.430477044800002,2.4966897872,1.04687487,-1.39121527,-4.625395409999999,97.1204724,-37.94611160000001,133.6383368,388.465,-22.2249,False,0.930296749305385,-0.3668077946715878,381.71862136253503,-25.321014370948145,-0.0541401,True,4.335000000000001
1,1,52.2895,-10.7615,0.181955,380.238,-24.9197,0.00317617,-0.614147,-0.0584185,958.295,-0.000161535,-0.614012,184.871,0.460429,0.00317617,16.3248,-0.0105565,-0.00446155,3.44942,-0.0259319,-10.7611,0.101082,3.44989,-0.0584185,6.61788,-0.262361,1.64021,0.0,-17.469,24.0,3.0,-0.857983,-0.913547,0.149031,388.448,-22.2391,0.0,3.8386899999999995e-21,0.0,-3.7929899999999994e-20,5.10974,-0.0134127,5.10974,0.0,6.0155,0.0,0.0,2810.82,-14.6177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3785.53,-83.4882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7388.63,-42.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,999.0,1.0,6.017295346748417,gaze,0.5553264772682719,0.5810558718467254,-27.25375739871807,-17.35400127986496,235.7631583761535,-36.27823901941211,-17.14820337784534,-31.82816261425895,0.0337056942821712,-0.0007686381845445,0.999431506091487,4.973133087158203,24.12555212906129,-16.68547744920204,-22.17298501023805,0.5804087507615249,0.5970362591872088,0.5537809921396637,4.186609268188477,-36.27823901941211,-17.14820337784534,-31.82816261425895,0.0337056942821712,-0.0007686381845445,0.999431506091487,4.973133087158203,1.3025166903200087,True,0.0,imu,-0.490485296,-9.430477044800002,2.4966897872,1.04687487,-1.39121527,-4.625395409999999,97.1204724,-37.94611160000001,133.6383368,388.448,-22.2391,False,0.9303241370445204,-0.366738326375044,381.7345913838817,-25.321226125788804,-0.0584184999999999,True,4.319000000000003
2,2,52.3055,-10.615,0.126716,380.253,-24.9199,0.00299124,-0.606335,-0.0625656,954.962,-0.0011125,-0.606203,181.132,0.573783,0.00299124,11.7347,-0.00740029,-0.00439824,3.43742,-0.0253124,-10.6146,0.0485744,3.4379,-0.0625656,4.48591,-0.254866,1.00256,0.0,-17.019,24.0,3.0,-0.857983,-0.879221,0.146668,388.431,-22.2528,0.0,3.67305e-21,0.0,-3.6293199999999996e-20,5.06376,-0.0131962,5.06376,0.0,5.97333,0.0,0.0,2810.82,-14.6177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3785.53,-83.4882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7388.63,-42.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,999.0,1.0,6.00267118956222,gaze,0.5553264772682719,0.5810558718467254,-27.25375739871807,-17.35400127986496,235.7631583761535,-36.27823901941211,-17.14820337784534,-31.82816261425895,0.0337056942821712,-0.0007686381845445,0.999431506091487,4.973133087158203,24.12555212906129,-16.68547744920204,-22.17298501023805,0.5804087507615249,0.5970362591872088,0.5537809921396637,4.186609268188477,-36.27823901941211,-17.14820337784534,-31.82816261425895,0.0337056942821712,-0.0007686381845445,0.999431506091487,4.973133087158203,1.3025166903200087,True,0.0,imu,-0.490485296,-9.430477044800002,2.4966897872,1.04687487,-1.39121527,-4.625395409999999,97.1204724,-37.94611160000001,133.6383368,388.431,-22.2528,False,0.930350679329092,-0.3666709880422739,381.7495623172799,-25.321534448843533,-0.0625656,True,4.302999999999997
3,3,52.3215,-10.9048,0.133879,380.268,-24.92,0.0028546,-0.597421,-0.0666087,952.626,-0.0009498,-0.597291,183.293,0.639682,0.0028546,12.0973,-0.0028607,-0.00433436,3.42899,-0.0246957,-10.9043,0.0553691,3.4295,-0.0666087,4.6893,-0.246534,1.64021,0.0,-16.65,24.0,3.0,-0.857983,-0.844894,0.144305,388.414,-22.2666,0.0,3.50741e-21,0.0,-3.46565e-20,5.01779,-0.0129797,5.01779,0.0,5.93115,0.0,0.0,2810.82,-14.6177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3785.53,-83.4882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7388.63,-42.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,999.0,1.0,5.988072561350644,gaze,0.5553264772682719,0.5810558718467254,-27.25375739871807,-17.35400127986496,235.7631583761535,-36.27823901941211,-17.14820337784534,-31.82816261425895,0.0337056942821712,-0.0007686381845445,0.999431506091487,4.973133087158203,24.12555212906129,-16.68547744920204,-22.17298501023805,0.5804087507615249,0.5970362591872088,0.5537809921396637,4.186609268188477,-36.27823901941211,-17.14820337784534,-31.82816261425895,0.0337056942821712,-0.0007686381845445,0.999431506091487,4.973133087158203,1.3025166903200087,True,0.0,imu,-0.490485296,-9.430477044800002,2.4966897872,1.04687487,-1.39121527,-4.625395409999999,97.1204724,-37.94611160000001,133.6383368,388.414,-22.2666,False,0.9303765513002424,-0.3666053365550857,381.7645339720555,-25.321740053372483,-0.0666087,True,4.286999999999999
4,4,52.3375,-10.4455,0.181267,380.283,-24.9201,0.00281049,-0.586857,-0.0705173,944.166,0.0002482,-0.586729,177.746,0.766982,0.00281049,16.0354,0.00313967,-0.00425885,3.39852,-0.0239334,-10.4469,0.107714,3.39906,-0.0705173,5.99154,-0.237896,0.0,0.0,-16.272,18.0,3.0,-0.857983,-0.813311,0.141987,388.397,-22.2805,0.0,3.3447999999999995e-21,0.0,-3.30498e-20,4.97209,-0.0127692,4.97209,0.0,5.89006,0.0,0.0,2810.82,-14.6177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3785.53,-83.4882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7388.63,-42.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,999.0,1.0,5.973475923614321,gaze,0.5553264772682719,0.5810558718467254,-27.25375739871807,-17.35400127986496,235.7631583761535,-36.27823901941211,-17.14820337784534,-31.82816261425895,0.0337056942821712,-0.0007686381845445,0.999431506091487,4.973133087158203,24.12555212906129,-16.68547744920204,-22.17298501023805,0.5804087507615249,0.5970362591872088,0.5537809921396637,4.186609268188477,-36.27823901941211,-17.14820337784534,-31.82816261425895,0.0337056942821712,-0.0007686381845445,0.999431506091487,4.973133087158203,1.3025166903200087,True,0.0,imu,-0.490485296,-9.430477044800002,2.4966897872,1.04687487,-1.39121527,-4.625395409999999,97.1204724,-37.94611160000001,133.6383368,388.397,-22.2805,False,0.930401558195921,-0.3665418673311445,381.7795065626949,-25.32194214290105,-0.0705173,True,4.271000000000001
5,5,52.3535,-10.9016,0.137109,380.299,-24.9203,0.00276774,-0.575994,-0.0743207,944.451,-0.000631803,-0.575869,178.756,0.731424,0.00276774,11.4533,0.00196955,-0.00418421,3.39954,-0.0233864,-10.9012,0.0621405,3.4001,-0.0743207,5.63468,-0.233131,2.27786,0.0,-15.903,18.0,3.0,-0.857983,-0.792987,0.139853,388.38,-22.2946,0.0,3.19465e-21,0.0,-3.15661e-20,4.92752,-0.0125839,4.92752,0.0,5.85343,0.0,0.0,2810.82,-14.6177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3785.53,-83.4882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7388.63,-42.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,999.0,1.0,5.9578861931057725,gaze,0.5553264772682719,0.5810558718467254,-27.25375739871807,-17.35400127986496,235.7631583761535,-36.27823901941211,-17.14820337784534,-31.82816261425895,0.0337056942821712,-0.0007686381845445,0.999431506091487,4.973133087158203,24.12555212906129,-16.68547744920204,-22.17298501023805,0.5804087507615249,0.5970362591872088,0.5537809921396637,4.186609268188477,-36.27823901941211,-17.14820337784534,-31.82816261425895,0.0337056942821712,-0.0007686381845445,0.999431506091487,4.973133087158203,1.3025166903200087,True,0.0,imu,-0.490485296,-9.430477044800002,2.4966897872,1.04687487,-1.39121527,-4.625395409999999,97.1204724,-37.94611160000001,133.6383368,388.38,-22.2946,False,0.9304258878742436,-0.3664801047443438,381.7954798843716,-25.32224148289392,-0.0743207,True,4.255000000000003
6,6,52.3695,-10.9258,0.176113,380.314,-24.9204,0.00276651,-0.564302,-0.078004,935.849,-0.00029185,-0.564179,176.606,0.801709,0.00276651,14.9031,0.00469655,-0.0040985,3.36858,-0.0225841,-10.9256,0.102888,3.36914,-0.078004,5.21227,-0.225106,2.91551,0.0,-15.552,24.0,3.0,-0.857983,-0.772664,0.137718,388.363,-22.3088,0.0,3.04449e-21,0.0,-3.00824e-20,4.88295,-0.0123985,4.88295,0.0,5.8168,0.0,0.0,2810.82,-14.6177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3785.53,-83.4882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7388.63,-42.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,999.0,1.0,5.943293662608292,gaze,0.5553264772682719,0.5810558718467254,-27.25375739871807,-17.35400127986496,235.7631583761535,-36.27823901941211,-17.14820337784534,-31.82816261425895,0.0337056942821712,-0.0007686381845445,0.999431506091487,4.973133087158203,24.12555212906129,-16.68547744920204,-22.17298501023805,0.5804087507615249,0.5970362591872088,0.5537809921396637,4.186609268188477,-36.27823901941211,-17.14820337784534,-31.82816261425895,0.0337056942821712,-0.0007686381845445,0.999431506091487,4.973133087158203,1.3025166903200087,True,0.0,imu,-0.490485296,-9.430477044800002,2.4966897872,1.04687487,-1.39121527,-4.625395409999999,97.1204724,-37.94611160000001,133.6383368,388.363,-22.3088,False,0.9304494453862554,-0.3664202908961371,381.8104540421849,-25.32243768433868,-0.078004,True,4.238999999999997
7,7,52.3855,-10.941,0.121606,380.329,-24.9205,0.00282384,-0.550691,-0.0815319,919.403,-0.000516129,-0.550571,175.313,0.954712,0.00282384,10.5911,0.00801803,-0.00400254,3.30938,-0.0218147,-10.9408,0.0495087,3.30995,-0.0815319,5.01321,-0.214384,2.91551,0.0,-15.219,18.0,3.0,-0.857983,-0.761972,0.135519,388.346,-22.3228,0.0,2.89805e-21,0.0,-2.86354e-20,4.83745,-0.0122062,4.83745,0.0,5.77817,0.0,0.0,2810.82,-14.6177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3785.53,-83.4882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7388.63,-42.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,999.0,1.0,5.928703167641306,gaze,0.5553264772682719,0.5810558718467254,-27.25375739871807,-17.35400127986496,235.7631583761535,-36.27823901941211,-17.14820337784534,-31.82816261425895,0.0337056942821712,-0.0007686381845445,0.999431506091487,4.973133087158203,24.12555212906129,-16.68547744920204,-22.17298501023805,0.5804087507615249,0.5970362591872088,0.5537809921396637,4.186609268188477,-36.27823901941211,-17.14820337784534,-31.82816261425895,0.0337056942821712,-0.0007686381845445,0.999431506091487,4.973133087158203,1.3025166903200087,True,0.0,imu,-0.490485296,-9.430477044800002,2.4966897872,1.04687487,-1.39121527,-4.625395409999999,97.1204724,-37.94611160000001,133.6383368,388.346,-22.3228,False,0.9304720053914768,-0.3663629991999244,381.8254292844927,-25.322629825445592,-0.0815319,True,4.222999999999999
8,8,52.4015,-10.9634,0.134595,380.343,-24.9206,0.00296429,-0.534497,-0.0848875,899.71,-0.000175564,-0.53438,173.079,1.11296,0.00296429,11.8083,0.012955,-0.00389844,3.23849,-0.0209348,-10.9633,0.0637476,3.23907,-0.0848875,5.3416,-0.204191,2.91551,0.0,-14.895,18.0,3.0,-0.857983,-0.808962,0.132936,388.33,-22.336,0.0,2.77383e-21,0.0,-2.7408e-20,4.78632,-0.011972,4.78632,0.0,5.72755,0.0,0.0,2810.82,-14.6177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3785.53,-83.4882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7388.63,-42.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,999.0,1.0,5.91508562575386,gaze,0.5553264772682719,0.5810558718467254,-27.25375739871807,-17.35400127986496,235.7631583761535,-36.27823901941211,-17.14820337784534,-31.82816261425895,0.0337056942821712,-0.0007686381845445,0.999431506091487,4.973133087158203,24.12555212906129,-16.68547744920204,-22.17298501023805,0.5804087507615249,0.5970362591872088,0.5537809921396637,4.186609268188477,-36.27823901941211,-17.14820337784534,-31.82816261425895,0.0337056942821712,-0.0007686381845445,0.999431506091487,4.973133087158203,1.3025166903200087,True,0.0,imu,-0.490485296,-9.430477044800002,2.4966897872,1.04687487,-1.39121527,-4.625395409999999,97.1204724,-37.94611160000001,133.6383368,388.33,-22.336,False,0.930493460309437,-0.3663085042984538,381.839405730683,-25.322817465034976,-0.0848875,True,4.207000000000001
9,9,52.4175,-10.9665,0.135241,380.357,-24.9207,0.003134,-0.51702,-0.0881108,886.919,-0.00113874,-0.516906,168.802,1.12196,0.003134,11.6097,0.0132458,-0.00379275,3.19246,-0.0203052,-10.9661,0.0655171,3.19303,-0.0881108,4.54748,-0.197763,2.91551,0.0,-14.589,18.0,3.0,-0.857983,-0.855951,0.130353,388.315,-22.3492,0.0,2.64961e-21,0.0,-2.6180599999999997e-20,4.7352,-0.0117379,4.7352,0.0,5.67694,0.0,0.0,2810.82,-14.6177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3785.53,-83.4882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7388.63,-42.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,999.0,1.0,5.901469875378491,gaze,0.5553264772682719,0.5810558718467254,-27.25375739871807,-17.35400127986496,235.7631583761535,-36.27823901941211,-17.14820337784534,-31.82816261425895,0.0337056942821712,-0.0007686381845445,0.999431506091487,4.973133087158203,24.12555212906129,-16.68547744920204,-22.17298501023805,0.5804087507615249,0.5970362591872088,0.5537809921396637,4.186609268188477,-36.27823901941211,-17.14820337784534,-31.82816261425895,0.0337056942821712,-0.0007686381845445,0.999431506091487,4.973133087158203,1.3025166903200087,True,0.0,imu,-0.490485296,-9.430477044800002,2.4966897872,1.04687487,-1.39121527,-4.625395409999999,97.1204724,-37.94611160000001,133.6383368,388.315,-22.3492,False,0.9305140663269542,-0.3662561567641924,381.8533831006876,-25.3230016479916,-0.0881108,True,4.1910000000000025
