,Unnamed: 0,Timestamp,CoG Acceleration/X,CoG Acceleration/Y,CoG position/X,CoG position/Y,CoG position/Roll,CoG position/Pitch,CoG position/Yaw,Horizontal tangential speed,Over-steering criteria2,Pitch %ground,Pitch acceleration,Pitch speed,Roll %ground,Roll acceleration,Roll speed,Slope force,Speed/X,Speed/Y,Tangent Acceleration/X,Tangent Acceleration/Y,Tangential speed,Yaw %ground,Yaw acceleration,Yaw speed,Brake pedal force,Gas pedal,Steering wheel angle,Steering wheel speed,Intersection Id,Lane gap,CoG Acceleration/X.1,CoG Acceleration/Y.1,CoG position/X.1,CoG position/Y.1,Pitch acceleration.1,Pitch speed.1,Roll acceleration.1,Roll speed.1,Speed/X.1,Speed/Y.1,Tangential speed.1,Yaw acceleration.1,Yaw speed.1,CoG Acceleration/X.2,CoG Acceleration/Y.2,CoG position/X.2,CoG position/Y.2,Pitch acceleration.2,Pitch speed.2,Roll acceleration.2,Roll speed.2,Speed/X.2,Speed/Y.2,Tangential speed.2,Yaw acceleration.2,Yaw speed.2,CoG Acceleration/X.3,CoG Acceleration/Y.3,CoG position/X.3,CoG position/Y.3,Pitch acceleration.3,Pitch speed.3,Roll acceleration.3,Roll speed.3,Speed/X.3,Speed/Y.3,Tangential speed.3,Yaw acceleration.3,Yaw speed.3,CoG Acceleration/X.4,CoG Acceleration/Y.4,CoG position/X.4,CoG position/Y.4,Pitch acceleration.4,Pitch speed.4,Roll acceleration.4,Roll speed.4,Speed/X.4,Speed/Y.4,Tangential speed.4,Yaw acceleration.4,Yaw speed.4,ExportChannel/1,ExportChannel/3,ExportChannel/4,distance_to_inter_0,Type_gaze,Data Gaze2D X,Data Gaze2D Y,Data Gaze3D X,Data Gaze3D Y,Data Gaze3D Z,Data Eyeright Gazeorigin X,Data Eyeright Gazeorigin Y,Data Eyeright Gazeorigin Z,Data Eyeright Gazedirection X,Data Eyeright Gazedirection Y,Data Eyeright Gazedirection Z,Data Eyeright Pupildiameter,Data Eyeleft Gazeorigin X,Data Eyeleft Gazeorigin Y,Data Eyeleft Gazeorigin Z,Data Eyeleft Gazedirection X,Data Eyeleft Gazedirection Y,Data Eyeleft Gazedirection Z,Data Eyeleft Pupildiameter,Avg_Gazeorigin_X,Avg_Gazeorigin_Y,Avg_Gazeorigin_Z,Avg_Gazedirection_X,Avg_Gazedirection_Y,Avg_Gazedirection_Z,Avg_Pupildiameter,Velocity,Is_Fixation,Fixation_ID,Type_imu,Data Accelerometer X,Data Accelerometer Y,Data Accelerometer Z,Data Gyroscope X,Data Gyroscope Y,Data Gyroscope Z,Data Magnetometer X,Data Magnetometer Y,Data Magnetometer Z,hazard_1_x,hazard_1_y,gaze_intersects_hazard,combined_gaze_car_x,combined_gaze_car_y,driver_position_x,driver_position_y,yaw_continuous,global_collision_flag,time_to_collision_flag
0,0,91.697,0.313011,-0.0183456,1211.5,-9.23443,-0.00917604,-0.524426,0.0770914,17601.4,3.26463e-05,-0.524331,1.26065,0.0751465,-0.00917604,0.0566097,0.0108841,-0.00318228,63.3625,0.000825842,0.313035,-0.0183498,63.3652,0.0770914,-0.0790025,-0.0508296,0.0,0.174351,-0.207,0.0,-1.0,-0.0596788,1.65,4.73544e-05,1325.59,-1.80944,0.0,7.25844e-20,0.0,4.77726e-24,2.64817,-4.40402e-06,2.64817,0.0,0.00367167,0.0,0.0,1890.67,-8.57446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5303.71,-61.7625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6015.21,12.8502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,999.0,2.0,88.0451537790974,gaze,0.518542889004873,0.3898297944953872,-11.22314606500645,47.10115708920618,306.9959912460524,-31.09059131335204,-4.657171259409478,-28.254703829264,0.0012290833566156,0.1090107386780882,0.9940398121840796,5.503597736358643,29.61397783552474,-3.45139840912239,-29.65651583000491,-0.0625345514478359,0.1911310568359762,0.9795704920974198,5.151020050048828,-0.73830673891365,-4.054284834265934,-28.95560982963445,-0.0306527340456101,0.1500708977570322,0.9868051521407496,5.327308893203735,3.3018835597920355,True,0.0,imu,-0.708811068,-9.711010708000002,2.718604476,2.06373463,4.126744309999999,-4.00481188,-92.9822532,160.5917892,117.8544272,1325.59,-1.80944,False,0.9995587760576788,0.0297027474499436,1212.99753684428,-9.632415426898223,0.0770914,True,5.054104999999993
1,1,91.713,0.323581,-0.012696,1211.78,-9.23405,-0.00903896,-0.523018,0.0762816,17606.0,3.1769e-05,-0.522923,0.679429,0.0982332,-0.00903896,0.202479,0.00802414,-0.0031765,63.3789,0.000798035,0.323583,-0.0126998,63.3816,0.0762816,-0.335798,-0.0506456,0.0,0.17106,-0.207,0.0,-1.0,-0.0594749,1.65,5.35727e-05,1325.58,-1.80945,0.0,8.023769999999999e-20,0.0,5.1223900000000015e-24,2.73967,-4.9795e-06,2.73967,0.0,0.00400422,0.0,0.0,1890.67,-8.57446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5303.71,-61.7625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6015.21,12.8502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,999.0,2.0,87.76518848041354,gaze,0.518542889004873,0.3898297944953872,-11.22314606500645,47.10115708920618,306.9959912460524,-31.09059131335204,-4.657171259409478,-28.254703829264,0.0012290833566156,0.1090107386780882,0.9940398121840796,5.503597736358643,29.61397783552474,-3.45139840912239,-29.65651583000491,-0.0625345514478359,0.1911310568359762,0.9795704920974198,5.151020050048828,-0.73830673891365,-4.054284834265934,-28.95560982963445,-0.0306527340456101,0.1500708977570322,0.9868051521407496,5.327308893203735,3.3018835597920355,True,0.0,imu,-0.708811068,-9.711010708000002,2.718604476,2.06373463,4.126744309999999,-4.00481188,-92.9822532,160.5917892,117.8544272,1325.58,-1.80945,False,0.9995583561488254,0.0297168748871427,1213.2775312191334,-9.632056592559453,0.0762816,True,5.038105000000002
2,2,91.729,0.293854,-0.0148282,1212.06,-9.23367,-0.00893196,-0.521261,0.075473,17610.3,9.09446e-06,-0.521166,0.790496,0.119605,-0.00893196,0.00720393,0.00550989,-0.00316957,63.3944,0.000772872,0.293872,-0.0148319,63.3971,0.075473,-0.059539,-0.0506088,0.0,0.17106,-0.207,0.0,-1.0,-0.0592665,1.65,5.97909e-05,1325.57,-1.80947,0.0,8.789089999999999e-20,0.0,5.4675100000000014e-24,2.83118,-5.55498e-06,2.83118,0.0,0.00433677,0.0,0.0,1890.67,-8.57446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5303.71,-61.7625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6015.21,12.8502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,999.0,2.0,87.48522340549242,gaze,0.518542889004873,0.3898297944953872,-11.22314606500645,47.10115708920618,306.9959912460524,-31.09059131335204,-4.657171259409478,-28.254703829264,0.0012290833566156,0.1090107386780882,0.9940398121840796,5.503597736358643,29.61397783552474,-3.45139840912239,-29.65651583000491,-0.0625345514478359,0.1911310568359762,0.9795704920974198,5.151020050048828,-0.73830673891365,-4.054284834265934,-28.95560982963445,-0.0306527340456101,0.1500708977570322,0.9868051521407496,5.327308893203735,3.3018835597920355,True,0.0,imu,-0.708811068,-9.711010708000002,2.718604476,2.06373463,4.126744309999999,-4.00481188,-92.9822532,160.5917892,117.8544272,1325.57,-1.80947,False,0.9995579366629836,0.029730981383713,1213.5575256020238,-9.63169772677707,0.075473,True,5.022104999999996
3,3,91.745,0.251987,-0.0141439,1212.34,-9.2333,-0.00884883,-0.51919,0.074664,17614.4,1.40663e-06,-0.519095,1.06265,0.137613,-0.00884883,0.330254,0.0045425,-0.00316097,63.4092,0.000756332,0.251985,-0.0141467,63.4118,0.074664,-0.058089,-0.0506869,0.0,0.17106,-0.207,0.0,-1.0,-0.0590538,1.65,6.67142e-05,1325.55,-1.80948,0.0,9.618339999999999e-20,0.0,5.84215e-24,2.92301,-6.19297e-06,2.92301,0.0,0.00469627,0.0,0.0,1890.67,-8.57446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5303.71,-61.7625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6015.21,12.8502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,999.0,2.0,87.20525841077489,gaze,0.518542889004873,0.3898297944953872,-11.22314606500645,47.10115708920618,306.9959912460524,-31.09059131335204,-4.657171259409478,-28.254703829264,0.0012290833566156,0.1090107386780882,0.9940398121840796,5.503597736358643,29.61397783552474,-3.45139840912239,-29.65651583000491,-0.0625345514478359,0.1911310568359762,0.9795704920974198,5.151020050048828,-0.73830673891365,-4.054284834265934,-28.95560982963445,-0.0306527340456101,0.1500708977570322,0.9868051521407496,5.327308893203735,3.3018835597920355,True,0.0,imu,-0.708811068,-9.711010708000002,2.718604476,2.06373463,4.126744309999999,-4.00481188,-92.9822532,160.5917892,117.8544272,1325.55,-1.80948,False,0.999557516770401,0.0297450948525898,1213.837519981837,-9.631348871370074,0.074664,True,5.006104999999991
4,4,91.761,0.256907,-0.0168411,1212.62,-9.23293,-0.00877017,-0.516872,0.0738549,17618.4,1.57905e-05,-0.516777,0.382043,0.150587,-0.00877017,0.520839,0.00619018,-0.00315062,63.4235,0.000740493,0.256822,-0.0168425,63.4261,0.0738549,0.72919,-0.0504923,0.0,0.167769,-0.207,0.0,-1.0,-0.0588369,1.65,7.53358e-05,1325.54,-1.8095,0.0,1.06016e-19,0.0,6.28792e-24,3.0156,-6.98157e-06,3.0156,0.0,0.00512069,0.0,0.0,1890.67,-8.57446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5303.71,-61.7625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6015.21,12.8502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,999.0,2.0,86.92529364313319,gaze,0.518542889004873,0.3898297944953872,-11.22314606500645,47.10115708920618,306.9959912460524,-31.09059131335204,-4.657171259409478,-28.254703829264,0.0012290833566156,0.1090107386780882,0.9940398121840796,5.503597736358643,29.61397783552474,-3.45139840912239,-29.65651583000491,-0.0625345514478359,0.1911310568359762,0.9795704920974198,5.151020050048828,-0.73830673891365,-4.054284834265934,-28.95560982963445,-0.0306527340456101,0.1500708977570322,0.9868051521407496,5.327308893203735,3.3018835597920355,True,0.0,imu,-0.708811068,-9.711010708000002,2.718604476,2.06373463,4.126744309999999,-4.00481188,-92.9822532,160.5917892,117.8544272,1325.54,-1.8095,False,0.9995570966266004,0.0297592100600926,1214.1175143606567,-9.631000018497376,0.0738549,True,4.990105
5,5,91.777,0.212505,-0.0109116,1212.91,-9.23257,-0.00866757,-0.514373,0.0730462,17622.1,-1.86298e-05,-0.514279,0.941829,0.161028,-0.00866757,0.592037,0.00678025,-0.00313927,63.4371,0.000740207,0.212473,-0.0109134,63.4396,0.0730462,0.20137,-0.0504692,0.0,0.164478,-0.198,0.0,-1.0,-0.0586162,1.65,8.39574e-05,1325.53,-1.80952,0.0,1.15848e-19,0.0,6.73368e-24,3.1082,-7.77016e-06,3.1082,0.0,0.00554512,0.0,0.0,1890.67,-8.57446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5303.71,-61.7625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6015.21,12.8502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,999.0,2.0,86.63533003483565,gaze,0.518542889004873,0.3898297944953872,-11.22314606500645,47.10115708920618,306.9959912460524,-31.09059131335204,-4.657171259409478,-28.254703829264,0.0012290833566156,0.1090107386780882,0.9940398121840796,5.503597736358643,29.61397783552474,-3.45139840912239,-29.65651583000491,-0.0625345514478359,0.1911310568359762,0.9795704920974198,5.151020050048828,-0.73830673891365,-4.054284834265934,-28.95560982963445,-0.0306527340456101,0.1500708977570322,0.9868051521407496,5.327308893203735,3.3018835597920355,True,0.0,imu,-0.708811068,-9.711010708000002,2.718604476,2.06373463,4.126744309999999,-4.00481188,-92.9822532,160.5917892,117.8544272,1325.53,-1.80952,False,0.9995566764913298,0.029773318283439,1214.4075087419574,-9.630661155090715,0.0730462,True,4.9741049999999944
6,6,91.793,0.220031,-0.0121339,1213.19,-9.23221,-0.00856698,-0.511721,0.0722434,17625.7,5.26256e-06,-0.511627,0.475965,0.169363,-0.00856698,0.364496,0.00619458,-0.00312727,63.45,0.000767066,0.220008,-0.012136,63.4526,0.0722434,0.524768,-0.0497742,0.0,0.167769,-0.189,0.0,-1.0,-0.0583913,1.65,9.2953e-05,1325.51,-1.80953,0.0,1.25998e-19,0.0,7.197740000000001e-24,3.2016,-8.58449e-06,3.2016,0.0,0.00598387,0.0,0.0,1890.67,-8.57446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5303.71,-61.7625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6015.21,12.8502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,999.0,2.0,86.35536558780873,gaze,0.518542889004873,0.3898297944953872,-11.22314606500645,47.10115708920618,306.9959912460524,-31.09059131335204,-4.657171259409478,-28.254703829264,0.0012290833566156,0.1090107386780882,0.9940398121840796,5.503597736358643,29.61397783552474,-3.45139840912239,-29.65651583000491,-0.0625345514478359,0.1911310568359762,0.9795704920974198,5.151020050048828,-0.73830673891365,-4.054284834265934,-28.95560982963445,-0.0306527340456101,0.1500708977570322,0.9868051521407496,5.327308893203735,3.3018835597920355,True,0.0,imu,-0.708811068,-9.711010708000002,2.718604476,2.06373463,4.126744309999999,-4.00481188,-92.9822532,160.5917892,117.8544272,1325.51,-1.80953,False,0.9995562592242668,0.0297873235721222,1214.687503163955,-9.63032213740022,0.0722434,True,4.958104999999989
7,7,91.809,0.222313,-0.0102276,1213.47,-9.23185,-0.00847079,-0.508961,0.0714514,17629.2,-4.22733e-05,-0.508867,0.117445,0.175015,-0.00847079,0.742474,0.00671745,-0.00311489,63.4627,0.00081789,0.222271,-0.0102297,63.4652,0.0714514,1.11064,-0.048786,0.0,0.17106,-0.18,0.0,-1.0,-0.0581623,1.65,0.000105804,1325.49,-1.80955,0.0,1.3943100000000001e-19,0.0,7.850530000000001e-24,3.30337,-9.66419e-06,3.30337,0.0,0.00657043,0.0,0.0,1890.67,-8.57446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5303.71,-61.7625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6015.21,12.8502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,999.0,2.0,86.07540137357772,gaze,0.518542889004873,0.3898297944953872,-11.22314606500645,47.10115708920618,306.9959912460524,-31.09059131335204,-4.657171259409478,-28.254703829264,0.0012290833566156,0.1090107386780882,0.9940398121840796,5.503597736358643,29.61397783552474,-3.45139840912239,-29.65651583000491,-0.0625345514478359,0.1911310568359762,0.9795704920974198,5.151020050048828,-0.73830673891365,-4.054284834265934,-28.95560982963445,-0.0306527340456101,0.1500708977570322,0.9868051521407496,5.327308893203735,3.3018835597920355,True,0.0,imu,-0.708811068,-9.711010708000002,2.718604476,2.06373463,4.126744309999999,-4.00481188,-92.9822532,160.5917892,117.8544272,1325.49,-1.80955,False,0.999555847378369,0.0298011404431196,1214.9674976607046,-9.629982837359917,0.0714513999999999,True,4.942104999999998
8,8,91.825,0.204848,-0.01106,1213.75,-9.2315,-0.00836599,-0.506119,0.0706766,17632.5,1.75722e-05,-0.506026,0.375982,0.180135,-0.00836599,-0.0192067,0.00553033,-0.0031022,63.4747,0.000898246,0.204859,-0.0110629,63.4771,0.0706766,-0.0284644,-0.0478116,0.0,0.164478,-0.162,0.0,-1.0,-0.0579293,1.65,0.000118655,1325.48,-1.80957,0.0,1.52863e-19,0.0,8.50332e-24,3.40513,-1.07439e-05,3.40513,0.0,0.00715699,0.0,0.0,1890.67,-8.57446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5303.71,-61.7625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6015.21,12.8502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,999.0,2.0,85.79543724610308,gaze,0.518542889004873,0.3898297944953872,-11.22314606500645,47.10115708920618,306.9959912460524,-31.09059131335204,-4.657171259409478,-28.254703829264,0.0012290833566156,0.1090107386780882,0.9940398121840796,5.503597736358643,29.61397783552474,-3.45139840912239,-29.65651583000491,-0.0625345514478359,0.1911310568359762,0.9795704920974198,5.151020050048828,-0.73830673891365,-4.054284834265934,-28.95560982963445,-0.0306527340456101,0.1500708977570322,0.9868051521407496,5.327308893203735,3.3018835597920355,True,0.0,imu,-0.708811068,-9.711010708000002,2.718604476,2.06373463,4.126744309999999,-4.00481188,-92.9822532,160.5917892,117.8544272,1325.48,-1.80957,False,0.9995554442917852,0.0298146572452468,1215.2474922766926,-9.629653087701415,0.0706766,True,4.926104999999993
9,9,91.841,0.179431,-0.0132881,1214.03,-9.23115,-0.00825862,-0.50322,0.0699253,17635.7,5.31798e-05,-0.503127,0.375063,0.182579,-0.00825862,-0.209132,0.00869779,-0.00308867,63.486,0.0010054,0.179421,-0.0132907,63.4885,0.0699253,-0.211736,-0.0460303,0.0,0.161187,-0.144,0.0,-1.0,-0.0576923,1.65,0.000132016,1325.46,-1.80959,0.0,1.66686e-19,0.0,9.189340000000001e-24,3.50556,-1.18897e-05,3.50556,0.0,0.00775865,0.0,0.0,1890.67,-8.57446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5303.71,-61.7625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6015.21,12.8502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,999.0,2.0,85.5154733549579,gaze,0.518542889004873,0.3898297944953872,-11.22314606500645,47.10115708920618,306.9959912460524,-31.09059131335204,-4.657171259409478,-28.254703829264,0.0012290833566156,0.1090107386780882,0.9940398121840796,5.503597736358643,29.61397783552474,-3.45139840912239,-29.65651583000491,-0.0625345514478359,0.1911310568359762,0.9795704920974198,5.151020050048828,-0.73830673891365,-4.054284834265934,-28.95560982963445,-0.0306527340456101,0.1500708977570322,0.9868051521407496,5.327308893203735,3.3018835597920355,True,0.0,imu,-0.708811068,-9.711010708000002,2.718604476,2.06373463,4.126744309999999,-4.00481188,-92.9822532,160.5917892,117.8544272,1325.46,-1.80959,False,0.9995550532564288,0.0298277640720462,1215.5274870557182,-9.629322723772272,0.0699253,True,4.9101050000000015
