Type,Timestamp,Data Gaze2D X,Data Gaze2D Y,Data Gaze3D X,Data Gaze3D Y,Data Gaze3D Z,Data Eyeright Gazeorigin X,Data Eyeright Gazeorigin Y,Data Eyeright Gazeorigin Z,Data Eyeright Gazedirection X,Data Eyeright Gazedirection Y,Data Eyeright Gazedirection Z,Data Eyeright Pupildiameter,Data Eyeleft Gazeorigin X,Data Eyeleft Gazeorigin Y,Data Eyeleft Gazeorigin Z,Data Eyeleft Gazedirection X,Data Eyeleft Gazedirection Y,Data Eyeleft Gazedirection Z,Data Eyeleft Pupildiameter,Avg_Gazeorigin_X,Avg_Gazeorigin_Y,Avg_Gazeorigin_Z,Avg_Gazedirection_X,Avg_Gazedirection_Y,Avg_Gazedirection_Z,Avg_Pupildiameter,Velocity,Is_Fixation,Fixation_ID
gaze,459.721214,0.5051393999735284,0.4868765082904611,-7.131714144855348,29.22050891628536,789.6815035068873,-30.55526945352609,-4.227462495702306,-31.71345974287389,0.0119604991161909,0.0223420607791968,0.9996788378179416,4.356698989868164,30.09515572257486,-4.150215368919255,-30.18882595840379,-0.0287852001564467,0.0590031534086063,0.9978426930833304,4.316410064697266,-0.23005686547561588,-4.18883893231078,-30.95114285063884,-0.0084123505201279,0.04067260709390155,0.9987607654506361,4.336554527282715,0.008986916957490052,True,0.0
gaze,459.741196,0.5049969785768579,0.4867951866637809,-7.131237328640035,30.30514559022055,816.9183480916472,-30.55166213989989,-4.22717741344784,-31.71420715826265,0.0125621591413821,0.0230355855735272,0.999655717712349,4.367581367492676,30.09621096468124,-4.156124839064685,-30.18684287308917,-0.0288517756702261,0.0582588069093424,0.9978845055707476,4.321074485778809,-0.22889122654247007,-4.190245029283521,-30.950833933157373,-0.00827857939227495,0.040659901667668176,0.9987654385460922,4.3404412269592285,0.008986916957490052,True,0.0
gaze,459.761287,0.5054009057588384,0.4856495481604522,-8.389196551055804,33.71680900272905,876.5118401742614,-30.55667255510139,-4.225992313192126,-31.71291938866712,0.0104285890339213,0.0252872393267069,0.9996258300274136,4.386637687683105,30.09901188676597,-4.160879464693817,-30.18462649613612,-0.0284124625854423,0.058179703393184,0.9979017256638611,4.326730728149414,-0.22887092908421636,-4.191308649170005,-30.95014693623879,-0.008516365186770134,0.0410177582317606,0.9987648849792738,4.345855553944905,0.013006000923045892,True,0.0
gaze,459.781268,0.5053473312847353,0.4860968023980988,-8.379388408383816,33.59213068261909,885.5393417027791,-30.55604386214061,-4.232283684543602,-31.71203054490293,0.0100564221979464,0.024865373528344,0.999640226067295,4.400802612304688,30.10115499404438,-4.167229201508217,-30.18552554156596,-0.0278449858795219,0.0575242122476791,0.9979557213457184,4.3321533203125,-0.22851430532519101,-4.193420597633981,-30.949804712987703,-0.008610844350274538,0.04106201689582334,0.9987731571610821,4.351011157035828,0.004654566822947687,True,0.0
gaze,459.80136,0.5051419026085755,0.4855687880772144,-8.222216802109342,35.13571722636925,911.239211660258,-30.55284548181048,-4.230867655982744,-31.71155234779185,0.0103646600716162,0.0258914118568838,0.999611028657476,4.405956268310547,30.10303316035307,-4.171325709966252,-30.18507663151768,-0.0273404231167758,0.0575256268245111,0.9979695904797116,4.337157726287842,-0.2277926764058936,-4.194955814702085,-30.949506668321114,-0.008586251784735589,0.04119131738479816,0.9987765876425844,4.355120325088501,0.006243621300598655,True,0.0
gaze,459.82134,0.5050418807752473,0.4859741522931676,-8.012376027776822,34.6037729378435,908.8517963946722,-30.55024843291541,-4.23533181173627,-31.71098396419495,0.0105977823055645,0.0253955043392431,0.9996213059801996,4.410753726959229,30.10305059151504,-4.177132115799771,-30.1843971522486,-0.0271740338833218,0.0571155812155001,0.9979976865027912,4.343436717987061,-0.2265010874508075,-4.198434420993533,-30.9488162098377,-0.00856140683848574,0.04130790452149217,0.9987863338007562,4.363228464126587,0.004610818458375535,True,0.0
gaze,459.841432,0.5052038222541254,0.4880714758846957,-7.541137004794928,29.23272892073688,821.5316038834208,-30.55306073685854,-4.249254914011066,-31.71034311766043,0.0096608822607488,0.021458607595795,0.9997230594089512,4.42349910736084,30.10421903210606,-4.17925009241806,-30.18457810295815,-0.0268287533274309,0.0569436060442479,0.9980168554315972,4.350164890289307,-0.22584014040419084,-4.202954696385193,-30.94820332876438,-0.00864923229226955,0.0410186866372095,0.9988063029565014,4.3717292785644535,0.02206674351671995,True,0.0
gaze,459.861412,0.5048838946201054,0.488418431571291,-6.974778236613611,28.83062879746869,819.8760155631979,-30.54903287956053,-4.249421575091138,-31.7104680419775,0.0104797129483314,0.0210348571279908,0.9997238170625552,4.437715530395508,30.10491082861973,-4.181979382552553,-30.18757820002918,-0.0263579449293544,0.0565811493866619,0.9980500149156782,4.354012489318848,-0.22448627866472926,-4.207407614360968,-30.94825336448472,-0.00843866813521975,0.040433593016685684,0.9988309305851975,4.379565238952637,0.05826284796292387,True,0.0
gaze,459.881505,0.5114687569254898,0.4807810702058866,-17.55072211225015,34.85279035804522,785.429203548475,-30.64071964973909,-4.192656896353454,-31.73908536155101,0.0004884079811528,0.0294481739816258,0.9995661891574724,4.450242042541504,29.9683047703679,-4.092713664489297,-30.19569297702631,-0.042593272759713,0.0659205182310712,0.9969153917919834,4.430860996246338,-0.24623887979222517,-4.1959933818400605,-30.951975589695564,-0.01087029824491822,0.04173150366035307,0.9987194939388416,4.394379949569702,0.2507369233894855,True,0.0
gaze,459.901486,0.5216155563504742,0.4722544495260946,-37.06738082796795,46.38818456332814,847.732008964898,-30.84770529915032,-4.113919283167289,-31.78695010252878,-0.0189155793083985,0.0409789318919286,0.9989809447634246,4.478271007537842,29.7320481116796,-4.002832376689128,-30.17909216126893,-0.0639190598454498,0.0734918193244187,0.995245349791126,4.456268310546875,-0.3128233663935564,-4.167449211230802,-30.958916918144382,-0.01745618585578709,0.044836874913848315,0.9983840614805779,4.413522481918335,0.4126395704891327,True,0.0
