,CoG Acceleration/X,CoG Acceleration/Y,CoG position/X,CoG position/Y,CoG position/Roll,CoG position/Pitch,CoG position/Yaw,Horizontal tangential speed,Over-steering criteria2,Pitch %ground,Pitch acceleration,Pitch speed,Roll %ground,Roll acceleration,Roll speed,Slope force,Speed/X,Speed/Y,Tangent Acceleration/X,Tangent Acceleration/Y,Tangential speed,Yaw %ground,Yaw acceleration,Yaw speed,Brake pedal force,Gas pedal,Steering wheel angle,Steering wheel speed,Intersection Id,Lane gap,CoG Acceleration/X.1,CoG Acceleration/Y.1,CoG position/X.1,CoG position/Y.1,Pitch acceleration.1,Pitch speed.1,Roll acceleration.1,Roll speed.1,Speed/X.1,Speed/Y.1,Tangential speed.1,Yaw acceleration.1,Yaw speed.1,CoG Acceleration/X.2,CoG Acceleration/Y.2,CoG position/X.2,CoG position/Y.2,CoG position/Yaw.1,Pitch acceleration.2,Pitch speed.2,Roll acceleration.2,Roll speed.2,Speed/X.2,Speed/Y.2,Tangential speed.2,Yaw acceleration.2,Yaw speed.2,CoG Acceleration/X.3,CoG Acceleration/Y.3,CoG position/X.3,CoG position/Y.3,Pitch acceleration.3,Pitch speed.3,Roll acceleration.3,Roll speed.3,Speed/X.3,Speed/Y.3,Tangential speed.3,Yaw acceleration.3,Yaw speed.3,CoG Acceleration/X.4,CoG Acceleration/Y.4,CoG position/X.4,CoG position/Y.4,Pitch acceleration.4,Pitch speed.4,Roll acceleration.4,Roll speed.4,Speed/X.4,Speed/Y.4,Tangential speed.4,Yaw acceleration.4,Yaw speed.4,ExportChannel/1,ExportChannel/3,ExportChannel/4,distance_to_inter_3,Type_gaze,Data Gaze2D X,Data Gaze2D Y,Data Gaze3D X,Data Gaze3D Y,Data Gaze3D Z,Data Eyeleft Gazeorigin X,Data Eyeleft Gazeorigin Y,Data Eyeleft Gazeorigin Z,Data Eyeleft Gazedirection X,Data Eyeleft Gazedirection Y,Data Eyeleft Gazedirection Z,Data Eyeleft Pupildiameter,Data Eyeright Gazeorigin X,Data Eyeright Gazeorigin Y,Data Eyeright Gazeorigin Z,Data Eyeright Gazedirection X,Data Eyeright Gazedirection Y,Data Eyeright Gazedirection Z,Data Eyeright Pupildiameter,Avg_Gazeorigin_X,Avg_Gazeorigin_Y,Avg_Gazeorigin_Z,Avg_Gazedirection_X,Avg_Gazedirection_Y,Avg_Gazedirection_Z,Avg_Pupildiameter,Velocity,Is_Fixation,Fixation_ID,Type_imu,Data Accelerometer X,Data Accelerometer Y,Data Accelerometer Z,Data Gyroscope X,Data Gyroscope Y,Data Gyroscope Z,Data Magnetometer X,Data Magnetometer Y,Data Magnetometer Z,left_gaze_car_x,left_gaze_car_y,right_gaze_car_x,right_gaze_car_y,driver_position_x,driver_position_y,yaw_continuous
0,-10.3864,0.0307232,1299.37,7.32444,-0.0013791,-0.502091,179.87,1235.39,0.000350925,-0.501992,178.553,0.132802,-0.0013791,2.15846,-0.000122157,-0.0033127,4.44723,-0.00768448,-10.3859,0.0127753,4.44742,-180.13,1.22112,-0.0774762,0.0,0.131567,-4.104,0.0,-1.0,-0.0824532,1.11152,0.0,2385.36,38.975,0.0,-1.72871e-17,0.0,1.02051e-09,47.2354,-7.82867e-12,47.2354,0.0,0.0,-0.274545,0.0,1286.63,-34.6861,89.4612,0.0,0.0,0.0,0.0,5.0455,1.73918e-12,5.0455,0.0,0.0,-0.655021,-5.21889e-05,5711.64,54.9073,0.0,-1.9711e-10,0.0,-1.53401e-14,45.0678,3.74218e-06,45.0678,0.0,-0.00023899,1.78216e-11,-0.306441,5986.95,-595.998,0.0,5.90858e-09,0.0,-2.10893e-08,48.5,0.0275839,48.5,0.0,-1.30326,999.0,1.0,2.0,14.82083719745946,gaze,0.3998850551310916,0.5519872502821108,95.05970025875068,-18.96768573016261,447.7527842546568,32.54554273234763,-1.097665035060391,-36.06729694028905,0.1280583649456982,-0.0366061980567212,0.9910908340970906,5.667974948883057,-26.29680778855865,2.707139213460318,-38.18454696835618,0.0124518304713555,-0.1297149887620871,0.9914731330743988,6.222987174987793,32.54554273234763,-1.097665035060391,-36.06729694028905,0.1280583649456982,-0.0366061980567212,0.9910908340970906,5.667974948883057,2.390698011516223,True,0.0,imu,0.0424688488,-9.5961653704,2.668957793600001,1.22632071,4.91181986,-3.15244414,71.27783000000001,-18.20706920000001,124.373072,-0.4273031653055825,-0.9041084033011916,-0.5438031938561351,-0.8392127777577428,1300.8711306020161,7.821035323870694,179.87
1,-10.4007,0.0590121,1299.35,7.32452,-0.00139274,-0.500668,179.869,1239.88,-0.000535599,-0.500569,178.58,0.133592,-0.00139274,5.14089,0.000769204,-0.00330541,4.46338,-0.00770136,-10.4002,0.0410652,4.46357,-180.131,1.62189,-0.0783116,0.0,0.144732,-4.104,0.0,-1.0,-0.0825177,1.10246,0.0,2385.36,38.7647,0.0,-1.64843e-17,0.0,9.7311e-10,47.2985,-1.13041e-11,47.2985,0.0,0.0,-0.272852,0.0,1286.63,-34.6639,89.4612,0.0,0.0,0.0,0.0,5.02983,2.96157e-13,5.02983,0.0,0.0,-0.649686,-6.57398e-05,5711.64,54.7073,0.0,-1.94423e-10,0.0,-1.46401e-14,45.0306,4.82765e-06,45.0306,0.0,-0.000301117,5.72739e-11,-0.306441,5986.77,-595.881,0.0,4.9524e-09,0.0,-2.10854e-08,48.5,0.0275848,48.5,0.0,-1.30326,999.0,1.0,2.0,14.800859859832418,gaze,0.3998850551310916,0.5519872502821108,95.05970025875068,-18.96768573016261,447.7527842546568,32.54554273234763,-1.097665035060391,-36.06729694028905,0.1280583649456982,-0.0366061980567212,0.9910908340970906,5.667974948883057,-26.29680778855865,2.707139213460318,-38.18454696835618,0.0124518304713555,-0.1297149887620871,0.9914731330743988,6.222987174987793,32.54554273234763,-1.097665035060391,-36.06729694028905,0.1280583649456982,-0.0366061980567212,0.9910908340970906,5.667974948883057,2.390698011516223,True,0.0,imu,0.0424688488,-9.5961653704,2.668957793600001,1.22632071,4.91181986,-3.15244414,71.27783000000001,-18.20706920000001,124.373072,-0.4272873855720686,-0.9041158610106265,-0.5437885467472131,-0.8392222687861387,1300.851139269011,7.821089124123551,179.869
2,-10.3845,0.0201049,1299.33,7.3246,-0.00142403,-0.49923,179.868,1244.34,-0.000225318,-0.499131,178.291,0.13543,-0.00142403,2.43683,-0.00204391,-0.00329834,4.47942,-0.00773083,-10.384,0.0021818,4.47961,-180.132,1.58876,-0.078483,0.0,0.148023,-4.113,0.0,-1.0,-0.082583,1.09356,0.0,2385.35,38.5538,0.0,-1.57581e-17,0.0,9.3024e-10,47.3605,-2.12416e-12,47.3605,0.0,0.0,-0.27178,0.0,1286.63,-34.6417,89.4612,0.0,0.0,0.0,0.0,5.01429,-6.48331e-13,5.01429,0.0,0.0,-0.644443,-6.35015e-05,5711.63,54.5077,0.0,-1.91992e-10,0.0,-1.40058e-14,44.994,5.01396e-06,44.994,0.0,-0.000291088,2.4718e-10,-0.30644,5986.59,-595.764,0.0,6.09816e-09,0.0,-2.10816e-08,48.5,0.0275816,48.5,0.0,-1.30325,999.0,1.0,2.0,14.780882583932495,gaze,0.3998850551310916,0.5519872502821108,95.05970025875068,-18.96768573016261,447.7527842546568,32.54554273234763,-1.097665035060391,-36.06729694028905,0.1280583649456982,-0.0366061980567212,0.9910908340970906,5.667974948883057,-26.29680778855865,2.707139213460318,-38.18454696835618,0.0124518304713555,-0.1297149887620871,0.9914731330743988,6.222987174987793,32.54554273234763,-1.097665035060391,-36.06729694028905,0.1280583649456982,-0.0366061980567212,0.9910908340970906,5.667974948883057,2.390698011516223,True,0.0,imu,0.0424688488,-9.5961653704,2.668957793600001,1.22632071,4.91181986,-3.15244414,71.27783000000001,-18.20706920000001,124.373072,-0.4272716057083955,-0.9041233184446519,-0.5437738994726435,-0.8392317595588928,1300.8311479355486,7.821142924225145,179.868
3,-10.3607,0.0450237,1299.31,7.32468,-0.00146795,-0.497775,179.867,1248.78,0.000324904,-0.497676,178.135,0.135639,-0.00146795,4.35171,-0.00149951,-0.00329093,4.49542,-0.00775595,-10.3602,0.0271472,4.49561,-180.133,0.947816,-0.078645,0.0,0.157896,-4.113,0.0,-1.0,-0.082649,1.08466,0.0,2385.35,38.3429,0.0,-1.50319e-17,0.0,8.8737e-10,47.4226,7.05573e-12,47.4226,0.0,0.0,-0.270707,0.0,1286.63,-34.6195,89.4612,0.0,0.0,0.0,0.0,4.99875,-1.59282e-12,4.99875,0.0,0.0,-0.6392,-6.12631e-05,5711.63,54.3081,0.0,-1.89561e-10,0.0,-1.33715e-14,44.9575,5.20026e-06,44.9575,0.0,-0.00028106,4.37086e-10,-0.306439,5986.41,-595.647,0.0,7.24392e-09,0.0,-2.10777e-08,48.5,0.0275784,48.5,0.0,-1.30325,999.0,1.0,2.0,14.760905370010322,gaze,0.3998850551310916,0.5519872502821108,95.05970025875068,-18.96768573016261,447.7527842546568,32.54554273234763,-1.097665035060391,-36.06729694028905,0.1280583649456982,-0.0366061980567212,0.9910908340970906,5.667974948883057,-26.29680778855865,2.707139213460318,-38.18454696835618,0.0124518304713555,-0.1297149887620871,0.9914731330743988,6.222987174987793,32.54554273234763,-1.097665035060391,-36.06729694028905,0.1280583649456982,-0.0366061980567212,0.9910908340970906,5.667974948883057,2.390698011516223,True,0.0,imu,0.0424688488,-9.5961653704,2.668957793600001,1.22632071,4.91181986,-3.15244414,71.27783000000001,-18.20706920000001,124.373072,-0.42725582571456844,-0.9041307756032656,-0.5437592520324315,-0.8392412500760021,1300.811156601629,7.8211967241754845,179.867
4,-10.3631,0.0520874,1299.29,7.32476,-0.00148449,-0.496316,179.865,1253.16,-7.32249e-05,-0.496217,177.734,0.13557,-0.00148449,4.59609,0.00051937,-0.00328357,4.51117,-0.00780875,-10.3627,0.034148,4.51136,-180.135,1.35675,-0.0789524,0.0,0.161187,-4.113,0.0,-1.0,-0.0827154,1.0758,0.0,2385.35,38.1318,0.0,-1.43255e-17,0.0,8.4567e-10,47.4843,1.2455e-11,47.4843,0.0,0.0,-0.269712,0.0,1286.63,-34.5974,89.4612,0.0,0.0,0.0,0.0,4.98324,-2.61762e-12,4.98324,0.0,0.0,-0.633982,-5.56317e-05,5711.63,54.1086,0.0,-1.85975e-10,0.0,-1.27525e-14,44.9211,5.00315e-06,44.9211,0.0,-0.000255404,5.57231e-10,-0.306438,5986.23,-595.531,0.0,8.25656e-09,0.0,-2.10739e-08,48.5,0.0275755,48.5,0.0,-1.30324,999.0,1.0,2.0,14.740928218317872,gaze,0.3998850551310916,0.5519872502821108,95.05970025875068,-18.96768573016261,447.7527842546568,32.54554273234763,-1.097665035060391,-36.06729694028905,0.1280583649456982,-0.0366061980567212,0.9910908340970906,5.667974948883057,-26.29680778855865,2.707139213460318,-38.18454696835618,0.0124518304713555,-0.1297149887620871,0.9914731330743988,6.222987174987793,32.54554273234763,-1.097665035060391,-36.06729694028905,0.1280583649456982,-0.0366061980567212,0.9910908340970906,5.667974948883057,2.390698011516223,True,0.0,imu,0.0424688488,-9.5961653704,2.668957793600001,1.22632071,4.91181986,-3.15244414,71.27783000000001,-18.20706920000001,124.373072,-0.42722426533647,-0.9041456890942486,-0.5437299566550957,-0.8392602303432755,1300.7911739324177,7.8212243236224275,179.865
5,-10.389,0.0224248,1299.27,7.32484,-0.00148514,-0.49486,179.864,1257.5,-0.000220892,-0.494762,178.281,0.135059,-0.00148514,2.10518,0.0013892,-0.00327621,4.5268,-0.00790509,-10.3885,0.00428151,4.52699,-180.136,0.705923,-0.079572,0.0,0.167769,-4.113,0.0,-1.0,-0.0827825,1.06711,0.0,2385.35,37.9199,0.0,-1.36974e-17,0.0,8.08592e-10,47.5448,2.91099e-12,47.5448,0.0,0.0,-0.269024,0.0,1286.63,-34.5755,89.4612,0.0,0.0,0.0,0.0,4.96781,-3.95987e-12,4.96781,0.0,0.0,-0.628866,-3.65885e-05,5711.63,53.9093,0.0,-1.77821e-10,0.0,-1.21933e-14,44.8854,3.29052e-06,44.8854,0.0,-0.000167977,4.01629e-10,-0.306439,5986.04,-595.413,0.0,8.74304e-09,0.0,-2.107e-08,48.5,0.0275738,48.5,0.0,-1.30325,999.0,1.0,2.0,14.720951129108494,gaze,0.3998850551310916,0.5519872502821108,95.05970025875068,-18.96768573016261,447.7527842546568,32.54554273234763,-1.097665035060391,-36.06729694028905,0.1280583649456982,-0.0366061980567212,0.9910908340970906,5.667974948883057,-26.29680778855865,2.707139213460318,-38.18454696835618,0.0124518304713555,-0.1297149887620871,0.9914731330743988,6.222987174987793,32.54554273234763,-1.097665035060391,-36.06729694028905,0.1280583649456982,-0.0366061980567212,0.9910908340970906,5.667974948883057,2.390698011516223,True,0.0,imu,0.0424688488,-9.5961653704,2.668957793600001,1.22632071,4.91181986,-3.15244414,71.27783000000001,-18.20706920000001,124.373072,-0.4272084849522083,-0.9041531454266135,-0.5437153087179809,-0.8392697200934338,1300.771182597126,7.821278123119047,179.864
6,-10.3514,0.0208981,1299.25,7.32493,-0.0014638,-0.493418,179.863,1261.8,-8.01606e-05,-0.49332,177.602,0.133977,-0.0014638,2.71669,0.00264295,-0.00326861,4.54228,-0.00796647,-10.3509,0.00274231,4.54247,-180.137,1.48187,-0.079905,0.0,0.17106,-4.113,0.0,-1.0,-0.0828502,1.05842,0.0,2385.34,37.708,0.0,-1.30693e-17,0.0,7.71514e-10,47.6054,-6.63306e-12,47.6054,0.0,0.0,-0.268335,0.0,1286.63,-34.5535,89.4612,0.0,0.0,0.0,0.0,4.95239,-5.30213e-12,4.95239,0.0,0.0,-0.62375,-1.75453e-05,5711.63,53.71,0.0,-1.69667e-10,0.0,-1.16342e-14,44.8497,1.57788e-06,44.8497,0.0,-8.05499e-05,2.46028e-10,-0.306441,5985.86,-595.296,0.0,9.22951e-09,0.0,-2.10662e-08,48.5,0.0275721,48.5,0.0,-1.30326,999.0,1.0,2.0,14.70097358153198,gaze,0.3998850551310916,0.5519872502821108,95.05970025875068,-18.96768573016261,447.7527842546568,32.54554273234763,-1.097665035060391,-36.06729694028905,0.1280583649456982,-0.0366061980567212,0.9910908340970906,5.667974948883057,-26.29680778855865,2.707139213460318,-38.18454696835618,0.0124518304713555,-0.1297149887620871,0.9914731330743988,6.222987174987793,32.54554273234763,-1.097665035060391,-36.06729694028905,0.1280583649456982,-0.0366061980567212,0.9910908340970906,5.667974948883057,2.390698011516223,True,0.0,imu,0.0424688488,-9.5961653704,2.668957793600001,1.22632071,4.91181986,-3.15244414,71.27783000000001,-18.20706920000001,124.373072,-0.4271927044378118,-0.9041606014835575,-0.5437006606152414,-0.8392792095879358,1300.7511912613772,7.821341922464443,179.863
7,-10.3566,0.041422,1299.23,7.32501,-0.00142692,-0.492012,179.861,1266.08,-0.000425966,-0.491914,177.222,0.130116,-0.00142692,4.3567,0.00368952,-0.00325991,4.55769,-0.00800336,-10.3563,0.0232346,4.55787,-180.139,2.05969,-0.0798464,0.0,0.174351,-4.113,0.0,-1.0,-0.0829187,1.04978,0.0,2385.34,37.4967,0.0,-1.24496e-17,0.0,7.3493e-10,47.6656,-1.48862e-11,47.6656,0.0,0.0,-0.267654,0.0,1286.63,-34.5316,89.4612,0.0,0.0,0.0,0.0,4.93702,-6.26297e-12,4.93702,0.0,0.0,-0.618659,0.0,5711.63,53.5114,0.0,-1.61622e-10,0.0,-1.10825e-14,44.8142,-3.11617e-11,44.8142,0.0,0.0,9.03051e-11,-0.306443,5985.68,-595.18,0.0,9.62132e-09,0.0,-2.10623e-08,48.5,0.0275708,48.5,0.0,-1.30326,999.0,1.0,2.0,14.680996617399709,gaze,0.3998850551310916,0.5519872502821108,95.05970025875068,-18.96768573016261,447.7527842546568,32.54554273234763,-1.097665035060391,-36.06729694028905,0.1280583649456982,-0.0366061980567212,0.9910908340970906,5.667974948883057,-26.29680778855865,2.707139213460318,-38.18454696835618,0.0124518304713555,-0.1297149887620871,0.9914731330743988,6.222987174987793,32.54554273234763,-1.097665035060391,-36.06729694028905,0.1280583649456982,-0.0366061980567212,0.9910908340970906,5.667974948883057,2.390698011516223,True,0.0,imu,0.0424688488,-9.5961653704,2.668957793600001,1.22632071,4.91181986,-3.15244414,71.27783000000001,-18.20706920000001,124.373072,-0.4271611430186318,-0.9041755127711744,-0.5436713639129039,-0.8392981878099599,1300.7312085885076,7.8213695207015945,179.861
8,-10.3667,0.048294,1299.21,7.3251,-0.001402,-0.490689,179.86,1270.29,-0.000200114,-0.490591,177.504,0.124656,-0.001402,5.08724,0.00247289,-0.0032508,4.57287,-0.008021,-10.3664,0.0301094,4.57305,-180.14,2.11187,-0.0798372,0.0,0.177642,-4.113,0.0,-1.0,-0.082988,1.04164,0.0,2385.34,37.2922,0.0,-1.19278e-17,0.0,7.04128e-10,47.7223,-8.01991e-12,47.7223,0.0,0.0,-0.267055,0.0,1286.63,-34.5107,89.4612,0.0,0.0,0.0,0.0,4.9223,-2.75641e-12,4.9223,0.0,0.0,-0.613867,0.0,5711.63,53.3204,0.0,-1.54848e-10,0.0,-1.06181e-14,44.7808,-1.64694e-11,44.7808,0.0,0.0,-6.68453e-11,-0.306444,5985.51,-595.067,0.0,8.90437e-09,0.0,-2.10586e-08,48.5,0.0275748,48.5,0.0,-1.30327,999.0,1.0,2.0,14.661019194107968,gaze,0.3998850551310916,0.5519872502821108,95.05970025875068,-18.96768573016261,447.7527842546568,32.54554273234763,-1.097665035060391,-36.06729694028905,0.1280583649456982,-0.0366061980567212,0.9910908340970906,5.667974948883057,-26.29680778855865,2.707139213460318,-38.18454696835618,0.0124518304713555,-0.1297149887620871,0.9914731330743988,6.222987174987793,32.54554273234763,-1.097665035060391,-36.06729694028905,0.1280583649456982,-0.0366061980567212,0.9910908340970906,5.667974948883057,2.390698011516223,True,0.0,imu,0.0424688488,-9.5961653704,2.668957793600001,1.22632071,4.91181986,-3.15244414,71.27783000000001,-18.20706920000001,124.373072,-0.42714536211385873,-0.9041829680018424,-0.5436567153133157,-0.839307676537476,1300.7112172513869,7.8214333195933685,179.86
9,-10.3522,0.00378338,1299.19,7.32518,-0.00139369,-0.489443,179.859,1274.48,-0.000418653,-0.489346,177.268,0.120435,-0.00139369,0.13909,0.000555708,-0.00324231,4.58794,-0.00800477,-10.3518,-0.0142795,4.58812,-180.141,0.61412,-0.0802142,0.0,0.174351,-4.113,0.0,-1.0,-0.0830581,1.03351,0.0,2385.34,37.0878,0.0,-1.1406e-17,0.0,6.73326e-10,47.779,-1.15356e-12,47.779,0.0,0.0,-0.266456,0.0,1286.63,-34.4898,89.4612,0.0,0.0,0.0,0.0,4.90758,7.50147e-13,4.90758,0.0,0.0,-0.609075,0.0,5711.63,53.1293,0.0,-1.48074e-10,0.0,-1.01536e-14,44.7474,-1.77721e-12,44.7474,0.0,0.0,-2.23996e-10,-0.306445,5985.34,-594.954,0.0,8.18741e-09,0.0,-2.10548e-08,48.5,0.0275788,48.5,0.0,-1.30327,999.0,1.0,2.0,14.641042356075705,gaze,0.3998850551310916,0.5519872502821108,95.05970025875068,-18.96768573016261,447.7527842546568,32.54554273234763,-1.097665035060391,-36.06729694028905,0.1280583649456982,-0.0366061980567212,0.9910908340970906,5.667974948883057,-26.29680778855865,2.707139213460318,-38.18454696835618,0.0124518304713555,-0.1297149887620871,0.9914731330743988,6.222987174987793,32.54554273234763,-1.097665035060391,-36.06729694028905,0.1280583649456982,-0.0366061980567212,0.9910908340970906,5.667974948883057,2.390698011516223,True,0.0,imu,0.0424688488,-9.5961653704,2.668957793600001,1.22632071,4.91181986,-3.15244414,71.27783000000001,-18.20706920000001,124.373072,-0.4271295810789697,-0.9041904229570804,-0.5436420665481202,-0.8393171650093243,1300.691225913809,7.821487118333949,179.859
