,p_num,intersection_type,global_collision_flag,time_of_collision,record_count
0,0,lthalf,False,inf,1198.0
1,0,ltminor,False,inf,1189.0
2,0,ltsignal,False,inf,1197.0
3,0,ltmajor,False,inf,1195.0
4,1,ltminor,False,inf,1197.0
5,1,lthalf,False,inf,1198.0
6,1,ltmajor,False,inf,1198.0
7,1,ltsignal,False,inf,1197.0
8,2,ltmajor,False,inf,1191.0
9,2,ltsignal,False,inf,1198.0
10,2,ltminor,False,inf,1196.0
11,2,lthalf,False,inf,313.0
12,3,ltmajor,False,inf,1198.0
13,3,ltsignal,False,inf,1192.0
14,3,ltminor,False,inf,1195.0
15,3,lthalf,False,inf,1189.0
16,4,ltmajor,False,inf,1196.0
17,4,ltsignal,False,inf,1197.0
18,4,ltminor,False,inf,1196.0
19,4,lthalf,False,inf,1197.0
20,5,ltminor,False,inf,1196.0
21,5,lthalf,False,inf,1197.0
22,5,ltmajor,False,inf,1197.0
23,5,ltsignal,False,inf,1197.0
24,6,ltsignal,False,inf,1190.0
25,6,ltmajor,True,172.846,92.0
26,6,lthalf,False,inf,1189.0
27,6,ltminor,False,inf,1197.0
28,7,lthalf,False,inf,1198.0
29,7,ltminor,False,inf,1197.0
30,7,ltsignal,False,inf,1198.0
31,7,ltmajor,False,inf,1198.0
32,8,ltsignal,False,inf,1197.0
33,8,ltmajor,True,141.713,192.0
34,8,lthalf,False,inf,1197.0
35,8,ltminor,False,inf,1198.0
36,9,ltmajor,False,inf,1187.0
37,9,ltsignal,False,inf,313.0
38,9,ltminor,False,inf,313.0
39,9,lthalf,False,inf,313.0
40,10,ltminor,False,inf,1195.0
41,10,lthalf,False,inf,1184.0
42,10,ltmajor,False,inf,1197.0
43,10,ltsignal,False,inf,1185.0
44,11,ltminor,False,inf,1197.0
45,11,lthalf,False,inf,1198.0
46,11,ltmajor,False,inf,1196.0
47,11,ltsignal,False,inf,1197.0
48,12,ltmajor,False,inf,1187.0
49,12,ltsignal,False,inf,1188.0
50,12,ltminor,False,inf,1184.0
51,12,lthalf,False,inf,1198.0
52,13,lthalf,False,inf,1198.0
53,13,ltminor,False,inf,1197.0
54,13,ltsignal,False,inf,1194.0
55,13,ltmajor,False,inf,1198.0
56,14,lthalf,False,inf,1197.0
57,14,ltminor,False,inf,1198.0
58,14,ltsignal,False,inf,1178.0
59,14,ltmajor,False,inf,1197.0
60,15,ltminor,False,inf,1147.0
61,15,lthalf,False,inf,1197.0
62,15,ltmajor,False,inf,1199.0
63,15,ltsignal,False,inf,1199.0
64,16,ltsignal,False,inf,1197.0
65,16,ltmajor,True,138.673,1031.0
66,16,lthalf,False,inf,1197.0
67,16,ltminor,False,inf,1199.0
68,17,ltsignal,True,84.970036,509.0
69,17,ltmajor,True,129.616,212.0
70,17,lthalf,False,inf,1197.0
71,17,ltminor,False,inf,1197.0
72,18,ltsignal,False,inf,1197.0
73,18,ltmajor,True,132.786,223.0
74,18,lthalf,False,inf,1198.0
75,18,ltminor,False,inf,1196.0
76,19,ltminor,False,inf,1197.0
77,19,lthalf,False,inf,972.0
78,19,ltmajor,False,inf,1197.0
79,19,ltsignal,False,inf,1197.0
80,20,ltsignal,False,inf,1193.0
81,20,ltmajor,True,184.304,205.0
82,20,lthalf,False,inf,1198.0
83,20,ltminor,False,inf,1198.0
84,21,ltmajor,False,inf,1199.0
85,21,ltsignal,False,inf,1197.0
86,21,ltminor,False,inf,1196.0
87,21,lthalf,False,inf,1198.0
88,22,ltmajor,False,inf,1199.0
89,22,ltsignal,False,inf,1198.0
90,22,ltminor,False,inf,1197.0
91,22,lthalf,False,inf,1199.0
92,23,ltmajor,False,inf,1189.0
93,23,ltsignal,False,inf,1186.0
94,23,ltminor,False,inf,1194.0
95,23,lthalf,False,inf,1173.0
96,24,lthalf,False,inf,1198.0
97,24,ltminor,False,inf,1197.0
98,24,ltsignal,False,inf,1198.0
99,24,ltmajor,True,589.178399,599.0
100,25,ltmajor,False,inf,1191.0
101,25,ltsignal,False,inf,1190.0
102,25,ltminor,False,inf,1193.0
103,25,lthalf,False,inf,1183.0
104,26,lthalf,False,inf,1197.0
105,26,ltminor,False,inf,1197.0
106,26,ltsignal,False,inf,1198.0
